年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2005,2,1432,大魯閣,致 遠 會 計 師 事 務 所,鄧泗堂,蕭翠慧,94-08-29,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1434,福懋,致遠會計師事務所,何志儒,阮呂艷,94-08-05,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1435,中福,勤業眾信會計師事務所,黃廷育會計師,吳恩銘會計師,95-10-27,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1436,華友聯,勤業眾信會計師事務所,吳恩銘,卓明信,94-08-04,無保留意見
2005,2,1437,勤益控,安侯建業會計師事務所,俞安恬,呂莉莉,94-08-23,修正式無保留意見--採用其他會計師查核且欲區分責任
2005,2,1438,裕豐,安泰聯合會計師事務所,萬文慧,陳兆宏,94-08-11,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1439,中和,致遠會計師事務所,"戴興鉦 (YYY代表會計�/td>潘愛華 (YYY代表會計�/td>94/08/15
無保留意見","潘愛華 (YYY代表會計�/td>94/08/15
無保留意見",94-08-15,無保留意見
2005,2,1440,南紡,資誠會計師事務所,李明憲,劉子猛,94-08-09,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1441,大東,安侯建業會計師事務所,李慈慧,吳東和,94-08-30,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1442,名軒,惠 眾 會 計 師 事 務 所,李伯承,盧聯生,94-08-25,修正式無保留意見--採用其他會計師查核且欲區分責任
2005,2,1443,立益,第 一 聯 合 會 計 師 事 務 所,甘有財,陳桂美,94-08-19,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1444,力麗,勤業眾信會計師事務所,余鴻賓,邱明玉,96-04-28,修正式無保留意見--採用其他會計師查核且欲區分責任、會計原則變動
2005,2,1445,大宇,勤業眾信會計師事務所,殷仲偉,郭慈容,2851-08-05,無保留意見
2005,2,1446,宏和,致 遠 會 計 師 事 務 所,侯榮顯,黃崇輝,94-08-24,修正式無保留意見--會計原則變動
2005,2,1447,力鵬,勤業眾信會計師事務所,余鴻賓,邱明玉,94-08-08,修正式無保留意見--採用其他會計師查核且欲區分責任
2005,2,1449,佳和,安侯建業會計師事務所,方惠玲,陳國宗,94-08-30,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1451,年興,勤業眾信會計師事務所,施景彬,魏永篤,94-08-05,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1452,宏益,立本台灣聯合會計師事務所,"柯俊輝 (YYY代表會計�/td>陳玉芳 (YYY代表會計�/td>94/07/26
保留意見--依被投資公司未經會計師查核報告認列投資損益","陳玉芳 (YYY代表會計�/td>94/07/26
保留意見--依被投資公司未經會計師查核報告認列投資損益",94-07-26,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1453,大將,勤業眾信會計師事務所,郭榮芳,賴國旺,94-08-19,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1454,台富,勤業眾信會計師事務所,陳慧銘,池瑞全,94-07-23,無保留意見
2005,2,1455,集盛,第 一 聯 合 會 計 師 事 務 所,蕭英嘉,林美玲,94-07-22,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1456,怡華,惠眾會 計 師 事 務 所,盧聯生(YYY代表會計師,李伯承(YYY代表會計師,94-08-27,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1457,宜進,安侯建業會計師事務所,賴麗真,張淑瑩,94-08-29,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1459,聯發,勤業眾信會計師事務所,黃  海  悅,涂  三  遷,94-07-19,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1460,宏遠,勤業眾信會計師事務所,李季珍,吳恩銘,94-08-09,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1463,強盛,安侯建業會計師事務所,于紀隆,吳美萍,94-08-22,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1464,得力,勤 業 眾 信 會 計 師 事 務 所,龔俊吉,黃李松,94-07-20,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1465,偉全,立 本 台 灣 聯 合 會 計 師 事 務 所,許坤錫,張書成,94-08-12,無保留意見
2005,2,1466,聚隆,建智聯合會計師事務所,陳靜宜(YYY代表會計師,廖年傑(YYY代表會計師,94-07-26,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1467,南緯,安侯建業會計師事務所,賴麗真,張淑瑩,94-08-24,保留意見--依被投資公司未經會計師查核報告認列投資損益
2005,2,1468,昶和,勤 業 眾 信 會 計 師 事 務 所,張銘政,郭文吉,94-08-04,保留意見--依被投資公司未經會計師查核報告認列投資損益
