證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 其他收入－其他,　　　 處分不動產、廠房及設備利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 外幣兌換損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　　 採用權益法認列之關聯企業及合資損失之份額
1721,2013年第3季,,                431572,,                389852,                 41720,                 41720,,,                 18100,,                 10821,,                  3441,                 32362,                  9358,,,                  3020,,                              0,                              0,                  1838,,                     57,,,,                 -2584,,                  3337,                  3337,                 -2901,                  6457,,                              0,                  6457,                  6457,,,,,,,,,                   -198,                  6259,,                  6457,,                  6259,,                              0.08,,                    218,,                    907,                   -884,                    686,,,,,,,,,
1721,2013年第2季,,                457729,,                416525,                 41204,                 41204,,,                 17078,,                 18591,,                  8541,                 44210,                 -3006,,,                  3997,,,                  5651,                    386,                      3,,,,,                  5308,,                  3411,                  3411,                  5894,                  2888,,                              0,                  2888,                  2888,,,,,,,,,                  1165,                  4053,,                  2888,,                  4053,,                              0.03,,                              0,                     46,                              0,                  1355,                   -190,,,,,,,,,
1721,2013年度,,              1709472,,              1577908,                131564,                131564,,,                 67179,,                100580,,                 18509,                186268,                -54704,,,                  3057,,                 53497,                 16791,                  1046,,,,,                     10,                 69504,,                 13174,                 13174,                 59387,                  4683,,                              0,                  4683,                  4683,,,,,,,,,                   -365,                  4318,,                  4683,,                  4318,,                              0.06,,                    272,                              0,,                  1444,                    322,                 -2131,,,,,,,,
1721,2013年07月01日至2013年09月30日,,                431572,,                389852,                 41720,                 41720,,,                 18100,,                 10821,,                  3441,                 32362,                  9358,,,                  3020,,,                              0,                  1895,,,,,,                 -2584,,                  3337,                  3337,                 -2901,                  6457,,                              0,                  6457,                  6457,,,,,,,,,                   -198,                  6259,,                  6457,,                  6259,,                              0.08,,                    218,,                    907,                   -884,                    686,,,                              0,                              0,,,,,
1721,2013年04月01日至2013年06月30日,,                457729,,                416525,                 41204,                 41204,,,                 17078,,                 18591,,                  8541,                 44210,                 -3006,,,                  3997,,,                  5651,                    340,                      3,,,,,                  5308,,                  3411,                  3411,                  5894,                  2888,,                              0,                  2888,                  2888,,,,,,,,,                  1165,                  4053,,                  2888,,                  4053,,                              0.03,,                              0,,                              0,                  1355,                   -190,,,                              0,                              0,,                              0,,                              0,
1721,2013年01月01日至2013年12月31日,,              1709472,,              1577908,                131564,                131564,,,                 67179,,                100580,,                 18509,                186268,                -54704,,,                  3057,,                 53497,                 16791,                  1046,,,,,                     10,                 69504,,                 13174,                 13174,                 59387,                  4683,,                              0,                  4683,                  4683,,,,,,,,,                   -365,                  4318,,                  4683,,                  4318,,                              0.06,,                    272,,                              0,                  1444,                    322,                 -2131,,                              0,                              0,,,,,
1721,2013年01月01日至2013年09月30日,,              1292950,,              1174398,                118552,                118552,,,                 49929,,                 46463,,                 15165,                111557,                  6995,,,                  7542,,                              0,                 14708,                  5055,,                     11,,,,                  9921,,                 10640,                 10640,                  6823,                 13818,,                              0,                 13818,                 13818,,,,,,,,,                  2878,                 16696,,                 13818,,                 16696,,                              0.17,,                    279,,                              0,                  2209,                    669,,,,,,,,,
1721,2013年01月01日至2013年06月30日,,                861378,,                784546,                 76832,                 76832,,,                 31829,,                 35642,,                 14509,                 81980,                 -5148,,,                  4476,,,                 15615,                    386,                              0,,,,,                 15336,,                  7303,                  7303,                 12509,                  7361,,                              0,                  7361,                  7361,,,,,,,,,                  3076,                 10437,,                  7361,,                 10437,,                              0.09,,                     61,                     46,                              0,                  3093,                    -17,,,,,,,,,
1721,2013年01月01日至2013年03月31日,,                403649,,                368021,                 35628,                 35628,,,                 14751,,                 17051,,                  7968,                 39770,                 -4142,,,                  2525,,,                  9964,                     47,,,,,,                  9981,,                  3891,                  3891,                  8615,                  4473,,                              0,                  4473,                  4473,,,,,,,,,                  1911,                  6384,,                  4473,,                  6384,,                              0.05,                  2525,                     64,                              0,,                  1738,                    173,,,,,,,,,
1721,2012年07月01日至2012年09月30日,,                413866,,                379849,                 34017,                 34017,,,                 13207,,                  8897,,                  5000,                 27104,                  6913,,,                    360,,,                              0,                              0,,,,,,                 -4175,,                  3254,                  3254,                 -7060,                   -147,,                    172,                   -319,                   -319,,,,,,,,,                   -356,                   -675,,                   -319,,                   -675,,                              0.00,,                     31,,                  4206,                 -1455,                  1099,,,                      9,                      9,,,,,
1721,2012年04月01日至2012年06月30日,,                387313,,                357303,                 30010,                 30010,,,                 16116,,                 12525,,                  5269,                 33910,                 -3900,,,                  3708,,,                    834,                    110,                              0,,,,,                    869,,                  4815,                  4815,                   -206,                 -4106,,                              0,                 -4106,                 -4106,,,,,,,,,                    604,                 -3502,,                 -4106,,                 -3502,,                             -0.06,,                    145,,                              0,                    521,                     83,,,                     32,                     32,,                              0,,                              0,
1721,2012年01月01日至2012年12月31日,,              1563915,,              1442006,                121909,                121909,,,                 54276,,                 48337,,                 21916,                124529,                 -2620,,,                  5305,,                     69,                              0,                    720,,,,,                              0,                  9463,,                 15731,                 15731,                 -1034,                 -3654,,                    -63,                 -3591,                 -3591,,,,,,,,,                 -8232,                -11823,,                 -3591,,                -11823,,                             -0.04,,                 20352,,                 10238,                 -2865,                  1387,                 -6754,,                    -71,                    -71,,,,,
1721,2012年01月01日至2012年09月30日,,              1149156,,              1058203,                 90953,                 90953,,,                 42049,,                 35469,,                 15598,                 93116,                 -2163,,,                  4663,,,                              0,                    302,,,,,,                 11499,,                 11896,                 11896,                  4279,                  2116,,                    172,                  1944,                  1944,,,,,,,,,                   -577,                  1367,,                  1944,,                  1367,,                              0.03,,                 20612,,                  8811,                 -2840,                  2263,,,                     13,                     13,,,,,
1721,2012年01月01日至2012年06月30日,,                735290,,                678354,                 56936,                 56936,,,                 28842,,                 26572,,                 10598,                 66012,                 -9076,,,                  4911,,,                              0,                    910,                              0,,,,,                 15066,,                  8642,                  8642,                 11339,                  2263,,                              0,                  2263,                  2263,,,,,,,,,                   -221,                  2042,,                  2263,,                  2042,,                              0.03,,                 20581,,                  4605,                 -1385,                  1164,,,                      4,                      4,,                              0,,                              0,
1721,2012年01月01日至2012年03月31日,,                347977,,                321051,                 26926,                 26926,,,                 12726,,                 14047,,                  5329,                 32102,                 -5176,,,                  1203,,,                              0,                    800,,,,,,                 14197,,                  3827,                  3827,                 11545,                  6369,,                              0,                  6369,                  6369,,,,,,,,,                   -825,                  5544,,                  6369,,                  5544,,                              0.09,                  1203,                 20436,,                  5439,                 -1906,                  1081,,,,                    -28,,                              0,,                              0,                     28
