證券代號,年季,　 收入,　　 利息收入,　　 保費收入,　　 再保佣金收入,　　 手續費收入,　　 採用權益法認列之關聯企業及合資利益之份額,　　 分離帳戶保險商品收益,　　 透過損益按公允價值衡量之金融資產及負債利益,　　 備供出售金融資產已實現利益,　　 以成本衡量之金融資產及負債利益,　　 無活絡市場之債務工具投資利益,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　 投資性不動產利益,　　 外匯價格變動準備淨變動,　　 兌換利益,　　 其他收入,　　 收入合計,　 支出,　　 利息費用,　　 承保費用,　　 佣金費用,　　 保險賠款與給付,　　 其他保險負債淨變動,　　 分離帳戶保險商品費用,　　 銷貨成本,　　 租賃成本,　　 營業費用,　　　 推銷費用,　　　 管理及總務費用,　　　 研究發展費用,　　　 營業費用合計,　　 減損損失,　　 其他支出,　　 支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價利益（損失）,　　　 後續可能重分類至損益之項目,　　 其他綜合損益淨額,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制股權,　 綜合損益總額歸屬,　　 母公司業主[duplicate]52,　　 非控制股權[duplicate]53,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 無活絡市場之債券投資利益,　　 處分投資利益,　　 減損迴轉利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價利益（損失）,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 母公司業主[duplicate]54,　　 非控制股權[duplicate]55,　　 母公司業主[duplicate]53,　　 非控制股權[duplicate]54,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額,　　 持有至到期日金融資產已實現利益,　　 保險負債淨變動,　　 母公司業主[duplicate]56,　　 非控制股權[duplicate]57,　　 母公司業主[duplicate]55,　　 非控制股權[duplicate]56
2514,2014年01月01日至2014年03月31日,,              3225695,             16594365,                457880,                 28523,                 -4218,              1514398,             -2214755,                689245,                   -286,                138947,,                    604,                 15394,                 90409,                -83706,              2085685,                499514,             23037694,,                 32573,                    647,                732398,              4751550,             13872384,              1514398,                  1695,                 13198,,                716807,                222146,                  2054,                941007,                 54379,                557234,             22471463,                566231,                 81053,                485178,                485178,,,                 -5300,                780628,                775328,                775328,              1260506,,                185226,                299952,,                506588,                753918,,                              0.36,,                              0.00,,,,,,,,,,,,,,,,,,
2514,2013年第3季,,              3026394,             12992441,                482022,                 29355,                -11578,              1566172,              1671619,              1379064,                 -1304,,,                  1474,                 13884,                 49949,                  7182,             -1804943,                763647,             20200140,,                 41735,                    815,                645438,              4069643,             11199286,              1566172,                  4267,                 13500,,                740029,                265499,                  6094,              1011622,                 16504,                830076,             19399058,                801082,                127318,                673764,                673764,,,,,,             -1075907,               -402143,,                252231,                421533,,,,,                              0.49,,                              0.49,                 30772,                  3990,                              0,                -14507,             -1061400,,                              0,,,               -153905,               -248238,,,,,,,
2514,2013年第2季,,              2938226,             11137963,                469805,                 44425,                -22872,               -157709,             -1267611,                184964,                 13329,,,                  3682,                 16969,                 32061,                 60953,                987307,                669889,             15543857,,                 41578,                  1136,                499414,              4805377,              8992155,               -157709,                  7219,                 18246,,                612678,                 86418,                  6522,                705618,                  1658,                797932,             15712624,               -168767,                296566,               -465333,               -465333,,,,,,             -3221529,             -3686862,,               -241891,               -223442,,             -1469352,             -2217510,,                             -0.47,,                             -0.47,                418976,,                 13500,                 19846,             -3241375,,                              0,,,,,,,,,,,
2514,2013年度,,             11810315,             51858685,              1963396,                161931,                -60501,              4966773,             -3406373,              3327451,                 25597,,,                 21530,                 59573,                166587,                  6457,              3223552,              2891785,             77329169,,                174618,                  3582,              2615024,             17942690,             43057813,              4966773,                 32162,                 59960,,              2845392,                920347,                 27683,              3793422,                540701,              3203382,             76390127,                939042,                388918,                550124,                550124,,,,,,             -5495759,             -4945635,,                258340,                291784,,,,,                              0.50,,                              0.50,                294921,                  3990,                 13500,                 64824,             -5592632,                 32049,                              0,             -1781601,             -3164034,,,,,,,,,
2514,2013年07月01日至2013年09月30日,,              3026317,             12992441,                482022,                 29355,                -11578,              1566172,              1671619,              1379064,                 -1304,,,                  1474,                 13884,                 49949,                  7182,             -1771403,                692385,             20162341,,                 41735,                    815,                645438,              4069643,,              1566172,                  4267,                 13500,,                740029,                265499,                  6094,              1011622,                 16504,                792277,             19361259,                801082,                127318,                673764,                673764,,,,,,             -1069818,               -396054,,                252231,                421533,,,,,                              0.49,,                              0.49,                 30772,                  3990,                              0,                -14507,             -1061400,,                              0,,,,,                  6089,                              0,             11199286,,,               -153905,               -242149
2514,2013年04月01日至2013年06月30日,,              2938214,             11137963,                469805,                 44425,                -22872,               -157709,             -1267611,                184964,                 13329,,,                  3682,                 16969,                 32061,                 60953,                937209,                660174,             15484032,,                 41578,                  1136,                499414,              4805377,,               -157709,                  7219,                 18246,,                612678,                 86418,                  6522,                705618,                  1658,                738107,             15652799,               -168767,                296566,               -465333,               -465333,,,,,,             -3212443,             -3677776,,               -241891,               -223442,,,,,                             -0.47,,                              0.00,                418976,,                 13500,                 19846,             -3241375,,                              0,             -1469352,             -2208424,,,                  9086,                              0,              8992155,,,,
2514,2013年01月01日至2013年12月31日,,             11810315,             51858685,              1963396,                161931,                -60501,              4966773,             -3406373,              3327451,                 25597,,,                 21530,                 59573,                166587,                  6457,              3191802,              2744539,             77150173,,                174618,                  3582,              2615024,             17942690,,              4966773,                 32162,                 59960,,              2845392,                920347,                 27683,              3793422,                540701,              3024386,             76211131,                939042,                388918,                550124,                550124,,,,,,             -4841503,             -4291379,,                258340,                291784,,,,,                              0.50,,                              0.50,                294921,                  3990,                 13500,                 64824,             -5592632,                 32049,                              0,,,,,                654256,                              0,             43057813,             -1781601,             -2509778,,
2514,2013年01月01日至2013年09月30日,,              8699110,             35234475,              1406283,                107953,                -34769,              3856480,             -1941425,              2486870,                 12025,,,                  6242,                 46013,                127567,                -23225,              1964762,              2230570,             54406449,,                128731,                  2694,              1786559,             12170111,             29658822,              3856480,                 15822,                 45175,,              2029651,                566992,                 16320,              2612963,                 35662,              2459935,             52772954,              1633495,                580083,              1053412,              1053412,,,,,,             -5811427,             -4758015,,                443481,                609931,,,,,                              0.85,,                              0.85,                210028,                  3990,                 13500,                 41700,             -5853127,,                              0,,,             -1804475,             -2953540,,,,,,,
2514,2013年01月01日至2013年06月30日,,              5672716,             22242034,                924261,                 78598,                -23191,              2290308,             -3613044,              1107806,                 13329,,,                  4768,                 32129,                 77618,                -30407,              3769705,              1466923,             34206309,,                 86996,                  1879,              1141121,              8100468,             18459536,              2290308,                 11555,                 31675,,              1289622,                301493,                 10226,              1601341,                 19158,              1629859,             33373896,                832413,                452765,                379648,                379648,,,,,,             -4735520,             -4355872,,                191250,                188398,,             -1650570,             -2705302,,                              0.37,,                              0.37,                179256,,                 13500,                 56207,             -4791727,,                              0,,,,,,,,,,,
2514,2013年01月01日至2013年03月31日,,              2734491,             11104071,                454456,                 34173,                   -319,              2448017,             -2345433,                922842,                              0,,,                  1086,                 15160,                 45557,                -91360,              2782398,                797033,             18662452,,                 45418,                    743,                641707,              3295091,              9467381,              2448017,                  4336,                 13429,,                676944,                215075,                  3704,                895723,                 17500,                831927,             17661272,              1001180,                156199,                844981,                844981,,,,,,             -1277565,               -432584,,                433141,                411840,,               -181218,               -251366,,                              0.83,,                              0.83,               -239720,,,                 36361,             -1550352,,                              0,,,,,                236426,,,,,,
2514,2012年07月01日至2012年09月30日,,              2789366,             16550239,                199242,                 28879,                -44267,              1988003,              2123625,                924013,                              0,,,                  2859,                 15737,                 31286,                -81545,             -2024370,                735808,             23418981,,                 54089,                  1342,                825297,              5075625,,              1988003,                  3746,                 16150,,                829080,                254266,                  8643,              1091989,                 52455,                818115,             22753368,                665613,                159546,                506067,                506067,,,,,,              1966599,              2472666,,                181191,                324876,,,,,                              0.37,,                              0.36,                 80608,                              0,                              0,                -26390,              1992989,,                              0,,,,,                              0,                 99498,             12826557,,,                943395,              1529271
2514,2012年04月01日至2012年06月30日,,              2637776,             20344896,                412223,                 41800,                -31196,               -373828,             -1484016,                812814,                 44802,,,                    235,                 17777,                  6239,                 19428,              1242847,                565643,             24461502,,                 45475,                  1262,                920280,              5595932,,               -373828,                  2503,                 18969,,                848837,                197076,                  9202,              1055115,                 12120,                652528,             24612915,               -151413,                -31262,               -120151,               -120151,,,,,,             -1029703,             -1149854,,                  1823,               -121974,,,,,                              0.00,,                              0.00,                  2632,,                 35727,                 -1679,             -1183682,,                              0,               -440665,               -709189,,,                155658,                165703,             16682559,,,,
2514,2012年01月01日至2012年12月31日,,             10458231,             65360597,              1574826,                157406,               -121077,              4602087,              3781511,              4196013,                 55964,,,                  7310,                 64770,                173189,                -78759,             -3777938,              2824285,             90220289,,                204833,                  4500,              3173417,             20578225,,              4602086,                 11298,                 64959,,              3208713,              1119906,                 33466,              4362085,                192205,              3126020,             88022364,              2197925,                368654,              1829271,              1829271,,,,,,              5562507,              7391778,,                617762,              1211509,,,,,                              1.27,,                              1.24,                487692,                              0,                 35727,                -17114,              5501864,                -26526,                              0,,,,,                104283,                418455,             51702736,              2740585,              4651193,,
2514,2012年01月01日至2012年09月30日,,              7726872,             52620386,              1051813,                110221,                -92180,              3787284,              3010519,              2090620,                 44802,,,                  4532,                 49079,                 45626,                -56702,             -3083323,              1699063,             69950486,,                146626,                  3650,              2513096,             15117614,,              3787284,                  7816,                 50515,,              2382178,                645738,                 21172,              3049088,                108460,              1928563,             68811416,              1139070,                251163,                887907,                887907,,,,,,              2921331,              3809238,,                303553,                584354,,,,,                              0.64,,                              0.62,                487692,                              0,                 35727,                -21508,              2802840,,                              0,,,,,                139999,                418455,             42098704,,,              1401124,              2408114
2514,2012年01月01日至2012年06月30日,,              4937506,             36070147,                852571,                 81342,                -47913,              1799281,                886894,              1166607,                 44802,,,                  1673,                 33342,                 14340,                 24843,             -1058953,                963255,             46531505,,                 92537,                  2308,              1687799,             10041989,,              1799281,                  4070,                 34365,,              1553098,                391472,                 12529,              1957099,                 56005,              1110448,             46058048,                473457,                 91617,                381840,                381840,,,,,,                954732,              1336572,,                122362,                259478,,,,,                              0.26,,                              0.26,                407084,,                 35727,                  4882,                809851,,                              0,                457729,                878843,,,                139999,                318957,             29272147,,,,
2514,2012年01月01日至2012年03月31日,,              2299730,             15725251,                440348,                 39542,                -16717,              2173109,              2370910,                353793,,,,                  1438,                 15565,                  8101,                  5415,             -2301800,                397612,             22026118,,                 47062,                  1046,                767519,              4446057,,              2173109,                  1567,                 15396,,                704261,                194396,                  3327,                901984,,                457920,             21401248,                624870,                122879,                501991,                501991,,,,,,              1984435,              2486426,,                120539,                381452,,                898394,              1588032,,                              0.26,,                              0.00,                404452,,                -43885,                  6561,              1993533,,                              0,,,,,                -15659,                153254,             12589588,,,,
