證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 管理費用,　　　 管理費用合計,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 處分不動產、廠房及設備利益,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 遞延所得稅費用（利益）,　　　　 銷貨收入,　　　 銷貨成本,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額
2367,2014年01月01日至2014年03月31日,,,,              2716213,                    434,                 19245,              2696534,              2696534,,,              2467694,              2467694,                228840,                228840,,,                334701,,                 10628,                345329,               -116489,,,                 55072,,                 38778,,                 30866,,                 -6153,                 56831,                -59658,,                   -334,                -59324,                -59324,,,                 26776,                  5359,,                 32135,                 32135,                -27189,,                -57400,                 -1924,,                -26570,                   -619,,                             -0.10,,                             -0.10,,,,,,,,,,,,,,,,,,,,,,,,
2367,2013年第3季,,,,              3731013,                 22642,                 16225,              3692146,              3692146,,,              3273653,              3273653,                418493,                418493,,,                361795,,                  7671,                369466,                 49027,,,                 93033,,                -43491,,                 31472,,                 -1011,                 17059,                 66086,,                   -290,                 66376,                 66376,,,,,,,                -20323,                 46053,,                 63141,                  3235,,                 43431,                  2622,,                              0.11,,                              0.11,                -21632,                  1309,,                              0,,,,,,,,,,,,,,,,,,,,
2367,2013年第2季,,,,              3427750,                  3220,                 21885,              3402645,              3402645,,,              2922050,              2922050,                480595,                480595,,,                349479,,                 10111,                359590,                121005,,,                105172,,                 -6334,,                 28401,,                  4136,                 74573,                195578,,                   -694,                196272,                196272,,,,,,,                 20889,                217161,,                183913,                 12359,,                204121,                 13040,,                              0.32,,                              0.32,                 27876,                 -6987,,                              0,,,,,,,,,,,,,,,,,,,,
2367,2013年度,,,,             13392659,                 38608,                 76150,             13277901,             13277901,,,             11904566,             11904566,              1373335,              1373335,,,              1369328,,                 44646,              1413974,                -40639,,,                437598,,                  1409,,                119703,,                  7357,                326661,                286022,,                 26875,                259147,                259147,,,,,,,                 85611,                344758,,                248671,                 10476,,                333342,                 11416,,                              0.44,,                              0.44,                108863,                 -1879,                -21373,,,,,,,,,,,,,,,,,,,,,
2367,2013年07月01日至2013年09月30日,,,,              3731013,                 22642,                 16225,              3692146,              3692146,,,              3273653,              3273653,                418493,                418493,,,,,                  7671,                369466,                 49027,,,                 90216,,                -40674,,                 31472,,                 -1011,                 17059,                 66086,,                   -290,                 66376,                 66376,,,,,,,                -20323,                 46053,,                 63141,                  3235,,                 43431,                  2622,,                              0.11,,                              0.11,                -21632,                  1309,,,,                361795,,                  1322,                 88894,                              0,                              0,                    492,                  3299,                    841,                    527,                 36499,,,,,,,,
2367,2013年04月01日至2013年06月30日,,,,              3427750,                  3220,                 21885,              3402645,              3402645,,,              2922050,              2922050,                480595,                480595,,,,,                 10111,                359590,                121005,,,                105172,,                 -6334,,                 28401,,                  4136,                 74573,                195578,,                   -694,                196272,                196272,,,,,,,                 20889,                217161,,                183913,                 12359,,                204121,                 13040,,                              0.32,,                              0.32,                 27876,                 -6987,,,,                349479,,                  1771,                103401,                     26,                  4874,                              0,                  8613,                  1994,,,                              0,                    627,                   -694,,,,,
2367,2013年01月01日至2013年12月31日,,,,             13392659,                 38608,                 76150,             13277901,             13277901,,,             11904566,             11904566,              1373335,              1373335,,,              1369328,,                 44646,              1413974,                -40639,,,                433307,,                  5700,,                119703,,                  7357,                326661,                286022,,                 26875,                259147,                259147,,,,,,,                 85611,                344758,,                248671,                 10476,,                333342,                 11416,,                              0.44,,                              0.44,                108863,                 -1879,                -21373,,,,,,,,,,,,,,,,,,,,,
2367,2013年01月01日至2013年09月30日,,,,             10160448,                 28370,                 52848,             10079230,             10079230,,,              8986556,              8986556,              1092674,              1092674,,,              1030940,,                 29625,              1060565,                 32109,,,                322768,,                -19924,,                 88141,,                 16668,                231371,                263480,,                    147,                263333,                263333,,,,,,,                 65975,                329308,,                246606,                 16727,,                310800,                 18508,,                              0.43,,                              0.43,                 75533,                 -9558,,                              0,,,,,,,,,,,,,,,,,,,,
2367,2013年01月01日至2013年06月30日,,,,              6429435,                  5728,                 36623,              6387084,              6387084,,,              5712903,              5712903,                674181,                674181,,,                669145,,                 21954,                691099,                -16918,,,                229735,,                 23567,,                 56669,,                 17679,                214312,                197394,,                    437,                196957,                196957,,,,,,,                 86298,                283255,,                183465,                 13492,,                267369,                 15886,,                              0.32,,                              0.32,                 97165,                -10867,,                              0,,,,,,,,,,,,,,,,,,,,
2367,2013年01月01日至2013年03月31日,,,,              3001685,                  2508,                 14738,              2984439,              2984439,,,              2790853,              2790853,                193586,                193586,,,                319666,,                 11843,                331509,               -137923,,,                124563,,                 29901,,                 28268,,                 13543,                139739,                  1816,,                  1131,                    685,                    685,,,,,,,                 65409,                 66094,,                   -448,                  1133,,                 63249,                  2845,,                              0.00,,                              0.00,                 69289,                 -3880,,,,,,,,,,,,,,,,,,,,,,
2367,2012年07月01日至2012年09月30日,,,,              2755453,                 10741,                 14571,              2730141,              2730141,,,              2503112,              2503112,                227029,                227029,,,,,                 10690,                358468,               -131439,,,                104354,,                -71299,,                 18472,,                  2162,                 16745,               -114694,,                 -2344,               -112350,               -112350,,,,,,,                   -243,               -112593,,               -101514,                -10836,,               -100801,                -11792,,                             -0.18,,                             -0.18,                -14933,                 14690,,,,                347778,,                    217,                104137,                 10722,                              0,                  1072,                 19869,                    449,                              0,                 62775,,,,,,,,
2367,2012年04月01日至2012年06月30日,,,,              2982084,                  3939,                 13040,              2965105,              2965105,,,              2717755,              2717755,                247350,                247350,,,,,                  6641,                338179,                -90829,,,                 96461,,                -55177,,                 35320,,                158784,                164748,                 73919,,                   -962,                 74881,                 74881,,,,,,,                -86599,                -11718,,                 87797,                -12916,,                    677,                -12395,,                              0.15,,                              0.15,                 -2316,                -84283,,,,                331538,,                  1036,                 95425,                  3713,                 19508,                              0,                 77487,                     11,,,                              0,                    900,                   -962,,,,,
2367,2012年01月01日至2012年12月31日,,,,             12072333,                 21528,                148123,             11902682,             11902682,,,             10998033,             10998033,                904649,                904649,,,              1360511,,                 44067,              1404578,               -499929,,,                317940,,               -263638,,                109869,,                 -1140,                -56707,               -556636,,                -16938,               -539698,               -539698,,,,,,,                -60646,               -600344,,               -475315,                -64383,,               -535873,                -64471,,                             -0.82,,                             -0.82,                -63365,                  7611,                 -4892,,,,,,,,,,,,,,,,,,,,,
2367,2012年01月01日至2012年09月30日,,,,              8578778,                 18753,                 44257,              8515768,              8515768,,,              7872376,              7872376,                643392,                643392,,,,,                 26001,              1021573,               -378181,,,                277920,,               -140445,,                 74150,,                 35739,                 99064,               -279117,,                 -1135,               -277982,               -277982,,,,,,,                -55230,               -333212,,               -241792,                -36190,,               -294511,                -38701,,                             -0.42,,                             -0.42,                -72466,                 17236,,,,                995572,,                  8064,                269856,                 15421,                              0,                  1288,                100543,                    206,                              0,                 56405,,,,,,,,
2367,2012年01月01日至2012年06月30日,,,,              5823325,                  8012,                 29686,              5785627,              5785627,,,              5369264,              5369264,                416363,                416363,,,,,                 15311,                663105,               -246742,,,                173566,,                -69146,,                 55678,,                 33577,                 82319,               -164423,,                  1209,               -165632,               -165632,,,,,,,                -54987,               -220619,,               -140278,                -25354,,               -193710,                -26909,,                             -0.24,,                             -0.24,                -57533,                  2546,,,,                647794,,                  7847,                165719,                  4700,                  6370,                    216,                 80675,                              0,,,                    243,                              0,                  1209,,,,,
2367,2012年01月01日至2012年03月31日,,,,              2841241,                  4073,                 16646,              2820522,              2820522,,,              2651509,              2651509,                169013,                169013,,,,,                  8670,                324926,               -155913,,,                 77105,,                -13969,,                 20358,,               -125207,                -82429,               -238342,,                  2171,               -240513,               -240513,,,,,,,                 31611,               -208902,,               -228075,                -12438,,               -194385,                -14517,,                             -0.39,,                             -0.39,                -55217,                 86828,,,,                316256,,                  6811,                 70294,                    986,                              0,                  1116,                  4042,                              0,,                 13138,                  1109,                              0,,              2841241,              2651509,                 20358,                              0,                125207
