證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 重估增值,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　　 銷貨收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 採用權益法認列之關聯企業及合資利益之份額
6131,2014年01月01日至2014年03月31日,,,,                142515,                  2973,                    672,                138870,                138870,,                112352,                 26518,                 26518,,,                 18833,,                 22482,,                 19823,                 61138,                -34620,,,                  1453,,                  3336,,                      1,,                 -5288,                   -500,                -35120,,                              0,                -35120,                -35120,,,,,,,                   -615,                              0,                   -615,                   -615,                -35735,,                -35120,,                -35735,,                             -0.36,,,,,,,,,,,,,
6131,2013年第3季,,,,                232861,                  2706,                    946,                229209,                229209,,                188201,                 41008,                 41008,,,                 22807,,                 22272,,                 26934,                 72013,                -31005,,,                 10705,,                 -3247,,                              0,,                 -2047,                  5411,                -25594,,                    221,                -25815,                -25815,,,,,,,,,,                   -379,                -26194,,                -25815,,                -26194,,                             -0.26,                   -379,,,,,,,,,,,,
6131,2013年第2季,,,,                223496,                  3088,                    177,                220231,                220231,,                176725,                 43506,                 43506,,,                 23474,,                 27931,,                 24106,                 75511,                -32005,,,                  2231,,                  1952,,                              0,,                   -160,                  4023,                -27982,,                     68,                -28050,                -28050,,,,,,,,,,                  1781,                -26269,,                -28050,,                -26269,,                             -0.28,                  1781,,,,,,,,,,,,
6131,2013年度,,,,                883366,                 13222,                  2757,                867387,                867387,,                721842,                145545,                145545,,,                 97060,,                 87465,,                105011,                289536,               -143991,,,                 10100,,                  2448,,                      1,,                  1531,                 14078,               -129913,,                 25147,               -155060,               -155060,,,,,,,,,,                   -880,               -155940,,               -155060,,               -155940,,                             -1.57,                 -2845,                              0,                  1694,                   -271,,,,,,,,,
6131,2013年07月01日至2013年09月30日,,,,                232861,                  2706,                    946,                229209,                229209,,                188201,                 41008,                 41008,,,                 22807,,                 22272,,                 26934,                 72013,                -31005,,,                    908,,                  6550,,                              0,,                 -2047,                  5411,                -25594,,                    221,                -25815,                -25815,,,,,,,,,,                   -379,                -26194,,                -25815,,                -26194,,                             -0.26,                   -379,,,,                232861,,                    908,,,,,,
6131,2013年04月01日至2013年06月30日,,,,                223496,                  3088,                    177,                220231,                220231,,                176725,                 43506,                 43506,,,                 23474,,                 27931,,                 24106,                 75511,                -32005,,,                  1091,,                  3092,,                              0,,                   -160,                  4023,                -27982,,                     68,                -28050,                -28050,,,,,,,,,,                  1781,                -26269,,                -28050,,                -26269,,                             -0.28,                  1781,,,,                223496,,                  1091,,,,,,
6131,2013年01月01日至2013年12月31日,,,,                883366,                 13222,                  2757,                867387,                867387,,                721842,                145545,                145545,,,                 97060,,                 87465,,                105011,                289536,               -143991,,,                 10100,,                  2448,,                      1,,                  1531,                 14078,               -129913,,                 25147,               -155060,               -155060,,,,,,,,,,                   -880,               -155940,,               -155060,,               -155940,,                             -1.57,                 -2845,,                  1694,                   -271,                883366,,,,,,,,
6131,2013年01月01日至2013年09月30日,,,,                724752,                  8186,                  2375,                714191,                714191,,                580549,                133642,                133642,,,                 62531,,                 71002,,                 75559,                209092,                -75450,,,                 15563,,                  5493,,                              0,,                  1653,                 22709,                -52741,,                    437,                -53178,                -53178,,,,,,,,,,                    302,                -52876,,                -53178,,                -52876,,                             -0.53,                    302,,,,,,,,,,,,
6131,2013年01月01日至2013年06月30日,,,,                491891,                  5480,                  1429,                484982,                484982,,                392348,                 92634,                 92634,,,                 39724,,                 48730,,                 48625,                137079,                -44445,,,                  4858,,                  8740,,                              0,,                  3700,                 17298,                -27147,,                    216,                -27363,                -27363,,,,,,,,,,                    681,                -26682,,                -27363,,                -26682,,                             -0.27,                    681,,,,,,,,,,,,
6131,2013年01月01日至2013年03月31日,,,,                268395,                  2392,                  1252,                264751,                264751,,                215623,                 49128,                 49128,,,                 16250,,                 20799,,                 24519,                 61568,                -12440,,,                  2627,,                  6788,,                              0,,                  3860,                 13275,                    835,,                    148,                    687,                    687,,,,,,,,,,                 -1100,                   -413,,                    687,,                   -413,,                              0.01,                 -1100,,,,,,,,,,,,
6131,2012年07月01日至2012年09月30日,,,,                313676,                  7436,                    602,                305638,                305638,,                252063,                 53575,                 53575,,,                 23609,,                 22350,,                 27667,                 73626,                -20051,,,                  1009,,                 -3236,,                     65,,                   -271,                 -2563,                -22614,,                  4935,                -27549,                -27549,,,,,,,,,,                    366,                -27183,,                -27549,,                -27183,,                             -0.28,                    366,,,,                313676,,                  1009,,,,,,
6131,2012年04月01日至2012年06月30日,,,,                348592,                  6771,                    456,                341365,                341365,,                272974,                 68391,                 68391,,,                 23807,,                 28984,,                 25160,                 77951,                 -9560,,,                  1057,,                  3597,,                    100,,                  1537,                  6091,                 -3469,,                 -1648,                 -1821,                 -1821,,,,,,,,,,                  1665,                   -156,,                 -1821,,                   -156,,                             -0.02,                  1665,,,,                348592,,                  1057,,,,,,
6131,2012年01月01日至2012年12月31日,,,,              1230679,                 26853,                  4029,              1199797,              1199797,,                982106,                217691,                217691,,,                 85356,,                102755,,                101403,                289514,                -71823,,,                 12363,,                 -6431,,                      4,,                 -7253,                 -1325,                -73148,,                -16313,                -56835,                -56835,,,,,,,,,,                  4031,                -52804,,                -56835,,                -52804,,                             -0.57,                  3477,,                  1380,                    826,              1230679,,,,,,,,
6131,2012年01月01日至2012年09月30日,,,,                966224,                 22828,                  1660,                941736,                941736,,                767754,                173982,                173982,,,                 63543,,                 77550,,                 76777,                217870,                -43888,,,                  3032,,                  2401,,                    165,,                  1333,                  6601,                -37287,,                  1937,                -39224,                -39224,,,,,,,,,,                  2411,                -36813,,                -39224,,                -36813,,                             -0.39,                  2411,,,,                966224,,                  3032,,,,,,
6131,2012年01月01日至2012年06月30日,,,,                652548,                 15392,                  1058,                636098,                636098,,                515691,                120407,                120407,,,                 39934,,                 55200,,                 49110,                144244,                -23837,,,                  2023,,                  5637,,                    100,,                  1604,                  9164,                -14673,,                 -2998,                -11675,                -11675,,,,,,,,,,                  2045,                 -9630,,                -11675,,                 -9630,,                             -0.12,                  2045,,,,                652548,,                  2023,,,,,,
6131,2012年01月01日至2012年03月31日,,,,                303956,                  8621,                    602,                294733,                294733,,                242717,                 52016,                 52016,,,                 16127,,                 26216,,                 23950,                 66293,                -14277,,,                  3974,,                   -968,,,,                     67,                  3073,                -11204,,                 -1350,                 -9854,                 -9854,,,,,,,,,,                    380,                 -9474,,                 -9854,,                 -9474,,                             -0.10,                    380,,,,,,                    966,                  3008,                              0,                  4573,                    164,                  5377,                     67
