證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3573,2014年01月01日至2014年03月31日,,              1106274,,                959192,                147082,                147082,,,                 37960,,                 35731,,                 82285,                155976,                 -8894,,,                  3677,,                 13092,,                  2935,,                   -823,                 13011,                  4117,,                    505,                  3612,                  3612,,,                   -644,,                              0,                   -109,                   -535,                   -535,                  3077,,                  3612,,                  3077,,                              0.02,,                              0.02,,,,,
3573,2013年第3季,,              1280059,,              1120162,                159897,                159897,,,                 43394,,                 29062,,                 71489,                143945,                 15952,,,                  3124,,                 -9113,,                  2913,,                   -182,                 -9084,                  6868,,                     12,                  6856,                  6856,,,,,,,,                   -758,                  6098,,                  6856,,                  6098,,                              0.05,,                              0.05,                   -913,,,                              0,                   -155
3573,2013年第2季,,              1047237,,                987428,                 59809,                 59809,,,                 44340,,                 27629,,                 72506,                144475,                -84666,,,                  3728,,                 14835,,                  3611,,                    -61,                 14891,                -69775,,                     15,                -69790,                -69790,,,,,,,,                  1247,                -68543,,                -69790,,                -68543,,                             -0.48,,                             -0.48,                  1502,,,,                    255
3573,2013年度,,              4510380,,              4057403,                452977,                452977,,,                189722,,                119844,,                302286,                611852,               -158875,,,                 48008,,                 29773,,                 12382,,                 -1054,                 64345,                -94530,,                    600,                -95130,                -95130,,,,,,,,                  3593,                -91537,,                -95130,,                -91537,,                             -0.65,,                             -0.65,                  4221,                     82,,                              0,                    710
3573,2013年07月01日至2013年09月30日,,              1280059,,              1120162,                159897,                159897,,,                 43394,,                 29062,,                 71489,                143945,                 15952,,,                  3124,,                 -9113,,                  2913,,                   -182,                 -9084,                  6868,,                     12,                  6856,                  6856,,,,,,,,                   -758,                  6098,,                  6856,,                  6098,,                              0.05,,                              0.05,                   -913,,,,                   -155
3573,2013年04月01日至2013年06月30日,,              1047237,,                987428,                 59809,                 59809,,,                 44340,,                 27629,,                 72506,                144475,                -84666,,,                  3728,,                 14835,,                  3611,,                    -61,                 14891,                -69775,,                     15,                -69790,                -69790,,,,,,,,                  1247,                -68543,,                -69790,,                -68543,,                             -0.48,,                             -0.48,                  1502,,,,                    255
3573,2013年01月01日至2013年12月31日,,              4510380,,              4057403,                452977,                452977,,,                189722,,                119844,,                302286,                611852,               -158875,,,                 48008,,                 29773,,                 12382,,                 -1054,                 64345,                -94530,,                    600,                -95130,                -95130,,,,,,,,                  3593,                -91537,,                -95130,,                -91537,,                             -0.65,,                             -0.65,                  4221,                     82,,,                    710
3573,2013年01月01日至2013年09月30日,,              3278865,,              2984509,                294356,                294356,,,                128163,,                 86686,,                225873,                440722,               -146366,,,                 43632,,                 16891,,                  9786,,                   -939,                 49798,                -96568,,                    420,                -96988,                -96988,,,,,,,,                  2144,                -94844,,                -96988,,                -94844,,                             -0.66,,                             -0.66,                  2574,,,                              0,                    430
3573,2013年01月01日至2013年06月30日,,              1998806,,              1864347,                134459,                134459,,,                 84769,,                 57624,,                154384,                296777,               -162318,,,                 40508,,                 26004,,                  6873,,                   -757,                 58882,               -103436,,                    408,               -103844,               -103844,,,,,,,,                  2902,               -100942,,               -103844,,               -100942,,                             -0.71,,                             -0.71,                  3487,,,,                    585
3573,2013年01月01日至2013年03月31日,,                951569,,                876919,                 74650,                 74650,,,                 40383,,                 30041,,                 81878,                152302,                -77652,,,                 36780,,                 11169,,                  3262,,                   -696,                 43991,                -33661,,                    393,                -34054,                -34054,,,,,,,,                  1655,                -32399,,                -34054,,                -32399,,                             -0.23,,                             -0.23,                  1985,,,,                    330
3573,2012年07月01日至2012年09月30日,,              1228692,,              1116681,                112011,                112011,,,                 85700,,                 26727,,                 61147,                173574,                -61563,,,                 16221,,                 -9710,,                  2123,,                    432,                  4820,                -56743,,                     11,                -56754,                -56754,,,,,,,,                   -496,                -57250,,                -56754,,                -57250,,                             -0.39,,                             -0.39,                   -580,,,,                    -84
3573,2012年04月01日至2012年06月30日,,                931776,,                907563,                 24213,                 24213,,,                 49154,,                 26917,,                 66619,                142690,               -118477,,,                 16046,,                -35486,,                  1554,,                 -1405,                -22399,               -140876,,                     23,               -140899,               -140899,,,,,,,,                    173,               -140726,,               -140899,,               -140726,,                             -0.96,,                             -0.96,                    208,,,,                     35
3573,2012年01月01日至2012年12月31日,,              4023141,,              3952182,                 70959,                 70959,,,                240966,,                114037,,                266732,                621735,               -550776,,,                 59135,,                -67951,,                  6621,,                 -7999,                -23436,               -574212,,                    303,               -574515,               -574515,,,,,,,,                 -1568,               -576083,,               -574515,,               -576083,,                             -3.92,,                             -3.92,                   -669,                 -1005,,,                   -106
3573,2012年01月01日至2012年09月30日,,              3056107,,              2782442,                273665,                273665,,,                167828,,                 81934,,                201870,                451632,               -177967,,,                 47015,,                -53163,,                  5020,,                 -7022,                -18190,               -196157,,                    287,               -196444,               -196444,,,,,,,,                   -603,               -197047,,               -196444,,               -197047,,                             -1.34,,                             -1.34,                   -709,,,,                   -106
3573,2012年01月01日至2012年06月30日,,              1827415,,              1665761,                161654,                161654,,,                 82128,,                 55207,,                140723,                278058,               -116404,,,                 30794,,                -43453,,                  2897,,                 -7454,                -23010,               -139414,,                    276,               -139690,               -139690,,,,,,,,                   -107,               -139797,,               -139690,,               -139797,,                             -0.95,,                             -0.95,                   -129,,,,                    -22
3573,2012年01月01日至2012年03月31日,,                895639,,                758198,                137441,                137441,,,                 32974,,                 28290,,                 74104,                135368,                  2073,,,                 25384,,                -18603,,                  1343,,                 -6049,                   -611,                  1462,,                    253,                  1209,                  1209,,,,,,,,                   -280,                    929,,                  1209,,                    929,,                              0.01,,                              0.01,                   -337,,,,                    -57
