證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
3437,2014年01月01日至2014年03月31日,,              1676472,,              1359333,                317139,                317139,,,                 53770,,                 62359,,                 39739,                155868,                161271,,,                  4629,,                  1390,,                     40,                  5979,                167250,,                 25407,                141843,                141843,,,                   -239,                    594,                    355,                    355,                142198,,                141843,,                142198,,                              1.09,                              1.09,,                              1.05,                              1.05,,,,,,
3437,2013年第3季,,              1931911,,              1510718,                421193,                421193,,,                 48779,,                 43758,,                 36508,                129045,                292148,,,                  2902,,                 -1368,,                     24,                  1510,                293658,,                 46654,                247004,                247004,,,,,,                   -160,                246844,,                247004,,                246844,,                              1.90,                              1.90,,                              1.83,                              1.83,                   -160,                              0,,,,
3437,2013年第2季,,              1651944,,              1330785,                321159,                321159,,,                 34455,,                 44131,,                 46296,                124882,                196277,,,                 11898,,                  2089,,                    172,                 13815,                210092,,                  8270,                201822,                201822,,,,,,                    142,                201964,,                201822,,                201964,,                              1.55,                              1.55,,                              1.49,                              1.49,                    439,                   -297,,,,
3437,2013年度,,              6558767,,              5296044,              1262723,              1262723,,,                172637,,                193917,,                160545,                527099,                735624,,,                  7891,,                  9620,,                    246,                 17265,                752889,,                 65505,                687384,                687384,,,,,,                  3512,                690896,,                687384,,                690896,,                              5.29,                              5.29,,                              5.06,                              5.06,                  1793,                   -185,                  2294,                    390,,
3437,2013年01月01日至2013年12月31日,,              6558767,,              5296044,              1262723,              1262723,,,                172637,,                193917,,                160545,                527099,                735624,,,                  7891,,                  9620,,                    246,                 17265,                752889,,                 65505,                687384,                687384,,,,,,                  3512,                690896,,                687384,,                690896,,                              5.29,                              5.29,,                              5.06,                              5.06,                  1793,                   -185,                  2294,                    390,                              0,                              0
3437,2013年01月01日至2013年09月30日,,              4945323,,              3937440,              1007883,              1007883,,,                118841,,                126363,,                124248,                369452,                638431,,,                 15789,,                 13403,,                    230,                 28962,                667393,,                 87688,                579705,                579705,,,,,,                    894,                580599,,                579705,,                580599,,                              4.46,                              4.46,,                              4.26,                              4.26,                  1191,                   -297,,,,
3437,2013年01月01日至2013年06月30日,,              3013412,,              2426722,                586690,                586690,,,                 70062,,                 82605,,                 87740,                240407,                346283,,,                 12887,,                 14771,,                    206,                 27452,                373735,,                 41034,                332701,                332701,,,,,,                  1054,                333755,,                332701,,                333755,,                              2.56,                              2.56,,                              2.44,                              2.44,                  1351,                   -297,,,,
3437,2013年01月01日至2013年03月31日,,              1361468,,              1095937,                265531,                265531,,,                 35607,,                 38474,,                 41444,                115525,                150006,,,                    989,,                 12682,,                     34,                 13637,                163643,,                 32764,                130879,                130879,,,,,,                    912,                131791,,                130879,,                131791,,                              1.01,                              1.01,,                              0.97,                              0.97,                    912,                              0,,,,
3437,2012年01月01日至2012年12月31日,,              5209998,,              4309016,                900982,                900982,,,                105652,,                145968,,                139595,                391215,                509767,,,                 16398,,                -31939,,                  4794,                -20335,                489432,,                 38240,                451192,                451192,,,,,,                 -4588,                446604,,                450592,,                446004,,                              3.47,                              3.47,,                              3.39,                              3.39,                    -50,                    960,                 -6624,                 -1126,                    600,                    600
3437,2012年01月01日至2012年06月30日,,              2260498,,              1864624,                395874,                395874,,,                 39727,,                 63593,,                 60016,                163336,                232538,,,                  1828,,                -11326,,                  3420,                -12918,                219620,,                 14856,                204764,                204764,,,,,,                    910,                205674,,                204164,,                205074,,                              1.57,                              1.57,,                              1.57,                              1.57,                    -50,                    960,,,                    600,                    600
