證券代號,年季,　 營業收入,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2515,2014年01月01日至2014年03月31日,,,,,,,,              3043290,,,,,,              2820305,                222985,                222985,,,                 14662,,                160166,,                  5226,                180054,                 42931,,,                 49559,,                -14311,,                 20890,,                 -2971,                 11387,                 54318,,                 12605,                 41713,                 41713,,,                 12881,                -59993,,                 29476,                -17636,                -17636,                 24077,,                 37379,                  4334,,                 19704,                  4373,,                              0.02,                              0.02,,                              0.02,                              0.02,,                              0,,,,,,
2515,2013年第3季,,,,              2527134,              2527134,,                566117,              3093251,,,              2414425,              2414425,                434986,              2849411,                243840,                243840,,,                 14645,,                144912,,                  5650,                165207,                 78633,,,                 81530,,                    315,,                 23705,,                -30818,                 27322,                105955,,                 14175,                 91780,                 91780,,,,,,,,                -73703,                 18077,,                 84761,                  7019,,                 12724,                  5353,,                              0.06,                              0.06,,                              0.06,                              0.06,,,                -10178,                -45279,,,                -18246,
2515,2013年第2季,,,,              2033779,              2033779,,                606752,              2640531,,,              1915946,              1915946,                480158,              2396104,                244427,                244427,,,                 12837,,                164447,,                  6650,                183934,                 60493,,,                 50906,,                    879,,                 24563,,                -49929,                -22707,                 37786,,                 16875,                 20911,                 20911,,,,,,,,                -44194,                -23283,,                 15615,                  5296,,                -27670,                  4387,,                              0.01,                              0.01,,                              0.01,                              0.01,,,                 18128,                -83434,,,                 21112,
2515,2013年度,,,,             10399328,             10399328,,              3893663,             14292991,,,             10320980,             10320980,              3030905,             13351885,                941106,                941106,,,                 47186,,                613193,,                 28024,                688403,                252703,,,                243587,,                 10525,,                 96126,,               -137981,                 20005,                272708,,                 -2258,                274966,                274966,,,,,,,,               -116795,                158171,,                254939,                 20027,,                139473,                 18698,,                              0.17,                              0.17,,                              0.17,                              0.17,,,                 59812,               -211861,                 11183,,                 25972,                  1901
2515,2013年07月01日至2013年09月30日,,,,              2289854,              2289854,,                803397,              3093251,,,              2186056,              2186056,                663355,              2849411,                243840,                243840,,,                 14645,,                144912,,                  5650,                165207,                 78633,,,                 81530,,                    315,,                 23705,,                -30818,                 27322,                105955,,                 14175,                 91780,                 91780,,,,,,,,                -73703,                 18077,,                 84761,                  7019,,                 12724,                  5353,,                              0.06,                              0.06,,                              0.06,                              0.06,,,                -10178,                -45279,,,                -18246,
2515,2013年04月01日至2013年06月30日,,,,              2032175,              2032175,,                608356,              2640531,,,              1890230,              1890230,                505874,              2396104,                244427,                244427,,,                 12837,,                164447,,                  6650,                183934,                 60493,,,                 50906,,                    879,,                 24563,,                -49929,                -22707,                 37786,,                 16875,                 20911,                 20911,,,,,,,,                -44194,                -23283,,                 15615,                  5296,,                -27670,                  4387,,                              0.01,                              0.01,,                              0.01,                              0.01,,,                 18128,                -83434,,,                 21112,
2515,2013年01月01日至2013年12月31日,,,,             10399328,             10399328,,              3893663,             14292991,,,             10320980,             10320980,              3030905,             13351885,                941106,                941106,,,                 47186,,                613193,,                 28024,                688403,                252703,,,                243587,,                 10525,,                 96126,,               -137981,                 20005,                272708,,                 -2258,                274966,                274966,,,,,,,,               -116795,                158171,,                254939,                 20027,,                139473,                 18698,,                              0.17,                              0.17,,                              0.17,                              0.17,,,                 59812,               -211861,                 11183,,                 25972,                  1901
2515,2013年01月01日至2013年09月30日,,,,              7176165,              7176165,,              1917802,              9093967,,,              6875968,              6875968,              1531813,              8407781,                686186,                686186,,,                 46997,,                453317,,                 17541,                517855,                168331,,,                187169,,                -11303,,                 71803,,               -117093,                -13030,                155301,,                 35248,                120053,                120053,,,,,,,,                -75946,                 44107,,                103235,                 16818,,                 29701,                 14406,,                              0.07,                              0.07,,                              0.07,                              0.07,,,                 37493,               -156456,,,                 43017,
2515,2013年01月01日至2013年06月30日,,,,              4649031,              4649031,,              1351685,              6000716,,,              4461543,              4461543,              1096827,              5558370,                442346,                442346,,,                 32352,,                308405,,                 11891,                352648,                 89698,,,                105639,,                -11618,,                 48098,,                -86275,                -40352,                 49346,,                 21073,                 28273,                 28273,,,,,,,,                 -2243,                 26030,,                 18474,                  9799,,                 16977,                  9053,,                              0.01,                              0.01,,                              0.01,                              0.01,,,                 47671,               -111177,,,                 61263,
2515,2013年01月01日至2013年03月31日,,,,,,,,              3360185,,,,,,              3162266,                197919,                197919,,,                 19515,,                143958,,                  5241,                168714,                 29205,,,                 54733,,                -12484,,                 23535,,                -36359,                -17645,                 11560,,                  4198,                  7362,                  7362,,,,,,,,                 41951,                 49313,,                  2859,                  4503,,                 44647,                  4666,,                              0.00,                              0.00,,                              0.00,                              0.00,,                              0,                 29543,                -27743,,,                 40151,
2515,2012年07月01日至2012年09月30日,,,,              2671578,              2671578,,                618814,              3290392,,,              2542324,              2542324,                552471,              3094795,                195597,                195597,,,                  8942,,                157428,,                  3715,                170085,                 25512,,,                137008,,                 61862,,                 17273,,                -10876,                170721,                196233,,                 65660,                130573,                130573,,,,,,,,                -45290,                 85283,,                123691,                  6882,,                 78261,                  7022,,                              0.08,                              0.08,,                              0.08,                              0.08,,,                -63242,                 45322,,,                -27370,
2515,2012年04月01日至2012年06月30日,,,,              3052652,              3052652,,                586600,              3639252,,,              2905663,              2905663,                485233,              3390896,                248356,                248356,,,                 14854,,                144895,,                  5165,                164914,                 83442,,,                 49122,,                 13864,,                 27279,,                -43959,                 -8252,                 75190,,                -70385,                145575,                145575,,,,,,,,               -423548,               -277973,,                140972,                  4603,,               -279383,                  1410,,                              0.09,                              0.09,,                              0.09,                              0.09,,,                 76403,               -446694,,,                -53257,
2515,2012年01月01日至2012年12月31日,,,,             11138421,             11138421,,              2652764,             13791185,,,             10830356,             10830356,              2103576,             12933932,                857253,                857253,,,                 47483,,                679075,,                 36134,                762692,                 94561,,,                285890,,                180160,,                 88268,,                -77103,                300679,                395240,,                 16025,                379215,                379215,,,,,,,,               -451396,                -72181,,                349379,                 29836,,                -99245,                 27064,,                              0.23,                              0.23,,                              0.23,                              0.23,,,                -38582,               -300611,                -28944,,                -88179,                 -4920
2515,2012年01月01日至2012年09月30日,,,,              8619296,              8619296,,              1763442,             10382738,,,              8241184,              8241184,              1496509,              9737693,                645045,                645045,,,                 37174,,                445453,,                 11793,                494420,                150625,,,                235881,,                 61804,,                 64819,,                -63777,                169089,                319714,,                  6336,                313378,                313378,,,,,,,,               -255795,                 57583,,                297910,                 15468,,                 43100,                 14483,,                              0.20,                              0.20,,                              0.20,                              0.20,,,                -80548,               -124963,,,                -50284,
2515,2012年01月01日至2012年06月30日,,,,              5947718,              5947718,,              1144628,              7092346,,,              5698860,              5698860,                944038,              6642898,                449448,                449448,,,                 28232,,                288025,,                  8078,                324335,                125113,,,                 98873,,                    -58,,                 47546,,                -52901,                 -1632,                123481,,                -59324,                182805,                182805,,,,,,,,               -210505,                -27700,,                174219,                  8586,,                -35161,                  7461,,                              0.11,                              0.11,,                              0.11,                              0.11,,,                -17306,               -170285,,,                -22914,
2515,2012年01月01日至2012年03月31日,,,,,,,,              3453094,,,,,,              3252002,                201092,                201092,,,                 13378,,                143130,,                  2913,                159421,                 41671,,,                 49751,,                -13922,,                 20267,,                 -8942,                  6620,                 48291,,                 11061,                 37230,                 37230,,,,,,,,                183043,                220273,,                 33247,                  3983,,                214222,                  6051,,                              0.02,                              0.02,,                              0.02,                              0.02,,                              0,                -93709,                246409,,,                 30343,
