證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　　 銷貨收入,　　 其他綜合損益,　　 繼續營業單位淨利（淨損）
3579,2013年01月01日至2013年12月31日,,,,             13951131,                 58855,                  6646,             13885630,             13885630,,             15390879,             -1505249,             -1505249,,,                 71928,,                430925,,                115775,                618628,             -2123877,,,                 95103,,                -65235,,                282091,,                -32684,               -284907,             -2408784,,                 43052,             -2451836,             -2451836,,,,,,,,,,,,                148373,             -2303463,,               -644435,                 -3427,             -1803974,,               -600164,                 -3427,             -1699872,,                             -5.57,                132115,                  2638,                 22907,,                  9096,                 18383,,,
3579,2013年01月01日至2013年09月30日,,,,              9937875,                 38778,                  5317,              9893780,              9893780,,             11162888,             -1269108,             -1269108,,,                 52833,,                322583,,                 91200,                466616,             -1735724,,,                 42045,,                190237,,                213072,,                -21895,                 -2685,             -1738409,,                 22007,             -1760416,             -1760416,,,,,,,,,,,,                100450,             -1659966,,               -476553,                 -3427,             -1280436,,               -437376,                 -3427,             -1219163,,                             -4.12,                 88128,                 15449,,,                  4252,                  7379,              9937875,,
3579,2013年01月01日至2013年06月30日,,,,              6348470,                 19650,                  4761,              6324059,              6324059,,              7301125,               -977066,               -977066,,,                 33486,,                208570,,                 65816,                307872,             -1284938,,,                 29024,,                111057,,                139400,,                -23956,                -23275,             -1308213,,                -20729,             -1287484,             -1287484,,,,,,,,,,,,                140745,             -1146739,,               -332514,                 -3427,               -951543,,               -271227,                 -3427,               -872085,,                             -2.88,                116732,                 32214,,,                  3874,,,                -12075,
3579,2013年01月01日至2013年03月31日,,,,              2931153,                 19710,                    734,              2910709,              2910709,,              3413800,               -503091,               -503091,,,                 17009,,                101207,,                 49208,                167424,               -670515,,,                 12944,,                 26910,,                 59332,,                 -2320,                -21798,               -692313,,                              0,               -692313,               -692313,,,,,,,,,,,,                 52305,               -640008,,               -188201,                 -5512,               -498600,,               -144576,                 -5512,               -489920,,                             -1.63,                 59532,                 -7533,,,                  2400,                  2094,,,
3579,2012年07月01日至2012年09月30日,,,,              2166007,                  4678,                    237,              2161092,              2161092,,              2898633,               -737541,               -737541,,,                 17742,,                111160,,                 24458,                153360,               -890901,,,                 22191,,                 52201,,                 78937,,                    151,                 -4394,               -895295,,                -71829,               -823466,               -823466,,,,,,,,,,,,               -156705,               -980171,,               -221961,                -13116,               -588389,,               -284433,                -13116,               -682622,,                             -1.92,                -51449,               -114558,,,                 -1530,                -10832,,,
3579,2012年04月01日至2012年06月30日,,,,              3021331,                    465,                    676,              3020190,              3020190,,              3685341,               -665151,               -665151,,,                 21806,,                143031,,                 65631,                230468,               -895619,,,                 33221,,                 15438,,                 82595,,                 -3605,                -37541,               -933160,,                -39979,               -893181,               -893181,,,,,,,,,,,,                -36582,               -929763,,               -228255,,               -664926,,               -101838,,               -827925,,                             -1.97,                 28447,                -62514,,,                  1018,                  3533,,,                             -1.97
3579,2012年01月01日至2012年12月31日,,,,             11062423,                 17643,                  5089,             11039691,             11039691,,             13926373,             -2886682,             -2886682,,,                149877,,                518979,,                196241,                865097,             -3751779,,,                557582,,               -223769,,                309208,,                -14352,                 10253,             -3741526,,                -66007,             -3675519,             -3675519,,,,,,,,,,,,               -212445,             -3887964,,               -991053,                -38754,             -2645712,,             -1019618,                -38754,             -2829592,,                             -8.58,               -110365,               -103272,                -16261,,                 -3334,                -20787,,,
3579,2012年01月01日至2012年09月30日,,,,              8703295,                 17583,                  3645,              8682067,              8682067,,             10787992,             -2105925,             -2105925,,,                 94421,,                410814,,                169350,                674585,             -2780510,,,                138550,,                127763,,                233605,,                 -6873,                 25835,             -2754675,,               -181794,             -2572881,             -2572881,,,,,,,,,,,,                -26530,             -2599411,,               -675159,                -25982,             -1871740,,               -691347,                -25982,             -1882082,,                             -5.84,                -87425,                 46113,,,                 -3290,                -18072,,,
3579,2012年01月01日至2012年06月30日,,,,              5946389,                 12594,                    690,              5933105,              5933105,,              7318796,             -1385691,             -1385691,,,                 49846,,                282601,,                140427,                472874,             -1858565,,,                110862,,                 77048,,                153097,,                 -7024,                 27789,             -1830776,,               -109965,             -1720811,             -1720811,,,,,,,,,,,,                130175,             -1590636,,               -453198,,             -1267613,,               -406914,,             -1183722,,                             -3.92,                -35976,                160671,,,                 -1760,                 -7240,,,                             -3.92
3579,2012年01月01日至2012年03月31日,,,,              2925058,                 12129,                     14,              2912915,              2912915,,              3633455,               -720540,               -720540,,,                 28040,,                139570,,                 74796,                242406,               -962946,,,                 77641,,                 61610,,                 70502,,                 -3419,                 65330,               -897616,,                -69986,               -827630,               -827630,,,,,,,,,,,,                166757,               -660873,,               -224943,,               -602687,,                -98526,,               -562347,,                             -1.95,                -64423,                223185,,,                 -2778,                -10773,,,
