證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益
2444,2014年01月01日至2014年03月31日,,,,                349775,                349775,                349775,                349775,,,                290860,                290860,                290860,                 58915,                 58915,,,                  9673,,                 24198,,                 10668,                 44539,                 14376,,,,                    601,                    601,                    313,                  1376,                  2290,,                    600,                  7772,,                     64,                  8308,,                  2012,                  2012,                  8586,                 22962,,                              0,                 22962,,                              0,                 22962,                 22962,,                 22962,,                 22962,,                              0.27,                              0.27,,                              0.27,                              0.27,,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,
2444,2013年第3季,,,,                419618,                419618,                419618,                419618,,,                362261,                362261,                362261,                 57357,                 57357,,,                 11930,,                 27555,,                 11669,                 51154,                  6203,,,,,,,,                  6993,,,,,,                 -8191,,                  2137,                  2137,                 -3335,                  2868,,,                  2868,,                              0,                  2868,                  1657,,                  2868,,                  1657,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,,,,,,,,,,,,,,,,,,,                 -1211,                              0,                              0,                 -1211,                              0
2444,2013年第2季,,,,                417723,                417723,                417723,                417723,,,                360355,                360355,                360355,                 57368,                 57368,,,                 13218,,                 34672,,                 15545,                 63435,                 -6067,,,,                  1739,                  1739,                    289,                  5534,                  7562,,                     24,                  1327,,                  1490,                   -139,,                  2190,                  2190,                  5233,                   -834,,                              0,                   -834,,                              0,                   -834,                  1029,,                   -834,,                  1029,,                              0.00,                              0.00,,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,                  1863,,,                  1863,                              0
2444,2013年度,,,,              1541741,              1541741,              1541741,              1541741,,,              1437863,              1437863,              1437863,                103878,                103878,,,                 91503,,                114345,,                 52605,                258453,               -154575,,,,,,,,                  8879,,,,,,                -43475,,                  8478,                  8478,                -43074,               -197649,,                              0,               -197649,,                              0,               -197649,               -192334,,               -197649,,               -192334,,                             -2.31,                             -2.31,,                             -2.31,                             -2.31,,,,,,,,,,,,,,,,,,,,,,,,,,                  5315,                              0,                              0,                  5473,                   -158
2444,2013年07月01日至2013年09月30日,,,,                419618,                419618,                419618,                419618,,,                362261,                362261,                362261,                 57357,                 57357,,,                 11930,,                 27555,,                 11669,                 51154,                  6203,,,,,,,,                  6993,,,,,,                 -8191,,                  2137,                  2137,                 -3335,                  2868,,,                  2868,,                              0,                  2868,                  1657,,                  2868,,                  1657,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,,,,,,,,,,,,,,,,,,,,,                 -1211,                              0,                              0,                 -1211,                              0
2444,2013年04月01日至2013年06月30日,,,,                417723,                417723,                417723,                417723,,,                360355,                360355,                360355,                 57368,                 57368,,,                 13218,,                 34672,,                 15545,                 63435,                 -6067,,,,                  1739,                  1739,                    289,                  5534,                  7562,,                     24,                  1327,,                  1490,                   -139,,                  2190,                  2190,                  5233,                   -834,,                              0,                   -834,,                              0,                   -834,                  1029,,                   -834,,                  1029,,                              0.00,                              0.00,,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,                  1863,,,                  1863,                              0
2444,2013年01月01日至2013年12月31日,,,,              1541741,              1541741,              1541741,              1541741,,,              1437863,              1437863,              1437863,                103878,                103878,,,                 91503,,                114345,,                 52605,                258453,               -154575,,,,,,,,                  8879,,,,,,                -43475,,                  8478,                  8478,                -43074,               -197649,,                              0,               -197649,,                              0,               -197649,               -192334,,               -197649,,               -192334,,                             -1.46,                             -1.46,,                             -1.46,                             -1.46,,,,,,,,,,,,,,,,,,,,,,,,,,                  5315,                              0,                              0,                  5473,                   -158
2444,2013年01月01日至2013年09月30日,,,,              1161833,              1161833,              1161833,              1161833,,,              1005024,              1005024,              1005024,                156809,                156809,,,                 36208,,                 83463,,                 38395,                158066,                 -1257,,,,,,,,                 15170,,,,,,                    259,,                  6467,                  6467,                  8962,                  7705,,,                  7705,,                              0,                  7705,                  6130,,                  7705,,                  6130,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,,,,,,,,,,,,,,,,,,,,,,                 -1575,                              0,                              0,                  5643,                 -7218
2444,2013年01月01日至2013年06月30日,,,,                742215,                742215,                742215,                742215,,,                642763,                642763,                642763,                 99452,                 99452,,,                 24278,,                 55908,,                 26726,                106912,                 -7460,,,,                  1749,                  1749,                    597,                  5831,                  8177,,                    469,                 12139,,                  4158,                  8450,,                  4330,                  4330,                 12297,                  4837,,                              0,                  4837,,                              0,                  4837,                  4473,,                  4837,,                  4473,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,,,,,,,,,,,,,,,,,,,,,,,                   -364,,,                  6854,                 -7218
2444,2013年01月01日至2013年03月31日,,,,                324492,                324492,                324492,                324492,,,                282408,                282408,                282408,                 42084,                 42084,,,                 11060,,                 21236,,                 11181,                 43477,                 -1393,,,,                     10,                     10,                    308,                    297,                    615,,                    445,                 10812,,                  2668,                  8589,,                  2140,                  2140,                  7064,                  5671,,                              0,                  5671,,                              0,                  5671,                  3444,,                  5671,,                  3444,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,,,,,,,,,,,,,,,,,,,,,,,                 -2227,,,                  4991,                 -7218
2444,2012年07月01日至2012年09月30日,,,,                536213,                536213,                536213,                536213,,,                465334,                465334,                465334,                 70879,                 70879,,,                 19832,,                 35085,,                 17287,                 72204,                 -1325,,,,,,,,                  4941,,,,,,                 -9650,,                  2290,                  2290,                 -6999,                 -8324,,,                 -8324,,                              0,                 -8324,                -11725,,                 -8324,,                -11725,,                             -0.06,                             -0.06,,                             -0.06,                             -0.06,,,,,,,,,,,,,,,,,,,,,,,,,,                 -3401,                              0,                              0,                 -3401,                              0
2444,2012年04月01日至2012年06月30日,,,,                571439,                571439,                571439,                571439,,,                519304,                519304,                519304,                 52135,                 52135,,,                 10389,,                 26476,,                 13335,                 50200,                  1935,,,,                     69,                     69,                    236,                    607,                    912,,                 32873,                  5257,,                    161,                 37969,,                  2384,                  2384,                 36497,                 38432,,                              0,                 38432,,                              0,                 38432,                 39007,,                 38432,,                 39007,,                              0.29,                              0.29,,                              0.29,                              0.29,,,,,,,,,,,,,,,,,,,,,,,,,,                    575,,,                    575,                              0
2444,2012年01月01日至2012年12月31日,,,,              1991139,              1991139,              1991139,              1991139,,,              1744181,              1744181,              1744181,                246958,                246958,,,                 53884,,                121157,,                 58018,                233059,                 13899,,,,,,,,                 14154,,,,,,                -13964,,                 10030,                 10030,                 -9840,                  4059,,                              0,                  4059,,                              0,                  4059,                 -6848,,                  4059,,                 -6848,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,,,,,,,,,,,,,,,,,,,                -10907,                              0,                              0,                 -5473,                 -5434
2444,2012年01月01日至2012年09月30日,,,,              1611245,              1611245,              1611245,              1611245,,,              1422536,              1422536,              1422536,                188709,                188709,,,                 39252,,                 88687,,                 43380,                171319,                 17390,,,,,,,,                  6774,,,,,,                 21102,,                  7764,                  7764,                 20112,                 37502,,,                 37502,,                              0,                 37502,                 31969,,                 37502,,                 31969,,                              0.28,                              0.28,,                              0.28,                              0.28,,,,,,,,,,,,,,,,,,,,,,,,,,                 -5533,                              0,                              0,                 -5533,                              0
2444,2012年01月01日至2012年06月30日,,,,              1075032,              1075032,              1075032,              1075032,,,                957202,                957202,                957202,                117830,                117830,,,                 19420,,                 53602,,                 26093,                 99115,                 18715,,,,                    138,                    138,                    465,                  1230,                  1833,,                 32908,                 -1944,,                    212,                 30752,,                  5474,                  5474,                 27111,                 45826,,                              0,                 45826,,                              0,                 45826,                 43694,,                 45826,,                 43694,,                              0.34,                              0.34,,                              0.34,                              0.34,,,,,,,,,,,,,,,,,,,,,,,,,,                 -2132,,,                 -2132,                              0
2444,2012年01月01日至2012年03月31日,,,,                503593,                503593,                503593,                503593,,,                437898,                437898,                437898,                 65695,                 65695,,,                  9031,,                 27126,,                 12758,                 48915,                 16780,,,,                     69,                     69,                    229,                    623,                    921,,                     35,                 -7201,,                     51,                 -7217,,                  3090,                  3090,                 -9386,                  7394,,                              0,                  7394,,                              0,                  7394,                  4687,,                  7394,,                  4687,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,,,,,,,,,,,,,,,,,,,                 -2707,,,                 -2707,                              0
