證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營建工程收入,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　 繼續營業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 稀釋繼續營業單位淨利（淨損）,　　　 工程收入,　　　　 工程收入淨額,　　　 工程成本
3432,2014年01月01日至2014年03月31日,,,                263269,,                  6307,                269576,,,                206124,,                  4360,                210484,                 59092,                 59092,,,                 27065,,                 39383,,                  7147,                 73595,                -14503,,,                  2058,,                    311,,                  1310,                  1059,                -13444,,                 -1677,                -11767,                -11767,,,                 15683,                 15683,                 15683,                  3916,,                -11767,,,,                  3916,,,,                             -0.18,,,                  2058,                             -0.18,,,,,,
3432,2013年第3季,,,,,,                314112,,,,,,                254676,                 59436,                 59436,,,                 21423,,                 41918,,                  8072,                 71413,                -11977,,,                  3334,,                  4495,,                  1234,                  6595,                 -5382,,                   -237,                 -5145,                 -5145,,,,,                -10476,                -15621,,                 -5145,,,,                -15621,,,,                             -0.08,,                             -0.08,                  3334,                             -0.08,                -10476,,                             -0.08,,,
3432,2013年第2季,,,,,,                315215,,,,,,                270743,                 44472,                 44472,,,                 29267,,                 35387,,                  9005,                 73659,                -29187,,,                  1931,,                 -3593,,                  1479,                 -3141,                -32328,,                 -4584,                -27744,                -27744,,,,,                 17790,                 -9954,,                -27744,,,,                 -9954,,,,                             -0.42,,,                  1931,                             -0.42,                 17790,,,,,
3432,2013年度,,,              1239148,,                 13226,              1252374,,,              1022558,,                 13226,              1035784,                216590,                216590,,,                105302,,                150113,,                 30883,                286298,                -69708,,,                 14588,,                 -4423,,                  5333,                  4832,                -64876,,                 -9788,                -55088,                -55088,,,,,                 52263,                 -2825,,                -55088,,,,                 -2825,,,,                             -0.84,,                             -0.84,                 14588,                             -0.84,                 52234,                     29,                             -0.84,,,
3432,2013年07月01日至2013年09月30日,,,                310441,,                  3671,                314112,,,                251005,,                  3671,                254676,                 59436,                 59436,,,                 21423,,                 41918,,                  8072,                 71413,                -11977,,,                  3334,,                  4495,,                  1234,                  6595,                 -5382,,                   -237,                 -5145,                 -5145,,,,,                -10476,                -15621,,                 -5145,,,,                -15621,,,,                             -0.08,,,                  3334,                             -0.08,                -10476,,,,                  3671,                  3671
3432,2013年04月01日至2013年06月30日,,,,,,                315215,,,,,,                270743,                 44472,                 44472,,,                 29267,,                 35387,,                  9005,                 73659,                -29187,,,                  1931,,                 -3593,,                  1479,                 -3141,                -32328,,                 -4584,                -27744,                -27744,,,,,                 17790,                 -9954,,                -27744,,,,                 -9954,,,,                             -0.42,,,                  1931,                             -0.42,                 17790,,,,,
3432,2013年01月01日至2013年12月31日,,,              1239148,,                 13226,              1252374,,,              1022558,,                 13226,              1035784,                216590,                216590,,,                105302,,                150113,,                 30883,                286298,                -69708,,,                 14588,,                 -4423,,                  5333,                  4832,                -64876,,                 -9788,                -55088,                -55088,,,,,                 52263,                 -2825,,                -55088,,,,                 -2825,,,,                             -0.84,,,                 14588,                             -0.84,                 52234,                     29,,,,
3432,2013年01月01日至2013年09月30日,,,,,,                912218,,,,,,                777169,                135049,                135049,,,                 70263,,                115029,,                 25559,                210851,                -75802,,,                  9991,,                   -608,,                  4323,                  5060,                -70742,,                 -9775,                -60967,                -60967,,,,,                 37304,                -23663,,                -60967,,,,                -23663,,,,                             -0.93,,                             -0.93,                  9991,                             -0.93,                 37304,,                             -0.93,,,
3432,2013年01月01日至2013年06月30日,,,,,,                598106,,,,,,                522493,                 75613,                 75613,,,                 48840,,                 73111,,                 17487,                139438,                -63825,,,                  6658,,                 -5103,,                  3089,                 -1534,                -65359,,                 -9538,                -55821,                -55821,,,,,                 47780,                 -8041,,                -55821,,,,                 -8041,,,,                             -0.85,,,                  6658,                             -0.85,                 47780,,,,,
3432,2013年01月01日至2013年03月31日,,,,,,                282891,,,,,,                251750,                 31141,                 31141,,,                 19573,,                 37724,,                  8482,                 65779,                -34638,,,                  4727,,                 -1510,,                  1610,                  1607,                -33031,,                 -4954,                -28077,                -28077,,,,,                 29990,                  1913,,                -28077,,,,                  1913,,,,                             -0.43,,,                  4727,                             -0.43,                 29990,,,,,
3432,2012年07月01日至2012年09月30日,,,                208122,,                              0,                208122,,,                181828,,                              0,                181828,                 26294,                 26294,,,                 15563,,                 40188,,                  6481,                 62232,                -35938,,,                  2897,,                 -4156,,                  1201,                 -2460,                -38398,,                 -5199,                -33199,                -33199,,,,,                -25134,                -58333,,                -33199,,,,                -58333,,,,                             -0.51,,,                  2897,                             -0.51,                -25134,,,,                              0,                              0
3432,2012年04月01日至2012年06月30日,,,,,,                208438,,,,,,                179251,                 29187,                 29187,,,                 14993,,                 40780,,                  5706,                 61479,                -32292,,,                 12189,,                 -4704,,                  1617,                  5868,                -26424,,                 -4810,                -21614,                -21614,,,,,                 10543,                -11071,,                -21614,,,,                -11071,,,,                             -0.33,,,                 12189,                             -0.33,                 10543,,,,,
3432,2012年01月01日至2012年12月31日,,,                874941,,                              0,                874941,,,                786355,,                              0,                786355,                 88586,                 88586,,,                 59414,,                153597,,                 28121,                241132,               -152546,,,                 17234,,                -30920,,                  4912,                -18598,               -171144,,                -26299,               -144845,               -144845,,,,,                -45762,               -190607,,               -144845,,,,               -190607,,,,                             -2.21,,,                 17234,                             -2.21,                -45647,                   -115,,,,
3432,2012年01月01日至2012年09月30日,,,                619416,,                              0,                619416,,,                549524,,                              0,                549524,                 69892,                 69892,,,                 47321,,                117496,,                 20055,                184872,               -114980,,,                 20314,,                -11997,,                  3819,                  4498,               -110482,,                -16706,                -93776,                -93776,,,,,                -43565,               -137341,,                -93776,,,,               -137341,,,,                             -1.43,,,                 20314,                             -1.43,                -43565,,,,                              0,                              0
3432,2012年01月01日至2012年06月30日,,,,,,                411294,,,,,,                367696,                 43598,                 43598,,,                 31773,,                 77293,,                 13574,                122640,                -79042,,,                 17417,,                 -7841,,                  2618,                  6958,                -72084,,                -11507,                -60577,                -60577,,,,,                -18431,                -79008,,                -60577,,,,                -79008,,,,                             -0.92,,,                 17417,                             -0.92,                -18431,,,,,
3432,2012年01月01日至2012年03月31日,,,,,,                202856,,,,,,                188445,                 14411,                 14411,,,                 16780,,                 36513,,                  7868,                 61161,                -46750,,,                  5228,,                 -3137,,                  1001,                  1090,                -45660,,                 -6697,                -38963,                -38963,,,,,                -28974,                -67937,,                -38963,,,,                -67937,,,,                             -0.59,,,                  5228,                             -0.59,                -28974,,,,,
