證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　　 國外營運機構財務報表換算之兌換差額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3406,2014年01月01日至2014年03月31日,,              1965508,,              1955912,                  9596,                  9596,,,                 62161,,                126693,,                213795,                402649,               -393053,,,                  9850,,                 -8919,,                 30880,                -29949,               -423002,,                -72471,               -350531,               -350531,,,                -39990,                -39990,,                 -6765,                  6765,                -33225,               -383756,,               -349375,                 -1156,,               -382404,                 -1352,,                             -3.50,,                             -3.50,,              1965508,,,,
3406,2013年第3季,,              3020973,,              2694718,                326255,                326255,,,                 47372,,                120906,,                205311,                373589,                -47334,,,                  9643,,                -22042,,                 24821,                -37220,                -84554,,                -11155,                -73399,                -73399,,,,,,,,                -45614,               -119013,,                -72036,                 -1363,,               -117319,                 -1694,,                             -0.72,,                             -0.72,,,,                -54889,,                 -9275
3406,2013年第2季,,              2230968,,              2179606,                 51362,                 51362,,,                 49229,,                100805,,                174255,                324289,               -272927,,,                 24510,,                 50382,,                 21038,                 53854,               -219073,,                  4925,               -223998,               -223998,,,,,,,,                 78253,               -145745,,               -223036,                   -962,,               -145329,                   -416,,                             -2.24,,                             -2.24,,              2230968,,                 94169,,                 15916
3406,2013年度,,              9592432,,              8763850,                828582,                828582,,,                203386,,                475675,,                730071,              1409132,               -580550,,,                 81511,,                170734,,                106269,                145976,               -434574,,                -68070,               -366504,               -366504,,,,,,,,                229427,               -137077,,               -363903,                 -2601,,               -136021,                 -1056,,                             -3.74,,                             -3.73,,,,                276196,                    -84,                 46685
3406,2013年07月01日至2013年09月30日,,              3020973,,              2694718,                326255,                326255,,,                 47372,,                120906,,                205311,                373589,                -47334,,,                  9643,,                -22042,,                 24821,                -37220,                -84554,,                -11155,                -73399,                -73399,,,,,,,,                -45614,               -119013,,                -72036,                 -1363,,               -117319,                 -1694,,                             -0.72,,                             -0.72,,,,                -54889,,                 -9275
3406,2013年04月01日至2013年06月30日,,              2230968,,              2179606,                 51362,                 51362,,,                 49229,,                100805,,                174255,                324289,               -272927,,,                 24510,,                 50382,,                 21038,                 53854,               -219073,,                  4925,               -223998,               -223998,,,,,,,,                 78253,               -145745,,               -223036,                   -962,,               -145329,                   -416,,                             -2.24,,                             -2.24,,              2230968,,                 94169,,                 15916
3406,2013年01月01日至2013年12月31日,,              9592432,,              8763850,                828582,                828582,,,                203386,,                475675,,                730071,              1409132,               -580550,,,                 81511,,                170734,,                106269,                145976,               -434574,,                -68070,               -366504,               -366504,,,,,,,,                229427,               -137077,,               -363903,                 -2601,,               -136021,                 -1056,,                             -3.74,,                             -3.73,,,,                276196,                    -84,                 46685
3406,2013年01月01日至2013年09月30日,,              7154092,,              6543559,                610533,                610533,,,                151314,,                356512,,                558044,              1065870,               -455337,,,                 47003,,                133090,,                 78143,                101950,               -353387,,                -18297,               -335090,               -335090,,,,,,,,                133020,               -202070,,               -332252,                 -2838,,               -200243,                 -1827,,                             -3.44,,                             -3.44,,,,                160051,,                 27031
3406,2013年01月01日至2013年06月30日,,              4133119,,              3848841,                284278,                284278,,,                103942,,                235606,,                352733,                692281,               -408003,,,                 37360,,                155132,,                 53322,                139170,               -268833,,                 -7142,               -261691,               -261691,,,,,,,,                178634,                -83057,,               -260216,                 -1475,,                -82924,                   -133,,                             -2.74,,                             -2.74,,              4133119,,                214940,,                 36306
3406,2013年01月01日至2013年03月31日,,              1902151,,              1669235,                232916,                232916,,,                 54713,,                134801,,                178478,                367992,               -135076,,,                 12850,,                104750,,                 32284,                 85316,                -49760,,                -12067,                -37693,                -37693,,,,,,,,                100381,                 62688,,                -37180,                   -513,,                 62405,                    283,,                             -0.41,,                             -0.41,,              1902151,,                120771,,                 20390
3406,2012年07月01日至2012年09月30日,,              2674640,,              2027309,                647331,                647331,,,                 46320,,                 99004,,                156738,                302062,                345269,,,                 12567,,                -62316,,                 18755,                -68504,                276765,,                 79964,                196801,                196801,,,,,,,,                -26805,                169996,,                199866,                 -3065,,                173290,                 -3294,,                              2.24,,                              2.23,,,,                -32249,,                 -5444
3406,2012年04月01日至2012年06月30日,,              2168748,,              1654999,                513749,                513749,,,                 50073,,                 99972,,                144325,                294370,                219379,,,                 16373,,                 -2012,,                 14640,                   -279,                219100,,                156717,                 62383,                 62383,,,,,,,,                 10347,                 72730,,                 63561,                 -1178,,                 73796,                 -1066,,                              0.71,,                              0.71,,              2168748,,                 12444,,                  2097
3406,2012年01月01日至2012年12月31日,,             11397963,,              8777571,              2620392,              2620392,,,                210366,,                414112,,                625973,              1250451,              1369941,,,                 53791,,               -108190,,                 89470,               -143869,              1226072,,                427298,                798774,                798774,,,,,,,,                -98590,                700184,,                806017,                 -7243,,                708430,                 -8246,,                              9.04,,                              9.00,,,,               -115985,                 -2152,                -19547
3406,2012年01月01日至2012年09月30日,,              7865902,,              5987885,              1878017,              1878017,,,                153600,,                324203,,                446464,                924267,                953750,,,                 42860,,               -132041,,                 62003,               -151184,                802566,,                294809,                507757,                507757,,,,,,,,                -99883,                407874,,                514032,                 -6275,,                415182,                 -7308,,                              5.76,,                              5.73,,,,               -120130,,                -20247
3406,2012年01月01日至2012年06月30日,,              5191262,,              3960576,              1230686,              1230686,,,                107280,,                225199,,                289726,                622205,                608481,,,                 30293,,                -69725,,                 43248,                -82680,                525801,,                214845,                310956,                310956,,,,,,,,                -73078,                237878,,                314166,                 -3210,,                241892,                 -4014,,                              3.52,,                              3.50,,              5191262,,                -87881,,                -14803
3406,2012年01月01日至2012年03月31日,,              3022514,,              2305577,                716937,                716937,,,                 57207,,                125227,,                145401,                327835,                389102,,,                 13920,,                -67713,,                 28608,                -82401,                306701,,                 58128,                248573,                248573,,,,,,,,                -83425,                165148,,                250605,                 -2032,,                168096,                 -2948,,                              2.81,,                              2.80,,              3022514,,               -100325,,                -16900
