證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 租賃成本,　　　　 銷貨收入,　　　 租賃收入,　　　 銷貨成本,　　 本期所得稅費用（利益）,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　 停業單位損益,　　 停業單位損益合計,　　 其他費用,　　 當期所得稅費用（利益）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 投資收入（投資公司適用）,　　　 投資收入（投資公司適用）合計
3040,2013年第3季,,,,                 15594,                 15594,,                 35299,                 50893,,,                  8161,,                 13059,                 21220,                 29673,                 29673,,,                  5493,,                 14836,,                  4590,                 24919,                  4754,,,                    977,                    977,,                     24,,                    319,,                  1194,                  1876,                  6630,,                  1075,                  5555,                  5555,,,,,,,,                  7689,                 13244,,                  5555,                              0,,                 13244,                              0,,                              0.06,                              0.06,,                              0.06,                              0.06,,,,,,,,                 -5959,                 13916,,                   -268,,                              0,,,,,,
3040,2013年第2季,,,,                 16258,                 16258,,                 36495,                 52753,,,                  8144,,                 13481,                 21625,                 31128,                 31128,,,                  5392,,                 11560,,                  4749,                 21701,                  9427,,,,                  1626,,                  6043,,                    315,,                  1183,                  8537,                 17964,,                  7375,                 10589,                 10589,,,,,,,,                 24542,                 35131,,                 10589,                              0,,                 35131,                              0,,                              0.10,                              0.10,,                              0.10,                              0.10,                 13481,,,,,,,                 11900,                 12117,,                    525,,,                              0,,,,,
3040,2013年度,,,,                 63859,                 63859,,                142449,                206308,,,                 36250,,                 54449,                 90699,                115609,                115609,,,                 26315,,                 56363,,                 18626,                101304,                 14305,,,,                  6593,,                 18730,,                  1257,,                  3871,                 27937,                 42242,,                 12429,                 29813,                 29813,,,,,,,,                 56801,                 86614,,                 31152,                 -1339,,                 87996,                 -1382,,                              0.32,                              0.32,,                              0.32,                              0.32,                 54449,                 63859,                142449,                 36250,,,,                 32587,                 22842,,                  1372,,,,,,,,
3040,2013年07月01日至2013年09月30日,,,,                 15594,                 15594,,                 35299,                 50893,,,                  8161,,                 13059,                 21220,                 29673,                 29673,,,                  5493,,                 14836,,                  4590,                 24919,                  4754,,,                    977,                    977,,                     24,,                    319,,                  1194,                  1876,                  6630,,                  1075,                  5555,                  5555,,,,,,,,                  7689,                 13244,,                  5555,,,                 13244,                              0,,                              0.06,                              0.06,,                              0.06,                              0.06,,,,,,,,                 -5959,                 13916,,                   -268,,                              0,,,                              0,                              0,,
3040,2013年04月01日至2013年06月30日,,,,                 16258,                 16258,,                 36495,                 52753,,,                  8144,,                 13481,                 21625,                 31128,                 31128,,,                  5392,,                 11560,,                  4749,                 21701,                  9427,,,,                  1626,,                  6043,,                    315,,                  1183,                  8537,                 17964,,                  7375,                 10589,                 10589,,,,,,,,                 24542,                 35131,,                 10589,,,                 35131,,,                              0.10,                              0.10,,                              0.10,                              0.10,                 13481,,,,,                              0.00,,                 11900,                 12117,,                    525,,,                              0,,,,,
3040,2013年01月01日至2013年12月31日,,,,                 63859,                 63859,,                142449,                206308,,,                 36250,,                 54449,                 90699,                115609,                115609,,,                 26315,,                 56363,,                 18626,                101304,                 14305,,,,                  6593,,                 18730,,                  1257,,                  3871,                 27937,                 42242,,                 12429,                 29813,                 29813,,,,,,,,                 56801,                 86614,,                 31152,                 -1339,,                 87996,                 -1382,,                              0.32,                              0.32,,                              0.32,                              0.32,                 54449,                 63859,                142449,                 36250,,,,                 32587,                 22842,,                  1372,,,,,,,,
3040,2013年01月01日至2013年09月30日,,,,                 45344,                 45344,,                107459,                152803,,,                 25043,,                 39963,                 65006,                 87797,                 87797,,,                 16333,,                 40369,,                 14144,                 70846,                 16951,,,                  3412,                  3412,,                 19236,,                    942,,                  3126,                 24832,                 41783,,                 13233,                 28550,                 28550,,,,,,,,                 49552,                 78102,,                 28550,                              0,,                 78102,                              0,,                              0.28,                              0.28,,                              0.28,                              0.28,,,,,,,,                 22771,                 25744,,                  1037,,                              0,,,                              0,                              0,,
3040,2013年01月01日至2013年06月30日,,,,                 29750,                 29750,,                 72160,                101910,,,                 16882,,                 26904,                 43786,                 58124,                 58124,,,                 10840,,                 25533,,                  9554,                 45927,                 12197,,,,                  2435,,                 19212,,                    623,,                  1932,                 22956,                 35153,,                 12158,                 22995,                 22995,,,,,,,,                 41863,                 64858,,                 22995,                              0,,                 64858,                              0,,                              0.22,                              0.22,,                              0.22,                              0.22,                 26904,,,,,,,                 28730,                 11828,,                  1305,,,                              0,,,,,
3040,2013年01月01日至2013年03月31日,,,,                 13492,                 13492,,                 35665,                 49157,,,                  8738,,                 13423,                 22161,                 26996,                 26996,,,                  5448,,                 13973,,                  4805,                 24226,                  2770,,,,                    809,,                 13169,,                    308,,                    749,                 14419,                 17189,,                  4783,                 12406,                 12406,,,,,,,,                 17321,                 29727,,                 12406,                              0,,                 29727,                              0,,                              0.12,                              0.12,,                              0.12,                              0.12,                 13423,                 13492,                 35665,                  8738,,                              0.00,                              0.00,                 16830,                   -289,,                    780,,,,                  4783,,,,                              0
3040,2012年07月01日至2012年09月30日,,,,                 42771,                 42771,,                 33804,                 76575,,,                 23362,,                 14589,                 37951,                 38624,                 38624,,,                 10801,,                 12409,,                  3307,                 26517,                 12107,,,                    293,                    293,,                  3960,,                    539,,                 -1134,                  2580,                 14687,,                  1602,                 13085,                 13085,,,,,,,,                    985,                 14070,,                 13085,,,                 14070,                              0,,                              0.13,                              0.13,,                              0.13,                              0.13,,,,,,,,                -12377,                 14001,,                   -639,,                              0,,,                              0,                              0,,
3040,2012年04月01日至2012年06月30日,,,,                 28561,                 28561,,                 32536,                 61097,,,                 13813,,                 15458,                 29271,                 31826,                 31826,,,                 11460,,                 13596,,                  3268,                 28324,                  3502,,,,                  2546,,                  1644,,                    581,,                  2834,                  6443,                  9945,,                  1336,                  8609,                  8609,,,,,,,,                 -9089,                   -480,,                  8609,,,                   -480,,,                              0.09,                              0.09,,                              0.09,                              0.09,                 15458,,,,,                              0.00,,                  4995,                -14336,,                    252,,,                              0,,,,,
3040,2012年01月01日至2012年12月31日,,,,                143964,                143964,,                116656,                260620,,,                 74426,,                 56215,                130641,                129979,                129979,,,                 45737,,                 55875,,                 13236,                114848,                 15131,,,,                  9996,,                 37030,,                  2094,,                  1934,                 46866,                 61997,,                  7502,                 54495,                 54495,,,,,,,,                -28559,                 25936,,                 54495,                              0,,                 25936,                              0,,                              0.52,                              0.52,,                              0.52,                              0.52,                 56215,                143964,                116656,                 74426,,,,                -22299,                 -5052,,                 -1208,,,,,,,,
3040,2012年01月01日至2012年09月30日,,,,                109547,                109547,,                 94907,                204454,,,                 58361,,                 42621,                100982,                103472,                103472,,,                 35777,,                 40544,,                  9713,                 86034,                 17438,,,                  4554,                  4554,,                  9300,,                  1786,,                  1470,                 13538,                 30976,,                  3755,                 27221,                 27221,,,,,,,,                -17191,                 10030,,                 27221,,,                 10030,                              0,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,,,,,                -22078,                  6034,,                 -1147,,                              0,,,                              0,                              0,,
3040,2012年01月01日至2012年06月30日,,,,                 66776,                 66776,,                 61103,                127879,,,                 34999,,                 28032,                 63031,                 64848,                 64848,,,                 24976,,                 28135,,                  6406,                 59517,                  5331,,,,                  4261,,                  5340,,                  1247,,                  2604,                 10958,                 16289,,                  2153,                 14136,                 14136,,,,,,,,                -18176,                 -4040,,                 14136,,,                 -4040,,,                              0.14,                              0.14,,                              0.14,                              0.14,                 28032,,,,,                              0.00,,                 -9701,                 -7967,,                   -508,,,                              0,,,,,
3040,2012年01月01日至2012年03月31日,,,,                 38215,                 38215,,                 28567,                 66782,,,                 21186,,                 12574,                 33760,                 33022,                 33022,,,                 13516,,                 14539,,                  3138,                 31193,                  1829,,,,                  1715,,                  3696,,                    666,,                   -230,                  4515,                  6344,,                    817,                  5527,                  5527,,,,,,,,                 -9087,                 -3560,,                  5527,,,                 -3560,,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,                -14696,                  6369,,                   -760,,,,,,,,                              0
