證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 營建工程成本,　　　 營建工程成本合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 研究發展費用,　　　 研究發展費用合計,　　 其他費用,　 停業單位損益,　　 停業單位損益合計,　　 停業單位淨利（淨損）,　　 其他收益,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 權益工具投資之利益（損失）,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　 稀釋停業單位淨利（淨損）,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
9906,2013年04月01日至2013年06月30日,,                  1202,,                  1033,                    169,                    169,,,                    740,,                 11467,                 12207,,                              0,                -12038,,,,                    352,                    352,,                    -11,,,,,,                    297,,,                     44,                -11994,,                   -369,                -11625,                -11625,                -11451,,                -11625,,                -11451,,                             -0.37,                             -0.37,,,,                             -0.37,                             -0.37,,,,,,,,,                              0,                              0.00,                              0,,                    209,,,,,,,,,,,                     35,                    174,                              0.00,                              0,                              0
9906,2013年01月01日至2013年12月31日,,                999466,,                867742,                131724,                131724,,,                 53528,,                 50304,                103832,,                              0,                 27892,,,,                    548,                    548,,                  2815,,,,,,                  7147,,,                 -3784,                 24108,,                 16399,                  7709,                  7709,                 13410,,                  7709,,                 13410,,                              0.11,                              0.11,,,,                              0.11,                              0.11,,,,,,,,,                              0,                              0.00,                              0,,                  6869,,,,,,,,,,,                  1168,                  5701,                              0.00,                              0,                              0
9906,2013年01月01日至2013年09月30日,,                352428,,                308671,                 43757,                 43757,,,                 14675,,                 36853,                 51528,,                              0,                 -7771,,,,                    368,                    368,,                  2165,,,,,,                  2156,,,                    377,                 -7394,,                  5479,                -12873,                -12873,                 -7172,,                -12873,,                 -7172,,                             -0.18,                             -0.18,,,,                             -0.18,                             -0.18,,,,,,,,,,,,,                  6869,,,,,,,,,,,                  1168,                  5701,,,
9906,2013年01月01日至2013年06月30日,,                  2659,,                  2289,                    370,                    370,,,                  2050,,                 22555,                 24605,,,                -24235,,,,                    368,                    368,,                 13288,,,,,,                    509,,,                 13147,                -11088,,                 -1362,                 -9726,                 -9726,                -13393,,                 -9726,,                -13393,,                             -0.14,                             -0.14,,,,                             -0.14,                             -0.14,,,,,,,,,,,,,                 -4418,,,,,,,,,,,                   -751,                 -3667,,,
9906,2013年01月01日至2013年03月31日,,                  1457,,                  1256,                    201,                    201,,,                  1310,,                 11088,                 12398,,,                -12197,,,,,                    442,,                 12873,,,,,,                    212,,,                 13103,                    906,,                   -993,                  1899,                  1899,                 -1942,,                  1899,,                 -1942,,                              0.03,                              0.03,,,,                              0.03,                              0.03,,,                              0,                              0,,,,,,,,,                 -4627,,,,,,,,,,,                   -786,                 -3841,,,
9906,2012年07月01日至2012年09月30日,,                393025,,                284624,                108401,                108401,,,                 49900,,                 24045,                 73945,,                              0,                 34456,,,,                    714,                    714,,                 -5908,,,,,,                    351,,,                 -5545,                 28911,,                  1043,                 27868,                 27848,                 18355,,                 13754,,                 10705,,                              0.20,                              0.20,,,,                              0.20,                              0.20,,,,,,,,,                    -20,                              0.00,                              0,,                -10118,,,,,,,,,,,                   -625,                 -9493,                              0.00,                 14094,                  7650
9906,2012年04月01日至2012年06月30日,,                 21893,,                 19399,                  2494,                  2494,,,                    977,,                 29947,                 30924,,                 42107,                 13677,,,,                    156,                    156,,                  4526,,,,,,                    195,,,                  4487,                 18164,,                     -2,                 18166,                309777,                321448,,                309777,,                318880,,                              0.59,                              9.99,,,,                              0.58,                              9.90,,,,,,,,,                291611,                              9.40,                 42107,,                 12920,,,,,,,,,,,                  1249,                 11671,                              9.32,                              0,                  2568
9906,2012年01月01日至2012年12月31日,,                 69614,,                 60340,                  9274,                  9274,,,                  3679,,                 36476,                 40155,,                 42107,                 11226,,,,                  1179,                  1179,,                 -5783,,,,,,                  1275,,,                 -5879,                  5347,,                     -2,                  5349,                360179,                355190,,                322428,,                316727,,                              0.13,                              4.61,,,,                              0.13,                              4.61,,,,,,,,,                354830,                              4.48,                 42107,,                 -6157,,,,,,,,,,,                 -1168,                 -4989,                              4.48,                 37751,                 38463
9906,2012年01月01日至2012年09月30日,,                442581,,                327231,                115350,                115350,,,                 51667,,                 59724,                111391,,                 42107,                 46066,,,,                    870,                    870,,                 -2713,,,,,,                    923,,,                 -2766,                 43300,,                  1041,                 42259,                344584,                332463,,                327837,,                322160,,                              0.36,                              4.68,,,,                              0.36,                              4.67,,,,,,,,,                302325,                              4.32,                 42107,,                -13284,,,,,,,,,,,                 -1163,                -12121,                              4.31,                 16747,                 10303
9906,2012年01月01日至2012年06月30日,,                 49556,,                 42607,                  6949,                  6949,,,                  1767,,                 35679,                 37446,,                 42107,                 11610,,,,                    156,                    156,,                  3195,,,,,,                    572,,,                  2779,                 14389,,                     -2,                 14391,                316736,                314108,,                314083,,                314108,,                              0.38,                             10.13,,,,                              0.38,                             10.04,,,,,,,,,                302345,                              9.75,                 42107,,                 -3166,,,,,,,,,,,                   -538,                 -2628,                              9.66,                  2653,                              0
9906,2012年01月01日至2012年03月31日,,                 27663,,                 23208,                  4455,                  4455,,,                    790,,                  5732,                  6522,,,                 -2067,,,,,                              0,,                 -1331,,,,,,                    377,,,                 -1708,                 -3775,,                              0,                 -3775,                  6959,                 -7340,,                  3952,,                 -4772,,                             -0.13,                              0.13,,,,                             -0.13,                              0.13,,,,,,,,,                 10734,                              0.26,,,                -16086,,,,,,,,,,,                 -1787,                -14299,                              0.26,                  3007,                 -2568
