證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1537,2014年01月01日至2014年03月31日,,              1564275,,              1290317,                273958,                273958,,,                 52362,,                 34080,,                 10432,                 96874,                177084,,,                  4341,,                 15183,,                  1435,                 18089,                195173,,                 44272,                150901,                150901,,,                 45059,                 16560,                  7448,                 54171,                 54171,                205072,,                147897,                  3004,,                200821,                  4251,,                              1.81,                              1.81,,                              1.81,                              1.81,,,,
1537,2013年第3季,,              1534336,,              1266148,                268188,                268188,,,                 55652,,                 35826,,                  9658,                101136,                167052,,,                  2653,,                  2617,,                  2749,                  2521,                169573,,                 41100,                128473,                128473,,,,,,,                -17759,                110714,,                126255,                  2218,,                109316,                  1398,,                              1.55,                              1.55,,                              1.54,                              1.54,                -26382,                  4277,,                 -4346
1537,2013年第2季,,              1317300,,              1054012,                263288,                263288,,,                 50713,,                 36953,,                  7220,                 94886,                168402,,,                  1672,,                  4449,,                  1525,                  4596,                172998,,                 41592,                131406,                131406,,,,,,,                 22657,                154063,,                131370,                     36,,                153711,                    352,,                              1.61,                              1.61,,                              1.61,                              1.61,                 10400,                 13972,,                  1715
1537,2013年度,,              5694779,,              4585880,              1108899,              1108899,,,                213617,,                152485,,                 32200,                398302,                710597,,,                 12882,,                 36554,,                  7370,                 42066,                752663,,                173324,                579339,                579339,,,,,,,                 53582,                632921,,                572911,                  6428,,                630283,                  2638,,                              7.02,                              7.02,,                              7.00,                              7.00,                 36266,                 23009,                  1347,                  7040
1537,2013年07月01日至2013年09月30日,,              1534336,,              1266148,                268188,                268188,,,                 55652,,                 35826,,                  9658,                101136,                167052,,,                  2653,,                  2617,,                  2749,                  2521,                169573,,                 41100,                128473,                128473,,,,,,,                -17759,                110714,,                126255,                  2218,,                109316,                  1398,,                              1.55,                              1.55,,                              1.54,                              1.54,                -26382,                  4277,,                 -4346
1537,2013年04月01日至2013年06月30日,,              1317300,,              1054012,                263288,                263288,,,                 50713,,                 36953,,                  7220,                 94886,                168402,,,                  1672,,                  4448,,                  1525,                  4595,                172997,,                 41592,                131405,                131405,,,,,,,                 22657,                154062,,                131369,                     36,,                153710,                    352,,                              1.61,                              1.61,,                              1.61,                              1.61,                 10400,                 13972,,                  1715
1537,2013年01月01日至2013年12月31日,,              5694779,,              4585880,              1108899,              1108899,,,                213617,,                152485,,                 32200,                398302,                710597,,,                 12882,,                 36554,,                  7370,                 42066,                752663,,                173324,                579339,                579339,,,,,,,                 53582,                632921,,                572911,                  6428,,                630283,                  2638,,                              7.02,                              7.02,,                              7.00,                              7.00,                 36266,                 23009,                  1347,                  7040
1537,2013年01月01日至2013年09月30日,,              4201261,,              3370712,                830549,                830549,,,                159205,,                110344,,                 23538,                293087,                537462,,,                  7749,,                 34058,,                  5731,                 36076,                573538,,                129216,                444322,                444322,,,,,,,                 40356,                484678,,                440130,                  4192,,                479552,                  5126,,                              5.39,                              5.39,,                              5.38,                              5.38,                 24936,                 19500,,                  4080
1537,2013年01月01日至2013年06月30日,,              2666925,,              2104564,                562361,                562361,,,                103553,,                 74518,,                 13880,                191951,                370410,,,                  5096,,                 31441,,                  2982,                 33555,                403965,,                 88116,                315849,                315849,,,,,,,                 58115,                373964,,                313875,                  1974,,                370236,                  3728,,                              3.85,                              3.85,,                              3.84,                              3.84,                 51318,                 15223,,                  8426
1537,2013年01月01日至2013年03月31日,,              1349625,,              1050552,                299073,                299073,,,                 52840,,                 37565,,                  6660,                 97065,                202008,,,                  3424,,                 26992,,                  1457,                 28959,                230967,,                 46524,                184443,                184443,,,,,,,                 35458,                219901,,                182505,                  1938,,                216525,                  3376,,                              2.24,                              2.24,,                              2.23,                              2.23,                 40918,                  1251,,                  6711
1537,2012年07月01日至2012年09月30日,,              1629801,,              1256208,                373593,                373593,,,                 61799,,                 39977,,                 11317,                113093,                260500,,,                  2482,,                -10936,,                  1277,                 -9731,                250769,,                 60616,                190153,                190153,,,,,,,                -24863,                165290,,                185636,                  4517,,                161829,                  3461,,                              2.28,                              2.28,,                              2.27,                              2.27,                -32592,                  2368,,                 -5361
1537,2012年04月01日至2012年06月30日,,              1509272,,              1182690,                326582,                326582,,,                 66698,,                 37302,,                 18148,                122148,                204434,,,                  7586,,                 15225,,                  1237,                 21574,                226008,,                 66186,                159822,                159822,,,,,,,                 12240,                172062,,                156935,                  2887,,                168935,                  3127,,                              1.92,                              1.92,,                              1.92,                              1.92,                 17921,                 -2676,,                  3005
1537,2012年01月01日至2012年12月31日,,              5901072,,              4629760,              1271312,              1271312,,,                225353,,                155063,,                 53506,                433922,                837390,,,                 23355,,                 -9017,,                  5085,                  9253,                846643,,                217384,                629259,                629259,,,,,,,                -68131,                561128,,                616295,                 12964,,                554188,                  6940,,                              7.55,                              7.55,,                              7.51,                              7.51,                -71790,                    -88,                 -9492,                -13239
1537,2012年01月01日至2012年09月30日,,              4374558,,              3455380,                919178,                919178,,,                165708,,                111732,,                 43677,                321117,                598061,,,                 15187,,                 -7355,,                  3778,                  4054,                602115,,                163138,                438977,                438977,,,,,,,                -41986,                396991,,                429242,                  9735,,                388783,                  8208,,                              5.26,                              5.26,,                              5.25,                              5.25,                -50933,                    548,,                 -8399
1537,2012年01月01日至2012年06月30日,,              2744757,,              2199172,                545585,                545585,,,                103909,,                 71755,,                 32360,                208024,                337561,,,                 12705,,                  3581,,                  2501,                 13785,                351346,,                102522,                248824,                248824,,,,,,,                -17123,                231701,,                243606,                  5218,,                226954,                  4747,,                              2.99,                              2.99,,                              2.98,                              2.98,                -18341,                 -1820,,                 -3038
1537,2012年01月01日至2012年03月31日,,              1235485,,              1016482,                219003,                219003,,,                 37211,,                 34453,,                 14212,                 85876,                133127,,,                  5119,,                -11644,,                  1264,                 -7789,                125338,,                 36336,                 89002,                 89002,,,,,,,                -29363,                 59639,,                 86671,                  2331,,                 58019,                  1620,,                              1.06,                              1.06,,                              1.06,                              1.06,                -36262,                    856,,                 -6043
