證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6224,2014年01月01日至2014年03月31日,,                365097,,                186030,                179067,                179067,,,                 21373,,                 32134,,                 30219,                 83726,                 95341,,,                  6096,,                  3158,,                    395,                  8859,                104200,,                 18260,                 85940,                 85940,,,                 -1203,                 -1203,                 -1203,                 84737,,                 85940,,                 84737,,                              1.07,                              1.07,,                              1.07,                              1.07,,,
6224,2013年第3季,,                386931,,                202460,                184471,                184471,,,                 22042,,                 29735,,                 29238,                 81015,                103456,,,                 11516,,                 -3782,,                  1150,                  6584,                110040,,                 18339,                 91701,                 91701,,,,,                 -5278,                 86423,,                 91701,,                 86423,,                              1.15,                              1.15,,                              1.13,                              1.13,                 -5278,,
6224,2013年第2季,,                366366,,                177474,                188892,                188892,,,                 15506,,                 32034,,                 26161,                 73701,                115191,,,                 13289,,                  2234,,                  1196,                 14327,                129518,,                 25699,                103819,                103819,,,,,                  7242,                111061,,                103819,,                111061,,                              1.30,                              1.30,,                              1.28,                              1.28,                  7242,,
6224,2013年度,,              1496174,,                766186,                729988,                729988,,,                 76276,,                124822,,                106343,                307441,                422547,,,                 41953,,                  7101,,                  4265,                 44789,                467336,,                 90051,                377285,                377285,,,,,                 23852,                401137,,                377285,,                401137,,                              4.72,                              4.72,,                              4.65,                              4.65,                 21926,                  1739,                   -187
6224,2013年07月01日至2013年09月30日,,                386931,,                202460,                184471,                184471,,,                 22042,,                 29735,,                 29238,                 81015,                103456,,,                 11516,,                 -3782,,                  1150,                  6584,                110040,,                 18339,                 91701,                 91701,,,,,                 -5278,                 86423,,                 91701,,                 86423,,                              1.15,                              1.15,,                              1.13,                              1.13,                 -5278,,
6224,2013年04月01日至2013年06月30日,,                366366,,                177474,                188892,                188892,,,                 15506,,                 32034,,                 26161,                 73701,                115191,,,                 13289,,                  2234,,                  1196,                 14327,                129518,,                 25699,                103819,                103819,,,,,                  7242,                111061,,                103819,,                111061,,                              1.30,                              1.30,,                              1.28,                              1.28,                  7242,,
6224,2013年01月01日至2013年12月31日,,              1496174,,                766186,                729988,                729988,,,                 76276,,                124822,,                106343,                307441,                422547,,,                 41953,,                  7101,,                  4265,                 44789,                467336,,                 90051,                377285,                377285,,,,,                 23852,                401137,,                377285,,                401137,,                              4.72,                              4.72,,                              4.65,                              4.65,                 21926,                  1739,                   -187
6224,2013年01月01日至2013年09月30日,,              1116888,,                567928,                548960,                548960,,,                 54729,,                 94013,,                 79702,                228444,                320516,,,                 29312,,                  3400,,                  3857,                 28855,                349371,,                 74243,                275128,                275128,,,,,                 13811,                288939,,                275128,,                288939,,                              3.44,                              3.44,,                              3.39,                              3.39,                 13811,,
6224,2013年01月01日至2013年06月30日,,                729957,,                365468,                364489,                364489,,,                 32687,,                 64278,,                 50464,                147429,                217060,,,                 17796,,                  7182,,                  2707,                 22271,                239331,,                 55904,                183427,                183427,,,,,                 19089,                202516,,                183427,,                202516,,                              2.30,                              2.30,,                              2.26,                              2.26,                 19089,,
6224,2013年01月01日至2013年03月31日,,                363591,,                187994,                175597,                175597,,,                 17181,,                 32244,,                 24303,                 73728,                101869,,,                  4507,,                  4948,,                  1511,                  7944,                109813,,                 30205,                 79608,                 79608,,,,,                 11847,                 91455,,                 79608,,                 91455,,                              1.00,                              1.00,,                              0.98,                              0.98,                 11847,,
6224,2012年07月01日至2012年09月30日,,                480895,,                256954,                223941,                223941,,,                 23912,,                 33284,,                 19655,                 76851,                147090,,,                  5241,,                 -3682,,                  1045,                    514,                147604,,                 27167,                120437,                120437,,,,,                 -8176,                112261,,                120437,,                112261,,                              1.51,                              1.51,,                              1.48,                              1.48,                 -8176,,
6224,2012年04月01日至2012年06月30日,,                466375,,                241544,                224831,                224831,,,                 28724,,                 37543,,                 22585,                 88852,                135979,,,                  5288,,                  2307,,                  1023,                  6572,                142551,,                 29152,                113399,                113399,,,,,                  3099,                116498,,                113399,,                116498,,                              1.45,                              1.45,,                              1.42,                              1.42,                  3099,,
6224,2012年01月01日至2012年12月31日,,              1703697,,                926863,                776834,                776834,,,                 90190,,                130260,,                 79818,                300268,                476566,,,                 19222,,                -13145,,                  5009,                  1068,                477634,,                 86102,                391532,                391532,,,,,                -13587,                377945,,                391532,,                377945,,                              4.94,                              4.94,,                              4.85,                              4.85,                -10740,                 -2847,                              0
6224,2012年01月01日至2012年09月30日,,              1307683,,                714944,                592739,                592739,,,                 71424,,                 99932,,                 60909,                232265,                360474,,,                 12796,,                 -7839,,                  3149,                  1808,                362282,,                 69124,                293158,                293158,,,,,                -13579,                279579,,                293158,,                279579,,                              3.71,                              3.71,,                              3.65,                              3.65,                -13579,,
6224,2012年01月01日至2012年06月30日,,                826788,,                457990,                368798,                368798,,,                 47512,,                 66648,,                 41254,                155414,                213384,,,                  7555,,                 -4157,,                  2104,                  1294,                214678,,                 41957,                172721,                172721,,,,,                 -5403,                167318,,                172721,,                167318,,                              2.20,                              2.20,,                              2.16,                              2.16,                 -5403,,
6224,2012年01月01日至2012年03月31日,,                360413,,                216446,                143967,                143967,,,                 18788,,                 29105,,                 18669,                 66562,                 77405,,,                  2267,,                 -6464,,                  1081,                 -5278,                 72127,,                 12805,                 59322,                 59322,,,,,                 -8502,                 50820,,                 59322,,                 50820,,                              0.75,                              0.75,,                              0.74,                              0.74,                 -8502,,
