證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
5522,2014年01月01日至2014年03月31日,,              4623567,,              2728362,              1895205,              1895205,,,                233074,,                172782,                405856,,,              1489349,,,                 10897,,                 14443,,                  9255,,                -88971,                -72886,              1416463,,                234924,              1181539,              1181539,,,                -23000,,,                -16800,                 -6766,                -33034,                -33034,              1148505,,              1185914,                 -4375,,              1152880,                 -4375,,                              1.42,                              1.42,,                              1.35,                              1.35,,,,,,
5522,2013年第3季,,              3704585,,              2204787,              1499798,              1499798,,,                201168,,                153716,                354884,,                              0,              1144914,,,                 12742,,                -22494,,                 13695,,                -36883,                -60330,              1084584,,                 88824,                995760,                995760,,,,,,,,,                -35690,                960070,,              1001272,                 -5512,,                965582,                 -5512,,                              1.30,                              1.30,,                              1.25,                              1.25,,                              0,,,                -43000,                 -7310
5522,2013年第2季,,              7817063,,              4438081,              3378982,              3378982,,,                400790,,                130554,                531344,,                -31258,              2816380,,,                  8075,,                -18079,,                 64064,,                -65229,               -139297,              2677083,,                383438,              2293645,              2293645,,,,,,,,,                 53120,              2346765,,              2297034,                 -3389,,              2350154,                 -3389,,                              2.98,                              2.98,,                              2.88,                              2.88,,                              0,,,                 64000,                 10880
5522,2013年度,,             25117622,,             15255847,              9861775,              9861775,,,              1252308,,                671912,              1924220,,                -31028,              7906527,,,                 37897,,               -109099,,                132774,,                 11497,               -192479,              7714048,,              1038419,              6675629,              6675629,,,,,,,,,                179280,              6854909,,              6694437,                -18808,,              6873717,                -18808,,                              8.66,                              8.66,,                              8.38,                              8.38,                              0,                 15000,                              0,,                201000,                 36720
5522,2013年07月01日至2013年09月30日,,              3704585,,              2204787,              1499798,              1499798,,,                201168,,                153716,                354884,,                              0,              1144914,,,                 12742,,                -22494,,                 13695,,                -36883,                -60330,              1084584,,                 88824,                995760,                995760,,,,,,,,,                -35690,                960070,,              1001272,                 -5512,,                965582,                 -5512,,                              1.30,                              1.30,,                              1.25,                              1.25,,,,,                -43000,                 -7310
5522,2013年04月01日至2013年06月30日,,              7817063,,              4438081,              3378982,              3378982,,,                400790,,                130554,                531344,,                -31258,              2816380,,,                  8075,,                -18079,,                 64064,,                -65229,               -139297,              2677083,,                383438,              2293645,              2293645,,,,,,,,,                 53120,              2346765,,              2297034,                 -3389,,              2350154,                 -3389,,                              2.98,                              2.98,,                              2.88,                              2.88,,,,,                 64000,                 10880
5522,2013年01月01日至2013年12月31日,,             25117622,,             15255847,              9861775,              9861775,,,              1252308,,                671912,              1924220,,                -31028,              7906527,,,                 37897,,               -109099,,                132774,,                 11497,               -192479,              7714048,,              1038419,              6675629,              6675629,,,,,,,,,                179280,              6854909,,              6694437,                -18808,,              6873717,                -18808,,                              8.66,                              8.66,,                              8.38,                              8.38,,                 15000,                              0,,                201000,                 36720
5522,2013年01月01日至2013年09月30日,,             16445010,,              9510435,              6934575,              6934575,,,                844038,,                421667,              1265705,,                -31028,              5637842,,,                 27934,,                  5818,,                141897,,               -112972,               -221117,              5416725,,                650120,              4766605,              4766605,,,,,,,,,                107070,              4873675,,              4780733,                -14128,,              4887803,                -14128,,                              6.20,                              6.20,,                              5.96,                              5.96,,                              0,,,                129000,                 21930
5522,2013年01月01日至2013年06月30日,,             12740425,,              7305648,              5434777,              5434777,,,                642870,,                267951,                910821,,                -31028,              4492928,,,                 15192,,                 28312,,                128202,,                -76089,               -160787,              4332141,,                561296,              3770845,              3770845,,,,,,,,,                142760,              3913605,,              3779461,                 -8616,,              3922221,                 -8616,,                              4.90,                              4.90,,                              4.72,                              4.72,,                              0,,,                172000,                 29240
5522,2013年01月01日至2013年03月31日,,              4923362,,              2867567,              2055795,              2055795,,,                242080,,                137397,                379477,,                    230,              1676548,,,                  7117,,                 46391,,                 64138,,                -10860,                -21490,              1655058,,                177858,              1477200,              1477200,,,,,,,,,                 89640,              1566840,,              1482427,                 -5227,,              1572067,                 -5227,,                              1.92,                              1.92,,                              1.85,                              1.85,,                              0,,,                108000,                 18360
5522,2012年07月01日至2012年09月30日,,              1755587,,              1089291,                666296,                666296,,,                 39739,,                110159,                149898,,                 93201,                609599,,,                  5364,,                -32602,,                 61893,,                -78454,               -167585,                442014,,                152160,                289854,                289854,,,,,,,,,                -29050,                260804,,                290840,                   -986,,                261790,                   -986,,                              0.38,                              0.38,,                              0.35,                              0.35,,,,,                -35000,                 -5950
5522,2012年04月01日至2012年06月30日,,              1815856,,              1217042,                598814,                598814,,,                 57358,,                109474,                166832,,                 49656,                481638,,,                 12979,,                  7273,,                 37055,,                -84000,               -100803,                380835,,                219337,                161498,                161498,,,,,,,,,                 16600,                178098,,                163821,                 -2323,,                180421,                 -2323,,                              0.21,                              0.21,,                              0.21,                              0.21,,,,,                 20000,                  3400
5522,2012年01月01日至2012年12月31日,,             15390961,,              9115775,              6275186,              6275186,,,                677429,,                474313,              1151742,,                147634,              5271078,,,                 48995,,               -228511,,                208310,,               -254894,               -642720,              4628358,,                879632,              3748726,              3748726,,,,,,,,,               -118094,              3630632,,              3754135,                 -5409,,              3636184,                 -5552,,                              4.87,                              4.87,,                              4.72,                              4.72,,                              0,                -61282,,                -81000,                -24188
5522,2012年01月01日至2012年09月30日,,              5615844,,              3601080,              2014764,              2014764,,,                196908,,                323356,                520264,,                142857,              1637357,,,                 28279,,               -101089,,                142424,,               -185454,               -400688,              1236669,,                388307,                848362,                848362,,,,,,,,,                -70550,                777812,,                853407,                 -5045,,                782857,                 -5045,,                              1.11,                              1.11,,                              1.09,                              1.09,,,,,                -85000,                -14450
5522,2012年01月01日至2012年06月30日,,              3860257,,              2511789,              1348468,              1348468,,,                157169,,                213197,                370366,,                 49656,              1027758,,,                 22915,,                -68487,,                 80531,,               -107000,               -233103,                794655,,                236147,                558508,                558508,,,,,,,,,                -41500,                517008,,                562567,                 -4059,,                521067,                 -4059,,                              0.73,                              0.73,,                              0.73,                              0.73,,,,,                -50000,                 -8500
5522,2012年01月01日至2012年03月31日,,              2044401,,              1294747,                749654,                749654,,,                 99811,,                103723,                203534,,                              0,                546120,,,                  9936,,                -75760,,                 43476,,                -23000,               -132300,                413820,,                 16810,                397010,                397010,,,,,,,,,                -58100,                338910,,                398746,                 -1736,,                340646,                 -1736,,                              0.52,                              0.52,,                              0.51,                              0.51,,,,,                -70000,                -11900
