證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　 採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2467,2014年01月01日至2014年03月31日,,,                836873,,                 14276,,                  3374,                854523,,,                546678,                  8294,                554972,                299551,                299551,,,                 92709,,                 71344,,                 63667,                227720,                 71831,,,                  8066,                  8066,,                -10575,,                  5204,,                  1724,                 -5989,                 65842,,                 14363,                 51479,                 51479,,,                 15608,                 40536,,                              0,                 56144,                 56144,                107623,,                 51898,                   -419,,                108042,                   -419,,                              0.33,                              0.33,,                              0.32,                              0.32,,                              0,,,,,,
2467,2013年第3季,,,                867038,,                 16390,,                  5001,                888429,,,                582001,                  8366,                590367,                298062,                298062,,,                103581,,                 57372,,                 73873,                234826,                 63236,,,                 15587,                 15587,,                -16097,,                  4666,,                  1943,                 -3233,                 60003,,                 17729,                 42274,                 42274,,,,,,,,                 -9045,                 33229,,                 44287,                 -2013,,                 35242,                 -2013,,                              0.27,                              0.27,,                              0.27,                              0.27,,,                -11596,                  2551,,,,
2467,2013年第2季,,,              1079049,,                 14603,,                  6766,              1100418,,,                715043,                  3144,                718187,                382231,                382231,,,                109364,,                 98213,,                 65727,                273304,                108927,,,                  9880,                  9880,,                 -6351,,                  2953,,                    884,                  1460,                110387,,                 26250,                 84137,                 84137,,,,,,,,                 65106,                149243,,                 87815,                 -3678,,                152921,                 -3678,,                              0.55,                              0.55,,                              0.55,                              0.55,,,                 20410,                 44696,,,,
2467,2013年度,,,              3349602,,                 57881,,                 30083,              3437566,,,              2279794,                 31330,              2311124,              1126442,              1126442,,,                387683,,                289009,,                279141,                955833,                170609,,,                 47646,                 47646,,                138298,,                 17877,,                  5197,                173264,                343873,,                 72642,                271231,                271231,,,,,,,,                185091,                456322,,                285785,                -14554,,                470876,                -14554,,                              1.80,                              1.80,,                              1.78,                              1.78,,,                 71496,                119028,                 -5433,,                              0,                              0
2467,2013年07月01日至2013年09月30日,,,                867038,,                 16390,,                  5001,                888429,,,                582001,                  8366,                590367,                298062,                298062,,,                103581,,                 57372,,                 73873,                234826,                 63236,,,                 15587,                 15587,,                -16097,,                  4666,,                  1943,                 -3233,                 60003,,                 17729,                 42274,                 42274,,,,,,,,                 -9045,                 33229,,                 44287,                 -2013,,                 35242,                 -2013,,                              0.27,                              0.27,,                              0.27,                              0.27,,,                -11596,                  2551,                              0,,,
2467,2013年04月01日至2013年06月30日,,,              1079049,,                 14603,,                  6766,              1100418,,,                715043,                  3144,                718187,                382231,                382231,,,                109364,,                 98213,,                 65727,                273304,                108927,,,                  9880,                  9880,,                 -6351,,                  2953,,                    884,                  1460,                110387,,                 26250,                 84137,                 84137,,,,,,,,                 65106,                149243,,                 87815,                 -3678,,                152921,                 -3678,,                              0.55,                              0.55,,                              0.55,                              0.55,,,                 20410,                 44696,                              0,,,
2467,2013年01月01日至2013年12月31日,,,              3349602,,                 57881,,                 30083,              3437566,,,              2279794,                 31330,              2311124,              1126442,              1126442,,,                387683,,                289009,,                279141,                955833,                170609,,,                 47646,                 47646,,                138298,,                 17877,,                  5197,                173264,                343873,,                 72642,                271231,                271231,,,,,,,,                185091,                456322,,                285785,                -14554,,                470876,                -14554,,                              1.80,                              1.80,,                              1.78,                              1.78,,,                 71496,                119028,                 -5433,,,
2467,2013年01月01日至2013年09月30日,,,              2537148,,                 40195,,                 17119,              2594462,,,              1710091,                 18679,              1728770,                865692,                865692,,,                299338,,                230373,,                195034,                724745,                140947,,,                 34534,                 34534,,                129547,,                 11741,,                  4273,                156613,                297560,,                 70619,                226941,                226941,,,,,,,,                 94454,                321395,,                240559,                -13618,,                335013,                -13618,,                              1.51,                              1.51,,                              1.50,                              1.50,,,                 49607,                 44847,,,,
2467,2013年01月01日至2013年06月30日,,,              1670110,,                 23805,,                 12118,              1706033,,,              1128090,                 10313,              1138403,                567630,                567630,,,                195757,,                173001,,                121161,                489919,                 77711,,,                 18947,                 18947,,                145644,,                  7075,,                  2330,                159846,                237557,,                 52890,                184667,                184667,,,,,,,,                103499,                288166,,                196272,                -11605,,                299771,                -11605,,                              1.24,                              1.24,,                              1.23,                              1.23,,,                 61203,                 42296,,,,
2467,2013年01月01日至2013年03月31日,,,                591061,,                  9202,,                  5352,                605615,,,                413047,                  7169,                420216,                185399,                185399,,,                 86393,,                 74788,,                 55434,                216615,                -31216,,,                  9067,                  9067,,                151995,,                  4122,,                  1446,                158386,                127170,,                 26640,                100530,                100530,,,,,,,,                 38393,                138923,,                108457,                 -7927,,                146850,                 -7927,,                              0.68,                              0.68,,                              0.68,                              0.68,,,                 40793,                 -2400,,,,
2467,2012年07月01日至2012年09月30日,,,                964497,,                 10429,,                  5617,                980543,,,                586500,                  3707,                590207,                390336,                390336,,,                120029,,                123397,,                 68715,                312141,                 78195,,,                 32650,                 32650,,                 -7175,,                  4792,,                    761,                 21444,                 99639,,                 20551,                 79088,                 79088,,,,,,,,                -29232,                 49856,,                 90097,                -11009,,                 60865,                -11009,,                              0.57,                              0.57,,                              0.56,                              0.56,,,                -26321,                 -1910,                 -1001,,,
2467,2012年04月01日至2012年06月30日,,,                967097,,                 15748,,                  7548,                990393,,,                649453,                  5462,                654915,                335478,                335478,,,                 94465,,                 78404,,                 70625,                243494,                 91984,,,                  8137,                  8137,,                 -1963,,                  4557,,                  1957,                  3574,                 95558,,                 25262,                 70296,                 70296,,,,,,,,                -18069,                 52227,,                 76298,                 -6002,,                 58229,                 -6002,,                              0.48,                              0.48,,                              0.47,                              0.47,,,                 -6134,                -10770,                 -1165,,,
2467,2012年01月01日至2012年12月31日,,,              3575665,,                 50596,,                 26530,              3652791,,,              2358699,                 22274,              2380973,              1271818,              1271818,,,                391204,,                347857,,                244716,                983777,                288041,,,                 55463,                 55463,,                -35491,,                 19177,,                  3884,                  4679,                292720,,                 64500,                228220,                228220,,,,,,,,                -47549,                180671,,                261825,                -33605,,                214276,                -33605,,                              1.66,                              1.66,,                              1.64,                              1.64,,,                -46327,                  2782,                 -4004,,,
2467,2012年01月01日至2012年09月30日,,,              2674640,,                 38210,,                 15540,              2728390,,,              1720004,                 15006,              1735010,                993380,                993380,,,                299382,,                282278,,                193227,                774887,                218493,,,                 46972,                 46972,,                -22210,,                 13163,,                  3163,                 14762,                233255,,                 54764,                178491,                178491,,,,,,,,                -39457,                139034,,                204740,                -26249,,                165283,                -26249,,                              1.30,                              1.30,,                              1.28,                              1.28,,,                -48852,                 12398,                 -3003,,,
2467,2012年01月01日至2012年06月30日,,,              1710143,,                 27781,,                  9923,              1747847,,,              1133504,                 11299,              1144803,                603044,                603044,,,                179353,,                158881,,                124512,                462746,                140298,,,                 14322,                 14322,,                -15035,,                  8371,,                  2402,                 -6682,                133616,,                 34213,                 99403,                 99403,,,,,,,,                -10225,                 89178,,                114643,                -15240,,                104418,                -15240,,                              0.73,                              0.73,,                              0.72,                              0.72,,,                -22531,                 14308,                 -2002,,,
2467,2012年01月01日至2012年03月31日,,,                743046,,                 12033,,                  2375,                757454,,,                484051,                  5837,                489888,                267566,                267566,,,                 84888,,                 80477,,                 53887,                219252,                 48314,,,                  6185,                  6185,,                -13072,,                  3814,,                    445,                -10256,                 38058,,                  8951,                 29107,                 29107,,,,,,,,                  7844,                 36951,,                 38345,                 -9238,,                 46189,                 -9238,,                              0.25,                              0.25,,                              0.24,                              0.24,,,                -16397,                 25078,                   -837,,,
