證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 其他綜合損益（淨額）,　　 與其他綜合損益組成部分相關之所得稅
2545,2014年01月01日至2014年03月31日,,                 87168,,                 42281,                 44887,                 44887,,,                 51866,,                 95878,                147744,               -102857,,,                  3998,,                 -2995,,                 65778,                -64775,               -167632,,                  4317,               -171949,               -171949,               -171949,,               -171949,,,               -171949,,,                             -0.52,,                             -0.52,,,,
2545,2013年第3季,,              1277788,,                542140,                735648,                735648,,,                162074,,                134017,                296091,                439557,,,                 14794,,                -31626,,                 69451,                -86283,                353274,,                 22523,                330751,                330751,                330751,,                330587,                    164,,                330587,                    164,,                              1.01,,                              1.01,,,                              0,                              0
2545,2013年第2季,,              2212687,,                888847,              1323840,              1323840,,,                134169,,                133271,                267440,              1056400,,,                  4911,,                 36080,,                 68880,                -27889,              1028511,,                206049,                822462,                822462,                822462,,                822150,                    312,,                822150,                    312,,                              2.51,,                              2.50,,,,
2545,2013年度,,              5138420,,              2221955,              2916465,              2916465,,,                391573,,                467047,                858620,              2057845,,,                 28349,,                 85973,,                273365,               -159043,              1898802,,                245051,              1653751,              1653751,              1656588,,              1651762,                  1989,,              1654599,                  1989,,                              5.04,,                              5.03,,                  2837,                  2837,
2545,2013年07月01日至2013年09月30日,,              1277788,,                542140,                735648,                735648,,,                162074,,                134017,                296091,                439557,,,                 14794,,                -31626,,                 69451,                -86283,                353274,,                 22523,                330751,                330751,                330751,,                330587,                    164,,                330587,                    164,,                              1.01,,                              1.01,,,                              0,                              0
2545,2013年04月01日至2013年06月30日,,              2212687,,                888847,              1323840,              1323840,,,                134169,,                133271,                267440,              1056400,,,                  4911,,                 36080,,                 68880,                -27889,              1028511,,                206049,                822462,                822462,                822462,,                822150,                    312,,                822150,                    312,,                              2.51,,                              2.50,,,                              0,                              0
2545,2013年01月01日至2013年12月31日,,              5138420,,              2221955,              2916465,              2916465,,,                391573,,                467047,                858620,              2057845,,,                 28349,,                 85973,,                273365,               -159043,              1898802,,                245051,              1653751,              1653751,              1656588,,              1651762,                  1989,,              1654599,                  1989,,                              5.04,,                              5.03,,                  2837,                  2837,
2545,2013年01月01日至2013年09月30日,,              4939140,,              2068185,              2870955,              2870955,,,                383106,,                374670,                757776,              2113179,,,                 21616,,                 37702,,                207786,               -148468,              1964711,,                238995,              1725716,              1725716,              1725716,,              1725158,                    558,,              1725158,                    558,,                              5.26,,                              5.26,,,                              0,                              0
2545,2013年01月01日至2013年06月30日,,              3661352,,              1526045,              2135307,              2135307,,,                221032,,                240653,                461685,              1673622,,,                  6822,,                 69328,,                138335,                -62185,              1611437,,                216472,              1394965,              1394965,              1394965,,              1394571,                    394,,              1394571,                    394,,                              4.26,,                              4.25,,,,
2545,2013年01月01日至2013年03月31日,,              1448665,,                637198,                811467,                811467,,,                 86863,,                107382,                194245,                617222,,,                  1911,,                 33248,,                 69455,                -34296,                582926,,                 10423,                572503,                572503,                572503,,                572421,                     82,,                572421,                     82,,                              1.75,,                              1.75,,,,
2545,2012年07月01日至2012年09月30日,,              4786692,,              1961699,              2824993,              2824993,,,                167977,,                116208,                284185,              2540808,,,                 13580,,                127859,,                 98005,                 43434,              2584242,,                 75599,              2508643,              2508643,              2508643,,              2508014,                    629,,              2508014,                    629,,                              7.65,,                              7.64,,,                              0,                              0
2545,2012年04月01日至2012年06月30日,,                144447,,                 87480,                 56967,                 56967,,,                 47118,,                123567,                170685,               -113718,,,                  1522,,                -35934,,                 82880,               -117292,               -231010,,                 76834,               -307844,               -307844,               -307844,,               -307665,                   -179,,               -307665,                   -179,,                             -0.94,,                             -0.94,,,                              0,                              0
2545,2012年01月01日至2012年12月31日,,             11472666,,              4808259,              6664407,              6664407,,,                464215,,                409900,                874115,              5790292,,,                 20610,,                141186,,                336009,               -174213,              5616079,,                190015,              5426064,              5426064,              5426334,,              5425286,                    778,,              5425562,                    772,,                             16.55,,                             16.53,,                    270,                    270,
2545,2012年01月01日至2012年09月30日,,              5889542,,              2352465,              3537077,              3537077,,,                254707,,                322563,                577270,              2959807,,,                 18357,,                138621,,                249288,                -92310,              2867497,,                153240,              2714257,              2714257,              2714257,,              2714137,                    120,,              2714137,                    120,,                              8.28,,                              8.26,,,                              0,                              0
2545,2012年01月01日至2012年06月30日,,              1102850,,                390766,                712084,                712084,,,                 86730,,                206355,                293085,                418999,,,                  4777,,                 10762,,                151283,               -135744,                283255,,                 77641,                205614,                205614,                205614,,                206123,                   -509,,                206123,                   -509,,                              0.63,,                              0.63,,,                              0,                              0
2545,2012年01月01日至2012年03月31日,,                958403,,                303286,                655117,                655117,,,                 39612,,                 82788,                122400,                532717,,,                  3255,,                 46696,,                 68403,                -18452,                514265,,                    807,                513458,                513458,                513458,,                513788,                   -330,,                513788,                   -330,,                              1.57,,                              1.57,,,,
