證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
1476,2014年01月01日至2014年03月31日,,              4478376,,              3280046,              1198330,              1198330,,,                318435,,                119515,,                 23790,                461740,                736590,,,                    665,,                 72898,,                  6135,,                              0,                 67428,                804018,,                145452,                658566,                658566,,,                 51511,                              0,                 51511,                 51511,                710077,,                658346,                    220,,                709821,                    256,,                              2.52,,,,,
1476,2013年第3季,,              4959113,,              3543859,              1415254,              1415254,,,                236374,,                217643,,                 29611,                483628,                931626,,,                 -2018,,                -62563,,                  4643,,,                -69224,                862402,,                139127,                723275,                723275,,,,,,                -24803,                698472,,                722920,                    355,,                698172,                    300,,                              2.77,                -29879,,                 -5076,,                              2.77
1476,2013年第2季,,              4131190,,              2921940,              1209250,              1209250,,,                183905,,                210517,,                 22682,                417104,                792146,,,                  1695,,                 18105,,                  4776,,,                 15024,                807170,,                172732,                634438,                634438,,,,,,                 10911,                645349,,                634178,                    260,,                645084,                    265,,                              2.53,                 13145,,                  2234,,                              2.53
1476,2013年度,,             18141803,,             13021871,              5119932,              5119932,,,                886394,,                840779,,                102368,              1829541,              3290391,,,                  3686,,                 43964,,                 19862,,,                 27788,              3318179,,                579442,              2738737,              2738737,,,,,,                 41919,              2780656,,              2738095,                    642,,              2779986,                    670,,                             10.49,                 51058,                   -464,                  8675,,
1476,2013年07月01日至2013年09月30日,,              4959113,,              3543859,              1415254,              1415254,,,                236374,,                217643,,                 29611,                483628,                931626,,,                 -2018,,                -62563,,                  4643,,,                -69224,                862402,,                139127,                723275,                723275,,,,,,                -24803,                698472,,                722920,                    355,,                698172,                    300,,                              2.88,                -29879,,                 -5076,,                              2.88
1476,2013年04月01日至2013年06月30日,,              4131190,,              2921940,              1209250,              1209250,,,,,,,,                417104,                792146,,,                  1695,,                 18105,,                  4776,,,                 15024,                807170,,                172732,                634438,                634438,,,,,,                 10911,                645349,,                634178,                    260,,                645084,                    265,,                              2.58,                 13145,,                  2234,,                              2.58
1476,2013年01月01日至2013年12月31日,,             18141803,,             13021871,              5119932,              5119932,,,                886394,,                840779,,                102368,              1829541,              3290391,,,                  3686,,                 43964,,                 19862,,,                 27788,              3318179,,                579442,              2738737,              2738737,,,,,,                 41919,              2780656,,              2738095,                    642,,              2779986,                    670,,                             10.91,                 51058,                   -464,                  8675,,
1476,2013年01月01日至2013年09月30日,,             12763575,,              9098256,              3665319,              3665319,,,                600652,,                614034,,                 74966,              1289652,              2375667,,,                  2751,,                 12226,,                 14395,,,                    582,              2376249,,                427013,              1949236,              1949236,,,,,,                 25567,              1974803,,              1949057,                    179,,              1974643,                    160,,                              7.47,                 30800,,                  5233,,                              7.47
1476,2013年01月01日至2013年06月30日,,              7804462,,              5554397,              2250065,              2250065,,,                364278,,                396391,,                 45355,                806024,              1444041,,,                  4769,,                 74789,,                  9752,,,                 69806,              1513847,,                287886,              1225961,              1225961,,,,,,                 50370,              1276331,,              1226137,                   -176,,              1276470,                   -139,,                              4.89,                 60679,,                 10309,,                              4.89
1476,2013年01月01日至2013年03月31日,,              3673272,,              2632457,              1040815,              1040815,,,                180373,,                185874,,                 22673,                388920,                651895,,,                    637,,                 59121,,                  4976,,,                 54782,                706677,,                115154,                591523,                591523,,,,,,                 39459,                630982,,                591959,                   -436,,                631386,                   -404,,                              2.36,                 47534,,                  8075,,
1476,2012年07月01日至2012年09月30日,,              3535731,,              2515509,              1020222,              1020222,,,                221210,,                193078,,                 16304,                430592,                589630,,,                 -5884,,                 -4642,,                  6457,,,                -16983,                572647,,                 90764,                481883,                481883,,,,,,                -18306,                463577,,                481380,                    503,,                463096,                    481,,                              2.13,                -22051,,                 -3745,,                              2.13
1476,2012年04月01日至2012年06月30日,,              2686265,,              1930602,                755663,                755663,,,,,,,,                320813,                434850,,,                  2385,,                 19432,,                  5482,,,                 16335,                451185,,                114311,                336874,                336874,,,,,,                 12351,                349225,,                336648,                    226,,                348985,                    240,,                              1.49,                 14879,,                  2528,,                              1.49
1476,2012年01月01日至2012年12月31日,,             13566148,,              9789857,              3776291,              3776291,,,                749766,,                735021,,                 57157,              1541944,              2234347,,,                  2230,,                -13957,,                 24744,,,                -36471,              2197876,,                404333,              1793543,              1793543,,,,,,                -41185,              1752358,,              1792224,                  1319,,              1751067,                  1291,,                              7.61,                -44920,                 -3896,                 -7631,,
1476,2012年01月01日至2012年09月30日,,              9130181,,              6554620,              2575561,              2575561,,,                509948,,                512489,,                 44216,              1066653,              1508908,,,                  1909,,                  1734,,                 18358,,,                -14715,              1494193,,                290104,              1204089,              1204089,,,,,,                -29275,              1174814,,              1203288,                    801,,              1174028,                    786,,                              5.32,                -35267,,                 -5992,,                              5.32
1476,2012年01月01日至2012年06月30日,,              5594450,,              4039111,              1555339,              1555339,,,,,,,,                636061,                919278,,,                  7793,,                  6376,,                 11901,,,                  2268,                921546,,                199340,                722206,                722206,,,,,,                -10969,                711237,,                721908,                    298,,                710932,                    305,,                              3.19,                -13216,,                 -2247,,                              3.19
1476,2012年01月01日至2012年03月31日,,              2908185,,              2108509,                799676,                799676,,,                144835,,                156316,,                 14097,                315248,                484428,,,                  5408,,                -13056,,                  6419,,,                -14067,                470361,,                 85029,                385332,                385332,,,,,,                -23320,                362012,,                385260,                     72,,                361947,                     65,,                              1.70,                -28095,,                 -4775,,                              1.70
