證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2548,2013年07月01日至2013年09月30日,,                108277,,                 71331,                 36946,                 36946,,,                 75536,,                 43866,                119402,                -82456,,,                  9572,,                 -2080,,                 12378,,                    177,                 -4709,                -87165,,                   -264,                -86901,                -86901,,,,,,,                -17240,               -104141,,                -84775,                 -2126,,                -98581,                 -5560,,                             -0.31,                             -0.31,,                             -0.31,                             -0.31,                -20687,                    -69,,                 -3516
2548,2013年04月01日至2013年06月30日,,                205645,,                141558,                 64087,                 64087,,,                  8856,,                140558,                149414,                -85327,,,                  4709,,                  3958,,                  8786,,                     50,                    -69,                -85396,,                 26600,               -111996,               -111996,,,,,,,                 25414,                -86582,,               -109567,                 -2429,,                -89360,                  2778,,                             -0.40,                             -0.40,,                             -0.40,                             -0.40,                 31365,                   -620,,                  5331
2548,2013年01月01日至2013年12月31日,,             10269414,,              6370890,              3898524,              3898524,,,                239466,,                404355,                643821,              3254703,,,                101857,,                 12406,,                 47976,,                  4205,                 70492,              3325195,,                194357,              3130838,              3130838,,,,,,,                 90495,              3221333,,              3065541,                 65297,,              3135440,                 85893,,                             11.08,                             11.08,,                             11.04,                             11.04,                102979,                   -512,                  2395,                 14367
2548,2013年01月01日至2013年09月30日,,              8528800,,              5127687,              3401113,              3401113,,,                 97341,,                320378,                417719,              2983394,,,                 50693,,                  3040,,                 31528,,                    899,                 23104,              3006498,,                 75589,              2930909,              2930909,,,,,,,                 54058,              2984967,,              2938144,                 -7235,,              2979702,                  5265,,                             10.62,                             10.62,,                             10.60,                             10.60,                 62499,                     59,,                  8500
2548,2013年01月01日至2013年06月30日,,              8420523,,              5056356,              3364167,              3364167,,,                 21805,,                276512,                298317,              3065850,,,                 41121,,                  5120,,                 19150,,                    722,                 27813,              3093663,,                 75853,              3017810,              3017810,,,,,,,                 71991,              3089801,,              3022919,                 -5109,,              3078283,                 11518,,                             10.93,                             10.93,,                             10.88,                             10.88,                 83176,                    128,,                 11313
2548,2013年01月01日至2013年03月31日,,              8214878,,              4914798,              3300080,              3300080,,,                 12949,,                135954,                148903,              3151177,,,                 36412,,                  1162,,                 10364,,                    672,                 27882,              3179059,,                 49253,              3129806,              3129806,,,,,,,                 45521,              3175327,,              3132486,                 -2680,,              3167643,                  7684,,                             11.32,                             11.32,,                             11.27,                             11.27,                 51821,                    748,,                  7048
2548,2012年07月01日至2012年09月30日,,                332779,,                189168,                143611,                143611,,,                 22695,,                 83996,                106691,                 36920,,,                  7791,,                -43404,,                 12355,,                    120,                -47848,                -10928,,                  4753,                -15681,                -15681,,,,,,,                -18136,                -33817,,                -13905,                 -1776,,                -28217,                 -5600,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,                -23038,                    985,,                 -3917
2548,2012年04月01日至2012年06月30日,,                  2853,,                    232,                  2621,                  2621,,,                     19,,                 86733,                 86752,                -84131,,,                 28209,,                 -8965,,                  9752,,                    525,                 10017,                -74114,,                101877,               -175991,               -175991,,,,,,,                  4475,               -171516,,               -174126,                 -1865,,               -171058,                   -458,,                             -0.63,                             -0.63,,                             -0.63,                             -0.63,                  8478,                 -2561,,                  1442
2548,2012年01月01日至2012年12月31日,,              7783722,,              4617798,              3165924,              3165924,,,                 66613,,                356681,                423294,              2742630,,,                 76805,,                -51958,,                 38889,,                  5271,                 -8771,              2733859,,                 95842,              2638017,              2638017,,,,,,,                -35176,              2602841,,              2644347,                 -6330,,              2609171,                 -6330,,                              9.56,                              9.56,,                              9.52,                              9.52,                -33337,                   -286,                 -8699,                 -7146
2548,2012年01月01日至2012年09月30日,,                338502,,                189687,                148815,                148815,,,                 22943,,                237741,                260684,               -111869,,,                 36073,,                -38733,,                 29731,,                    598,                -31793,               -143662,,                 68677,               -212339,               -212339,,,,,,,                -34064,               -246403,,               -208111,                 -4228,,               -235118,                -11285,,                             -0.75,                             -0.75,,                             -0.75,                             -0.75,                -42512,                  1221,,                 -7227
2548,2012年01月01日至2012年06月30日,,                  5723,,                    519,                  5204,                  5204,,,                    248,,                153745,                153993,               -148789,,,                 28282,,                  4671,,                 17376,,                    478,                 16055,               -132734,,                 63924,               -196658,               -196658,,,,,,,                -15928,               -212586,,               -194206,                 -2452,,               -206901,                 -5685,,                             -0.70,                             -0.70,,                             -0.70,                             -0.70,                -19474,                    236,,                 -3310
2548,2012年01月01日至2012年03月31日,,                  2870,,                    287,                  2583,                  2583,,,                    229,,                 67012,                 67241,                -64658,,,                     73,,                 13636,,                  7624,,                    -47,                  6038,                -58620,,                -37953,                -20667,                -20667,,,,,,,                -20403,                -41070,,                -20080,                   -587,,                -35843,                 -5227,,                             -0.07,                             -0.07,,                             -0.07,                             -0.07,                -27952,                  2797,,                 -4752
