證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2387,2013年第3季,,              3356625,,              3073230,                283395,                283395,,,                 76023,,                114831,,                 62303,                253157,                 30238,,,                 16783,,                -11744,,                 11269,,                   -813,                 -7043,                 23195,,                 30499,                 -7304,                 -7304,,,,,,,,,,               -101570,               -108874,,                 -6133,                 -1171,,                -98639,                -10235,,                             -0.02,                             -0.02,,                             -0.02,                             -0.02,               -101970,                    400,,
2387,2013年第2季,,              2787837,,              2525393,                262444,                262444,,,                 65720,,                124800,,                 57192,                247712,                 14732,,,                  6851,,                -38538,,                  7236,,                   -486,                -39409,                -24677,,                 16812,                -41489,                -41489,,,,,,,,,,                133476,                 91987,,                -37106,                 -4383,,                 82635,                  9352,,                             -0.11,                             -0.11,,                             -0.11,                             -0.11,                131423,                  2053,,
2387,2013年度,,             12794636,,             11380862,              1413774,              1413774,,,                292442,,                487471,,                255921,              1035834,                377940,,,                 64389,,               -210725,,                 31707,,                 -1529,               -179572,                198368,,                 98721,                 99647,                 99647,,,,,,,,,,                432148,                531795,,                104790,                 -5143,,                493924,                 37871,,                              0.30,                              0.30,,                              0.29,                              0.29,                428477,                  2912,                    914,                    155
2387,2013年07月01日至2013年09月30日,,              3356625,,              3073230,                283395,                283395,,,                 76023,,                114831,,                 62303,                253157,                 30238,,,                 16783,,                -11744,,                 11269,,                   -813,                 -7043,                 23195,,                 30499,                 -7304,                 -7304,,,,,,,,,,               -101570,               -108874,,                 -6133,                 -1171,,                -98639,                -10235,,                             -0.02,                             -0.02,,                             -0.02,                             -0.02,               -101970,                    400,,
2387,2013年04月01日至2013年06月30日,,              2787837,,              2525393,                262444,                262444,,,                 65720,,                124800,,                 57192,                247712,                 14732,,,                  6851,,                -38538,,                  7236,,                   -486,                -39409,                -24677,,                 16812,                -41489,                -41489,,,,,,,,,,                133476,                 91987,,                -37106,                 -4383,,                 82635,                  9352,,                             -0.11,                             -0.11,,                             -0.11,                             -0.11,                131423,                  2053,,
2387,2013年01月01日至2013年12月31日,,             12794636,,             11380862,              1413774,              1413774,,,                292442,,                487471,,                255921,              1035834,                377940,,,                 64389,,               -210725,,                 31707,,                 -1529,               -179572,                198368,,                 98721,                 99647,                 99647,,,,,,,,,,                432148,                531795,,                104790,                 -5143,,                493924,                 37871,,                              0.30,                              0.30,,                              0.29,                              0.29,                428477,                  2912,                    914,                    155
2387,2013年01月01日至2013年09月30日,,              8984853,,              8008729,                976124,                976124,,,                206012,,                345667,,                176540,                728219,                247905,,,                 41514,,                -86874,,                 25512,,                 -1437,                -72309,                175596,,                 82459,                 93137,                 93137,,,,,,,,,,                277063,                370200,,                 89287,                  3850,,                338913,                 31287,,                              0.25,                              0.25,,                              0.25,                              0.25,                275634,                  1429,,
2387,2013年01月01日至2013年06月30日,,              5628228,,              4935499,                692729,                692729,,,                129989,,                230836,,                114237,                475062,                217667,,,                 24731,,                -75130,,                 14243,,                   -624,                -65266,                152401,,                 51960,                100441,                100441,,,,,,,,,,                378633,                479074,,                 95420,                  5021,,                437552,                 41522,,                              0.27,                              0.27,,                              0.27,                              0.27,                377604,                  1029,,
2387,2013年01月01日至2013年03月31日,,              2840391,,              2410106,                430285,                430285,,,                 64269,,                106036,,                 57045,                227350,                202935,,,                 17880,,                -36592,,                  7007,,                   -138,                -25857,                177078,,                 35148,                141930,                141930,,,,,,,,,,                245157,                387087,,                132526,                  9404,,                354917,                 32170,,                              0.38,                              0.38,,                              0.37,                              0.37,                246181,                 -1024,,
2387,2012年07月01日至2012年09月30日,,              3552253,,              3321074,                231179,                231179,,,                 78386,,                 91056,,                 57434,                226876,                  4303,,,                 17305,,                 30446,,                 10602,,                    123,                 37272,                 41575,,                 16773,                 24802,                 24802,,,,,,,,,,               -178732,               -153930,,                 23663,                  1139,,               -138565,                -15365,,                              0.07,                              0.07,,                              0.07,                              0.07,               -180915,                  2183,,
2387,2012年04月01日至2012年06月30日,,              3435876,,              3249555,                186321,                186321,,,                 84850,,                113380,,                 70138,                268368,                -82047,,,                 17114,,                 10893,,                 16710,,                   -294,                 11003,                -71044,,                 46298,               -117342,               -117342,,,,,,,,,,                 71659,                -45683,,                -92218,                -25124,,                -26620,                -19063,,                             -0.26,                             -0.26,,                             -0.26,                             -0.26,                 74187,                 -2528,,
2387,2012年01月01日至2012年12月31日,,             13253071,,             12200891,              1052180,              1052180,,,                301228,,                496674,,                230670,              1028572,                 23608,,,                 88283,,                -36519,,                 53177,,                 -1338,                 -2751,                 20857,,                 95058,                -74201,                -74201,,,,,,,,,,               -268825,               -343026,,                -45842,                -28359,,               -289919,                -53107,,                             -0.13,                             -0.13,,                             -0.13,                             -0.13,               -285987,                 17455,                   -353,                    -60
2387,2012年01月01日至2012年09月30日,,              9964286,,              9256084,                708202,                708202,,,                252008,,                341916,,                185868,                779792,                -71590,,,                 65252,,                 36836,,                 38673,,                   -218,                 63197,                 -8393,,                 82909,                -91302,                -91302,,,,,,,,,,               -310549,               -401851,,                -54182,                -37120,,               -333579,                -68272,,                             -0.15,                             -0.15,,                             -0.15,                             -0.15,               -329913,                 19364,,
2387,2012年01月01日至2012年06月30日,,              6412033,,              5935010,                477023,                477023,,,                173622,,                250860,,                128434,                552916,                -75893,,,                 47947,,                  6390,,                 28071,,                   -341,                 25925,                -49968,,                 66133,               -116101,               -116101,,,,,,,,,,               -131817,               -247918,,                -77842,                -38259,,               -195011,                -52907,,                             -0.22,                             -0.22,,                             -0.22,                             -0.22,               -148998,                 17181,,
2387,2012年01月01日至2012年03月31日,,              2976157,,              2685455,                290702,                290702,,,                 88772,,                137480,,                 58296,                284548,                  6154,,,                 30833,,                 -4503,,                 11361,,                    -47,                 14922,                 21076,,                 19835,                  1241,                  1241,,,,,,,,,,               -203476,               -202235,,                 14375,                -13134,,               -168392,                -33843,,                              0.04,                              0.04,,                              0.04,                              0.04,               -223185,                 19709,,
