證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
5203,2013年度,,              2580196,,                413218,              2166978,,              2166978,,,                542924,,                181812,,                544114,              1268850,                898128,,,                 69400,,                 24327,,,                 93727,                991855,,                283905,                707950,                707950,,,,,,,                 -1805,                706145,,                707950,,                706145,,                              7.07,                              7.07,,                              6.94,                              6.94,                   -301,                 -4760,                 -3256
5203,2013年07月01日至2013年09月30日,,                658094,,                115856,                542238,,                542238,,,                132110,,                 51572,,                132541,                316223,                226015,,,                 17721,,                -18918,,,                 -1197,                224818,,                 61210,                163608,                163608,,,,,,,                 -8566,                155042,,                163608,,                155042,,                              1.64,                              1.64,,                              1.62,                              1.62,                 -8566,,
5203,2013年04月01日至2013年06月30日,,                628183,,                114518,                513665,,                513665,,,                137193,,                 42572,,                136573,                316338,                197327,,,                 16789,,                  7661,,,                 24450,                221777,,                 67531,                154246,                154246,,,,,,,                   -492,                153754,,                154246,,                153754,,                              1.63,                              1.63,,                              1.63,                              1.63,                   -492,,
5203,2013年01月01日至2013年12月31日,,              2580196,,                413218,              2166978,,              2166978,,,                542924,,                181812,,                544114,              1268850,                898128,,,                 69400,,                 24327,,,                 93727,                991855,,                283905,                707950,                707950,,,,,,,                 -1805,                706145,,                707950,,                706145,,                              7.07,                              7.07,,                              6.94,                              6.94,                   -301,                 -4760,                 -3256
5203,2013年01月01日至2013年09月30日,,              1920228,,                331559,              1588669,,              1588669,,,                401583,,                131733,,                407472,                940788,                647881,,,                 49496,,                  2296,,,                 51792,                699673,,                183815,                515858,                515858,,,,,,,                  1170,                517028,,                515858,,                517028,,                              5.16,                              5.16,,                              5.07,                              5.07,                  1170,                              0,                              0
5203,2013年01月01日至2013年06月30日,,              1262134,,                215703,              1046431,,              1046431,,,                269473,,                 80161,,                274931,                624565,                421866,,,                 31775,,                 21214,,,                 52989,                474855,,                122605,                352250,                352250,,,,,,,                  9736,                361986,,                352250,,                361986,,                              3.52,                              3.52,,                              3.49,                              3.49,                  9736,                              0,                              0
5203,2013年01月01日至2013年03月31日,,                633951,,                101185,                532766,,                532766,,,                132280,,                 37589,,                138358,                308227,                224539,,,                 14986,,                 13553,,,                 28539,                253078,,                 55074,                198004,                198004,,,,,,,                 10228,                208232,,                198004,,                208232,,                              1.98,                              1.98,,                              1.95,                              1.95,                 10228,,
5203,2012年07月01日至2012年09月30日,,                822377,,                365105,                457272,,                457272,,,                132526,,                 32830,,                126342,                291698,                165574,,,                 20239,,                -12508,,,                  7731,                173305,,                 44853,                128452,                128452,,,,,,,                -10532,                117920,,                128452,,                117920,,                              1.28,                              1.28,,                              1.28,                              1.28,                -10532,,
5203,2012年04月01日至2012年06月30日,,                843133,,                379597,                463536,,                463536,,,                127522,,                 38249,,                130133,                295904,                167632,,,                 17979,,                  4899,,,                 22878,                190510,,                 50777,                139733,                139733,,,,,,,                 16272,                156005,,                139733,,                156005,,                              1.48,                              1.48,,                              1.48,                              1.48,                 16272,,
5203,2012年01月01日至2012年12月31日,,              3452784,,              1412647,              2040137,,              2040137,,,                537663,,                140451,,                509127,              1187241,                852896,,,                 73124,,                -25426,,,                 47698,                900594,,                246777,                653817,                653817,,,,,,,                -52510,                601307,,                653817,,                601307,,                              6.54,                              6.54,,                              6.46,                              6.46,                -36784,                -15726,                              0
5203,2012年01月01日至2012年09月30日,,              2573048,,              1131957,              1441091,,              1441091,,,                390522,,                105423,,                379148,                875093,                565998,,,                 54021,,                -23813,,,                 30208,                596206,,                150764,                445442,                445442,,,,,,,                -21460,                423982,,                445442,,                423982,,                              4.45,                              4.45,,                              4.42,                              4.42,                -21460,,
5203,2012年01月01日至2012年06月30日,,              1750671,,                766852,                983819,,                983819,,,                257996,,                 72593,,                252806,                583395,                400424,,,                 33782,,                -11305,,,                 22477,                422901,,                105911,                316990,                316990,,,,,,,                -10928,                306062,,                316990,,                306062,,                              3.36,                              3.36,,                              3.34,                              3.34,                -10928,,
5203,2012年01月01日至2012年03月31日,,                907538,,                387255,                520283,,                520283,,,                130474,,                 34344,,                122673,                287491,                232792,,,                 15803,,                -16204,,,                   -401,                232391,,                 55134,                177257,                177257,,,,,,,                -27200,                150057,,                177257,,                150057,,                              1.88,                              1.88,,                              1.86,                              1.86,                -27200,,
