證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 其他綜合損益
2104,2014年01月01日至2014年03月31日,,              5467591,,              4540512,                927079,                927079,,,                105395,,                180057,,                101127,                386579,                540500,,,                 21471,,                -18130,,                 90188,                -86847,                453653,,                257646,                196007,                196007,,,                117154,                202380,                319534,                319534,                515541,,                199241,                 -3234,,                510373,                  5168,,                              0.37,                              0.37,,                              0.37,                              0.37,,,,,,,,,,,
2104,2013年第3季,,              5287540,,              4421233,                866307,                866307,,,                 93706,,                209973,,                109245,                412924,                453383,,,                333522,,                -76129,,                101378,                156015,                609398,,                262464,                346934,                346934,,,,,,                783357,              1130291,,                405866,                -58932,,              1206298,                -76007,,                              0.75,                              0.75,,                              0.75,                              0.75,,,,,,,,,               -121215,                904572,
2104,2013年第2季,,              5689677,,              4820019,                869658,                869658,,,                 99706,,                211409,,                119871,                430986,                438672,,,                 20651,,                -17406,,                103082,                -99837,                338835,,                318536,                 20299,                 20299,,,,,,                -44633,                -24334,,                 76233,                -55934,,                 39730,                -64064,,                              0.14,                              0.14,,                              0.14,                              0.14,,,,,,,,,                 17940,                -62573,
2104,2013年度,,             21538510,,             17867605,              3670905,              3670905,,,                418973,,                769464,,                445837,              1634274,              2036631,,,                406052,,               -217850,,                372871,               -184669,              1851962,,              1194834,                657128,                657128,,,,,,              1324042,              1981170,,                810387,               -153259,,              2119088,               -137918,,                              1.50,                              1.50,,                              1.50,                              1.50,,,,,,,,,                164787,              1116487,                 42768
2104,2013年07月01日至2013年09月30日,,              5287540,,              4421233,                866307,                866307,,,                 93706,,                209973,,                109245,                412924,                453383,,,                333522,,                -76129,,                101378,                156015,                609398,,                262464,                346934,                346934,,,,,,                783357,              1130291,,                405866,                -58932,,              1206298,                -76007,,                              0.75,                              0.75,,                              0.75,                              0.75,,,,,,,,,               -121215,                904572,
2104,2013年04月01日至2013年06月30日,,              5689677,,              4820019,                869658,                869658,,,                 99706,,                211409,,                119871,                430986,                438672,,,                 20651,,                -17406,,                103082,                -99837,                338835,,                318536,                 20299,                 20299,,,,,,                -44633,                -24334,,                 76233,                -55934,,                 39730,                -64064,,                              0.14,                              0.14,,                              0.14,                              0.14,,,,,,,,,                 17940,                -62573,
2104,2013年01月01日至2013年12月31日,,             21538510,,             17867605,              3670905,              3670905,,,                418973,,                769464,,                445837,              1634274,              2036631,,,                406052,,               -217850,,                372871,               -184669,              1851962,,              1194834,                657128,                657128,,,,,,              1324042,              1981170,,                810387,               -153259,,              2119088,               -137918,,                              1.50,                              1.50,,                              1.50,                              1.50,,,,,,,,,                164787,              1116487,                 42768
2104,2013年01月01日至2013年09月30日,,             16400954,,             13752938,              2648016,              2648016,,,                286511,,                606432,,                345525,              1238468,              1409548,,,                375069,,               -113421,,                280282,                -18634,              1390914,,                823170,                567744,                567744,,,,,,                981682,              1549426,,                685554,               -117810,,              1672961,               -123535,,                              1.27,                              1.27,,                              1.27,                              1.27,,,,,,,,,                 86550,                895132,
2104,2013年01月01日至2013年06月30日,,             11113414,,              9331705,              1781709,              1781709,,,                192805,,                396459,,                236280,                825544,                956165,,,                 41547,,                -27382,,                188814,               -174649,                781516,,                560706,                220810,                220810,,,,,,                198325,                419135,,                279688,                -58878,,                466663,                -47528,,                              0.52,                              0.52,,                              0.52,                              0.52,,,,,,,,,                207765,                 -9440,
2104,2013年01月01日至2013年03月31日,,              5423737,,              4511686,                912051,                912051,,,                 93099,,                185050,,                116409,                394558,                517493,,,                 20896,,                 -9976,,                 85732,                -74812,                442681,,                242170,                200511,                200511,,,,,,                242958,                443469,,                203455,                 -2944,,                426933,                 16536,,                              0.38,                              0.38,,                              0.38,                              0.38,,,,,,,,,                189825,                 53133,
2104,2012年07月01日至2012年09月30日,,              5626615,,              4681855,                944760,                944760,,,                 94851,,                193097,,                115454,                403402,                541358,,,                309577,,                -50597,,                 95323,                163657,                705015,,                124356,                580659,                580659,,,,,,                -66276,                514383,,                614420,                -33761,,                561217,                -46834,,                              1.14,                              1.14,,                              1.14,                              1.14,,,,,,,,,               -115251,                 48975,
2104,2012年04月01日至2012年06月30日,,              6346192,,              5130424,              1215768,              1215768,,,                100927,,                208679,,                127560,                437166,                778602,,,                 74614,,               -138123,,                 93965,               -157474,                621128,,                258726,                362402,                362402,,,,,,                 28459,                390861,,                341423,                 20979,,                364146,                 26715,,                              0.63,                              0.63,,                              0.63,                              0.63,,,,,,,,,                  4774,                 23685,
2104,2012年01月01日至2012年12月31日,,             23332148,,             19196085,              4136063,              4136063,,,                384955,,                776613,,                476563,              1638131,              2497932,,,                483680,,               -321243,,                358602,               -196165,              2301767,,                787566,              1514201,              1514201,,,,,,                284949,              1799150,,              1529172,                -14971,,              1840272,                -41122,,                              2.84,                              2.84,,                              2.84,                              2.84,,,,,,,,,               -297308,                612026,                -29769
2104,2012年01月01日至2012年09月30日,,             17944176,,             14709707,              3234469,              3234469,,,                293012,,                587628,,                363220,              1243860,              1990609,,,                412270,,               -184498,,                266220,                -38448,              1952161,,                583142,              1369019,              1369019,,,,,,                 89393,              1458412,,              1350731,                 18288,,              1449536,                  8876,,                              2.51,                              2.51,,                              2.51,                              2.51,,,,,,,,,               -264885,                354278,
2104,2012年01月01日至2012年06月30日,,             12317561,,             10027852,              2289709,              2289709,,,                198161,,                394531,,                247766,                840458,              1449251,,,                102693,,               -126612,,                178186,               -202105,              1247146,,                458786,                788360,                788360,,,,,,                155669,                944029,,                736311,                 52049,,                888319,                 55710,,                              1.37,                              1.37,,                              1.37,                              1.37,,,,,,,,,               -149634,                305303,
2104,2012年01月01日至2012年03月31日,,              5971369,,              4897428,              1073941,              1073941,,,                 97234,,                185852,,                120206,                403292,                670649,,,                 28079,,                 11511,,                 84221,                -44631,                626018,,                200060,                425958,                425958,,,,,,                127210,                553168,,                394888,                 31070,,                524173,                 28995,,                              0.73,                              0.73,,                              0.73,                              0.73,,,,,,,,,               -154407,                281617,
