證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營建工程收入,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　　 廉價購買利益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 備供出售金融資產未實現評價損益,　　 其他綜合損益
1444,2014年01月01日至2014年03月31日,,,              2741300,,                  2246,              2743546,,,              2583550,,                  1093,              2584643,                158903,                              0,                     63,                158966,,,                 68645,,                 45483,,                 12668,                126796,                 32170,,,                 18403,,                 12703,,                  5608,,                 60692,                 86190,                118360,,                 12501,                105859,                105859,,,                    808,,                -26236,                -25428,                -25428,                 80431,,                 95467,                 10392,,                 71024,                  9407,,                              0.10,                              0.10,,                              0.10,                              0.10,                 18403,,,,,,,
1444,2013年第3季,,,              3072939,,                263975,              3336914,,,              2921363,,                143972,              3065335,                271579,                  5014,                              0,                266565,,,                 93997,,                 41698,,                  5454,                141149,                125416,,,                 29322,,                 20656,,                  4551,,                127205,                172632,                298048,,                  8336,                289712,                289712,,,,,,,                107621,                397333,,                278199,                 11513,,                382021,                 15312,,                              0.29,                              0.29,,                              0.29,                              0.29,,,                   -526,,,                108147,,
1444,2013年第2季,,,              3244519,,                 10265,              3254784,,,              3086307,,                  4861,              3091168,                163616,                              0,                     49,                163665,,,                 87577,,                 43897,,                 22820,                154294,                  9371,,,                 16168,,                 69791,,                  2618,,                 75359,                158700,                168071,,                 23061,                145010,                145010,,,,,,,                 77248,                222258,,                134852,                 10158,,                235628,                -13370,,                              0.14,                              0.14,,                              0.14,                              0.14,,,                    214,,,                 77034,,
1444,2013年度,,,             12091227,,                276502,             12367729,,,             11524056,,                154236,             11678292,                689437,                    616,                              0,                688821,,,                273702,,                195721,,                 53503,                522926,                165895,,,                 90321,,                133622,,                 15304,,                348307,                556946,                722841,,                 27264,                695577,                695577,,,,,,,                185210,                880787,,                640498,                 55079,,                829587,                 51200,,                              0.68,                              0.68,,                              0.67,                              0.67,                 80487,                  9834,                    740,                -19711,,                204181,,
1444,2013年07月01日至2013年09月30日,,,              3072939,,                263975,              3336914,,,              2921363,,                143972,              3065335,                271579,                  5014,,                266565,,,                 93997,,                 41698,,                  5454,                141149,                125416,,,                 29322,,                 20656,,                  4551,,                127205,                172632,                298048,,                  8336,                289712,                289712,,,,,,,                107621,                397333,,                278199,                 11513,,                382021,                 15312,,                              0.31,                              0.31,,                              0.31,                              0.31,,,                   -526,,,                109917,                 -1770,
1444,2013年04月01日至2013年06月30日,,,              3244519,,                 10265,              3254784,,,              3086307,,                  4861,              3091168,                163616,                              0,                     49,                163665,,,                 87577,,                 43897,,                 22820,                154294,                  9371,,,                 16168,,                 69785,,                  2612,,                 75359,                158700,                168071,,                 23061,                145010,                145010,,,,,,,                 77248,                222258,,                134852,                 10158,,                235628,                -13370,,                              0.15,                              0.15,,                              0.15,                              0.15,,,                    214,,,                104704,                  2685,                -30355
1444,2013年01月01日至2013年12月31日,,,             12091227,,                276502,             12367729,,,             11524056,,                154236,             11678292,                689437,                    616,,                688821,,,                273702,,                195721,,                 53503,                522926,                165895,,,                 90321,,                133622,,                 15304,,                348307,                556946,                722841,,                 27264,                695577,                695577,,,,,,,                185210,                880787,,                640498,                 55079,,                829587,                 51200,,                              0.71,                              0.71,,                              0.71,                              0.71,                 80487,                  9834,                    740,                -19711,,                204181,,
1444,2013年01月01日至2013年09月30日,,,              9134211,,                274240,              9408451,,,              8659197,,                148833,              8808030,                600421,                  5066,                              0,                595355,,,                245731,,                118735,,                 41622,                406088,                189267,,,                 58693,,                122743,,                  8981,,                301231,                473686,                662953,,                 28239,                634714,                634714,,,,,,,                149601,                784315,,                591854,                 42860,,                749339,                 34976,,                              0.62,                              0.62,,                              0.62,                              0.62,,,                    464,,,                149137,,
1444,2013年01月01日至2013年06月30日,,,              6061272,,                 10265,              6071537,,,              5737834,,                  4861,              5742695,                328842,                     52,                              0,                328790,,,                151734,,                 77037,,                 36168,                264939,                 63851,,,                 29371,,                102093,,                  4436,,                174026,                301054,                364905,,                 19903,                345002,                345002,,,,,,,                 -7795,                337207,,                313655,                 31347,,                367318,                -30111,,                              0.33,                              0.33,,                              0.33,                              0.33,,,                    990,,,                 -8785,,
1444,2013年01月01日至2013年03月31日,,,              2816753,,                              0,              2816753,,,              2651527,,                              0,              2651527,                165226,                    101,                              0,                165125,,,                 64157,,                 33140,,                 13348,                110645,                 54480,,,                 13203,,                 32302,,                  1818,,                 98667,                142354,                196834,,                 -3158,                199992,                199992,,,,,,,                -85043,                114949,,                178803,                 21189,,                131690,                -16741,,                              0.20,                              0.20,,                              0.20,                              0.20,,,                    776,,,                -85819,,
1444,2012年07月01日至2012年09月30日,,,              2961103,,              2137408,              5098511,,,              2867503,,              1346441,              4213944,                884567,                 50606,,                833961,,,                 96324,,                 25644,,                 17826,                139794,                694167,,,                132075,,                -59351,,                  8022,,                222937,                287639,                981806,,                 43511,                938295,                938295,,,,,,,                150770,              1089065,,                921135,                 17160,,              1057759,                 31306,,                              1.02,                              1.02,,                              1.02,                              1.02,,,                    992,,,                120532,                 29246,
1444,2012年04月01日至2012年06月30日,,,              2897629,,                117034,              3014663,,,              2788015,,                 60992,              2849007,                165656,                              0,                    168,                165824,,,                 86389,,                 47336,,                 11424,                145149,                 20675,,,                 27494,,               -559195,,                  3199,,               -251474,               -786374,               -765699,,                 -3897,               -761802,               -761802,,,,,,,               -172269,               -934071,,               -677182,                -84620,,               -843830,                -90241,,                             -0.73,                             -0.73,,                              0.00,                              0.00,,,                    285,,,               -150135,                -22419,                              0
1444,2012年01月01日至2012年12月31日,,,             11931008,,              2544436,             14475444,,,             11290354,,              1574046,             12864400,              1611044,                 50501,,              1560543,,,                341653,,                160517,,                 61180,                563350,                997193,,,                226076,,               -328070,,                 17346,,                131555,                 12215,              1009408,,                 77642,                931766,                931766,,,,,,,                232613,              1164379,,                959908,                -28142,,              1167137,                 -2758,,                              1.06,                              1.06,,                              1.06,                              1.06,                226076,                              0,                   -988,                -26384,,                259985,,
1444,2012年01月01日至2012年09月30日,,,              9157596,,              2543028,             11700624,,,              8721904,,              1559356,             10281260,              1419364,                 50621,,              1368743,,,                270919,,                102210,,                 45489,                418618,                950125,,,                188827,,               -211733,,                 14276,,                 85118,                 47936,                998061,,                 59912,                938149,                938149,,,,,,,                239204,              1177353,,                966696,                -28547,,              1181267,                 -3914,,                              1.07,                              1.07,,                              1.06,                              1.06,,,                    747,,,                198344,                 40113,
1444,2012年01月01日至2012年06月30日,,,              6196493,,                405620,              6602113,,,              5854401,,                212915,              6067316,                534797,                     15,                              0,                534782,,,                174595,,                 76566,,                 27663,                278824,                255958,,,                 56752,,               -152382,,                  6254,,               -137819,               -239703,                 16255,,                 16401,                   -146,                   -146,,,,,,,                 88434,                 88288,,                 45561,                -45707,,                123508,                -35220,,                              0.05,                              0.05,,                              0.00,                              0.00,,,                   -245,,,                 77812,                 10867,                              0
1444,2012年01月01日至2012年03月31日,,,              3298864,,                288586,              3587450,,,              3066386,,                151923,              3218309,                369141,                    183,,                368958,,,                 88206,,                 29230,,                 16239,                133675,                235283,,,                 29258,,                406813,,                  3055,,                113655,                546671,                781954,,                 20298,                761656,                761656,,,,,,,                260703,              1022359,,                722743,                 38913,,                967338,                 55021,,                              0.80,                              0.80,,                              0.80,                              0.80,,,                   -530,,,                227947,                 33286,                              0
