證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 當期所得稅費用（利益）
9918,2014年01月01日至2014年03月31日,,                957013,,                774589,                182424,                182424,,,                 19708,,                 61172,                 80880,                101544,,,                  6153,,                 14367,                 20520,                122064,,                 18806,                103258,                103258,,,                  8898,                  8898,                  8898,                112156,,                103258,,                112156,,                              0.58,,                              0.58,                 18806,                              0.58,                              0.58,,,,
9918,2013年第3季,,                442822,,                416618,                 26204,                 26204,,,                 14202,,                 33268,                 47470,                -21266,,,                 11121,,                 14807,                 25928,                  4662,,                 -3069,                  7731,                  7731,,,,,                 -2130,                  5601,,                  7731,,                  5601,,                              0.04,,                              0.04,,,,                 -2130,,,
9918,2013年第2季,,                712859,,                556117,                156742,                156742,,,                 16770,,                 47623,                 64393,                 92349,,,                  5337,,                  9341,                 14678,                107027,,                 22408,                 84619,                 84619,,,,,                 -9402,                 75217,,                 84619,,                 75217,,                              0.48,,                              0.48,,,,                 -9402,,,
9918,2013年度,,              2683713,,              2282890,                400823,                400823,,,                 76035,,                154953,                230988,                169835,,,                 27666,,                 56872,                 84538,                254373,,                 39724,                214649,                214649,,,,,                 17244,                231893,,                214649,,                231893,,                              1.21,,                              1.20,,,,                  5331,                 14354,                  2441,
9918,2013年07月01日至2013年09月30日,,                442822,,                416618,                 26204,                 26204,,,                 14202,,                 33268,                 47470,                -21266,,,                 11121,,                 14807,                 25928,                  4662,,                 -3069,                  7731,                  7731,,,,,                 -2130,                  5601,,                  7731,,                  5601,,                              0.04,,                              0.04,,,,                 -2130,,,
9918,2013年04月01日至2013年06月30日,,                712859,,                556117,                156742,                156742,,,                 16770,,                 47623,                 64393,                 92349,,,                  5337,,                  9341,                 14678,                107027,,                 22408,                 84619,                 84619,,,,,                 -9402,                 75217,,                 84619,,                 75217,,                              0.48,,                              0.48,,,,                 -9402,,,
9918,2013年01月01日至2013年12月31日,,              2683713,,              2282890,                400823,                400823,,,                 76035,,                154953,                230988,                169835,,,                 27666,,                 56872,                 84538,                254373,,                 39724,                214649,                214649,,,,,                 17244,                231893,,                214649,,                231893,,                              1.21,,                              1.20,,,,                  5331,                 14354,                  2441,
9918,2013年01月01日至2013年09月30日,,              2017846,,              1684745,                333101,                333101,,,                 44581,,                132188,                176769,                156332,,,                 21449,,                 39390,                 60839,                217171,,                 35276,                181895,                181895,,,,,                  1508,                183403,,                181895,,                183403,,                              1.02,,                              1.02,,,,                  1508,,,
9918,2013年01月01日至2013年06月30日,,              1575024,,              1268127,                306897,                306897,,,                 30379,,                 98920,                129299,                177598,,,                 10328,,                 24583,                 34911,                212509,,                 38345,                174164,                174164,,,,,                  3638,                177802,,                174164,,                177802,,                              0.98,,                              0.98,,,,                  3638,,,
9918,2013年01月01日至2013年03月31日,,                862165,,                712010,                150155,                150155,,,                 13609,,                 51298,                 64907,                 85248,,,                  4990,,                 15245,                 20235,                105483,,                 15938,                 89545,                 89545,,,,,                 13040,                102585,,                 89545,,                102585,,                              0.50,,                              0.50,,                              0.50,                              0.50,                 13040,,,                 15938
9918,2012年07月01日至2012年09月30日,,                489537,,                420164,                 69373,                 69373,,,                 19731,,                 29808,                 49539,                 19834,,,                 10796,,                 19575,                 30371,                 50205,,                  3092,                 47113,                 47113,,,,,                 10904,                 58017,,                 47113,,                 58017,,                              0.26,,                              0.26,,,,                 10904,,,
9918,2012年04月01日至2012年06月30日,,                683158,,                512208,                170950,                170950,,,                 18514,,                 45713,                 64227,                106723,,,                  3660,,                -11476,                 -7816,                 98907,,                 20658,                 78249,                 78249,,,,,                 -3548,                 74701,,                 78249,,                 74701,,                              0.44,,                              0.44,,,,                 -3548,,,
9918,2012年01月01日至2012年12月31日,,              2788002,,              2245042,                542960,                542960,,,                 77070,,                155377,                232447,                310513,,,                 23331,,                 36497,                 59828,                370341,,                 58129,                312212,                312212,,,,,                 17167,                329379,,                312212,,                329379,,                              1.75,,                              1.75,,,,                 29648,                -15037,                 -2556,
9918,2012年01月01日至2012年09月30日,,              2014439,,              1627223,                387216,                387216,,,                 59006,,                119318,                178324,                208892,,,                 19800,,                 33711,                 53511,                262403,,                 39166,                223237,                223237,,,,,                 28139,                251376,,                223237,,                251376,,                              1.25,,                              1.25,,,,                 28139,,,
9918,2012年01月01日至2012年06月30日,,              1524902,,              1207059,                317843,                317843,,,                 39275,,                 89510,                128785,                189058,,,                  9004,,                 14136,                 23140,                212198,,                 36074,                176124,                176124,,,,,                 17235,                193359,,                176124,,                193359,,                              0.99,,                              0.99,,,,                 17235,,,
9918,2012年01月01日至2012年03月31日,,                841743,,                694850,                146893,                146893,,,                 20761,,                 43798,                 64559,                 82334,,,                  5344,,                 25613,                 30957,                113291,,                 15416,                 97875,                 97875,,,,,                 20783,                118658,,                 97875,,                118658,,                              0.55,,                              0.55,,                              0.55,                              0.55,                 20783,,,                 15416
