證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
1789,2014年01月01日至2014年03月31日,,              1097245,,                664187,                433058,                433058,,,                 43397,,                113686,,                 93411,                250494,                182564,,,                  7481,,                   -506,,                  4175,,                   -334,                  2466,                185030,,                 19685,                165345,                165345,,,                 -3599,                 -3599,                 -3599,                161746,,                165345,,                161746,,                              0.24,                              0.24,,                              0.24,                              0.24,,,,,
1789,2013年第3季,,              1239797,,                709801,                529996,                529996,,,                 43551,,                118975,,                 97470,                259996,                270000,,,                 10069,,                 -8852,,                  2248,,                 -9041,                -10072,                259928,,                  7468,                252460,                252460,,,,,                -13836,                238624,,                252504,,                238668,,                              0.36,                              0.36,,                              0.36,                              0.36,                -13836,,,                    -44,                    -44
1789,2013年第2季,,              1338521,,                614235,                724286,                724286,,,                 49918,,                126007,,                 91580,                267505,                456781,,,                 19617,,                 -4274,,                  1588,,                 -2375,                 11380,                468161,,                 62083,                406078,                406078,,,,,                 23346,                429424,,                406078,,                429424,,                              0.60,                              0.60,,                              0.60,                              0.60,                 23346,,,                              0,                              0
1789,2013年度,,              5088245,,              2545712,              2542533,              2542533,,,                188443,,                538715,,                417875,              1145033,              1397500,,,                 51909,,                -16189,,                  7916,,                -16791,                 11013,              1408513,,                135109,              1273404,              1273404,,,,,                 79808,              1353212,,              1273404,,              1353212,,                              1.81,                              1.81,,                              1.81,                              1.81,                 79395,                    498,                     85,,
1789,2013年07月01日至2013年09月30日,,              1239797,,                709801,                529996,                529996,,,                 43551,,                118975,,                 97470,                259996,                270000,,,                 10069,,                 -8852,,                  2248,,                 -9041,                -10072,                259928,,                  7468,                252460,                252460,,,,,                -13836,                238624,,                252504,,                238668,,                              0.37,                              0.37,,                              0.37,                              0.37,                -13836,,,                    -44,                    -44
1789,2013年04月01日至2013年06月30日,,              1338521,,                614235,                724286,                724286,,,                 49918,,                126007,,                 91580,                267505,                456781,,,                 19617,,                 -4274,,                  1588,,                 -2375,                 11380,                468161,,                 62083,                406078,                406078,,,,,                 23346,                429424,,                406078,,                429424,,                              0.62,                              0.62,,                              0.62,                              0.62,                 23346,,,                              0,                              0
1789,2013年01月01日至2013年12月31日,,              5088245,,              2545712,              2542533,              2542533,,,                188443,,                538715,,                417875,              1145033,              1397500,,,                 51909,,                -16189,,                  7916,,                -16791,                 11013,              1408513,,                135109,              1273404,              1273404,,,,,                 79808,              1353212,,              1273404,,              1353212,,                              1.88,                              1.88,,                              1.88,                              1.88,                 79395,                    498,                     85,                              0,                              0
1789,2013年01月01日至2013年09月30日,,              3763934,,              1854834,              1909100,              1909100,,,                135736,,                374503,,                283687,                793926,              1115174,,,                 38576,,                 -1723,,                  5249,,                -11416,                 20188,              1135362,,                126660,              1008702,              1008702,,,,,                 50027,              1058729,,              1008702,,              1058729,,                              1.43,                              1.43,,                              1.43,                              1.43,                 50027,,,                              0,                              0
1789,2013年01月01日至2013年06月30日,,              2524137,,              1145033,              1379104,              1379104,,,                 92185,,                255528,,                186217,                533930,                845174,,,                 28507,,                  7129,,                  3001,,                 -2375,                 30260,                875434,,                119192,                756242,                756242,,,,,                 63863,                820105,,                756198,,                820061,,                              1.12,                              1.12,,                              1.12,                              1.12,                 63863,,,                     44,                     44
1789,2013年01月01日至2013年03月31日,,              1185616,,                530798,                654818,                654818,,,                 42267,,                129521,,                 94637,                266425,                388393,,,                  8890,,                 11403,,                  1413,,                              0,                 18880,                407273,,                 57109,                350164,                350164,,,,,                 40517,                390681,,                350120,,                390637,,                              0.52,                              0.52,,                              0.52,                              0.52,                 40517,,,                     44,                     44
1789,2012年07月01日至2012年09月30日,,              1284104,,                643909,                640195,                640195,,,                 38564,,                133884,,                 84153,                256601,                383594,,,                  6265,,                  2211,,                      5,,                              0,                  8471,                392065,,                 66566,                325499,                325499,,,,,                -29027,                296472,,                325499,,                296472,,                              0.48,                              0.48,,                              0.48,                              0.48,                -29027,,,                              0,                              0
1789,2012年04月01日至2012年06月30日,,                912803,,                475346,                437457,                437457,,,                 43159,,                107816,,                 87537,                238512,                198945,,,                  7242,,                 -6631,,                      8,,                              0,                    603,                199548,,                 23771,                175777,                175777,,,,,                  9607,                185384,,                175777,,                185384,,                              0.27,                              0.27,,                              0.27,                              0.27,                  9607,,,                              0,                              0
1789,2012年01月01日至2012年12月31日,,              4572509,,              2259081,              2313428,              2313428,,,                185346,,                565321,,                303023,              1053690,              1259738,,,                 98830,,                 18052,,                     29,,                 -4434,                112419,              1372157,,                201328,              1170829,              1170829,,,,,                -36107,              1134722,,              1170876,,              1134769,,                              1.73,                              1.73,,                              1.73,                              1.73,                -35040,                 -1286,                   -219,                    -47,                    -47
1789,2012年01月01日至2012年09月30日,,              3168184,,              1567457,              1600727,              1600727,,,                133764,,                361244,,                239689,                734697,                866030,,,                 20714,,                   -328,,                     26,,                 -4434,                 15926,                881956,,                133586,                748370,                748370,,,,,                -46559,                701811,,                748370,,                701811,,                              1.11,                              1.11,,                              1.11,                              1.11,                -46559,,,                              0,                              0
1789,2012年01月01日至2012年06月30日,,              1884080,,                923548,                960532,                960532,,,                 95200,,                227360,,                155536,                478096,                482436,,,                 14449,,                 -2539,,                     21,,                 -4434,                  7455,                489891,,                 67020,                422871,                422871,,,,,                -17532,                405339,,                422871,,                405339,,                              0.65,                              0.65,,                              0.65,                              0.65,                -17532,,,                              0,                              0
1789,2012年01月01日至2012年03月31日,,                971277,,                448202,                523075,                523075,,,                 52041,,                119544,,                 67999,                239584,                283491,,,                  7207,,                  4092,,                     13,,                 -4434,                  6852,                290343,,                 43249,                247094,                247094,,,,,                -27139,                219955,,                247094,,                219955,,                              0.38,                              0.38,,                              0.38,                              0.38,                -27139,,,                              0,                              0
