證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 利息費用,　　 本期所得稅費用（利益）,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計
4999,2014年01月01日至2014年03月31日,,                479996,,                326126,                153870,                153870,,,                 16375,,                 33197,,                 26276,                 75848,                 78022,,,,                  1571,                  1020,                  2591,,                 11603,,                    867,                 12304,                 -1568,,                  1543,                   -520,                 77502,,                  9245,                 68257,                 68257,,,                 28576,                  4858,                 23718,                 23718,                 91975,,                 68257,,                 91975,,                              0.92,,                              0.91,                              0,                  1543,                  9245,,,,,,,,,,,,
4999,2013年第3季,,                533511,,                340716,                192795,                192795,,,                 18469,,                 30804,,                 23761,                 73034,                119761,,,,                  1771,                    377,                  2148,,                              0,                              0,                    634,                              0,                 -8698,,                  1764,                 -8314,                111447,,                 16614,                 94833,                 94833,,,,,,                -15018,                 79815,,                 94833,,                 79815,,                              1.27,,                              1.27,                  8064,                  1764,,                 16614,                -18095,,                 -3077,,,,,,,,
4999,2013年第2季,,                481759,,                308934,                172825,                172825,,,                 12827,,                 30249,,                 28896,                 71972,                100853,,,,                  1029,                    431,                  1460,,                              0,,                              0,                              0,                 -4475,,                  1031,                 -4046,                 96807,,                 20705,                 76102,                 76102,,,,,,                  5751,                 81853,,                 76102,,                 81853,,                              1.09,,                              1.08,                  4475,                  1031,,                 20705,                  6930,,                  1179,,                481759,,,,,,
4999,2013年度,,              2110809,,              1315394,                795415,                795415,,,                 72579,,                130873,,                110675,                314127,                481288,,,,                  5545,                  4820,                 10365,,                    622,,                  2499,                              0,                 -1877,,                  4469,                  4019,                485307,,                 90894,                394413,                394413,,,,,,                 22807,                417220,,                394413,,                417220,,                              5.52,,                              5.46,,                  4469,,                 90894,                 28383,                   -905,                  4671,,,,,,,,
4999,2013年07月01日至2013年09月30日,,                533511,,                340716,                192795,                192795,,,                 18469,,                 30804,,                 23761,                 73034,                119761,,,,                  1771,                    377,                  2148,,                              0,                              0,                    634,                              0,                 -8698,,                  1764,                 -8314,                111447,,                 16614,                 94833,                 94833,,,,,,                -15018,                 79815,,                 94833,,                 79815,,                              1.27,,                              1.27,                  8064,                  1764,,                 16614,                -18095,,                 -3077,,                533511,,                533511,,,                340716,                340716
4999,2013年04月01日至2013年06月30日,,                481759,,                308934,                172825,                172825,,,                 12827,,                 30249,,                 28896,                 71972,                100853,,,,                  1029,                    431,                  1460,,                              0,                              0,                              0,,                 -4475,,                  1031,                 -4046,                 96807,,                 20705,                 76102,                 76102,,,,,,                  5751,                 81853,,                 76102,,                 81853,,                              1.20,,                              1.19,                  4475,                  1031,,                 20705,                  6930,,                  1179,,                481759,,,,,                308934,                308934
4999,2013年01月01日至2013年12月31日,,              2110809,,              1315394,                795415,                795415,,,                 72579,,                130873,,                110675,                314127,                481288,,,,                  5545,                  4820,                 10365,,                    622,                              0,                  2499,,                 -1877,,                  4469,                  4019,                485307,,                 90894,                394413,                394413,,,,,,                 22807,                417220,,                394413,,                417220,,                              5.52,,                              5.46,                              0,                  4469,,                 90894,                 28383,                   -905,                  4671,,              2110809,,              2115056,                  4247,,              1315394,              1315394
4999,2013年01月01日至2013年09月30日,,              1450303,,                921902,                528401,                528401,,,                 52218,,                 89219,,                 77994,                219431,                308970,,,,                  3560,                  2385,                  5945,,                              0,                              0,                    634,                              0,                 -3495,,                  2859,                   -409,                308561,,                 50872,                257689,                257689,,,,,,                 15164,                272853,,                257689,,                272853,,                              3.66,,                              3.63,                  2861,                  2859,,                 50872,                 18269,,                  3105,,,,,,,,
4999,2013年01月01日至2013年06月30日,,                916792,,                581186,                335606,                335606,,,                 33749,,                 58415,,                 54233,                146397,                189209,,,,                  1789,                  2008,                  3797,,                  5203,,                              0,                              0,                  5203,,                  1095,                  7905,                197114,,                 34258,                162856,                162856,,,,,,                 30182,                193038,,                162856,,                193038,,                              2.38,,                              2.36,                              0,                  1095,,                 34258,                 36364,,                  6182,,                916792,,,,,,
4999,2013年01月01日至2013年03月31日,,                435033,,                272252,                162781,                162781,,,                 20922,,                 28166,,                 25337,                 74425,                 88356,,,,                    760,                  1809,                  2569,,                  9678,                              0,                    232,                              0,                  9446,,                     64,                 11951,                100307,,                 13553,                 86754,                 86754,,,,,,                 24431,                111185,,                 86754,,                111185,,                              1.29,,                              1.28,                              0,                     64,,                 13553,                 29434,,                  5003,,                435033,,,,,,
4999,2012年07月01日至2012年09月30日,,                508288,,                311666,                196622,                196622,,,                 14329,,                 24207,,                 32703,                 71239,                125383,,,,                  1214,                    539,                  1753,,                  6023,                    316,                  1847,                              0,                  4492,,                    244,                  6001,                131384,,                 25506,                105878,                105878,,,,,,                -15685,                 90193,,                105878,,                 90193,,                              1.57,,                              1.55,                              0,                    244,,                 25506,                -18897,,                 -3212,,                508288,,                508288,,,                311666,                311666
4999,2012年04月01日至2012年06月30日,,                545201,,                331213,                213988,                213988,,,                 20848,,                 24739,,                 24424,                 70011,                143977,,,,                  1163,                    504,                  1667,,                  4844,                 -2268,                     70,,                  2506,,                    214,                  3959,                147936,,                 26246,                121690,                121690,,,,,,                  9234,                130924,,                121690,,                130924,,                              2.00,,                              1.97,                              0,                    214,,                 26246,                 11126,,                  1892,,                545201,,,,,                331213,                331213
4999,2012年01月01日至2012年12月31日,,              1991784,,              1246617,                745167,                745167,,,                 65090,,                100414,,                119067,                284571,                460596,,,,                  5168,                  2191,                  7359,,                              0,                   -223,                  1249,,                -16515,,                  1207,                -10363,                450233,,                 56661,                393572,                393572,,,,,,                -31226,                362346,,                393572,,                362346,,                              6.45,,                              6.33,                 15043,                  1207,,                 56661,                -37621,                              0,                 -6395,,              1991784,,              1995032,                  3248,,              1246617,              1246617
4999,2012年01月01日至2012年09月30日,,              1418687,,                908683,                510004,                510004,,,                 46804,,                 67030,,                 76932,                190766,                319238,,,,                  4304,                  2312,                  6616,,                  5440,                              0,                  1982,                    223,                  3235,,                    904,                  8947,                328185,,                 56782,                271403,                271403,,,,,,                -23915,                247488,,                271403,,                247488,,                              4.04,,                              3.99,                              0,                    904,,                 56782,                -28813,,                 -4898,,              1418687,,              1418687,,,                908683,                908683
4999,2012年01月01日至2012年06月30日,,                910399,,                597017,                313382,                313382,,,                 32475,,                 42823,,                 44229,                119527,                193855,,,,                  3090,                  1773,                  4863,,                              0,                   -539,                    135,,                 -1257,,                    660,                  2946,                196801,,                 31276,                165525,                165525,,,,,,                 -8230,                157295,,                165525,,                157295,,                              2.71,,                              2.69,                    583,                    660,,                 31276,                 -9916,,                 -1686,,                910399,,,,,                597017,                597017
4999,2012年01月01日至2012年03月31日,,                365198,,                265804,                 99394,                 99394,,,                 11627,,                 18084,,                 19805,                 49516,                 49878,,,,                  1927,                  1269,                  3196,,                              0,                  1729,                     65,,                 -3763,,                    446,                 -1013,                 48865,,                  5030,                 43835,                 43835,,,,,,                -17464,                 26371,,                 43835,,                 26371,,                              1.19,,                              1.17,                  5427,                    446,,,                -21042,,                 -3578,,                365198,,,,,                265804,                265804
