證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益,　 已實現銷貨（損）益
2480,2014年01月01日至2014年03月31日,,,,                862622,                  1048,                              0,                861574,                861574,,                598902,                262672,                262672,,,                176407,,                 23297,                199704,                 62968,,,                  5506,,                    283,,                    128,                  5661,                 68629,,                 10586,                 58043,                 58043,,,                 -1693,                  2215,                              0,                    522,                    522,                 58565,,                 58043,                              0,,                 58565,                              0,,                              0.44,,,,,,,,,,,
2480,2013年第3季,,,,                888719,                    494,                    309,                887916,                887916,,                610636,                277280,                277280,,,                181700,,                 31369,                213069,                 64211,,,                  6955,,                 58220,,                    152,                 65023,                129234,,                 15335,                113899,                113899,,,,,,,                 -1772,                112127,,                113899,                              0,,                112127,                              0,,                              0.86,,                              0.85,,,                 -1090,                   -682,,,                              0,,
2480,2013年第2季,,,,                927349,                    628,                    414,                926307,                926307,,                626171,                300136,                300136,,,                176549,,                 38007,                214556,                 85580,,,                  5664,,                  1372,,                    136,                  6900,                 92480,,                 16205,                 76275,                 76275,,,,,,,                  1804,                 78079,,                 76275,                              0,,                 78079,,,                              0.57,,                              0.56,,                              0,                  2609,                   -805,,,                              0,,
2480,2013年度,,,,              3657589,                  4505,                  1598,              3651486,              3651486,,              2532987,              1118499,              1118499,,,                692990,,                124072,                817062,                301437,,,                 20150,,                 20372,,                    620,                 39902,                341339,,                 74428,                266911,                266911,,,,,,,                 11506,                278417,,                266911,                              0,,                278417,                              0,,                              2.01,,                              1.97,,,                  9336,                  2609,                   -530,                              0,                    -91,,
2480,2013年07月01日至2013年09月30日,,,,                888719,                    494,                    309,                887916,                887916,,                610636,                277280,                277280,,,                181700,,                 31369,                213069,                 64211,,,                  6955,,                 58220,,                    152,                 65023,                129234,,                 15335,                113899,                113899,,,,,,,                 -1772,                112127,,                113899,                              0,,                112127,                              0,,                              0.86,,                              0.85,,,                 -1090,                   -682,,,                              0,,
2480,2013年04月01日至2013年06月30日,,,,                927349,                    628,                    414,                926307,                926307,,                626171,                300136,                300136,,,                176549,,                 38007,                214556,                 85580,,,                  5664,,                  1372,,                    136,                  6900,                 92480,,                 16205,                 76275,                 76275,,,,,,,                  1804,                 78079,,                 76275,                              0,,                 78079,,,                              0.57,,                              0.56,,                              0,                  2609,                   -805,,,                              0,,
2480,2013年01月01日至2013年12月31日,,,,              3657589,                  4505,                  1598,              3651486,              3651486,,              2532987,              1118499,              1118499,,,                692990,,                124072,                817062,                301437,,,                 20150,,                 20372,,                    620,                 39902,                341339,,                 74428,                266911,                266911,,,,,,,                 11506,                278417,,                266911,                              0,,                278417,                              0,,                              2.01,,                              1.97,,,                  9336,                  2609,                   -530,                              0,                    -91,,
2480,2013年01月01日至2013年09月30日,,,,              2690247,                  4505,                  1446,              2684296,              2684296,,              1811483,                872813,                872813,,,                527243,,                107985,                635228,                237585,,,                 17162,,                 59843,,                    481,                 76524,                314109,,                 47995,                266114,                266114,,,,,,,                  7897,                274011,,                266114,                              0,,                274011,                              0,,                              2.00,,                              1.97,,,                  5954,                  1943,,,                              0,,
2480,2013年01月01日至2013年06月30日,,,,              1801528,                  4011,                  1137,              1796380,              1796380,,              1200847,                595533,                595533,,,                345543,,                 76616,                422159,                173374,,,                 10207,,                  1623,,                    329,                 11501,                184875,,                 32660,                152215,                152215,,,,,,,                  9669,                161884,,                152215,                              0,,                161884,,,                              1.14,,                              1.12,,                              0,                  7044,                  2625,,,                              0,,
2480,2013年01月01日至2013年03月31日,,,,                874179,                  3383,                    723,                870073,                870073,,                574676,                295397,                295397,,,                168994,,                 38609,                207603,                 87794,,,                  4543,,                    251,,                    193,                  4601,                 92395,,                 16455,                 75940,                 75940,,,,,,,                  7865,                 83805,,                 75940,                              0,,                 83805,                              0,,                              0.57,,,,,                  4435,                  3430,,,,                              0,                              0
2480,2012年07月01日至2012年09月30日,,,,                974871,                              0,                      1,                974870,                974870,,                687920,                286950,                286950,,,                164198,,                 48916,                213114,                 73836,,,                  9555,,                  2912,,                    191,                 12276,                 86112,,                 19968,                 66144,                 66144,,,,,,,                   -518,                 65626,,                 66144,                              0,,                 65626,                              0,,                              0.50,,                              0.49,,,                    -37,                   -481,,,                              0,,
2480,2012年04月01日至2012年06月30日,,,,              1153265,                              0,                     49,              1153216,              1153216,,                863356,                289860,                289860,,,                153461,,                 51432,                204893,                 84967,,,                  4085,,                  1476,,                    258,                  5303,                 90270,,                 14813,                 75457,                 75457,,,,,,,                     12,                 75469,,                 75457,                              0,,                 75469,,,                              0.57,,                              0.56,,                              0,                    946,                   -934,,,                              0,,
2480,2012年01月01日至2012年12月31日,,,,              4171104,                  1295,                  2414,              4167395,              4167395,,              2979552,              1187843,              1187843,,,                674779,,                198661,                873440,                314403,,,                 21831,,                -15175,,                    895,                  5761,                320164,,                 62103,                258061,                258061,,,,,,,                 -6868,                251193,,                258061,                              0,,                251193,                              0,,                              1.94,,                              1.90,,,                 -4516,                  4899,                 -8736,                              0,                 -1485,,
2480,2012年01月01日至2012年09月30日,,,,              3261031,                    795,                    101,              3260135,              3260135,,              2368512,                891623,                891623,,,                485519,,                152230,                637749,                253874,,,                 18795,,                 10398,,                    697,                 28496,                282370,,                 52857,                229513,                229513,,,,,,,                    541,                230054,,                229513,                              0,,                230054,                              0,,                              1.73,,                              1.70,,,                 -2857,                  3398,,,                              0,,
2480,2012年01月01日至2012年06月30日,,,,              2286160,                    795,                    100,              2285265,              2285265,,              1680592,                604673,                604673,,,                321321,,                103314,                424635,                180038,,,                  9240,,                  7486,,                    506,                 16220,                196258,,                 32889,                163369,                163369,,,,,,,                  1059,                164428,,                163369,                              0,,                164428,,,                              1.23,,                              1.21,,                              0,                 -2820,                  3879,,,                              0,,
2480,2012年01月01日至2012年03月31日,,,,              1132895,                    795,                     51,              1132049,              1132049,,                817236,                314813,                314813,,,                167860,,                 51882,                219742,                 95071,,,                  5155,,                  6010,,                    248,                 10917,                105988,,                 18076,                 87912,                 87912,,,,,,,                  1047,                 88959,,                 87912,                              0,,                 88959,                              0,,                              0.66,,,,,                 -3766,                  4813,,,,                              0,                              0
