證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 銷貨收入,　　　　 銷貨收入合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 利息費用
2390,2014年01月01日至2014年03月31日,,,                190533,,                 53775,,                    436,                244744,,,                133221,,                 38437,                              0,                171658,                 73086,                 73086,,,                 34572,,                 38527,,                 19556,                 92655,                -19569,,,                 17720,                 17720,,                    914,,                  3120,,                -13140,                  2374,                -17195,,                  4315,                -21510,                -21510,,,                 -1222,                   -644,,                 36497,                 34631,                 34631,                 13121,,                -21539,                     29,,                 12483,                    638,,                             -0.10,                             -0.10,,                             -0.10,                             -0.10,,,,,,,,,,,,,,                190533,,,,,,,,,,,,,,,,,
2390,2013年第3季,,,                156836,,                 48325,,                    621,                205782,,,                150895,,,,                150895,                 54887,                 54887,,,                 34263,,                 25817,,                 23468,                 83548,                -28661,,,                 17271,                 17271,,                 18889,,                  2677,,                -17603,                 15880,                -12781,,                 20574,                -33355,                -33355,,,,,,,,                 -9929,                -43284,,                -34715,                  1360,,                -44804,                  1520,,                             -0.16,                             -0.16,,                             -0.16,                             -0.16,,,,,,,,,,,,,,,                -10856,                    400,,,                    527,,,,,,,,,,,,
2390,2013年第2季,,,                207775,,                 49306,,                    400,                257481,,,                173824,,,,                173824,                 83657,                 83657,,,                 33835,,                 46195,,                 17439,                 97469,                -13812,,,                 17361,                 17361,,                 25835,,                  3419,,                -12475,                 27302,                 13490,,                  8991,                  4499,                  4499,,,,,,,,                 30527,                 35026,,                  3112,                  1387,,                 34483,                    543,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,,,,,,,,                 14123,                 16905,,,                   -501,,,,,,,,,,,,
2390,2013年度,,,                669307,,                206768,,                  1866,                877941,,,                512498,,                128240,                              0,                640738,                237203,                237203,,,                129003,,                143957,,                 77751,                350711,               -113508,,,                 79206,                 79206,,                187651,,                 12336,,                -54338,                200183,                 86675,,                 32593,                 54082,                 54082,,,,,,,,                 42259,                 96341,,                 50875,                  3207,,                 97149,                   -808,,                              0.24,                              0.24,,                              0.24,                              0.24,,,,,,,,,,,,,,                669307,                 16418,                 13487,                  8355,,                  3999,,,,,,,,,,,,
2390,2013年07月01日至2013年09月30日,,,                157457,,                 48325,,,                205782,,,                150895,,,,                150895,                 54887,                 54887,,,                 34263,,                 25817,,                 23468,                 83548,                -28661,,,                 17271,                 17271,,                 18889,,                  2677,,                -17603,                 15880,                -12781,,                 20574,                -33355,                -33355,,,,,,,,                 -9929,                -43284,,                -34715,                  1360,,                -44804,                  1520,,                             -0.16,                             -0.16,,                             -0.16,                             -0.16,,,,,,,,,,,,,,,                -10856,                    400,,,                    527,,,,,,,,,,,,
2390,2013年04月01日至2013年06月30日,,,                207314,,                 50167,,,                257481,,,                173824,,,,                173824,                 83657,                 83657,,,                 33835,,                 46195,,                 17439,                 97469,                -13812,,,                 17361,                 17361,,                 25835,,                  3419,,                -12475,                 27302,                 13490,,                  8991,                  4499,                  4499,,,,,,,,                 30527,                 35026,,                  3112,                  1387,,                 34483,                    543,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,,,,,,,,                 14123,                 16905,,,                   -501,,,,,,,,,,,,
2390,2013年01月01日至2013年12月31日,,,                669307,,                206768,,                  1866,                877941,,,,,,,                640738,                237203,                237203,,,                129003,,                143957,,                 77751,                350711,               -113508,,,                 79206,                 79206,,                187651,,                 12336,,                -54338,                200183,                 86675,,                 32593,                 54082,                 54082,,,,,,,,                 42259,                 96341,,                 50875,                  3207,,                 97149,                   -808,,                              0.24,                              0.24,,                              0.24,                              0.24,,,,,,,,,,,,,,                669307,                 16418,                 13487,                  8355,,                  3999,,,,,,,,,,,,
2390,2013年01月01日至2013年09月30日,,,                501416,,                147865,,                  1482,                650763,,,                469803,,,,                469803,                180960,                180960,,,                 96906,,                115116,,                 58681,                270703,                -89743,,,                 52762,                 52762,,                120348,,                  9285,,                -34181,                129644,                 39901,,                 34798,                  5103,                  5103,,,,,,,,                 25820,                 30923,,                  2682,                  2421,,                 32953,                 -2030,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,,,,,,,,                 11084,                 11872,,,                  2864,,,,,,,,,,,,
2390,2013年01月01日至2013年06月30日,,,                345441,,                 98679,,                    861,                444981,,,                318908,,,,                318908,                126073,                126073,,,                 62643,,                 89299,,                 35213,                187155,                -61082,,,                 35491,                 35491,,                101459,,                  6608,,                -16578,                113764,                 52682,,                 14224,                 38458,                 38458,,,,,,,,                 35749,                 74207,,                 37397,                  1061,,                 77757,                 -3550,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,,,,,,,,,,                 21940,                 11472,,,                  2337,,,,,,,,,,,,
2390,2013年01月01日至2013年03月31日,,,                137666,,                 49373,,                    461,                187500,,,,,,,                145084,                 42416,                 42416,,,                 28808,,                 42344,,                 17774,                 88926,                -46510,,,,                 18130,,                 74864,,                  3189,,                 -4103,                 85702,                 39192,,                  5233,                 33959,                 33959,,,,,,,,                  5222,                 39181,,                 34285,                   -326,,                 43274,                 -4093,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,,,,,,,,,,,                  7817,                 -5433,,,                  2838,,,,,,,,,,,,
2390,2012年07月01日至2012年09月30日,,,                209843,,                 43579,,,                253422,,,                183385,,,,                183385,                 70037,                 70037,,,                 18941,,                 47388,,                 17664,                 83993,                -13956,,,                 20805,                 20805,,                -19139,,                  3859,,                 -4628,                 -6821,                -20777,,                 -1277,                -19500,                -19500,,,,,,,,                 -5686,                -25186,,                -19880,                    380,,                -24112,                 -1074,,                             -0.09,                             -0.09,,                             -0.09,                             -0.09,,,,,,,,,,,,,,,                 -5405,                  6564,,,                 -6845,,,,,,,,,,,,
2390,2012年04月01日至2012年06月30日,,,                149327,,                 43219,,,                192546,,,                137517,,,,                137517,                 55029,                 55029,,,                 31573,,                 39426,,                 16402,                 87401,                -32372,,,                 22146,                 22146,,                -26211,,                  2873,,                 -2701,                 -9639,                -42011,,                  3285,                -45296,                -45296,,,,,,,,                 -1867,                -47163,,                -45652,                    356,,                -49072,                  1909,,                             -0.21,                             -0.21,,                             -0.21,                             -0.21,,,,,,,,,,,,,,,                  2292,                -10899,,,                  6740,,,,,,,,,,,,
2390,2012年01月01日至2012年12月31日,,,                743295,,                178328,,                              0,                921623,,,,,,,                671394,                250229,                250229,,,                143976,,                138544,,                 68468,                350988,               -100759,,,                137294,                137294,,                -21497,,                 12690,,                 37434,                140541,                 39782,,                 24091,                 15691,                 15691,,,,,,,,                -11144,                  4547,,                 14469,                  1222,,                  3507,                  1040,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,,,,,,,,,,,                743295,                -13164,                 12049,                 -5505,,                 -4524,,,,,,,,,,,,
2390,2012年01月01日至2012年09月30日,,,                547937,,                129581,,,                677518,,,                495687,,,,                495687,                181831,                181831,,,                 77035,,                122025,,                 52105,                251165,                -69334,,,                 59639,                 59639,,                -46303,,                  9219,,                -20681,                -16564,                -85898,,                  2174,                -88072,                -88072,,,,,,,,                 -5998,                -94070,,                -88910,                    838,,                -95447,                  1377,,                             -0.41,                             -0.41,,                             -0.41,                             -0.41,,,,,,,,,,,,,,,                -11925,                  6032,,,                   -105,,,,,,,,,,,,
2390,2012年01月01日至2012年06月30日,,,                338094,,                 86002,,,                424096,,,                312302,,,,                312302,                111794,                111794,,,                 58094,,                 74637,,                 34441,                167172,                -55378,,,                 38834,                 38834,,                -27164,,                  5360,,                -16053,                 -9743,                -65121,,                  3451,                -68572,                -68572,,,,,,,,                   -312,                -68884,,                -69030,                    458,,                -71335,                  2451,,                             -0.32,                             -0.32,,                             -0.32,                             -0.32,,,,,,,,,,,,,,,                 -6520,                   -532,,,                  6740,,,,,,,,,,,,
2390,2012年01月01日至2012年03月31日,,,                188767,,                 42783,,                              0,                231550,,,,,,,                174785,                 56765,                 56765,,,                 26521,,                 35211,,                 18039,                 79771,                -23006,,,                  1917,                 16688,,                   -953,,                  2487,,                -13352,                   -104,                -23110,,                    166,                -23276,                -23276,,,,,,,,                  1555,                -21721,,                -23378,                    102,,                -22263,                    542,,                             -0.11,                             -0.11,,                             -0.11,                             -0.11,,,,,,,,,,,,,,                192100,                 -8812,                 10367,,,                              0,                  1091,                  2242,,                    221,                 14550,                  6454,                              0,                  1639,                  1874,                    209,                  6963,                  2487
