證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入,　　　 租賃收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本,　　　 租賃成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備利益,　　 國外營運機構財務報表換算之兌換差額,　　 當期所得稅費用（利益）,　　　 處分投資性不動產利益,　　　 減損損失,　　　　 減損損失合計,　　 與其他綜合損益組成部分相關之所得稅
9912,2014年01月01日至2014年03月31日,,,,                178004,                178004,                  1532,                  3891,                172581,,                    570,                    570,                173151,,,                124009,                124009,,                              0,                              0,                124009,                 49142,                 49142,,,                 31652,,                 17156,,                  2238,                 51046,                 -1904,,,,                    850,                    850,                     75,                    925,,                  5241,                    591,,,,                  5832,,                              0,                              0,                  6757,                  4853,,                    647,                    647,                  4206,                  4206,,,                    758,                    758,                    758,                  4964,,                  4206,,                  4964,,                              0.08,                              0.08,,,,,,,,,,
9912,2013年第3季,,,,                158710,                158710,                    619,                  4297,                153794,,                              0,                              0,                153794,,,                112606,                112606,,                              0,                              0,                112606,                 41188,                 41188,,,                 28641,,                 15373,,                  1953,                 45967,                 -4779,,,,                  1463,                  1463,                  2670,                  4133,,                  3411,                              0,                      3,                              0,                              0,                  3408,,                              0,                              0,                  7541,                  2762,,,                  2424,                    338,                    338,,,,,                     66,                    404,,                    338,,                    404,,                              0.01,                              0.01,,,,,                     66,                  2424,,,,
9912,2013年第2季,,,,                154385,                154385,                    618,                  3653,                150114,,                              0,                              0,                150114,,,                111318,                111318,,                              0,                              0,                111318,                 38796,                 38796,,,                 29488,,                 19274,,                  1873,                 50635,                -11839,,,,                  1626,                  1626,                    235,                  1861,,                  4533,                              0,,                              0,                    133,                  4400,,                      8,                      8,                  6253,                 -5586,,,                 14985,                -20571,                -20571,,,,,                    981,                -19590,,                -20571,,                -19590,,                             -0.43,                             -0.43,,                              0.00,                              0.00,,                    981,                 14985,,,,
9912,2013年度,,,,                642690,                642690,                  2825,                 14787,                625078,,                              0,                              0,                625078,,,                462411,                462411,,                              0,                              0,                462411,                162667,                162667,,,                105911,,                 81208,,                  7872,                194991,                -32324,,,,,                  5653,                  3585,                  9238,,                 14575,                    679,                     88,                              0,,                 26289,,                      8,                      8,                 35519,                  3195,,,                 21279,                -18084,                -18084,,,,,                  2737,                -15347,,                -18084,,                -15347,,                             -0.35,                             -0.35,,,,                 11123,                  2737,,,,,
9912,2013年07月01日至2013年09月30日,,,,                158710,                158710,                    619,                  4297,                153794,,                              0,                              0,                153794,,,                112606,                112606,,,,                112606,                 41188,                 41188,,,                 28641,,                 15373,,                  1953,                 45967,                 -4779,,,,                  1463,                  1463,                  2670,                  4133,,                  3411,                              0,                      3,                              0,                              0,                  3408,,                              0,                              0,                  7541,                  2762,,,                  2424,                    338,                    338,,,,,                     66,                    404,,                    338,,                    404,,                              0.01,                              0.01,,,,,                     66,                  2424,,,,                              0
9912,2013年04月01日至2013年06月30日,,,,                154385,                154385,                    618,                  3653,                150114,,                              0,                              0,                150114,,,                111318,                111318,,                              0,                              0,                111318,                 38796,                 38796,,,                 29488,,                 19274,,                  1873,                 50635,                -11839,,,,                  1626,                  1626,                    235,                  1861,,                  4533,                              0,,                              0,                    133,                  4400,,                      8,                      8,                  6253,                 -5586,,,                 14985,                -20571,                -20571,,,,,                    981,                -19590,,                -20571,,                -19590,,                             -0.45,                             -0.45,,,,,                    981,                 14985,,,,                              0
9912,2013年01月01日至2013年12月31日,,,,                642690,                642690,                  2825,                 14787,                625078,,                              0,                              0,                625078,,,                462411,                462411,,,,                462411,                162667,                162667,,,                105911,,                 81208,,                  7872,                194991,                -32324,,,,,                  5653,                  3585,                  9238,,                 14575,                    679,                     88,                              0,                              0,                 26289,,                      8,                      8,                 35519,                  3195,,,                 21279,                -18084,                -18084,,,,,                  2737,                -15347,,                -18084,,                -15347,,                             -0.37,                             -0.37,,,,                 11123,                  2737,,                              0,,                              0,                              0
9912,2013年01月01日至2013年09月30日,,,,                457325,                457325,                  1989,                 10663,                444673,,                              0,                              0,                444673,,,                325668,                325668,,                              0,                              0,                325668,                119005,                119005,,,                 90326,,                 49863,,                  5469,                145658,                -26653,,,,                  4710,                  4710,                  3439,                  8149,,                  8836,                    275,                      3,                              0,                              0,                  9108,,                      8,                      8,                 17249,                 -9404,,,                 17433,                -26837,                -26837,,,,,                  1795,                -25042,,                -26837,,                -25042,,                             -0.52,                             -0.52,,,,,                  1795,                 17433,,,,
9912,2013年01月01日至2013年06月30日,,,,                298615,                298615,                  1370,                  6366,                290879,,                              0,                              0,                290879,,,                213062,                213062,,                              0,                              0,                213062,                 77817,                 77817,,,                 61685,,                 34490,,                  3516,                 99691,                -21874,,,,                  3247,                  3247,                    769,                  4016,,                  5425,                    275,,                              0,                              0,                  5700,,                      8,                      8,                  9708,                -12166,,,                 15009,                -27175,                -27175,,,,,                  1729,                -25446,,                -27175,,                -25446,,                             -0.56,                             -0.56,,                              0.00,                              0.00,,                  1729,                 15009,,,,
9912,2013年01月01日至2013年03月31日,,,,                144230,                144230,                    752,                  2713,                140765,,                              0,                              0,                140765,,,                101744,                101744,,,,                101744,                 39021,                 39021,,,                 32197,,                 15216,,                  1643,                 49056,                -10035,,,,                  1621,                  1621,                    534,                  2155,,                    892,                    408,,,,                  1300,,,,                  3455,                 -6580,,,                     24,                 -6604,                 -6604,,,,,                    748,                 -5856,,                 -6604,,                 -5856,,                             -0.14,                             -0.14,,,,,                    748,                     24,,,,
9912,2012年07月01日至2012年09月30日,,,,                159803,                159803,                  1296,                  4001,                154506,,                  5014,                  5014,                159520,,,                106063,                106063,,,,                106063,                 53457,                 53457,,,                 34387,,                 12737,,                  1377,                 48501,                  4956,,,,                      8,                      8,                    250,                    258,,                              0,                              0,                    489,                  2415,                  1067,                 -3971,,                  1437,                  1437,                 -5150,                   -194,,,                     19,                   -213,                   -213,,,,,                   -388,                   -601,,                   -213,,                   -601,,                              0.00,                              0.00,,,,,                   -470,                     19,,,,                    -82
9912,2012年04月01日至2012年06月30日,,,,                165333,                165333,                    872,                  4043,                160418,,                  5013,                  5013,                165431,,,                104066,                104066,,                  1020,                  1020,                105086,                 60345,                 60345,,,                 34622,,                 16386,,                  1225,                 52233,                  8112,,,,                     29,                     29,                     70,                     99,,                              0,                  1286,,                  6940,                              0,                 -5654,,                  1493,                  1493,                 -7048,                  1064,,,                    970,                     94,                     94,,,,,                   -944,                   -850,,                     94,,                   -850,,                              0.00,                              0.00,,,,,                 -1135,                    970,,,,                   -191
9912,2012年01月01日至2012年12月31日,,,,                642446,                642446,                  3557,                 14402,                624487,,                 16429,                 16429,                640916,,,                426727,                426727,,,,                426727,                214189,                214189,,,                130773,,                113496,,                  5493,                249762,                -35573,,,,,                  1487,                    523,                  2010,,                              0,                              0,                    632,                 12115,                    783,                545990,,                  5027,                  5027,                542973,                507400,,,                 33547,                473853,                473853,,,,,                -10274,                463579,,                473853,,                463579,,                              9.79,                              9.79,,,,                              0,                 -1896,,                570854,,                 11334,                  8378
9912,2012年01月01日至2012年09月30日,,,,                492090,                492090,                  3298,                 11550,                477242,,                 15041,                 15041,                492283,,,                318757,                318757,,,,                318757,                173526,                173526,,,                105696,,                 44909,,                  3853,                154458,                 19068,,,,                     54,                     54,                    320,                    374,,                              0,                              0,                    489,                 12446,                    756,                -13691,,                  3811,                  3811,                -17128,                  1940,,,                  1220,                    720,                    720,,,,,                 -1899,                 -1179,,                    720,,                 -1179,,                              0.01,                              0.01,,,,,                 -2288,                  1220,,,,                   -389
9912,2012年01月01日至2012年06月30日,,,,                332287,                332287,                  2002,                  7549,                322736,,                 10027,                 10027,                332763,,,                210643,                210643,,                  2051,                  2051,                212694,                120069,                120069,,,                 71309,,                 32172,,                  2476,                105957,                 14112,,,,                     46,                     46,                     70,                    116,,                              0,                    311,,                 10031,                              0,                 -9720,,                  2374,                  2374,                -11978,                  2134,,,                  1201,                    933,                    933,,,,,                 -1511,                   -578,,                    933,,                   -578,,                              0.02,                              0.02,,,,,                 -1818,                  1201,,,,                   -307
9912,2012年01月01日至2012年03月31日,,,,                166954,                166954,                  1130,                  3506,                162318,,                  5014,                  5014,                167332,,,                106577,                106577,,                  1031,                  1031,                107608,                 59724,                 59724,,,                 36687,,                 15734,,                  1251,                 53672,                  6052,,,,                     17,                     17,                              0,                     17,,                              0,                              0,                     52,                  3091,                    975,                 -4118,,                    881,                    881,                 -4982,                  1070,,,                    231,                    839,                    839,,,,,                   -567,                    272,,                    839,,                    272,,                              0.02,                              0.02,,,,,                   -683,                    231,,,,                   -116
