證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 已實現銷貨（損）益,　 未實現銷貨（損）益,　　 繼續營業單位淨利（淨損）
6145,2014年01月01日至2014年03月31日,,,,              1731133,              1731133,                  2155,                  2289,              1726689,              1726689,,              1623146,                103543,                103543,,,                 91667,,                 21595,,                  2444,                115706,                -12163,,,                  8974,,                  6605,,                  4992,,                 12920,                 23507,                 11344,,                  3987,                  7357,                  7357,,,                 66933,                  1404,,                  2131,                 70468,                 70468,                 77825,,                  7367,                    -10,,                 77832,                     -7,,                              0.02,,                              0.02,,,,,,,,,,
6145,2013年第3季,,,,              1910435,              1910435,                  2865,                 29470,              1878100,              1878100,,              1779010,                 99090,                 99090,,,                104804,,                 20316,,                  3960,                129080,                -29990,,,                 13723,,                  2573,,                  5340,,                  3289,                 14245,                -15745,,                  3361,                -19106,                -19106,,,,,,,,                -53379,                -72485,,                -17745,                 -1361,,                -71140,                 -1345,,                             -0.05,,,,                -53591,                    212,,,,                              0,,,
6145,2013年第2季,,,,              1924913,              1924913,                  1224,                 43632,              1880057,              1880057,,              1806237,                 73820,                 73820,,,                101757,,                 20762,,                  3832,                126351,                -52531,,,                 11251,,                    663,,                  5491,,                  1879,                  8302,                -44229,,                 -3334,                -40895,                -40895,,,,,,,,                 32312,                 -8583,,                -39219,                 -1676,,                 -6958,                 -1625,,                             -0.12,,                              0.00,,                 32475,                    121,,,,                    284,,,
6145,2013年度,,,,             11214987,             11214987,                 24123,                120003,             11070861,             11070861,,             10578388,                492473,                492473,,,                425292,,                 92423,,                 14975,                532690,                -40217,,,                 45895,,                  8563,,                 22507,,                 50822,                 82773,                 42556,,                 37109,                  5447,                  5447,,,,,,,,                126753,                132200,,                 10487,                 -5040,,                137139,                 -4939,,                              0.03,,                              0.00,,                123795,                  3098,                   -734,,                    775,                    181,,,
6145,2013年07月01日至2013年09月30日,,,,              1910435,              1910435,                  2865,                 29470,              1878100,              1878100,,              1779010,                 99090,                 99090,,,                104804,,                 20316,,                  3960,                129080,                -29990,,,                 13723,,                  2573,,                  5340,,                  3289,                 14245,                -15745,,                  3361,                -19106,                -19106,,,,,,,,                -53379,                -72485,,                -17745,                 -1361,,                -71140,                 -1345,,                             -0.05,,,,                -53591,                    212,,,,                              0,                              0,                              0,
6145,2013年04月01日至2013年06月30日,,,,              1924913,              1924913,                  1224,                 43632,              1880057,              1880057,,              1806237,                 73820,                 73820,,,                101757,,                 20762,,                  3832,                126351,                -52531,,,                 11251,,                    663,,                  5491,,                  1879,                  8302,                -44229,,                 -3334,                -40895,                -40895,,,,,,,,                 32312,                 -8583,,                -39219,                 -1676,,                 -6958,                 -1625,,                             -0.12,,                              0.00,,                 32475,                    121,,,,                    284,                              0,                              0,                              0.00
6145,2013年01月01日至2013年12月31日,,,,             11214987,             11214987,                 24123,                120003,             11070861,             11070861,,             10578388,                492473,                492473,,,                425292,,                 92423,,                 14975,                532690,                -40217,,,                 45895,,                  8563,,                 22507,,                 50822,                 82773,                 42556,,                 37109,                  5447,                  5447,,,,,,,,                126753,                132200,,                 10487,                 -5040,,                137139,                 -4939,,                              0.03,,                              0.00,,                123795,                  3098,                   -734,,                    775,                    181,                              0,,
6145,2013年01月01日至2013年09月30日,,,,              8708535,              8708535,                 10075,                 96955,              8601505,              8601505,,              8237086,                364419,                364419,,,                317985,,                 69226,,                 11624,                398835,                -34416,,,                 35689,,                  4481,,                 17468,,                 16761,                 39463,                  5047,,                 15392,                -10345,                -10345,,,,,,,,                 88458,                 78113,,                 -6798,                 -3547,,                 81583,                 -3470,,                             -0.02,,,,                 85402,                  3362,,,,                    306,,,
6145,2013年01月01日至2013年06月30日,,,,              6798100,              6798100,                  7210,                 67485,              6723405,              6723405,,              6458076,                265329,                265329,,,                213181,,                 48910,,                  7664,                269755,                 -4426,,,                 21966,,                  1908,,                 12128,,                 13472,                 25218,                 20792,,                 12031,                  8761,                  8761,,,,,,,,                141837,                150598,,                 10947,                 -2186,,                152723,                 -2125,,                              0.03,,                              0.03,,                138993,                  3150,,,,                    306,,,
6145,2013年01月01日至2013年03月31日,,,,              4873187,              4873187,                  5986,                 23853,              4843348,              4843348,,              4651839,                191509,                191509,,,                111424,,                 28148,,                  3832,                143404,                 48105,,,                 10715,,                  1245,,                  6637,,                 11593,                 16916,                 65021,,                 15365,                 49656,                 49656,,,,,,,,                109525,                159181,,                 50166,                   -510,,                159681,                   -500,,                              0.15,,                              0.15,,                106518,                  3029,,,,                     22,,,
6145,2012年07月01日至2012年09月30日,,,,              3337519,              3337519,                 13401,                 41549,              3282569,              3282569,,              3095654,                186915,                186811,,,                 96714,,                 35634,,                  7494,                139842,                 46969,,,                  9018,,                  8549,,                 12305,,                  6247,                 11509,                 58478,,                 20475,                 38003,                 38003,,,,,,,,                    778,                 38781,,                 38392,                   -389,,                 39196,                   -415,,                              0.22,,,,                    440,                    861,,,,                    523,                              0,                    104,
6145,2012年04月01日至2012年06月30日,,,,                752946,                752946,                  2184,                 56958,                693804,                693804,,                666047,                 27757,                 27693,,,                 42650,,                 31595,,                  5375,                 79620,                -51927,,,                  8157,,                305278,,                  5586,,                  9101,                316950,                265023,,                 10080,                254943,                254943,,,,,,,,                -28692,                226251,,                255244,                   -301,,                226727,                   -476,,                              0.87,,                              1.32,,                -13895,                -17501,,,,                 -2704,                              0,                     64,                              1.32
6145,2012年01月01日至2012年12月31日,,,,              9517736,              9517736,                 21230,                216961,              9279545,              9279545,,              8832813,                446732,                446791,,,                305599,,                128508,,                 22125,                456232,                 -9441,,,                 43216,,                269920,,                 36072,,                 11386,                288450,                279009,,                 54557,                224452,                224452,,,,,,,,                -14475,                209977,,                227461,                 -3009,,                212691,                 -2714,,                              1.27,,                              1.23,,                 -9034,                -11760,                  7777,,                   -442,                  1016,                     59,,
6145,2012年01月01日至2012年09月30日,,,,              4967430,              4967430,                 16797,                144642,              4805991,              4805991,,              4678355,                127636,                127497,,,                185945,,                 99160,,                 19470,                304575,               -177078,,,                 24215,,                265561,,                 24158,,                  4158,                269776,                 92698,,                  4727,                 87971,                 87971,,,,,,,,                 -6312,                 81659,,                 88873,                   -902,,                 82436,                   -777,,                              0.51,,,,                  2623,                 -8935,,,,                              0,                     59,                    198,
6145,2012年01月01日至2012年06月30日,,,,              1629911,              1629911,                  3396,                103093,              1523422,              1523422,,              1582701,                -59279,                -59314,,,                 89231,,                 63526,,                 11976,                164733,               -224047,,,                 15197,,                257012,,                 11853,,                 -2089,                258267,                 34220,,                -15748,                 49968,                 49968,,,,,,,,                 -7090,                 42878,,                 50481,                   -513,,                 43240,                   -362,,                              0.17,,                              0.00,,                  2183,                 -9796,,,,                   -523,                     59,                     94,                              0.00
6145,2012年01月01日至2012年03月31日,,,,                876965,                876965,                  1212,                 46135,                829618,                829618,,                916654,                -87036,                -87007,,,                 46250,,                 32262,,                  6601,                 85113,               -172120,,,                  7040,,                -48266,,                  6267,,                -11190,                -58683,               -230803,,                -25828,               -204975,               -204975,,,,,,,,                 21602,               -183373,,               -204763,                   -212,,               -183487,                    114,,                             -0.70,,                              0.00,,                 16078,                  7705,,,,                  2181,                     59,                     30,
