證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
5388,2013年度,,             19076628,,             16006588,              3070040,              3070040,,,                621588,,                606259,,                970002,              2197849,                872191,,,                 53977,,                155308,,                 55396,                151530,              1023721,,                178794,                844927,                844927,,,,,,,,                138939,                983866,,                844927,                              0,,                983866,                              0,,                              4.19,,                              3.67,,                 -2359,                158492,                 -2998,                -24018,                  2049,                 -5414
5388,2013年07月01日至2013年09月30日,,              5073154,,              4242551,                830603,                830603,,,                155293,,                154375,,                244820,                554488,                276115,,,                 15350,,                  1391,,                 14464,                  2277,                278392,,                 50190,                228202,                228202,,,,,,,,                -51210,                176992,,                228215,                    -13,,                177005,                    -13,,                              1.15,,                              0.98,,,                -36621,                   -164,                -17380,,                 -2955
5388,2013年04月01日至2013年06月30日,,              5093177,,              4290778,                802399,                802399,,,                158137,,                155715,,                243188,                557040,                245359,,,                 11198,,                 93286,,                 14083,                 90401,                335760,,                 59482,                276278,                276278,,,,,,,,                 39770,                316048,,                276291,                    -13,,                316061,                    -13,,                              1.39,,                              1.20,,,                 56014,                 -1576,                -14315,,                    353
5388,2013年01月01日至2013年12月31日,,             19076628,,             16006588,              3070040,              3070040,,,                621588,,                606259,,                970002,              2197849,                872191,,,                 53977,,                155308,,                 55396,                151530,              1023721,,                178794,                844927,                844927,,,,,,,,                138939,                983866,,                844927,,,                983866,,,                              4.19,,                              3.67,,                 -2359,                158492,                 -2998,                -24018,                  2049,                 -5414
5388,2013年01月01日至2013年09月30日,,             14274251,,             12065130,              2209121,              2209121,,,                453343,,                452244,,                702083,              1607670,                601451,,,                 38713,,                158227,,                 43086,                153854,                755305,,                132603,                622702,                622702,,,,,,,,                 85449,                708151,,                622728,                    -26,,                708177,                    -26,,                              3.13,,                              2.69,,,                 92795,                 -4522,                 -5426,,                 -2602
5388,2013年01月01日至2013年06月30日,,              9201097,,              7822579,              1378518,              1378518,,,                298050,,                297869,,                457263,              1053182,                325336,,,                 23363,,                156836,,                 28622,                151577,                476913,,                 82413,                394500,                394500,,,,,,,,                136659,                531159,,                394513,                    -13,,                531172,                    -13,,                              1.99,,                              1.73,,,                129416,                 -4358,                 11954,,                    353
5388,2013年01月01日至2013年03月31日,,              4107920,,              3531801,                576119,                576119,,,                139913,,                142154,,                214075,                496142,                 79977,,,                 12165,,                 63550,,                 14539,                 61176,                141153,,                 22931,                118222,                118222,,,,,,,,                 96889,                215111,,                118222,,,                215111,,,                              0.60,,                              0.53,,,                 73402,                 -2782,                 26269,,                              0
5388,2012年07月01日至2012年09月30日,,              5537479,,              4717686,                819793,                819793,,,                158788,,                149277,,                213142,                521207,                298586,,,                 23408,,                -11447,,                 19357,                 -7396,                291190,,                 49131,                242059,                242059,,,,,,,,                -18813,                223246,,                242059,                              0,,                223246,                              0,,                              1.26,,                              1.06,,,                -20339,                  4821,                 -3295,,                              0
5388,2012年04月01日至2012年06月30日,,              5316736,,              4461559,                855177,                855177,,,                161967,,                158993,,                214123,                535083,                320094,,,                 10844,,                -19561,,                 22483,                -31200,                288894,,                 55793,                233101,                233101,,,,,,,,                 44443,                277544,,                233101,                              0,,                277544,                              0,,                              1.22,,                              1.12,,,                 30630,                 -1203,                 15016,,                              0
5388,2012年01月01日至2012年12月31日,,             19267971,,             16282234,              2985737,              2985737,,,                572916,,                573491,,                808076,              1954483,              1031254,,,                 65267,,                -79029,,                 84179,                -97941,                933313,,                179354,                753959,                753959,,,,,,,,                -36255,                717704,,                753959,,,                717704,,,                              3.90,,                              3.45,,                              0,                -33642,                  7267,                 -8772,                 -1108,                              0
5388,2012年01月01日至2012年09月30日,,             14998424,,             12679561,              2318863,              2318863,,,                454073,,                430854,,                606801,              1491728,                827135,,,                 47418,,                -34770,,                 66803,                -54155,                772980,,                137205,                635775,                635775,,,,,,,,                -25876,                609899,,                635775,                              0,,                609899,                              0,,                              3.31,,                              2.78,,,                -36729,                  9234,                  1619,,                              0
5388,2012年01月01日至2012年06月30日,,              9460945,,              7961875,              1499070,              1499070,,,                295285,,                281577,,                393659,                970521,                528549,,,                 24010,,                -23323,,                 47446,                -46759,                481790,,                 88074,                393716,                393716,,,,,,,,                 -7063,                386653,,                393716,                              0,,                386653,                              0,,                              2.07,,                              1.84,,,                -16390,                  4413,                  4914,,                              0
5388,2012年01月01日至2012年03月31日,,              4144209,,              3500316,                643893,                643893,,,                133318,,                122584,,                179536,                435438,                208455,,,                 13166,,                 -3762,,                 24963,                -15559,                192896,,                 32281,                160615,                160615,,,,,,,,                -51506,                109109,,                160615,                              0,,                109109,                              0,,                              0.86,,                              0.77,,,                -47020,                  5616,                -10102,,
