證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6168,2014年01月01日至2014年03月31日,,              1191147,,              1079522,                111625,                111625,,,                 23502,,                 41103,,                 22338,                 86943,                 24682,,,                  8429,,                 23366,,                  2765,,                   -363,                 28667,                 53349,,                  1637,                 51712,                 51712,,,                   -767,                 29878,                              0,                 29111,                 29111,                 80823,,                 52435,                   -723,,                 81933,                 -1110,,                              0.26,                              0.26,,                              0.26,                              0.26,,                              0,                              0,                              0,,,,
6168,2013年第3季,,              1242021,,              1123044,                118977,                118977,,,                 20252,,                 36018,,                 27979,                 84249,                 34728,,,                 15347,,                 10083,,                  3419,,                   -394,                 21617,                 56345,,                      4,                 56341,                 56341,,,,,,,                   -396,                 55945,,                 51481,                  4860,,                 58023,                 -2078,,                              0.25,                              0.25,,                              0.25,                              0.25,,,,,                 -1082,                    686,,                              0
6168,2013年第2季,,              1130577,,              1071475,                 59102,                 59102,,,                 31709,,                 32126,,                 29678,                 93513,                -34411,,,                  9091,,                -24333,,                  3561,,                 -4214,                -23017,                -57428,,                 30711,                -88139,                -88139,,,,,,,                -58501,               -146640,,                -88560,                    421,,               -127499,                -19141,,                             -0.44,                             -0.44,,                             -0.44,                             -0.44,,,,,                    838,                -59339,,                              0
6168,2013年度,,              4671241,,              4321015,                350226,                350226,,,                114301,,                135703,,                123429,                373433,                -23207,,,                 59739,,                 96940,,                 14660,,                -12294,                129725,                106518,,                 45356,                 61162,                 61162,,,,,,,               -102634,                -41472,,                 36145,                 25017,,                -34290,                 -7182,,,                              0.18,,,                              0.18,,,,,                  9431,               -113952,                  2273,                    386
6168,2013年07月01日至2013年09月30日,,              1242021,,              1123044,                118977,                118977,,,                 20252,,                 36018,,                 27979,                 84249,                 34728,,,                 15347,,                 10083,,                  3419,,                   -394,                 21617,                 56345,,                      4,                 56341,                 56341,,,,,,,                   -396,                 55945,,                 51481,                  4860,,                 58023,                 -2078,,                              0.25,                              0.25,,                              0.25,                              0.25,,,,,                 -1082,                    686,,                              0
6168,2013年04月01日至2013年06月30日,,              1130577,,              1071475,                 59102,                 59102,,,                 31709,,                 32126,,                 29678,                 93513,                -34411,,,                  9091,,                -24333,,                  3561,,                 -4214,                -23017,                -57428,,                 30711,                -88139,                -88139,,,,,,,                -58501,               -146640,,                -88560,                    421,,               -127499,                -19141,,                             -0.44,                             -0.44,,                             -0.44,                             -0.44,,,,,                    838,                -59339,,                              0
6168,2013年01月01日至2013年12月31日,,              4671241,,              4321015,                350226,                350226,,,                114301,,                135703,,                123429,                373433,                -23207,,,                 59739,,                 96940,,                 14660,,                -12294,                129725,                106518,,                 45356,                 61162,                 61162,,,,,,,               -102634,                -41472,,                 36145,                 25017,,                -34290,                 -7182,,,                              0.18,,,                              0.18,,,,,                  9431,               -113952,                  2273,                    386
6168,2013年01月01日至2013年09月30日,,              3248108,,              3045459,                202649,                202649,,,                 82939,,                 95781,,                 90211,                268931,                -66282,,,                 30082,,                 15796,,                 10501,,                -11040,                 24337,                -41945,,                 38778,                -80723,                -80723,,,,,,,                -31064,               -111787,,                -88221,                  7498,,                -93444,                -18343,,                             -0.44,                             -0.44,,                             -0.44,                             -0.44,,,,,                  4591,                -35655,,                              0
6168,2013年01月01日至2013年06月30日,,              2006087,,              1922415,                 83672,                 83672,,,                 62687,,                 59763,,                 62232,                184682,               -101010,,,                 14735,,                  5713,,                  7082,,                -10646,                  2720,                -98290,,                 38774,               -137064,               -137064,,,,,,,                -30668,               -167732,,               -139702,                  2638,,               -151467,                -16265,,                             -0.69,                             -0.69,,                             -0.69,                             -0.69,,,,,                  5673,                -36341,,                              0
6168,2013年01月01日至2013年03月31日,,                875510,,                850940,                 24570,                 24570,,,                 30978,,                 27637,,                 32554,                 91169,                -66599,,,                  5644,,                 30046,,                  3521,,                 -6432,                 25737,                -40862,,                  8063,                -48925,                -48925,,,,,,,                 27833,                -21092,,                -51142,                  2217,,                -23968,                  2876,,                             -0.25,                             -0.25,,                             -0.25,                             -0.25,,,,,                  4835,                 22998,,                              0
6168,2012年07月01日至2012年09月30日,,              1066495,,              1012476,                 54019,                 54019,,,                 55541,,                 25781,,                 19537,                100859,                -46840,,,                 30406,,                -25514,,                  3195,,                 -5012,                 -3315,                -50155,,                 -9443,                -40712,                -40712,,,,,,,                -19959,                -60671,,                -42793,                  2081,,                -62569,                  1898,,                             -0.21,                             -0.21,,                             -0.21,                             -0.21,,,,,                 -2110,                -17849,,                              0
6168,2012年04月01日至2012年06月30日,,                873437,,                817158,                 56279,                 56279,,,                 55941,,                 35694,,                 28269,                119904,                -63625,,,                 10842,,                 -8633,,                  3386,,                 -3663,                 -4840,                -68465,,                 -4976,                -63489,                -63489,,,,,,,                -82395,               -145884,,                -66574,                  3085,,               -149117,                  3233,,                             -0.33,                             -0.33,,                             -0.34,                             -0.34,,,,,                  1072,                -83467,,                              0
6168,2012年01月01日至2012年12月31日,,              3770243,,              3882414,               -112171,               -112171,,,                201963,,                128721,,                101541,                432225,               -544396,,,                 53421,,                -49246,,                 14104,,                -16780,                -26709,               -571105,,                -48783,               -522322,               -522322,,,,,,,               -169120,               -691442,,               -529366,                  7044,,               -695471,                  4029,,,                             -2.60,,,                             -2.60,,,,,                 -2749,               -156983,                -11311,                 -1923
6168,2012年01月01日至2012年09月30日,,              2767085,,              2618102,                148983,                148983,,,                160053,,                 95709,,                 72932,                328694,               -179711,,,                 50836,,                -51582,,                  9555,,                -14455,                -24756,               -204467,,                -27351,               -177116,               -177116,,,,,,,                -75988,               -253104,,               -182143,                  5027,,               -257954,                  4850,,                             -0.90,                             -0.90,,                             -0.90,                             -0.90,,,,,                 -1856,                -74132,,                              0
6168,2012年01月01日至2012年06月30日,,              1700590,,              1605626,                 94964,                 94964,,,                104512,,                 69928,,                 53395,                227835,               -132871,,,                 20430,,                -26068,,                  6360,,                 -9443,                -21441,               -154312,,                -17908,               -136404,               -136404,,,,,,,                -56029,               -192433,,               -139350,                  2946,,               -195385,                  2952,,                             -0.69,                             -0.69,,                             -0.69,                             -0.69,,,,,                    254,                -56283,,                              0
6168,2012年01月01日至2012年03月31日,,                827153,,                788468,                 38685,                 38685,,,                 48571,,                 34234,,                 25126,                107931,                -69246,,,                  9588,,                -17435,,                  2974,,                 -5780,                -16601,                -85847,,                -12932,                -72915,                -72915,,,,,,,                 26366,                -46549,,                -72776,                   -139,,                -46268,                   -281,,                             -0.36,                             -0.36,,                             -0.36,                             -0.36,,,,,                   -818,                 27184,,                              0
