證券代號,年季,　 營業利益,　　 收益合計,　　　 經紀手續費收入,　　　　 經紀手續費收入合計,　　　 借貸款項手續費收入,　　　 借券收入,　　　 承銷業務收入,　　　　 承銷業務收入合計,　　　 財富管理業務淨收益,　　　　 財富管理業務淨收益,　　　 營業證券出售淨利益（損失）,　　　　 營業證券出售淨利益（損失）,　　　 股務代理收入,　　　 利息收入,　　　 股利收入,　　　 營業證券透過損益按公允價值衡量之淨利益（損失）,　　　　 營業證券透過損益按公允價值衡量之淨利益（損失）,　　　 借券及附賣回債券融券回補淨利益（損失）,　　　　 借券及附賣回債券融券回補淨利益（損失）,　　　 借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,　　　　 借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,　　　 發行認購（售）權證淨利益（損失）,　　　　 發行認購（售）權證淨利益（損失）,　　　 期貨佣金收入,　　　　 期貨佣金收入合計,　　　 衍生工具淨利益（損失）－期貨,　　　　 衍生工具淨利益（損失）－期貨,　　　 衍生工具淨利益（損失）－櫃檯,　　　　 衍生工具淨利益（損失）－櫃檯,　　　 經理費收入,　　　　 經理費收入合計,　　　 顧問費收入,　　　　 顧問費收入合計,　　　 其他營業收益,　　　　 其他營業收益合計,　　　 收益合計,　　 支出及費用合計,　　　 經紀經手費支出,　　　　 經紀經手費支出合計,　　　 自營經手費支出,　　　　 自營經手費支出合計,　　　 轉融通手續費支出,　　　 承銷作業手續費支出,　　　 財務成本,　　　 期貨佣金支出,　　　　 期貨佣金支出合計,　　　 結算交割服務費支出,　　　　 結算交割服務費支出合計,　　　 其他營業支出,　　　 員工福利費用,　　　　 員工福利費用合計,　　　 折舊及攤銷費用,　　　　 折舊及攤銷費用合計,　　　 其他營業費用,　　　　 其他營業費用合計,　　　 支出及費用合計,　　 營業利益,　 營業外損益合計,　　 採用權益法認列之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外損益合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅利益（費用）,　　 所得稅利益（費用）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　　 國外營運機構財務報表換算之兌換差額淨額,　　　 備供出售金融資產未實現淨利益（損失）,　　　　 備供出售金融資產未實現淨利益（損失）,　　　 與可能重分類至損益之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 受託結算交割服務費收入,　　　　 受託結算交割服務費收入合計,　　　 期貨管理費收入,　　　　 期貨管理費收入合計,　　 國外營運機構財務報表換算之兌換差額,　　　 國外營運機構財務報表換算之兌換差額淨額,　　 備供出售金融資產未實現淨利益（損失）,　　 確定福利計畫精算淨利益（損失）,　　　 確定福利計畫精算淨利益（損失）,　　 與其他綜合損益組成部分相關之所得稅利益（費用）,　　　 與其他綜合損益組成部分相關之所得稅利益（費用）淨額,　　 其他綜合損益淨額,　　　 借券交易損失,　　 繼續營業單位淨利（損）,　　 繼續營業單位淨利（損）[duplicate]95,　　 繼續營業單位淨利（損）[duplicate]92
6005,2014年01月01日至2014年03月31日,,,,                881290,                     16,                 13674,,                 41952,,                 10306,,                461974,                 34344,                339887,,,                113460,,                -40822,,                 22840,,                -96175,,                 15936,,                    981,,               -157953,,                     64,,                  2047,,                 13583,              1657404,,,                 75673,,                  5524,                    860,                  1010,                 40569,,                 34008,,                 20092,                  1773,,                631575,,                 58164,,                328855,              1198103,                459301,,,                 14864,,                 89621,                104485,                563786,,                -68879,                494907,                494907,,,,                 41051,,                 -2493,                 -6979,                 31579,                 31579,                526486,,                478796,                 16111,,                509782,                 16704,,                              0.20,,                              0.20,,,,,,,,,,,,,,,,
6005,2013年第3季,,,,                807474,                     12,                 16244,,                 32713,,                  6017,,                 84692,                 34659,                316654,                 82778,,                142787,,                -15156,,                   -869,,                 36273,,                 19104,,                  4447,,                -99016,,                     48,,                  1483,,                 34851,              1508390,,,                 84686,,                  4865,                    598,                    222,                 36402,,                 27682,,                 19031,                  1187,,                647845,,                 54667,,                325135,              1202320,                306070,,,                 13117,,                173931,                187048,                493118,,                -31637,                461481,                461481,,,,,                 -2776,,,,,                437063,,                434106,                 27375,,                411731,                 25332,,                              0.19,,                              0.19,,                  3192,,                      3,,                -26075,,,,,                  4433,                -24418,,,,
6005,2013年第2季,,,,                811182,                     11,                 18064,,                 66704,,                  1936,,                 73759,                 35101,                302697,                  3266,,               -131485,,                  6102,,                  5452,,                 95572,,                 22343,,                 86398,,                 39726,,                     42,,                  1611,,                 36889,              1478448,,,                 74777,,                  5721,                    230,                    819,                 36007,,                 49767,,                 33244,                  2425,,                647045,,                 57052,,                318597,              1225684,                252764,,,                  9470,,                107451,                116921,                369685,,                -73428,                296257,                296257,,,,,                 19790,,,,,                325564,,                266912,                 29345,,                290510,                 35054,,                              0.11,,                              0.11,,                  3075,,                      3,,                 11466,,,,,                 -1949,                 29307,,,,
6005,2013年度,,,,              3167155,                     63,                 89063,,                284510,,                 16137,,                393595,                140146,              1231288,                 92078,,                274843,,                -23123,,                -29973,,                244901,,                 85893,,                 88248,,               -244893,,                    179,,                  7909,,                143408,              5974094,,,                306954,,                 21224,                  2136,                  3008,                141091,,                131450,,                106623,                  5696,,              2575780,,                225923,,              1315619,              4835504,              1138590,,,                 55722,,                599565,                655287,              1793877,,               -220468,              1573409,              1573409,,,,,                 55612,,,,,              1675859,,              1471784,                101625,,              1564621,                111238,,                              0.62,,                              0.62,,                 12656,,                     11,,                 46704,,,                  8074,,                 -7940,                102450,,,,
6005,2013年07月01日至2013年09月30日,,,,                807474,                     12,                 16244,,                 32713,,                  6017,,                 84692,                 34659,                316654,                 82778,,                142787,,                -15156,,                   -869,,                 36273,,                 19104,,                  4447,,                -99016,,                     48,,                  1483,,                 34851,              1508390,,,                 84686,,                  4865,                    598,                    222,                 36402,,                 27682,,                 19031,                  1187,,                647845,,                 54667,,                325135,              1202320,                306070,,,                 13117,,                173931,                187048,                493118,,                -31637,                461481,                461481,,,,,                 -2776,,,,,                437063,,                434106,                 27375,,                411731,                 25332,,                              0.19,,                              0.19,,                  3192,,                      3,,                -26075,,,,,                  4433,                -24418,,                              0.19,,                              0.19
6005,2013年04月01日至2013年06月30日,,,,                811182,                     11,                 18064,,                 66704,,                  1936,,                 73759,                 35101,                302697,                  3266,,               -131485,,                  6102,,                  5452,,                 95572,,                 22343,,                 86398,,                 39726,,                     42,,                  1611,,                 36889,              1478448,,,                 74777,,                  5721,                    230,                    819,                 36007,,                 49767,,                 33244,                  2425,,                647045,,                 57052,,                318597,              1225684,                252764,,,                  9470,,                107451,                116921,                369685,,                -73428,                296257,                296257,,,,,                 19790,,,,,                325564,,                266912,                 29345,,                290510,                 35054,,                              0.11,,                              0.11,,                  3075,,                      3,,                 11466,,,,,                 -1949,                 29307,,,,
6005,2013年01月01日至2013年12月31日,,,,              3167155,                     63,                 89063,,                284510,,                 16137,,                393595,                140146,              1231288,                 92078,,                274843,,                -23123,,                -29973,,                244901,,                 85893,,                 88248,,               -244893,,                    179,,                  7909,,                143408,              5974094,,,                306954,,                 21224,                  2136,                  3008,                141091,,                131450,,                106623,                  5696,,              2575780,,                225923,,              1315619,              4835504,              1138590,,,                 55722,,                599565,                655287,              1793877,,               -220468,              1573409,              1573409,,,,,                 55612,,,,,              1675859,,              1471784,                101625,,              1564621,                111238,,                              0.62,,                              0.62,,                 12656,,                     11,,                 46704,,,                  8074,,                 -7940,                102450,                              0,                              0.62,                              0.62,
6005,2013年01月01日至2013年09月30日,,,,              2348993,                     45,                 68347,,                174735,,                  8660,,                224511,                105616,                906475,                 86044,,                 90889,,                 -2074,,                 12374,,                216150,,                 62608,,                 86226,,               -161512,,                    133,,                  6349,,                109214,              4352622,,,                229295,,                 16215,                  1439,                  1166,                101895,,                103579,,                 82580,                  4111,,              1922469,,                169219,,                965242,              3597210,                755412,,,                 43631,,                417519,                461150,              1216562,,               -153079,              1063483,              1063483,,,,,                 51404,,,,,              1141546,,                989492,                 73991,,              1057974,                 83572,,                              0.42,,                              0.42,,                  8831,,                      8,,                 32119,,,,,                 -5460,                 78063,,,,
6005,2013年01月01日至2013年06月30日,,,,              1541519,                     33,                 52103,,                142022,,                  2643,,                139819,                 70957,                589821,                  3266,,                -51898,,                 13082,,                 13243,,                179877,,                 43504,,                 81779,,                -62496,,                     85,,                  4866,,                 74363,              2844232,,,                144609,,                 11350,                    841,                    944,                 65493,,                 75897,,                 63549,                  2924,,              1274624,,                114552,,                640107,              2394890,                449342,,,                 30514,,                243588,                274102,                723444,,               -121442,                602002,                602002,,,,,                 54180,,,,,                704483,,                555386,                 46616,,                646243,                 58240,,                              0.23,,                              0.23,,                  5639,,                      5,,                 58194,,,,,                 -9893,                102481,,,,
6005,2013年01月01日至2013年03月31日,,,,                730337,                     22,                 34039,,                 75318,,                    707,,                 66060,                 35856,                287124,,,                 79587,,                  6980,,                  7791,,                 84305,,                 21161,,                 -4619,,               -102222,,                     43,,                  3255,,                 37474,              1365784,,,                 69832,,                  5629,                    611,                    125,                 29486,,                 26130,,                 30305,                    499,,                627579,,                 57500,,                321510,              1169206,                196578,,,                 21044,,                136137,                157181,                353759,,                -48014,                305745,                305745,,,,,                 34390,,,,,                378919,,                288474,                 17271,,                355733,                 23186,,                              0.12,,                              0.12,,                  2564,,                      2,,                 46728,,,,,                 -7944,                 73174,,,,
6005,2012年07月01日至2012年09月30日,,,,                770808,                     25,                 38005,,                 62048,,                              0,,                 13545,                 39734,                299857,                158509,,                 90504,,                -14195,,                  3933,,                 90902,,                 12091,,                -24374,,               -109507,,                              0,,                  1819,,                 45457,              1480359,,,                 70759,,                  2098,                    773,                    574,                 40027,,                 19726,,                 23608,                  1892,,                631284,,                 60090,,                333642,              1184473,                295886,,,                 13274,,                 99240,                112514,                408400,,                -32155,                376245,                376245,,,,,                 18997,,,,,                368644,,                356097,                 20148,,                347594,                 21050,,                              0.15,,                              0.15,,                  1188,,                     10,,                -32045,,,,,                  5447,                 -7601,,                              0.15,,                              0.15
6005,2012年04月01日至2012年06月30日,,,,                742855,                      3,                 22414,,                 74821,,                              0,,               -291696,                 39809,                310127,                  4139,,                 -1536,,                  5792,,                  1608,,                256445,,                 18019,,                 -7275,,                 52647,,                              0,,                              0,,                 42466,              1273654,,,                 75302,,                  2518,                    495,                    860,                 42258,,                 23071,,                 30167,                  1341,,                671225,,                 61212,,                335475,              1243924,                 29730,,,                 13951,,                 88118,                102069,                131799,,                -58213,                 73586,                 73586,,,,,                -62372,,,,,                 28991,,                 51763,                 21823,,                  8414,                 20577,,                              0.02,,                              0.02,,                  3009,,                      7,,                 21418,,,,,                 -3641,                -44595,,,,
6005,2012年01月01日至2012年12月31日,,,,              3301021,                              0,                128891,,                219239,,                              0,,               -325730,                155552,              1234101,                165979,,                452240,,                -18158,,                -45560,,                596501,,                 55292,,                -63889,,               -116686,,                              0,,                              0,,                169182,              5917631,,,                313732,,                  9939,                  2815,                  2835,                152625,,                 84624,,                110487,                  9287,,              2676396,,                249799,,              1346727,              4959479,                958152,,,                 49798,,                446334,                496132,              1454284,,               -262614,              1191670,              1191670,,,,,                -29711,,,,,              1068318,,              1100062,                 91608,,                977624,                 90694,,                              0.46,,                              0.46,,                  9622,,                     34,,                -68851,,,                -36494,,                 11704,               -123352,                    213,                              0.46,                              0.46,
6005,2012年01月01日至2012年09月30日,,,,              2523103,                     34,                 81953,,                165367,,                              0,,               -211918,                118504,                941057,                162648,,                443032,,                -20925,,                -24882,,                459496,,                 41340,,                -61448,,               -178559,,                              0,,                  4970,,                130844,              4580748,,,                236272,,                  7297,                  2003,                  2220,                112795,,                 59405,,                 78783,                  8147,,              2051289,,                188766,,              1017363,              3764340,                816408,,,                 43164,,                308774,                351938,              1168346,,               -185983,                982363,                982363,,,,,                -38935,,,,,                899616,,                918672,                 63691,,                833524,                 66092,,                              0.39,,                              0.39,,                  6106,,                     26,,                -52785,,,,,                  8973,                -82747,,                              0.39,,                              0.39
6005,2012年01月01日至2012年06月30日,,,,              1752295,                      9,                 43948,,                103319,,                              0,,               -225463,                 78770,                641200,                  4139,,                352528,,                 -6730,,                -28815,,                368594,,                 29249,,                -37074,,                -69052,,                              0,,                              0,,                 88538,              3100389,,,                165513,,                  5199,                  1230,                  1646,                 72768,,                 39679,,                 55175,                  6255,,              1420005,,                128676,,                683721,              2579867,                520522,,,                 29890,,                209534,                239424,                759946,,               -153828,                606118,                606118,,,,,                -57932,,,,,                530972,,                562575,                 43543,,                485930,                 45042,,                              0.24,,                              0.24,,                  4918,,                     16,,                -20740,,,,,                  3526,                -75146,,,,
6005,2012年01月01日至2012年03月31日,,,,              1009440,                      6,                 21534,,                 28498,,                              0,,                 66233,                 38961,                331073,,,                354064,,                -12522,,                -30423,,                112149,,                 11230,,                -29799,,               -121699,,                              0,,                              0,,                 46072,              1826735,,,                 90211,,                  2681,                    735,                    786,                 30510,,                 16608,,                 25008,                  4914,,                748780,,                 64243,,                348246,              1332722,                494013,,,                 15939,,                118195,                134134,                628147,,                -95615,                532532,                532532,,,,,                  4440,,,,,                501981,,                510812,                 21720,,                501981,,,                              0.22,,,,                  1909,,                      9,,                -42158,,,,,                  7167,                -30551,,                              0.22,,
