證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2114,2014年01月01日至2014年03月31日,,                427099,,                285923,                141176,                141176,,,                 23979,,                 10791,,                    953,                 35723,                105453,,,                  1657,,                 23082,,                    252,                 24487,                129940,,                 22090,                107850,                107850,,,                    -10,                    -10,                    -10,                107840,,                107850,,,                107840,,,                              1.76,                              1.76,,                              1.75,                              1.75,                              0,,,
2114,2013年第3季,,                465753,,                304343,                161410,                161410,,,                 24083,,                 10927,,                    997,                 36007,                125403,,,                  1900,,                 -3582,,                    718,                 -2400,                123003,,                 12642,                110361,                110361,,,,,                    -35,                110326,,                110361,,,                110326,,,                              1.63,                              1.63,,                              1.63,                              1.63,,                    -35,,                              0
2114,2013年第2季,,                461577,,                304566,                157011,                157011,,,                 23942,,                 12036,,                  1360,                 37338,                119673,,,                  1436,,                  2535,,                    340,                  3631,                123304,,                 24741,                 98563,                 98563,,,,,                     54,                 98617,,                 98563,,,                 98617,,,                              1.61,                              1.61,,                              1.60,                              1.60,,                     54,,                              0
2114,2013年度,,              1818853,,              1195048,                623805,                623805,,,                 93619,,                 43432,,                  6535,                143586,                480219,,,                  7936,,                 23760,,                  2110,                 29586,                509805,,                 73092,                436713,                436713,,,,,                  6267,                442980,,                436713,,,                442980,,,                              6.47,                              6.47,,                              6.45,                              6.45,,                    195,                  7219,                  1147
2114,2013年07月01日至2013年09月30日,,                465753,,                304343,                161410,                161410,,,                 24083,,                 10927,,                    997,                 36007,                125403,,,                  1900,,                 -3582,,                    718,                 -2400,                123003,,                 12642,                110361,                110361,,,,,                    -35,                110326,,                110361,,,                110326,,,                              1.80,                              1.80,,                              1.80,                              1.80,,                    -35,,                              0
2114,2013年04月01日至2013年06月30日,,                461577,,                304566,                157011,                157011,,,                 23942,,                 12036,,                  1360,                 37338,                119673,,,                  1436,,                  2535,,                    340,                  3631,                123304,,                 24741,                 98563,                 98563,,,,,                     54,                 98617,,                 98563,,,                 98617,,,                              1.61,                              1.61,,                              1.60,                              1.60,,                     54,,                              0
2114,2013年01月01日至2013年12月31日,,              1818853,,              1195048,                623805,                623805,,,                 93619,,                 43432,,                  6535,                143586,                480219,,,                  7936,,                 23760,,                  2110,                 29586,                509805,,                 73092,                436713,                436713,,,,,                  6267,                442980,,                436713,,,                442980,,,                              7.11,                              7.11,,                              7.09,                              7.09,,                    195,                  7219,                  1147
2114,2013年01月01日至2013年09月30日,,              1362891,,                896140,                466751,                466751,,,                 71001,,                 33286,,                  3675,                107962,                358789,,,                  4874,,                 14332,,                  1408,                 17798,                376587,,                 53186,                323401,                323401,,,,,                    130,                323531,,                323401,,,                323531,,,                              4.79,                              4.79,,                              4.78,                              4.78,,                    130,,                              0
2114,2013年01月01日至2013年06月30日,,                897138,,                591797,                305341,                305341,,,                 46918,,                 22359,,                  2678,                 71955,                233386,,,                  2974,,                 17914,,                    690,                 20198,                253584,,                 40544,                213040,                213040,,,,,                    165,                213205,,                213040,,,                213205,,,                              3.47,                              3.47,,                              3.46,                              3.46,,                    165,,                              0
2114,2013年01月01日至2013年03月31日,,                435561,,                287231,                148330,                148330,,,                 22976,,                 10323,,                  1318,                 34617,                113713,,,                  1538,,                 15379,,                    350,                 16567,                130280,,                 15803,                114477,                114477,,,,,                    111,                114588,,                114477,,,                114588,,,                              1.86,                              1.86,,                              1.86,                              1.86,,                    111,,                              0
2114,2012年07月01日至2012年09月30日,,                585360,,                393932,                191428,                191428,,,                 27195,,                 12056,,                  8442,                 47693,                143735,,,                  2243,,                 -2602,,                     29,                   -388,                143347,,                 11567,                131780,                131780,,,,,                    252,                132032,,                131780,,,                132032,,,                              2.15,                              2.15,,                              2.14,                              2.14,,                    252,,                              0
2114,2012年04月01日至2012年06月30日,,                593355,,                414270,                179085,                179085,,,                 27154,,                  9679,,                 10587,                 47420,                131665,,,                  2827,,                  5772,,                     50,                  8549,                140214,,                 21341,                118873,                118873,,,,,                     34,                118907,,                118873,,,                118907,,,                              1.94,                              1.94,,                              1.93,                              1.93,,                     34,,                              0
2114,2012年01月01日至2012年12月31日,,              2227773,,              1528017,                699756,                699756,,,                 95085,,                 45858,,                 33798,                174741,                525015,,,                 14712,,                -22880,,                    355,                 -8523,                516492,,                 57123,                459369,                459369,,,,,                   -617,                458752,,                459369,,,                458752,,,                              7.48,                              7.48,,                              7.46,                              7.46,,                   -145,                   -472,                              0
2114,2012年01月01日至2012年09月30日,,              1650704,,              1142241,                508463,                508463,,,                 69952,,                 31617,,                 29156,                130725,                377738,,,                  6626,,                 -9485,,                    335,                 -3194,                374544,,                 40539,                334005,                334005,,,,,                    160,                334165,,                334005,,,                334165,,,                              5.44,                              5.44,,                              5.42,                              5.42,,                    160,,                              0
2114,2012年01月01日至2012年06月30日,,              1065344,,                748309,                317035,                317035,,,                 42757,,                 19561,,                 20714,                 83032,                234003,,,                  4384,,                 -6883,,                    305,                 -2804,                231199,,                 28972,                202227,                202227,,,,,                    -92,                202135,,                202227,,,                202135,,,                              3.29,                              3.29,,                              3.29,                              3.29,,                    -92,,                              0
2114,2012年01月01日至2012年03月31日,,                471989,,                334039,                137950,                137950,,,                 15603,,                  9882,,                 10127,                 35612,                102338,,,                  1557,,                -12655,,                    255,                -11353,                 90985,,                  7631,                 83354,                 83354,,,,,                   -126,                 83228,,                 83354,,,                 83228,,,                              1.36,                              1.36,,                              1.35,                              1.35,,                   -126,,                              0
