證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　　 其他收入－其他,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 與其他綜合損益組成部分相關之所得稅
2438,2013年度,,                 32727,,                 37469,                 -4742,                 -4742,,,                  4615,,                 24565,,                  4433,                 33613,                -38355,,,                 32462,,                 -9907,,                    901,                 21654,                -16701,,                 -3434,                -13267,                -13267,,,,,,,,,,,,,,,,,                    188,                -13079,,                -13267,                              0,,                -13079,                              0,,                             -0.35,,,                    170,                     18,,,,
2438,2013年07月01日至2013年09月30日,,                  9991,,                 10394,                   -403,                   -403,,,                    987,,                  4784,,                  1040,                  6811,                 -7214,,,                  6643,,                    272,,                    173,                  6742,                   -472,,                 -1240,                    768,                    768,,,,,,,,,,,,,,,,,                    139,                    907,,                    768,                              0,,                    907,                              0,,                              0.02,,,                    138,                      1,,,                              0,
2438,2013年04月01日至2013年06月30日,,                 12398,,                 12112,                    286,                    286,,,                    979,,                  5534,,                  1046,                  7559,                 -7273,,,                    552,,                 -2431,,                    467,                 -2346,                 -9619,,                 -1704,                 -7915,                 -7915,,,,,,,,,,,,,,,,,                    -24,                 -7939,,                 -7915,                              0,,                 -7939,                              0,,                             -0.16,,,                    -17,                     -7,,,                              0,
2438,2013年01月01日至2013年12月31日,,                 32727,,                 37469,                 -4742,                 -4742,,,                  4615,,                 24565,,                  4433,                 33613,                -38355,,,                 32462,,                 -9907,,                    901,                 21654,                -16701,,                 -3434,                -13267,                -13267,,,,,,,,,,,,,,,,,                    188,                -13079,,                -13267,                              0,,                -13079,                              0,,                             -0.27,,,                    170,                     18,,,                              0,
2438,2013年01月01日至2013年09月30日,,                 28179,,                 32242,                 -4063,                 -4063,,,                  3506,,                 18828,,                  3427,                 25761,                -29824,,,                  8964,,                 -9836,,                    671,                 -1543,                -31367,,                 -5382,                -25985,                -25985,,,,,,,,,,,,,,,,,                    230,                -25755,,                -25985,                              0,,                -25755,                              0,,                             -0.68,,,                    218,                     12,,,,
2438,2013年01月01日至2013年06月30日,,                 18188,,                 21848,                 -3660,                 -3660,,,                  2519,,                 14044,,                  2387,                 18950,                -22610,,,                  2321,,                -10108,,                    498,                 -8285,                -30895,,                 -4142,                -26753,                -26753,,,,,,,,,,,,,,,,,                     91,                -26662,,                -26753,                              0,,                -26662,                              0,,                             -0.55,,,                     80,                     11,,,,
2438,2013年01月01日至2013年03月31日,,                  5790,,                  9736,                 -3946,                 -3946,,,                  1540,,                  8510,,                  1341,                 11391,                -15337,,,                  1769,,                 -7677,,                     31,                 -5939,                -21276,,                 -2438,                -18838,                -18838,,,,,,,,,,,,,,,,,                    115,                -18723,,                -18838,                              0,,                -18723,                              0,,                             -0.39,,,                     97,                     18,                  1769,,,
2438,2012年07月01日至2012年09月30日,,                  7779,,                  9841,                 -2062,                 -2062,,,                    455,,                 15051,,                  2670,                 18176,                -20238,,,                  4500,,                 -3698,,                     89,                    713,                -19525,,                   -223,                -19302,                -19302,,,,,,,,,,,,,,,,,                   -952,                -20254,,                -19302,                              0,,                -20254,                              0,,                             -0.40,,,                   -956,                      4,,,                              0,
2438,2012年04月01日至2012年06月30日,,                  4812,,                  9063,                 -4251,                 -4251,,,                 28821,,                 17895,,                  3007,                 49723,                -53974,,,                 35034,,                  6775,,                    154,                 41655,                -12319,,                    481,                -12800,                -12800,,,,,,,,,,,,,,,,,                 -8709,                -21509,,                -12800,                              0,,                -21509,                              0,,                             -0.26,,,                 -8707,                     -2,,,                              0,
2438,2012年01月01日至2012年12月31日,,                 26353,,                 43876,                -17523,                -17523,,,                 13494,,                 74151,,                 12227,                 99872,               -117395,,,                 59927,,                -46157,,                    408,                 13294,               -104101,,                 26433,               -130534,               -130534,,,,,,,,,,,,,,,,,                -16528,               -147062,,               -130534,                              0,,               -147062,                              0,,                             -2.69,,,                -16549,                     21,,,                    -68,
2438,2012年01月01日至2012年09月30日,,                 19790,,                 32084,                -12294,                -12294,,,                 17611,,                 53528,,                  9442,                 80581,                -92875,,,                 39631,,                 -6730,,                    686,                 32147,                -60728,,                   -487,                -60241,                -60241,,,,,,,,,,,,,,,,,                -12674,                -72915,,                -60241,                              0,,                -72915,                              0,,                             -1.24,,,                -12685,                     11,,,                    -68,
2438,2012年01月01日至2012年06月30日,,                 12011,,                 22243,                -10232,                -10232,,,                 35157,,                 38477,,                  6772,                 80406,                -90638,,,                 53132,,                 -3032,,                    597,                 49435,                -41203,,                   -264,                -40939,                -40939,,,,,,,,,,,,,,,,,                -11722,                -52661,,                -40939,                              0,,                -52661,                              0,,                             -0.84,,,                -11729,                      7,,,                    -68,
2438,2012年01月01日至2012年03月31日,,                  7199,,                 13180,                 -5981,                 -5981,,,                  6336,,                 20582,,                  3765,                 30683,                -36664,,,                 18098,,                 -9807,,                    443,                  7780,                -28884,,                   -745,                -28139,                -28139,,,,,,,,,,,,,,,,,                 -3013,                -31152,,                -27955,                   -184,,                -30968,                   -184,,                             -0.58,,,                 -3022,                      9,                 18098,,                    -68,                              0
