證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 租金收入
2415,2014年01月01日至2014年03月31日,,,                477529,,                 24982,                502511,,,                367699,                 17156,                384855,                117656,                117656,,,                 18935,,                 45682,,                  7847,                 72464,,                  1193,                  1193,                 46385,,,,                    800,                  1642,                  2442,,                   -138,,                  4567,                  4567,,                 -1741,                 -4004,                 42381,,                 11649,                 30732,                 30732,,,                 22518,,,                  3249,                 19269,                 19269,                 50001,,                 28019,                  2713,,                 43878,                  6123,,                              0.31,                              0.31,,                              0.31,                              0.31,                  1741,,,,
2415,2013年第3季,,,                482812,,                 10388,                493200,,,                373614,                 24856,                398470,                 94730,                 94730,,,                 20310,,                 42893,,                 13983,                 77186,,                  1965,                  1965,                 19509,,,,                    620,                  3319,                  3939,,                   -116,,                  3736,                  3736,,                              0,                     87,                 19596,,                  6273,                 13323,                 13323,,,,,,,,                -19184,                 -5861,,                 19127,                 -5804,,                  2445,                 -8306,,                              0.21,                              0.21,,                              0.21,                              0.21,,                -22601,,                 -3417,
2415,2013年第2季,,,                457756,,                 12057,                469813,,,                352933,                 20076,                373009,                 96804,                 96804,,,                 18408,,                 42560,,                 16285,                 77253,,                  6243,                  6243,                 25794,,,,                    518,                  2117,                  2635,,                   -209,,                  3636,                  3636,,                              0,                 -1210,                 24584,,                 10326,                 14258,                 14258,,,,,,,,                 13980,                 28238,,                 16645,                 -2387,,                 29467,                 -1229,,                              0.18,                              0.18,,                              0.18,                              0.18,                              0,                 16606,,                  2626,
2415,2013年度,,,              1801761,,                 52496,              1854257,,,              1372729,                 95562,              1468291,                385966,                385966,,,                 77616,,                159086,,                 56901,                293603,,                 16822,                 16822,                109185,,,,                  2483,,                  2483,,                  6768,,                 15394,                 15394,,                              0,                 -6143,                103042,,                 38861,                 64181,                 64181,,,,,,,,                 52161,                116342,,                 81697,                -17516,,                129139,                -12797,,                              0.90,                              0.90,,                              0.89,                              0.89,,                 62722,                   -844,                  9717,
2415,2013年07月01日至2013年09月30日,,,                482812,,                 10388,                493200,,,                373614,                 24856,                398470,                 94730,                 94730,,,                 20310,,                 42893,,                 13983,                 77186,,                  1965,                  1965,                 19509,,,,,                  3939,                  3939,,                   -116,,                  3736,                  3736,,,                     87,                 19596,,                  6273,                 13323,                 13323,,,,,,,,                -19184,                 -5861,,                 19127,                 -5804,,                  2445,                 -8306,,                              0.21,                              0.21,,                              0.21,                              0.21,,                -22601,,                 -3417,
2415,2013年04月01日至2013年06月30日,,,                457756,,                 12057,                469813,,,                352933,                 20076,                373009,                 96804,                 96804,,,                 18408,,                 42560,,                 16285,                 77253,,                  6243,                  6243,                 25794,,,,,                  2635,                  2635,,                   -209,,                  3636,                  3636,,,                 -1210,                 24584,,                 10326,                 14258,                 14258,,,,,,,,                 13980,                 28238,,                 16645,                 -2387,,                 29467,                 -1229,,                              0.19,                              0.19,,                              0.19,                              0.19,,                 16606,,                  2626,
2415,2013年01月01日至2013年12月31日,,,              1801760,,                 52497,              1854257,,,              1372729,                 95562,              1468291,                385966,                385966,,,                 77616,,                159086,,                 56901,                293603,,                 16822,                 16822,                109185,,,,                  2483,,                  2483,,                  6768,,                 15394,                 15394,,,                 -6143,                103042,,                 38861,                 64181,                 64181,,,,,,,,                 52161,                116342,,                 81697,                -17516,,                129139,                -12797,,                              0.90,                              0.90,,                              0.89,                              0.89,,                 62722,                   -844,                  9717,                              0
2415,2013年01月01日至2013年09月30日,,,              1328640,,                 37666,              1366306,,,              1024959,                 69936,              1094895,                271411,                271411,,,                 56587,,                122047,,                 43644,                222278,,                 16013,                 16013,                 65146,,,,                  1779,                  6486,                  8265,,                   -374,,                 11002,                 11002,,                              0,                 -3111,                 62035,,                 23201,                 38834,                 38834,,,,,,,,                 37042,                 75876,,                 50132,                -11298,,                 83739,                 -7863,,                              0.55,                              0.55,,                              0.55,                              0.55,,                 43925,,                  6883,
2415,2013年01月01日至2013年06月30日,,,                845828,,                 27278,                873106,,,                651345,                 45080,                696425,                176681,                176681,,,                 36277,,                 79154,,                 29661,                145092,,                 14048,                 14048,                 45637,,,,                  1159,                  3167,                  4326,,                   -258,,                  7266,                  7266,,                              0,                 -3198,                 42439,,                 16928,                 25511,                 25511,,,,,,,,                 56226,                 81737,,                 31005,                 -5494,,                 81294,                    443,,                              0.34,                              0.34,,                              0.34,                              0.34,                              0,                 66526,,                 10300,
2415,2013年01月01日至2013年03月31日,,,                388072,,                 15221,                403293,,,                298412,                 25004,                323416,                 79877,                 79877,,,                 17869,,                 36594,,                 13376,                 67839,,                  7805,                  7805,                 19843,,,,                    641,                  1050,                  1691,,                    -49,,                  3630,                  3630,,                              0,                 -1988,                 17855,,                  6602,                 11253,                 11253,,,,,,,,                 42246,                 53499,,                 14360,                 -3107,,                 51827,                  1672,,                              0.16,                              0.16,,                              0.16,                              0.16,                              0,                 49920,,                  7674,
2415,2012年07月01日至2012年09月30日,,,                454872,,                  8163,                463035,,,                351119,                 35274,                386393,                 76642,                 76642,,,                 16795,,                 38768,,                  8857,                 64420,,                 -1262,                 -1262,                 10960,,,,,                  6021,                  6021,,                    209,,                  6189,                  6189,,,                     41,                 11001,,                  7236,                  3765,                  3765,,,,,,,,                -29225,                -25460,,                 15864,                -12099,,                 -9419,                -16041,,                              0.17,                              0.17,,                              0.17,                              0.17,,                -34402,,                 -5177,
2415,2012年04月01日至2012年06月30日,,,                467081,,                 14122,                481203,,,                343492,                 68981,                412473,                 68730,                 68730,,,                 15714,,                 47294,,                  6716,                 69724,,                  5324,                  5324,                  4330,,,,,                  3620,                  3620,,                   -557,,                  6113,                  6113,,,                 -3050,                  1280,,                 10954,                 -9674,                 -9674,,,,,,,,                 16957,                  7283,,                 17669,                -27343,,                 30415,                -23132,,                              0.21,                              0.21,,                              0.21,                              0.21,,                 19567,,                  2610,
2415,2012年01月01日至2012年12月31日,,,              1737564,,                 39586,              1777150,,,              1329515,                188435,              1517950,                259200,                259200,,,                 66910,,                175644,,                 30469,                273023,,                153232,                153232,                139409,,,,                  2201,,                  5616,,                  6508,,                 22975,                 22975,,,                -10851,                128558,,                 26021,                102537,                102537,,,,,,,,                -59762,                 42775,,                178159,                -75622,,                126581,                -83806,,                              1.95,                              1.95,,                              1.94,                              1.94,,                -69244,                 -1082,                -10564,                  3415
2415,2012年01月01日至2012年09月30日,,,              1336643,,                 34763,              1371406,,,              1018406,                140260,              1158666,                212740,                212740,,,                 50527,,                118672,,                 22506,                191705,,                  1804,                  1804,                 22839,,,,,                 13908,                 13908,,                   -429,,                 18326,                 18326,,,                 -4847,                 17992,,                 24906,                 -6914,                 -6914,,,,,,,,                -49527,                -56441,,                 43067,                -49981,,                    439,                -56880,,                              0.47,                              0.47,,                              0.47,                              0.47,,                -58258,,                 -8731,
2415,2012年01月01日至2012年06月30日,,,                881771,,                 26600,                908371,,,                667287,                104986,                772273,                136098,                136098,,,                 33732,,                 79904,,                 13649,                127285,,                  3066,                  3066,                 11879,,,,,                  7887,                  7887,,                   -638,,                 12137,                 12137,,,                 -4888,                  6991,,                 17670,                -10679,                -10679,,,,,,,,                -20302,                -30981,,                 27203,                -37882,,                  9858,                -40839,,                              0.32,                              0.32,,                              0.32,                              0.32,,                -23856,,                 -3554,
2415,2012年01月01日至2012年03月31日,,,                414690,,                 12478,                427168,,,                323795,                 36005,                359800,                 67368,                 67368,,,                 18018,,                 32610,,                  6933,                 57561,,,                 -2258,                  7549,,,,,,                  4267,,                    -81,,                  6024,                  6024,,,                 -1838,                  5711,,                  6716,                 -1005,                 -1005,,,,,,,,                -37259,                -38264,,                  9534,                -10539,,                -20557,                -17707,,                              0.11,                              0.11,,                              0.11,                              0.11,,                -43423,,                 -6164,
