證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1713,2014年01月01日至2014年03月31日,,                170240,,                140796,                 29444,                 29444,,,                  7145,,                  7066,,                    889,                 15100,                 14344,,,                  1510,,                    490,,                  3061,                  5061,                 19405,,                  2782,                 16623,                 16623,,,                   -626,,                     15,                   -611,                   -611,                 16012,,                              0.11,,,,,
1713,2013年第3季,,                163673,,                136808,                 26865,                 26865,,,                  7740,,                  5639,,                    808,                 14187,                 12678,,,                  1547,,                   -399,,                  5989,                  7137,                 19815,,                  2124,                 17691,                 17691,,,,,,,                  1363,                 19054,,                              0.12,                  1363,,,                              0,
1713,2013年第2季,,                163346,,                140748,                 22598,                 22598,,,                  7464,,                  6588,,                    806,                 14858,                  7740,,,                  1606,,                   -630,,                 14070,                 15046,                 22786,,                  1749,                 21037,                 21037,,,,,,,                    511,                 21548,,                              0.14,                    202,,,                    309,
1713,2013年度,,                660381,,                558523,                101858,                101858,,,                 30407,,                 24397,,                  3230,                 58034,                 43824,,,                  6380,,                   -328,,                 34935,                 40987,                 84811,,                  8559,                 76252,                 76252,,,,,,,                 12565,                 88817,,                              0.51,                  2339,                 12149,,                    142,                  2065
1713,2013年07月01日至2013年09月30日,,                163673,,                136808,                 26865,                 26865,,,                  7740,,                  5639,,                    808,                 14187,                 12678,,,                  1547,,                   -399,,                  5989,                  7137,                 19815,,                  2124,                 17691,                 17691,,,,,,,                  1363,                 19054,,                              0.12,                  1363,,,                              0,
1713,2013年04月01日至2013年06月30日,,                163346,,                140748,                 22598,                 22598,,,                  7464,,                  6588,,                    806,                 14858,                  7740,,,                  1606,,                   -630,,                 14070,                 15046,                 22786,,                  1749,                 21037,                 21037,,,,,,,                    511,                 21548,,                              0.14,                    202,,,                    309,
1713,2013年01月01日至2013年12月31日,,                660381,,                558523,                101858,                101858,,,                 30407,,                 24397,,                  3230,                 58034,                 43824,,,                  6380,,                   -328,,                 34935,                 40987,                 84811,,                  8559,                 76252,                 76252,,,,,,,                 12565,                 88817,,                              0.51,                  2339,                 12149,,                    142,                  2065
1713,2013年01月01日至2013年09月30日,,                491621,,                417075,                 74546,                 74546,,,                 22601,,                 17775,,                  2310,                 42686,                 31860,,,                  4818,,                 -1317,,                 21423,                 24924,                 56784,,                  6069,                 50715,                 50715,,,,,,,                  1279,                 51994,,                              0.34,                  1271,,,                      8,
1713,2013年01月01日至2013年06月30日,,                327948,,                280267,                 47681,                 47681,,,                 14861,,                 12136,,                  1502,                 28499,                 19182,,,                  3271,,                   -918,,                 15434,                 17787,                 36969,,                  3945,                 33024,                 33024,,,,,,,                    -84,                 32940,,                              0.22,                    -92,,,                      8,
1713,2013年01月01日至2013年03月31日,,                164602,,                139519,                 25083,                 25083,,,                  7397,,                  5548,,                    696,                 13641,                 11442,,,                  1665,,                   -288,,                  1364,                  2741,                 14183,,                  2196,                 11987,                 11987,,,,,,,                   -595,                 11392,,                              0.08,                   -294,,,                   -301,
1713,2012年07月01日至2012年09月30日,,                153208,,                129285,                 23923,                 23923,,,                  6536,,                  4866,,                    856,                 12258,                 11665,,,                  1945,,                   -769,,                  3280,                  4456,                 16121,,                  2215,                 13906,                 13906,,,,,,,                    896,                 14802,,                              0.09,                  1400,,,                   -504,
1713,2012年04月01日至2012年06月30日,,                167165,,                137503,                 29662,                 29662,,,                  6745,,                  6640,,                  2123,                 15508,                 14154,,,                  6682,,                 -1024,,                    705,                  6363,                 20517,,                  3519,                 16998,                 16998,,,,,,,                 -1280,                 15718,,                              0.11,                 -1345,,,                     65,
1713,2012年01月01日至2012年12月31日,,                650743,,                540996,                109747,                109747,,,                 27652,,                 22697,,                  4910,                 55259,                 54488,,,                 11957,,                 -2819,,                 26405,                 35543,                 90031,,                 10901,                 79130,                 79130,,,,,,,                -18446,                 60684,,                              0.52,                   -130,                -21962,,                    -88,                 -3734
1713,2012年01月01日至2012年09月30日,,                470660,,                395951,                 74709,                 74709,,,                 19674,,                 16438,,                  4346,                 40458,                 34251,,,                 10315,,                 -2193,,                 17758,                 25880,                 60131,,                  7276,                 52855,                 52855,,,,,,,                    910,                 53765,,                              0.35,                    976,,,                    -66,
1713,2012年01月01日至2012年06月30日,,                317452,,                266666,                 50786,                 50786,,,                 13138,,                 11572,,                  3490,                 28200,                 22586,,,                  8370,,                 -1424,,                 14478,                 21424,                 44010,,                  5061,                 38949,                 38949,,,,,,,                     14,                 38963,,                              0.26,                   -424,,,                    438,
1713,2012年01月01日至2012年03月31日,,                150287,,                129163,                 21124,                 21124,,,                  6393,,                  4932,,                  1367,                 12692,                  8432,,,                  1688,,                   -400,,                 13773,                 15061,                 23493,,                  1542,                 21951,                 21951,,,,,,,                  1294,                 23245,,                              0.15,                    921,,,                    373,
