證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
8016,2014年01月01日至2014年03月31日,,              1530254,,              1092607,                437647,                437647,,,                 26615,,                 52926,,                206081,                285622,                152025,,,                  6117,,                 10619,,                    361,                 16375,                168400,,                 28998,                139402,                139402,,,                    -84,                 28609,                 28525,                 28525,                167927,,                143925,                 -4523,,                172450,                 -4523,,                              1.22,                              1.22,,                              1.20,                              1.20,,,
8016,2013年第3季,,              1703466,,              1297491,                405975,                405975,,,                 22081,,                 45642,,                210494,                278217,                127758,,,                 17430,,                     22,,                    781,                 16671,                144429,,                 36469,                107960,                107960,,,,,,                -15086,                 92874,,                117140,                 -9180,,                102054,                 -9180,,                              0.99,                              0.99,,                              0.99,                              0.99,                   -231,                -14855,
8016,2013年度,,              6337663,,              4819826,              1517837,              1517837,,,                101959,,                175528,,                832521,              1110008,                407829,,,                 36945,,                 56946,,                  1412,                 92479,                500308,,                106918,                393390,                393390,,,,,,                -18517,                374873,,                428565,                -35175,,                410048,                -35175,,                              3.63,                              3.63,,                              3.59,                              3.59,                  1016,                -36747,                 17214
8016,2013年04月01日至2013年06月30日,,              1421849,,              1057595,                364254,                364254,,,                 25809,,                 41240,,                208087,                275136,                 89118,,,                  4952,,                  5406,,                    221,                 10137,                 99255,,                 17732,                 81523,                 81523,,,,,,                 -8914,                 72609,,                 90723,                 -9200,,                 81809,                 -9200,,                              0.77,                              0.77,,                              0.76,                              0.76,                    305,                 -9219,
8016,2013年01月01日至2013年09月30日,,              4529924,,              3425037,              1104887,              1104887,,,                 76535,,                129596,,                616284,                822415,                282472,,,                 27130,,                 22268,,                  1224,                 48174,                330646,,                 67527,                263119,                263119,,,,,,                -20164,                242955,,                292886,                -29767,,                272722,                -29767,,                              2.48,                              2.48,,                              2.45,                              2.45,                    628,                -20792,
8016,2013年01月01日至2013年06月30日,,              2826458,,              2127546,                698912,                698912,,,                 54454,,                 83954,,                405865,                544273,                154639,,,                  9700,,                 22321,,                    443,                 31578,                186217,,                 31058,                155159,                155159,,,,,,                 -5078,                150081,,                175746,                -20587,,                170668,                -20587,,                              1.49,                              1.49,,                              1.47,                              1.47,                    859,                 -5937,
8016,2013年01月01日至2013年03月31日,,              1404609,,              1069951,                334658,                334658,,,                 28645,,                 42714,,                197778,                269137,                 65521,,,                  4748,,                 16915,,                    222,                 21441,                 86962,,                 13326,                 73636,                 73636,,,,,,                  3836,                 77472,,                 85023,                -11387,,                 88859,                -11387,,                              0.72,                              0.72,,                              0.71,                              0.71,                    554,                  3282,
8016,2012年04月01日至2012年06月30日,,              1306944,,                964002,                342942,                342942,,,                 26442,,                 37391,,                199464,                263297,                 79645,,,                  9576,,                 18713,,                    276,                 28013,                107658,,                 11401,                 96257,                 96257,,,,,,                 39501,                135758,,                103145,                 -6888,,                142646,                 -6888,,                              0.87,                              0.87,,                              0.86,                              0.86,                     57,                 39444,
8016,2012年01月01日至2012年06月30日,,              2352246,,              1709046,                643200,                643200,,,                 48327,,                 69257,,                382682,                500266,                142934,,,                 16250,,                 21674,,                    456,                 37468,                180402,,                 19458,                160944,                160944,,,,,,                 49988,                210932,,                175695,                -14751,,                225683,                -14751,,                              1.49,                              1.49,,                              1.47,                              1.47,                   -405,                 50393,
8016,2012年01月01日至2012年03月31日,,              1045302,,                745044,                300258,                300258,,,                 21885,,                 31866,,                183218,                236969,                 63289,,,                  6674,,                  2961,,                    180,                  9455,                 72744,,                  8057,                 64687,                 64687,,,,,,                 10487,                 75174,,                 72550,                 -7863,,                 83037,                 -7863,,                              0.61,                              0.61,,                              0.61,                              0.61,                   -462,                 10949,
