證券代號,年季,　 營業利益,　　 收益合計,　　　 經紀手續費收入,　　　　 經紀手續費收入合計,　　　 承銷業務收入,　　　　 承銷業務收入合計,　　　 營業證券出售淨利益（損失）,　　　　 營業證券出售淨利益（損失）,　　　 利息收入,　　　 營業證券透過損益按公允價值衡量之淨利益（損失）,　　　　 營業證券透過損益按公允價值衡量之淨利益（損失）,　　　 借券及附賣回債券融券回補淨利益（損失）,　　　　 借券及附賣回債券融券回補淨利益（損失）,　　　 借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,　　　　 借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,　　　 發行認購（售）權證淨利益（損失）,　　　　 發行認購（售）權證淨利益（損失）,　　　 衍生工具淨利益（損失）－期貨,　　　　 衍生工具淨利益（損失）－期貨,　　　 其他營業收益,　　　　 其他營業收益合計,　　　 收益合計,　　 支出及費用合計,　　　 經紀經手費支出,　　　　 經紀經手費支出合計,　　　 自營經手費支出,　　　　 自營經手費支出合計,　　　 轉融通手續費支出,　　　 財務成本,　　　 期貨佣金支出,　　　　 期貨佣金支出合計,　　　 結算交割服務費支出,　　　　 結算交割服務費支出合計,　　　 其他營業支出,　　　 員工福利費用,　　　　 員工福利費用合計,　　　 折舊及攤銷費用,　　　　 折舊及攤銷費用合計,　　　 其他營業費用,　　　　 其他營業費用合計,　　　 支出及費用合計,　　 營業利益,　 營業外損益合計,　　 採用權益法認列之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外損益合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅利益（費用）,　　 所得稅利益（費用）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　　 國外營運機構財務報表換算之兌換差額淨額,　　　 備供出售金融資產未實現淨利益（損失）,　　　　 備供出售金融資產未實現淨利益（損失）,　　　 後續可能重分類至損益之項目總額,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　　 國外營運機構財務報表換算之兌換差額淨額,　　 備供出售金融資產未實現淨利益（損失）,　　 確定福利計畫精算淨利益（損失）,　　　 確定福利計畫精算淨利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益份額淨額,　　 與其他綜合損益組成部分相關之所得稅利益（費用）,　　　 與其他綜合損益組成部分相關之所得稅利益（費用）淨額,　　 其他綜合損益淨額,　　 繼續營業單位淨利（損）,　　 繼續營業單位淨利（損）,　　 繼續營業單位淨利（損）,　　 繼續營業單位淨利（損）,　 停業單位損益,　　 停業單位損益淨額,　　 採用權益法認列之子公司、關聯企業及合資損益之份額,　　　 採用權益法認列之子公司、關聯企業及合資利益之份額,　　　 採用權益法認列之子公司、關聯企業及合資損益之份額淨額
2855,2014年01月01日至2014年03月31日,,,,                515839,,                 10327,,                719337,                250674,,                 36371,,                 -4868,,                  1671,,                -59339,,                -51172,,                 84243,              1503083,,,                 45255,,                 22943,                    234,                 42215,,                 20786,,                 16129,,,                525046,,                 28463,,                268377,                969448,                533635,,,                 14914,,                -18915,                 -4001,                529634,,                -65498,                464136,                464136,,,                              0,,,                 42929,,                -29403,                 13526,                 13526,                477662,,                463292,                    844,,                476842,                    820,,                              0.35,,                              0.35,,,,,,,,,,,,,,,,,,,
2855,2013年第3季,,,,                456923,,                 15411,,                228023,                183167,,                206775,,                 14285,,                -11524,,                -20043,,                  6406,,                153896,              1233319,,,                 43466,,                 29499,                    236,                 24566,,                 22363,,                 24167,,,                449287,,                 28471,,                251357,                873412,                359907,,,                  9801,,                 88582,                 98383,                458290,,                -27968,                430322,                430322,,,,,,,                  3637,,,,                407011,,                429544,                    778,,                406233,                    778,,                              0.32,,                              0.32,,                -26948,,,,,,,,                -23311,,,,,,,,,
2855,2013年第2季,,,,                451682,,                  3723,,                 48349,                203282,,                -48628,,                 53919,,                 18819,,                 45262,,                108112,,                 51922,                936442,,,                 42719,,                 32080,                    100,                 34505,,                 29326,,                 27177,,,                381843,,                 28959,,                237632,                814341,                122101,,,                 12547,,                 67899,                 80446,                202547,,                -14250,                188297,                188297,,,,,,,                    505,,,,                200192,,                186935,                  1362,,                198830,                  1362,,                              0.14,,                              0.14,,                 11390,,,,,,,,                 11895,,,,,,,,,
2855,2013年度,,,,              1804151,,                 70408,,              1015852,                788232,,                303088,,                 94983,,                  4438,,                 17548,,                206920,,                307698,              4613318,,,                169753,,                105389,                  1023,                126838,,                 92254,,                 91219,,,              1713704,,                114547,,                984888,              3399615,              1213703,,,                 55919,,                219865,                275784,              1489487,,               -124034,              1365453,              1365453,,,,,,,                 26616,,,,              1433143,,              1361715,                  3738,,              1429496,                  3647,,                              1.03,,                              1.03,,                 46966,,,                 -9756,,                  2205,,                  1659,                 67690,                              1.03,                              1.03,                              1.03,                              1.03,,,,,
2855,2013年07月01日至2013年09月30日,,,,                456923,,                 15411,,                228023,                183167,,                206775,,                 14285,,                -11524,,                -20043,,                  6406,,                153896,              1233319,,,                 43466,,                 29499,                    236,                 24566,,                 22363,,                 24167,,,                449287,,                 28471,,                251357,                873412,                359907,,,                  9801,,                 88582,                 98383,                458290,,                -27968,                430322,                430322,,,,,,,                  3637,,,,                407011,,                429544,                    778,,                406233,                    778,,                              0.32,,                              0.32,,                -26948,,,,,,,,                -23311,,,,,,                              0,,,
2855,2013年04月01日至2013年06月30日,,,,                451682,,                  3723,,                 48349,                203282,,                -48628,,                 53919,,                 18819,,                 45262,,                108112,,                 51922,                936442,,,                 42719,,                 32080,                    100,                 34505,,                 29326,,                 27177,,,                381843,,                 28959,,                237632,                814341,                122101,,,                 12547,,                 67899,                 80446,                202547,,                -14250,                188297,                188297,,,,,,,                    505,,,,                200192,,                186935,                  1362,,                198830,                  1362,,                              0.14,,                              0.14,,                 11390,,,,,,,,                 11895,,,,,,                              0,,,
2855,2013年01月01日至2013年12月31日,,,,              1804151,,                 70408,,              1015852,                788232,,                303088,,                 94983,,                  4438,,                 17548,,                206920,,                307698,              4613318,,,                169753,,                105389,                  1023,                126838,,                 92254,,                 91219,,,              1713704,,                114547,,                984888,              3399615,              1213703,,,                 55919,,                219865,                275784,              1489487,,               -124034,              1365453,              1365453,,,,,,,                 26616,,,,              1433143,,              1361715,                  3738,,              1429496,                  3647,,                              1.03,,                              1.03,,                 46966,,,                 -9756,,                  2205,,                  1659,                 67690,,,,,,,,,
2855,2013年01月01日至2013年09月30日,,,,              1329901,,                 41670,,                578946,                579794,,                180205,,                 68654,,                  7791,,                 64378,,                229752,,                257676,              3338767,,,                126571,,                 88533,                    644,                 94014,,                 74751,,                 76079,,,              1246778,,                 86751,,                712903,              2507024,                831743,,,                 38280,,                123811,                162091,                993834,,                -73095,                920739,                920739,,,,,,,                  2503,,,,                954922,,                917828,                  2911,,                952011,                  2911,,                              0.69,,                              0.69,,                 31680,,,,,,,,                 34183,,,,,,                              0,,,
2855,2013年01月01日至2013年06月30日,,,,                872978,,                 26259,,                350923,                396627,,                -26570,,                 54369,,                 19315,,                 84421,,                223346,,                103780,              2105448,,,                 83105,,                 59034,                    408,                 69448,,                 52388,,                 51912,,,                797491,,                 58280,,                461546,              1633612,                471836,,,                 28479,,                 35229,                 63708,                535544,,                -45127,                490417,                490417,,,,,,,                 -1134,,,,                547911,,                488284,                  2133,,                545778,                  2133,,                              0.37,,                              0.37,,                 58628,,,,,,,,                 57494,,,,,,,,,
2855,2013年01月01日至2013年03月31日,,,,                421296,,                 22536,,                302574,                193345,,                 22058,,                    450,,                    496,,                 39159,,                115234,,                 51858,              1169006,,,                 40386,,                 26954,                    308,                 34943,,                 23062,,                 24735,,,                415648,,                 29321,,                223914,                819271,                349735,,,                 15932,,                -32670,                -16738,                332997,,                -30877,                302120,                302120,,,,,,,                 -1639,,,,                347719,,                301349,                    771,,                346948,                    771,,                              0.23,,                              0.23,,                 47238,,,,,,,,                 45599,,,,,,,,                 15932,                 15932
2855,2012年07月01日至2012年09月30日,,,,                423329,,                 17732,,                171648,                213362,,                 22017,,                  6693,,                 -2369,,                 20961,,                -21759,,                185524,              1037138,,,                 40832,,                 17834,                    371,                 42565,,                 18893,,                 19282,,,                476611,,                 28446,,                219730,                864564,                172574,,,                 15906,,                105537,                121443,                294017,,                -24046,                269971,                269971,,,,,,,                -18350,,,,                215419,,                269621,                    350,,                215069,                    350,,                              0.20,,                              0.20,,                -36202,,,,,,,,                -54552,,,,,,                              0,,,
2855,2012年04月01日至2012年06月30日,,,,                430517,,                 25463,,               -184659,                220430,,                 12736,,                  5836,,                 -4280,,                 26139,,                 26981,,                 66606,                625769,,,                 41856,,                 20373,                    194,                 38390,,                 23130,,                 23167,,,                352949,,                 27164,,                221437,                748660,               -122891,,,                 15272,,                 74194,                 89466,                -33425,,                -27039,                -60464,                -60464,,,,,,,                 10163,,,,                -25152,,                -61940,                  1476,,                -26628,                  1476,,                             -0.05,,                             -0.05,,                 25149,,,,,,,,                 35312,,,,,,                              0,,,
2855,2012年01月01日至2012年12月31日,,,,              1861544,,                 89033,,                413973,                865232,,                 74720,,                  2606,,                -17164,,                 80256,,                350182,,                364711,              4085093,,,                178310,,                 76767,                  1409,                151360,,                 81932,,                 86132,,,              1681717,,                111530,,                941713,              3310870,                774223,,,                 71805,,                459750,                531555,              1305778,,               -132592,              1173186,              1173186,,,,,,,                -10660,,,,              1134501,,              1170034,                  3152,,              1131229,                  3272,,                              0.88,,                              0.88,,                -74685,,,                 56955,,                   -613,,                 -9682,                -38685,,,,,,,,,
2855,2012年01月01日至2012年09月30日,,,,              1441644,,                 68232,,                346982,                657234,,                151659,,                    922,,                -18294,,                 77629,,                255874,,                302373,              3284255,,,                136020,,                 59248,                    990,                116890,,                 62849,,                 64284,,,              1443760,,                 82277,,                664467,              2630785,                653470,,,                 48694,,                285247,                333941,                987411,,                -84985,                902426,                902426,,,,,,,                -14741,,,,                828276,,                900041,                  2385,,                825891,                  2385,,                              0.68,,                              0.68,,                -59409,,,,,,,,                -74150,,,,,,                              0,,,
2855,2012年01月01日至2012年06月30日,,,,              1018315,,                 50500,,                175334,                443872,,                129642,,                 -5771,,                -15925,,                 56668,,                277633,,                116849,              2247117,,,                 95188,,                 41414,                    619,                 74325,,                 43956,,                 45002,,,                967149,,                 53831,,                444737,              1766221,                480896,,,                 32788,,                179710,                212498,                693394,,                -60939,                632455,                632455,,,,,,,                  3609,,,,                612857,,                630420,                  2035,,                610822,                  2035,,                              0.48,,                              0.48,,                -23207,,,,,,,,                -19598,,,,,,                              0,,,
2855,2012年01月01日至2012年03月31日,,,,                587798,,                 25037,,                359993,                223442,,                116906,,                -11607,,                -11645,,                 30529,,                250652,,                 50243,              1621348,,,                 53337,,                 21036,                    425,                 35935,,                 20826,,                 21835,,,                614200,,                 26667,,                223300,              1017561,                603787,,,,,                105516,                123032,                726819,,                -33900,                692919,                692919,,,,,,,                 -6554,,,,                638009,,                692360,                    559,,                637450,                    559,,                              0.52,,                              0.52,,                -48356,,,,,,,,                -54910,,,,,,,,                 17516,                 17516
