證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　　 處分投資利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1459,2013年07月01日至2013年09月30日,,,              1104166,              1104166,,,              1090953,              1090953,                 13213,                 13213,,,                 15409,,                 16194,                 31603,                -18390,,,,                  3807,                  2353,                 46379,                 52539,,                 29448,,                 11292,                 70695,                 52305,,                  1126,                 51179,                 51179,,,,,,,                -20323,                 30856,,                 50810,                    369,,                 30487,                    369,,                              0.16,,,,,                -18503,                 -4693,,                 -2873
1459,2013年04月01日至2013年06月30日,,,                914156,                914156,,,                893047,                893047,                 21109,                 21109,,,                 16507,,                 19497,                 36004,                -14895,,,,                  4544,                  2343,                  1490,                  8377,,                  9640,,                 10464,                  7553,                 -7342,,                  1397,                 -8739,                 -8739,,,,,,,                 40308,                 31569,,                 -8890,                    151,,                 31418,                    151,,                             -0.03,,,,,                 29211,                 15883,,                  4786
1459,2013年01月01日至2013年12月31日,,,              4088511,              4088511,,,              3997384,              3997384,                 91127,                 91127,,,                 69699,,                 88586,                158285,                -67158,,,,                 19758,                  9391,                 47868,                118529,,                188289,,                 42420,                264398,                197240,,                 20767,                176473,                176473,,,,,,,                 83961,                260434,,                176168,                    305,,                260129,                    305,,                              0.56,,                              0.56,                 41512,                188289,                 83201,                 15231,                   -393,                 14078
1459,2013年01月01日至2013年09月30日,,,              2915792,              2915792,,,              2849085,              2849085,                 66707,                 66707,,,                 49860,,                 56144,                106004,                -39297,,,,                 16672,                  7039,                 47869,                 71580,,                 37539,,                 33356,                 75763,                 36466,,                  5169,                 31297,                 31297,,,,,,,                 63916,                 95213,,                 30918,                    379,,                 94834,                    379,,                              0.10,,,,,                 53169,                 19410,,                  8663
1459,2013年01月01日至2013年06月30日,,,              1811626,              1811626,,,              1758132,              1758132,                 53494,                 53494,,,                 34451,,                 39950,                 74401,                -20907,,,,                 12865,                  4686,                  1490,                 19041,,                  8091,,                 22064,                  5068,                -15839,,                  4043,                -19882,                -19882,,,,,,,                 84239,                 64357,,                -19892,                     10,,                 64347,                     10,,                             -0.06,,,,,                 71672,                 24103,,                 11536
1459,2013年01月01日至2013年03月31日,,,                897470,                897470,,,                865085,                865085,                 32385,                 32385,,,                 17944,,                 20453,                 38397,                 -6012,,,,                  8321,                  2343,,                 10664,,                 -1549,,                 11600,                 -2485,                 -8497,,                  2646,                -11143,                -11143,,,,,,,                 43931,                 32788,,                -11002,                   -141,,                 32929,                   -141,,                             -0.03,,,,,                 42461,                  8220,,                  6750
1459,2012年07月01日至2012年09月30日,,,              1011272,              1011272,,,              1003138,              1003138,                  8134,                  8134,,,                 18460,,                 19871,                 38331,                -30197,,,,                  7679,                  2343,                 42314,                 52336,,                 -1133,,                 14818,                 36385,                  6188,,                  1237,                  4951,                  4951,,,,,,,                 14665,                 19616,,                  3906,                  1045,,                 18571,                  1045,,                              0.01,,,,,                -19373,                 25801,,                 -8237
1459,2012年04月01日至2012年06月30日,,,              1015458,              1015458,,,                995458,                995458,                 20000,                 20000,,,                 18426,,                 20593,                 39019,                -19019,,,,                  5775,                  2343,                  2867,                 10985,,                  1553,,                 15070,                 -2532,                -21551,,                  4325,                -25876,                -25876,,,,,,,                -77679,               -103555,,                -25795,                    -81,,               -103474,                    -81,,                             -0.08,,,,,                 13265,                -83635,,                  7309
1459,2012年01月01日至2012年12月31日,,,              3953446,              3953446,,,              3871856,              3871856,                 81590,                 81590,,,                 70309,,                 75748,                146057,                -64467,,,,                 24352,                  9371,                 45181,                 84784,,                  1560,,                 56372,                 29972,                -34495,,                  8359,                -42854,                -42854,,,,,,,                -67333,               -110187,,                -43838,                    984,,               -111171,                    984,,                             -0.14,,                             -0.14,                  5880,                  1560,                -43895,                -29499,                              0,                 -6061
1459,2012年01月01日至2012年09月30日,,,              3008620,              3008620,,,              2962426,              2962426,                 46194,                 46194,,,                 53135,,                 60953,                114088,                -67894,,,,                 16224,                  7029,                 45181,                 68434,,                 -1393,,                 43364,                 23677,                -44217,,                  4990,                -49207,                -49207,,,,,,,                -42809,                -92016,,                -50191,                    984,,                -93000,                    984,,                             -0.16,,,,,                -46253,                 -3828,,                 -7272
1459,2012年01月01日至2012年06月30日,,,              1997348,              1997348,,,              1959288,              1959288,                 38060,                 38060,,,                 34675,,                 41082,                 75757,                -37697,,,,                  8545,                  4686,                  2867,                 16098,,                   -260,,                 28546,                -12708,                -50405,,                  3753,                -54158,                -54158,,,,,,,                -57474,               -111632,,                -54097,                    -61,,               -111571,                    -61,,                             -0.17,,,,,                -26880,                -29629,,                    965
1459,2012年01月01日至2012年03月31日,,,                981890,                981890,,,                963830,                963830,                 18060,                 18060,,,                 16249,,                 20489,                 36738,                -18678,,,,                  2770,                  2343,,                  5113,,                 -1813,,                 13476,                -10176,                -28854,,                   -572,                -28282,                -28282,,,,,,,                 20205,                 -8077,,                -28302,                     20,,                 -8097,                     20,,                             -0.09,,,,,                -40145,                 54006,,                 -6344
