證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 投資收入（投資公司適用）,　　　 投資收入（投資公司適用）合計,　　 租賃收入,　　　 租賃收入合計,　　 旅遊服務收入,　　　 旅遊服務收入合計,　　 勞務收入,　　　 勞務收入合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 停業單位損益,　　 停業單位損益合計,　　 共同控制下前手權益（綜合損益）
5484,2014年01月01日至2014年03月31日,,,                402906,,,                  3429,                  3429,                406335,,,                269345,,                  2488,                  2488,                271833,                134502,                134502,,,                 82608,,                 51950,,                 17211,                151769,                -17267,,,,                  2456,,                  7150,,                    369,                  9237,                 -8030,,                   -454,                 -7576,                 -7576,,,                  6197,                  6197,                  6197,                 -1379,,                 -7300,                   -276,,                 -1080,                   -299,,                             -0.06,                             -0.06,,,,,,,,,,,,,,,
5484,2013年第3季,,,                563475,,,                 12650,                 12650,                576125,,,                412599,,                  8014,                  8014,                420613,                155512,                155512,,,                 90380,,                 51541,,                 28834,                170755,                -15243,,,                  5041,                  5041,,                 -8392,,                  1284,                 -4635,                -19878,,                  5462,                -25340,                -25340,,,,,                 -5692,                -31032,,                -23400,                 -1940,,                -28805,                 -2227,,                             -0.20,                             -0.20,                 -5692,,,,,,,,,,,,,,
5484,2013年第2季,,,                571766,,,                 26132,                 26132,                597898,,,                411478,,                 23497,                 23497,                434975,                162923,                162923,,,                 90787,,                 57105,,                 35031,                182923,                -20000,,,                  1043,                  1043,,                 -3577,,                    651,                 -3185,                -23185,,                  1033,                -24218,                -24218,,,,,                  5897,                -18321,,                -22067,                 -2151,,                -16324,                 -1997,,                             -0.19,                             -0.19,                  5897,,,                              0,,                              0,,                              0,,                              0,                              0,                              0,,                              0,
5484,2013年度,,,              2114645,,,                 65194,                 65194,              2179839,,,              1511317,,                 52884,                 52884,              1564201,                615638,                615638,,,                172955,,                396949,,                120572,                690476,                -74838,,,                 10692,                 10692,,                 -5040,,                  2506,                  3146,                -71692,,                 -4530,                -67162,                -67162,,,,,                 20135,                -47027,,                -64093,                 -3069,,                -49780,                  2753,,,                             -0.55,                 18935,                  1200,,,,,,,,,,,,,
5484,2013年07月01日至2013年09月30日,,,                563475,,,,                 12650,                576125,,,                412599,,,                  8014,                420613,                155512,                155512,,,                 90380,,                 51541,,                 28834,                170755,                -15243,,,                  5041,                  5041,,                 -8392,,                  1284,                 -4635,                -19878,,                  5462,                -25340,                -25340,,,,,                 -5692,                -31032,,                -23400,                 -1940,,                -28805,                 -2227,,                             -0.20,                             -0.20,                 -5692,,,,,,,,,,,,,,
5484,2013年04月01日至2013年06月30日,,,                571766,,,                 26132,                 26132,                597898,,,                411478,,                 23497,                 23497,                434975,                162923,                162923,,,                 90787,,                 57105,,                 35031,                182923,                -20000,,,                  1043,                  1043,,                 -3577,,                    651,                 -3185,                -23185,,                  1033,                -24218,                -24218,,,,,                  5897,                -18321,,                -22067,                 -2151,,                -16324,                 -1997,,,                             -0.19,                  5897,,,,,,,,,,,,,,
5484,2013年01月01日至2013年12月31日,,,              2114645,,,                 65194,                 65194,              2179839,,,              1511317,,                 52884,                 52884,              1564201,                615638,                615638,,,                172955,,                396949,,                120572,                690476,                -74838,,,                 10692,                 10692,,                 -5040,,                  2506,                  3146,                -71692,,                 -4530,                -67162,                -67162,,,,,                 20135,                -47027,,                -64093,                 -3069,,                -49780,                  2753,,                             -0.55,                             -0.55,                 18935,                  1200,,,,,,,,,,,,,                              0
5484,2013年01月01日至2013年09月30日,,,              1624125,,,                 63944,                 63944,              1688069,,,              1150438,,                 54405,                 54405,              1204843,                483226,                483226,,,                264807,,                156608,,                 97819,                519234,                -36008,,,                  7896,                  7896,,                 -8973,,                  1953,                 -3030,                -39038,,                  9550,                -48588,                -48588,,,,,                 13636,                -34952,,                -44064,                 -4524,,                -30450,                 -4502,,                             -0.38,                             -0.38,                 13636,,,,,,,,,,,,,,
5484,2013年01月01日至2013年06月30日,,,              1060650,,,                 51294,                 51294,              1111944,,,                737839,,                 46391,                 46391,                784230,                327714,                327714,,,                174427,,                105067,,                 68985,                348479,                -20765,,,                  3277,                  3277,,                   -581,,                  1091,                  1605,                -19160,,                  4088,                -23248,                -23248,,,,,                 19328,                 -3920,,                -20664,                 -2584,,                 -1645,                 -2275,,                             -0.18,                             -0.18,                 19328,,,                              0,,                              0,,                              0,,                              0,                              0,                              0,,                              0,
5484,2013年01月01日至2013年03月31日,,,                488884,,,                 25162,                 25162,                514046,,,                326361,,                 22894,                 22894,                349255,                164791,                164791,,,                 83640,,                 47962,,                 33954,                165556,                   -765,,,,                  2234,,                  2996,,                    440,                  4790,                  4025,,                  3055,                    970,                    970,,,,,                 13431,                 14401,,                  1403,                   -433,,                 14679,                   -278,,,                              0.01,                 13431,,,,,,,,,,,,,,
5484,2012年07月01日至2012年09月30日,,,                679638,,,,                  3139,                682777,,,                458071,,,                 15139,                473210,                209567,                209567,,,                113214,,                 37995,,                 30571,                181780,                 27787,,,                  3051,                  3051,,                 -6583,,                    890,                 -4422,                 23365,,                  8437,                 14928,                 14928,,,,,                 -7463,                  7465,,                 15216,                   -288,,                  7770,                   -305,,                              0.13,                              0.13,                 -7463,,,,,,,,,,,,,,
5484,2012年04月01日至2012年06月30日,,,                562221,,,                  3336,                  3336,                565557,,,                364735,,                  2668,                  2668,                367403,                198154,                198154,,,                100946,,                 61164,,                 31110,                193220,                  4934,,,                 11023,                 11023,,                  2712,,                    873,                 12862,                 17796,,                  9252,                  8544,                  8544,,,,,                    -32,                  8512,,                 10208,                 -1664,,                 10183,                 -1671,,,                              0.09,                    -32,,,,,,,,,,,,,,
5484,2012年01月01日至2012年12月31日,,,              2277998,,,                 32055,                 32055,              2310053,,,              1498127,,                 49602,                 49602,              1547729,                762324,                762324,,,                375955,,                240482,,                129139,                745576,                 16748,,,                 30120,                 30120,,                -40035,,                  3102,                -13017,                  3731,,                  1435,                  2296,                  2296,,,,,                -13480,                -11184,,                  6935,                 -4639,,                 -6523,                 -4661,,                              0.06,                              0.06,                -11976,                 -1504,,,,,,,,,,,,,                              0
5484,2012年01月01日至2012年09月30日,,,              1773556,,,,                  6690,              1780246,,,              1163977,,,                 18022,              1181999,                598247,                598247,,,                313955,,                161123,,                 94387,                569465,                 28782,,,                 16930,                 16930,,                -15737,,                  2142,                   -949,                 27833,,                 11080,                 16753,                 16753,,,,,                -14545,                  2208,,                 19753,                 -3000,,                  5221,                 -3013,,                              0.17,                              0.17,                -14545,,,,,,,,,,,,,,
5484,2012年01月01日至2012年06月30日,,,              1093918,,,                  3551,                  3551,              1097469,,,                705906,,                  2883,                  2883,                708789,                388680,                388680,,,                200741,,                123128,,                 63816,                387685,                    995,,,                 14124,                 14124,,                 -9154,,                  1497,                  3473,                  4468,,                  2643,                  1825,                  1825,,,,,                 -7082,                 -5257,,                  4537,                 -2712,,                 -2549,                 -2708,,,                              0.04,                 -7082,,,,,,,,,,,,,,
5484,2012年01月01日至2012年03月31日,,,                531697,,,                    215,                    215,                531912,,,                341171,,                    215,                    215,                341386,                190526,                190526,,,                 99795,,                 61964,,                 32706,                194465,                 -3939,,,,                  3101,,                -11866,,                    624,                 -9389,                -13328,,                 -6609,                 -6719,                 -6719,,,,,                 -7050,                -13769,,                 -5671,                 -1048,,                -12732,                 -1037,,,                             -0.05,                 -7050,,,,,,,,,,,,,,
