證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）
4994,2014年01月01日至2014年03月31日,,                373783,,                 33222,                340561,                340561,,,                 28630,,                 38420,,                120184,                187234,                153327,,,                  2193,,                  1479,                  3672,                156999,,                 33144,                123855,                123855,,,                  2374,                  2374,                  2374,                126229,,                123855,,                126229,,                              1.40,                              1.40,,                              1.40,                              1.40,,
4994,2013年第3季,,                328243,,                 45865,                282378,                282378,,,                 66942,,                 43226,,                104519,                214687,                 67691,,,                  2356,,                   -357,                  1999,                 69690,,                 14457,                 55233,                 55233,,,,,                   -158,                 55075,,                 55233,,                 55075,,                              0.63,                              0.63,,                              0.63,                              0.63,                   -158,
4994,2013年第2季,,                202142,,                  6420,                195722,                195722,,,                 24305,,                 30329,,                 99147,                153781,                 41941,,,                  2884,,                   -387,                  2497,                 44438,,                 16781,                 27657,                 27657,,,,,                 -2709,                 24948,,                 27657,,                 24948,,                              0.39,                              0.39,,                              0.39,                              0.39,                 -2709,
4994,2013年度,,              1202961,,                126820,              1076141,              1076141,,,                164658,,                146350,,                406390,                717398,                358743,,,                 11656,,                 -2745,                  8911,                367654,,                 67320,                300334,                300334,,,,,                -10892,                289442,,                300334,,                289442,,                              3.40,                              3.40,,                              3.40,                              3.40,                -10272,                   -620
4994,2013年07月01日至2013年09月30日,,                328243,,                 45865,                282378,                282378,,,                 66942,,                 43226,,                104519,                214687,                 67691,,,                  2356,,                   -357,                  1999,                 69690,,                 14457,                 55233,                 55233,,,,,                   -158,                 55075,,                 55233,,                 55075,,                              0.78,                              0.78,,                              0.78,                              0.78,                   -158,
4994,2013年04月01日至2013年06月30日,,                202142,,                  6420,                195722,                195722,,,                 24305,,                 30329,,                 99147,                153781,                 41941,,,                  2884,,                   -387,                  2497,                 44438,,                 16781,                 27657,                 27657,,,,,                 -2709,                 24948,,                 27657,,                 24948,,                              0.59,                              0.59,,                              0.59,                              0.59,                 -2709,
4994,2013年01月01日至2013年12月31日,,              1202961,,                126820,              1076141,              1076141,,,                164658,,                146350,,                406390,                717398,                358743,,,                 11656,,                 -2745,                  8911,                367654,,                 67320,                300334,                300334,,,,,                -10892,                289442,,                300334,,                289442,,                              4.25,                              4.25,,                              4.25,                              4.25,                -10272,                   -620
4994,2013年01月01日至2013年09月30日,,                781130,,                 94366,                686764,                686764,,,                118872,,                104604,,                300443,                523919,                162845,,,                  7064,,                   -335,                  6729,                169574,,                 45896,                123678,                123678,,,,,                 -6770,                116908,,                123678,,                116908,,                              1.40,                              1.40,,                              1.40,                              1.40,                 -6770,
4994,2013年01月01日至2013年06月30日,,                452887,,                 48501,                404386,                404386,,,                 51930,,                 61378,,                195924,                309232,                 95154,,,                  4708,,                     22,                  4730,                 99884,,                 31439,                 68445,                 68445,,,,,                 -6612,                 61833,,                 68445,,                 61833,,                              0.97,                              0.97,,                              0.97,                              0.97,                 -6612,
4994,2013年01月01日至2013年03月31日,,                250745,,                 42081,                208664,                208664,,,                 27625,,                 31049,,                 96777,                155451,                 53213,,,                  1824,,                    409,                  2233,                 55446,,                 14658,                 40788,                 40788,,,,,                 -3903,                 36885,,                 40788,,                 36885,,                              0.58,                              0.58,,                              0.58,                              0.58,                 -3903,
4994,2012年07月01日至2012年09月30日,,                304273,,                 16218,                288055,                288055,,,                 54038,,                 33960,,                 89283,                177281,                110774,,,                  2090,,                   -736,                  1354,                112128,,                 10872,                101256,                101256,,,,,                    492,                101748,,                101256,,                101748,,                              1.43,                              1.43,,                              1.43,                              1.43,                    492,
4994,2012年04月01日至2012年06月30日,,                180425,,                  4688,                175737,                175737,,,                 27206,,                 25635,,                 74626,                127467,                 48270,,,                  1993,,                    638,                  2631,                 50901,,                 17265,                 33636,                 33636,,,,,                  1712,                 35348,,                 33636,,                 35348,,                              0.71,                              0.71,,                              0.71,                              0.71,                  1712,
4994,2012年01月01日至2012年12月31日,,              1010227,,                 43062,                967165,                967165,,,                138240,,                114961,,                324505,                577706,                389459,,,                  6707,,                   -565,                  6142,                395601,,                 74088,                321513,                321513,,,,,                 -7138,                314375,,                321513,,                314375,,                              4.55,                              4.55,,                              4.55,                              4.55,                 -6335,                   -803
4994,2012年01月01日至2012年09月30日,,                745600,,                 29177,                716423,                716423,,,                 98186,,                 81271,,                235869,                415326,                301097,,,                  4874,,                 -1003,                  3871,                304968,,                 57250,                247718,                247718,,,,,                  2204,                249922,,                247718,,                249922,,                              3.51,                              3.51,,                              3.50,                              3.50,                  2204,
4994,2012年01月01日至2012年06月30日,,                441327,,                 12959,                428368,                428368,,,                 44148,,                 47311,,                146586,                238045,                190323,,,                  2784,,                   -267,                  2517,                192840,,                 46378,                146462,                146462,,,,,                  1712,                148174,,                146462,,                148174,,                              3.11,                              3.11,,                              3.10,                              3.10,                  1712,
4994,2012年01月01日至2012年03月31日,,                260902,,                  8271,                252631,                252631,,,                 17280,,                 22383,,                 70915,                110578,                142053,,,                    791,,                   -905,                   -114,                141939,,                 29113,                112826,                112826,,,,,                              0,                112826,,                112826,,                112826,,                              4.79,                              4.79,,                              4.76,                              4.76,                              0,
