證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本合計,　　　 其他收入－其他,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額
4912,2014年01月01日至2014年03月31日,,,,                616962,                    104,                616858,                616858,,                495238,                121620,                121620,,,                 17435,,                 56300,,                 16586,                 90321,                 31299,,,                  2272,,                    613,,                  1856,,                   -340,                    689,                 31988,,                  3453,                 28535,                 28535,,,                              0,                              0,,                 -3304,                 -3304,                 -3304,                 25231,,                 28535,,                 25231,,                              0.87,                              0.87,,                              0.87,                              0.87,,                495238,                  2272,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,
4912,2013年第3季,,,,                639527,                      1,                639526,                639526,,                494019,                145507,                145507,,,                 11643,,                 48589,,                 16219,                 76451,                 69056,,,                  3365,,                 -7136,,                  1083,,                  1899,                 -2955,                 66101,,                  6725,                 59376,                 59376,,,,,,,,                 -9740,                 49636,,                 59376,,                 49636,,                              1.81,                              1.81,,                              1.80,                              1.80,,,,,,,,,,,,,,                 -9740
4912,2013年第2季,,,,                459201,                              0,                459201,                459201,,                359994,                 99207,                 99207,,,                 10716,,                 42726,,                 13031,                 66473,                 32734,,,                    997,,                    214,,                    527,,                              0,                    684,                 33418,,                 11158,                 22260,                 22260,,,,,,,,                 12070,                 34330,,                 22260,,                 34330,,                              0.68,                              0.68,,                              0.68,                              0.68,,,,,,,,,,,,,,                 12070
4912,2013年度,,,,              2114975,                     84,              2114891,              2114891,,              1643440,                471451,                471451,,,                 49607,,                193259,,                 56916,                299782,                171669,,,                  9764,,                -12123,,                  3781,,                  3523,                 -2617,                169052,,                 37818,                131234,                131234,,,,,,,,                 43283,                174517,,                131234,,                174517,,                              4.00,                              4.00,,                              3.99,                              3.99,,,,,,,,,,,,,,                 43283
4912,2013年07月01日至2013年09月30日,,,,                639527,                      1,                639526,                639526,,                494019,                145507,                145507,,,                 11643,,                 48589,,                 16219,                 76451,                 69056,,,                  3365,,                 -7136,,                  1083,,                  1899,                 -2955,                 66101,,                  6725,                 59376,                 59376,,,,,,,,                 -9740,                 49636,,                 59376,,                 49636,,                              1.81,                              1.81,,                              1.80,                              1.80,,,,,,,,,,,,,,                 -9740
4912,2013年04月01日至2013年06月30日,,,,                459201,                              0,                459201,                459201,,                359994,                 99207,                 99207,,,                 10716,,                 42726,,                 13031,                 66473,                 32734,,,                    997,,                    214,,                    527,,,                    684,                 33418,,                 11158,                 22260,                 22260,,,,,,,,                 12070,                 34330,,                 22260,,                 34330,,                              0.68,                              0.68,,                              0.68,                              0.68,,,,,,,,,,,,,,                 12070
4912,2013年01月01日至2013年12月31日,,,,              2114975,                     84,              2114891,              2114891,,              1643440,                471451,                471451,,,                 49607,,                193259,,                 56916,                299782,                171669,,,                  9764,,                -12123,,                  3781,,                  3523,                 -2617,                169052,,                 37818,                131234,                131234,,,,,,,,                 43283,                174517,,                131234,,                174517,,                              4.00,                              4.00,,                              3.99,                              3.99,,,,,,,,,,,,,,                 43283
4912,2013年01月01日至2013年09月30日,,,,              1519378,                      9,              1519369,              1519369,,              1184049,                335320,                335320,,,                 32626,,                127868,,                 39918,                200412,                134908,,,                  5221,,                 -6279,,                  1911,,                  1899,                 -1070,                133838,,                 25862,                107976,                107976,,,,,,,,                 27970,                135946,,                107976,,                135946,,                              3.29,                              3.29,,                              3.28,                              3.28,,,,,,,,,,,,,,                 27970
4912,2013年01月01日至2013年06月30日,,,,                879851,                      8,                879843,                879843,,                690030,                189813,                189813,,,                 20983,,                 79279,,                 23699,                123961,                 65852,,,                  1856,,                    857,,                    828,,                              0,                  1885,                 67737,,                 19137,                 48600,                 48600,,,,,,,,                 37710,                 86310,,                 48600,,                 86310,,                              1.48,                              1.48,,                              1.48,                              1.48,,,,,,,,,,,,,,                 37710
4912,2013年01月01日至2013年03月31日,,,,                420650,                      8,                420642,                420642,,                330036,                 90606,                 90606,,,                 10267,,                 36553,,                 10668,                 57488,                 33118,,,                    859,,                    643,,                    301,,                              0,                  1201,                 34319,,                  7979,                 26340,                 26340,,,,,,,,                 25640,                 51980,,                 26340,,                 51980,,                              0.80,                              0.80,,                              0.80,                              0.80,,                330036,                    859,,,,,,,,,                              0,                              0,                 25640
4912,2012年07月01日至2012年09月30日,,,,                521066,                      2,                521064,                521064,,                399328,                121736,                121736,,,                 11066,,                 36697,,                 10900,                 58663,                 63073,,,                    677,,                    -10,,                    964,,                              0,                   -297,                 62776,,                 11481,                 51295,                 51295,,,,,,,,                 -6666,                 44629,,                 51295,,                 44629,,                              1.85,                              1.85,,                              1.84,                              1.84,,,,,,,,,,,,,,                 -6666
4912,2012年04月01日至2012年06月30日,,,,                557530,                    329,                557201,                557201,,                406150,                151051,                151051,,,                 11083,,                 31116,,                  9488,                 51687,                 99364,,,                 12387,,                  2548,,                    831,,,                 14104,                113468,,                 16464,                 97004,                 97004,,,,,,,,                  2939,                 99943,,                 97004,,                 99943,,                              3.49,                              3.49,,                              3.48,                              3.48,,,,,,,,,,,,,,                  2939
4912,2012年01月01日至2012年12月31日,,,,              1934627,                  1913,              1932714,              1932714,,              1459388,                473326,                473326,,,                 30264,,                153341,,                 39880,                223485,                249841,,,                 15297,,                -14621,,                  3258,,                              0,                 -2582,                247259,,                 42863,                204396,                204396,,,,,,,,                -20096,                184300,,                204396,,                184300,,                              7.24,                              7.24,,                              7.20,                              7.20,,,,,,,,,,,,,,                -20096
4912,2012年01月01日至2012年09月30日,,,,              1475775,                  1524,              1474251,              1474251,,              1099344,                374907,                374907,,,                 29037,,                 96932,,                 29769,                155738,                219169,,,                 13378,,                 -3273,,                  2192,,                              0,                  7913,                227082,,                 37084,                189998,                189998,,,,,,,,                -19495,                170503,,                189998,,                170503,,                              6.83,                              6.83,,                              6.82,                              6.82,,,,,,,,,,,,,,                -19495
4912,2012年01月01日至2012年06月30日,,,,                954709,                  1522,                953187,                953187,,                700016,                253171,                253171,,,                 17971,,                 60235,,                 18869,                 97075,                156096,,,                 12701,,                 -3263,,                  1228,,,                  8210,                164306,,                 25603,                138703,                138703,,,,,,,,                -12829,                125874,,                138703,,                125874,,                              4.99,                              4.99,,                              4.98,                              4.98,,,,,,,,,,,,,,                -12829
4912,2012年01月01日至2012年03月31日,,,,                397179,                  1193,                395986,                395986,,                293866,                102120,                102120,,,                  6888,,                 29119,,                  9381,                 45388,                 56732,,,                    314,,                 -5811,,                    397,,,                 -5894,                 50838,,                  9139,                 41699,                 41699,,,,,,,,                -15768,                 25931,,                 41699,,                 25931,,                              1.50,                              1.50,,                              1.49,                              1.49,,                293866,                    314,,,,,,,,,                              0,                              0,                -15768
