證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 管理費用,　　　 管理費用合計,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 利息費用,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 外幣兌換損失
3018,2014年01月01日至2014年03月31日,,                264256,,                239591,                 24665,                 24665,,                 19411,                  5254,,,                    454,,                   -408,,                    920,                   -874,                  4380,,                    566,                  3814,                  3814,,,                     40,                     40,                     40,                  3854,,                  3814,,                  3854,,,,                              0.08,                              0.08,,                              0.08,,                              0.08,,                 19411,,                    350,                    350,                    104,                              0,                     90,                    377,                    121,                    920,,,,
3018,2013年第3季,,                 92905,,                 83442,                  9463,                  9463,,                 19276,                 -9813,,,                    820,,                   -907,,                    370,                   -457,                -10270,,                 -1579,                 -8691,                 -8691,,,,,                    103,                 -8588,,                 -8691,,                 -8588,,,,                             -0.19,                             -0.19,,                             -0.19,                              0.00,                             -0.19,,,,,,,,,,,,                    103,,,
3018,2013年第2季,,                 56743,,                 53394,                  3349,                  3349,,                 17749,                -14400,,,                    681,,                   -372,,                    318,                     -9,                -14409,,                 -2209,                -12200,                -12200,,,,,                   -154,                -12354,,                -12200,,                -12354,,,,                             -0.27,                             -0.27,,                             -0.27,                              0.00,                             -0.27,,,,,,,,,,,,                   -154,,,
3018,2013年度,,                663599,,                600638,                 62961,                 62961,,                 79267,                -16306,,,                  2691,,                   -550,,                  1742,                    399,                -15907,,                 -6419,                 -9488,                 -9488,,,,,                 -2400,                -11888,,                 -9488,,                -11888,,,,                             -0.21,                             -0.21,,                             -0.21,                              0.00,                             -0.21,,,,,,,,,,,,                   -728,                 -1672,                              0,
3018,2013年07月01日至2013年09月30日,,                 92905,,                 83442,                  9463,                  9463,,                 19276,                 -9813,,,                    820,,                   -907,,                    370,                   -457,                -10270,,                 -1579,                 -8691,                 -8691,,,,,                    103,                 -8588,,                 -8691,,                 -8588,,,,                             -0.19,                             -0.19,,                             -0.19,                              0.00,                             -0.19,,,,,,,,,,,,                    103,,,
3018,2013年04月01日至2013年06月30日,,                 56743,,                 53394,                  3349,                  3349,,                 17749,                -14400,,,                    681,,                   -372,,                    318,                     -9,                -14409,,                 -2209,                -12200,                -12200,,,,,                   -154,                -12354,,                -12200,,                -12354,,,,                             -0.27,                             -0.27,,                             -0.27,,                             -0.27,,,,,,,,,,,,                   -154,,,
3018,2013年01月01日至2013年12月31日,,                663599,,                600638,                 62961,                 62961,,                 79267,                -16306,,,                  2691,,                   -550,,                  1742,                    399,                -15907,,                 -6419,                 -9488,                 -9488,,,,,                 -2400,                -11888,,                 -9488,,                -11888,,,,                             -0.21,                             -0.21,,                             -0.21,                              0.00,                             -0.21,,,,,,,,,,,,                   -728,                 -1672,,
3018,2013年01月01日至2013年09月30日,,                187094,,                173624,                 13470,                 13470,,                 54680,                -41210,,,                  1973,,                   -321,,                  1170,                    482,                -40728,,                 -6292,                -34436,                -34436,,,,,                   -557,                -34993,,                -34436,,                -34993,,,,                             -0.76,                             -0.76,,                             -0.76,                              0.00,                             -0.76,,,,,,,,,,,,                   -557,,,
3018,2013年01月01日至2013年06月30日,,                 94189,,                 90182,                  4007,                  4007,,                 35404,                -31397,,,                  1153,,                    586,,                    800,                    939,                -30458,,                 -4713,                -25745,                -25745,,,,,                   -660,                -26405,,                -25745,,                -26405,,,,                             -0.57,                             -0.57,,                             -0.57,                              0.00,                             -0.57,,,,,,,,,,,,                   -660,,,
3018,2013年01月01日至2013年03月31日,,                 37446,,                 36788,                    658,                    658,,                 17655,                -16997,,,                    472,,                    958,,                    482,                    948,                -16049,,                 -2504,                -13545,                -13545,,,,,                   -506,                -14051,,                -13545,,                -14051,,,,                             -0.30,                             -0.30,,                             -0.30,,                             -0.30,,                 17655,,                    409,                    409,                     63,,                  1055,                     97,                              0,                    482,                   -506,,,                              0
3018,2012年07月01日至2012年09月30日,,                 85227,,                 63838,                 21389,                 21389,,                 21117,                    272,,,                    403,,                   -562,,                    186,                   -345,                    -73,,                    149,                   -222,                   -222,,,,,                     85,                   -137,,                   -222,,                   -137,,,,                             -0.01,                             -0.01,,                             -0.01,                              0.00,                             -0.01,,,,,,,,,,,,                     85,,,
3018,2012年04月01日至2012年06月30日,,                 68012,,                 59550,                  8462,                  8462,,                 14204,                 -5742,,,                    485,,                    -21,,                    102,                    362,                 -5380,,                  1103,                 -6483,                 -6483,,,,,                     25,                 -6458,,                 -6483,,                 -6458,,,,                             -0.14,                             -0.14,,                             -0.14,,                             -0.14,,,,,,,,,,,,                     25,,,
3018,2012年01月01日至2012年12月31日,,                498588,,                418147,                 80441,                 80441,,                 96551,                -16110,,,                  1771,,                 -5483,,                    698,                 -4410,                -20520,,                 -4844,                -15676,                -15676,,,,,                 -5334,                -21010,,                -15676,,                -21010,,,,                             -0.34,                             -0.34,,                             -0.34,                              0.00,                             -0.34,,,,,,,,,,,,                    347,                 -5681,,
3018,2012年01月01日至2012年09月30日,,                368662,,                343246,                 25416,                 25416,,                 54692,                -29276,,,                  1268,,                   -775,,                    389,                    104,                -29172,,                 -2378,                -26794,                -26794,,,,,                    364,                -26430,,                -26794,,                -26430,,,,                             -0.59,                             -0.59,,                             -0.59,                              0.00,                             -0.59,,,,,,,,,,,,                    364,,,
3018,2012年01月01日至2012年06月30日,,                283435,,                279408,                  4027,                  4027,,                 33575,                -29548,,,                    865,,                   -213,,                    203,                    449,                -29099,,                 -2527,                -26572,                -26572,,,,,                    279,                -26293,,                -26572,,                -26293,,,,                             -0.58,                             -0.58,,                             -0.58,,                             -0.58,,,,,,,,,,,,                    279,,,
3018,2012年01月01日至2012年03月31日,,                215423,,                219858,                 -4435,                 -4435,,                 19371,                -23806,,,                    380,,                   -192,,                    101,                     87,                -23719,,                 -3630,                -20089,                -20089,,,,,                    254,                -19835,,                -20089,,                -19835,,,,                             -0.44,                             -0.44,,                             -0.44,,                             -0.44,,                 19371,,                    363,                    363,                     17,,                              0,                      6,,                    101,                    254,,,                    186
