證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 非控制權益（淨利／損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3026,2014年01月01日至2014年03月31日,,,              3848430,              3848430,,              3358760,                489670,                489670,,,                248642,,                 44875,                293517,                196153,,,,                 10826,                 10826,,                  2180,,                  7882,                  5124,                201277,,                 30906,                170371,                170371,,,                 23431,                 -1201,                 16183,                  6047,                  6047,                176418,,                176485,,,                183096,                 -6678,,                              0.79,,                              0.77,                 -6114,,,,
3026,2013年第3季,,,              4479253,              4479253,,              3924657,                554596,                554596,,,                269539,,                 54505,                324044,                230552,,,,                 12067,                 12067,,                 14106,,                  6462,                 19711,                250263,,                 43807,                206456,                206456,,,,,,,                -65074,                141382,,                222487,                -16031,,                182760,                -41378,,                              0.73,,                              0.72,,                -13506,                -53949,,                 -2381
3026,2013年第2季,,,              3837625,              3837625,,              3333282,                504343,                504343,,,                280694,,                 53706,                334400,                169943,,,,                 11413,                 11413,,                 35769,,                  5274,                 41908,                211851,,                 53725,                158126,                158126,,,,,,,                119696,                277822,,                170208,                -12082,,                238183,                 39639,,                              0.53,,                              0.52,,                  2112,                117820,,                    236
3026,2013年度,,,             15898687,             15898687,,             13924661,              1974026,              1974026,,,              1077945,,                231618,              1309563,                664463,,,,                 44085,                 44085,,                118672,,                 24935,                137822,                802285,,                174539,                627746,                627746,,,,,,,                241181,                868927,,                695665,,,                836822,                 32105,,                              2.44,,                              2.39,                -67919,                  3161,                235795,                  2271,                     46
3026,2013年07月01日至2013年09月30日,,,              4479253,              4479253,,              3924657,                554596,                554596,,,                269539,,                 54505,                324044,                230552,,,,                 12067,                 12067,,                 14106,,                  6462,                 19711,                250263,,                 43807,                206456,                206456,,,,,,,                -65074,                141382,,                222487,                -16031,,                182760,                -41378,,                              0.73,,                              0.72,,                -13506,                -53949,,                 -2381
3026,2013年04月01日至2013年06月30日,,,              3837625,              3837625,,              3333282,                504343,                504343,,,                280694,,                 53706,                334400,                169943,,,,                 11413,                 11413,,                 35769,,                  5274,                 41908,                211851,,                 53725,                158126,                158126,,,,,,,                119696,                277822,,                170208,                -12082,,                238183,                 39639,,                              0.53,,                              0.52,,                  2112,                117820,,                    236
3026,2013年01月01日至2013年12月31日,,,             15898687,             15898687,,             13924661,              1974026,              1974026,,,              1077945,,                231618,              1309563,                664463,,,,                 44085,                 44085,,                118672,,                 24935,                137822,                802285,,                174539,                627746,                627746,,,,,,,                241181,                868927,,                695665,,,                836822,                 32105,,                              2.44,,                              2.39,                -67919,                  3161,                235795,                  2271,                     46
3026,2013年01月01日至2013年09月30日,,,             11631419,             11631419,,             10110782,              1520637,              1520637,,,                810754,,                151148,                961902,                558735,,,,                 31672,                 31672,,                 75674,,                 17290,                 90056,                648791,,                128227,                520564,                520564,,,,,,,                177670,                698234,,                561421,                -40857,,                667503,                 30731,,                              1.84,,                              1.80,,                    260,                177313,,                    -97
3026,2013年01月01日至2013年06月30日,,,              7152166,              7152166,,              6186125,                966041,                966041,,,                541215,,                 96643,                637858,                328183,,,,                 19605,                 19605,,                 61568,,                 10828,                 70345,                398528,,                 84420,                314108,                314108,,,,,,,                242744,                556852,,                338934,                -24826,,                484743,                 72109,,                              1.06,,                              1.04,,                 13766,                231262,,                  2284
3026,2013年01月01日至2013年03月31日,,,              3314541,              3314541,,              2852843,                461698,                461698,,,                260521,,                 42937,                303458,                158240,,,,                  8192,                  8192,,                 25799,,                  5554,                 28437,                186677,,                 30695,                155982,                155982,,,,,,,                123048,                279030,,                168726,,,                246560,                 32470,,                              0.53,,                              0.52,                -12744,                 11654,                113442,,                  2048
3026,2012年07月01日至2012年09月30日,,,              3921447,              3921447,,              3369171,                552276,                552276,,,                282412,,                 41422,                323834,                228442,,,,                  8793,                  8793,,                 11885,,                  5610,                 15068,                243510,,                 48246,                195264,                195264,,,,,,,                  7426,                202690,,                198167,                 -2903,,                195775,                  6915,,                              0.62,,                              0.61,,                 -8859,                 13938,,                 -2347
3026,2012年04月01日至2012年06月30日,,,              3627980,              3627980,,              3126922,                501058,                501058,,,                289212,,                 23036,                312248,                188810,,,,                 14374,                 14374,,                 -5421,,                  7385,                  1568,                190378,,                 38969,                151409,                151409,,,,,,,                -43709,                107700,,                156536,                 -5127,,                141459,                -33759,,                              0.49,,                              0.47,,                 20337,                -60612,,                  3434
3026,2012年01月01日至2012年12月31日,,,             14607834,             14607834,,             12739110,              1868724,              1868724,,,              1099436,,                136013,              1235449,                633275,,,,                 36789,                 36789,,                114422,,                 24604,                126607,                759882,,                139457,                620425,                620425,,,,,,,               -136316,                484109,,                639620,,,                507752,                -23643,,                              2.00,,                              1.93,                -19195,                -80989,                   -245,                -67192,                -12110
3026,2012年01月01日至2012年09月30日,,,             10992484,             10992484,,              9508549,              1483935,              1483935,,,                827011,,                 98044,                925055,                558880,,,,                 26101,                 26101,,                 42881,,                 19849,                 49133,                608013,,                109722,                498291,                498291,,,,,,,                  2029,                500320,,                510168,                -11877,,                496402,                  3918,,                              1.60,,                              1.53,,                -33638,                 29135,,                 -6532
3026,2012年01月01日至2012年06月30日,,,              7071037,              7071037,,              6139378,                931659,                931659,,,                544599,,                 56622,                601221,                330438,,,,                 17308,                 17308,,                 30996,,                 14239,                 34065,                364503,,                 61476,                303027,                303027,,,,,,,                 -5397,                297630,,                312001,                 -8974,,                300627,                 -2997,,                              0.98,,                              0.93,,                -24779,                 15197,,                 -4185
3026,2012年01月01日至2012年03月31日,,,              3443057,              3443057,,              3012456,                430601,                430601,,,                255387,,                 33586,                288973,                141628,,,,                  2934,                  2934,,                 36417,,                  6854,                 32497,                174125,,                 22507,                151618,                151618,,,,,,,                 38312,                189930,,                155465,,,                159168,                 30762,,                              0.49,,                              0.46,                 -3847,                -45116,                 75809,,                 -7619
