證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
1213,2014年01月01日至2014年03月31日,,                166032,,                141713,                 24319,                 24319,,,                 14478,,                  4112,                 18590,                  5729,,,                  1510,,                   -530,,                     46,                    934,                  6663,,                  2883,                  3780,                  3780,,,                      3,                      3,                      3,                  3783,,                  3780,,                  3783,,                              0.07,                              0.07,
1213,2013年第3季,,                257584,,                215056,                 42528,                 42528,,,                 11866,,                  6233,                 18099,                 24429,,,                  1669,,                 -1299,,                     10,                    360,                 24789,,                  3770,                 21019,                 21019,,,,,                    -18,                 21001,,                 21019,,                 21001,,                              0.41,                              0.41,                    -18
1213,2013年第2季,,                159328,,                136251,                 23077,                 23077,,,                 27510,,                  4099,                 31609,                 -8532,,,                  1556,,                  1135,,                     14,                  2677,                 -5855,,                   -641,                 -5214,                 -5214,,,,,                     41,                 -5173,,                 -5214,,                 -5173,,                             -0.10,                             -0.10,                     41
1213,2013年度,,                720142,,                614513,                105629,                105629,,,                 68193,,                 19982,                 88175,                 17454,,,                  6127,,                 -2555,,                    120,                  3452,                 20906,,                  4472,                 16434,                 16434,,,,,                     96,                 16530,,                 16434,,                 16530,,                              0.32,                              0.32,                     96
1213,2013年07月01日至2013年09月30日,,                257584,,                215056,                 42528,                 42528,,,                 11866,,                  6233,                 18099,                 24429,,,                  1669,,                 -1299,,                     10,                    360,                 24789,,                  3770,                 21019,                 21019,,,,,                    -18,                 21001,,                 21019,,                 21001,,                              0.41,                              0.41,                    -18
1213,2013年04月01日至2013年06月30日,,                159328,,                136251,                 23077,                 23077,,,                 27510,,                  4099,                 31609,                 -8532,,,                  1556,,                  1135,,                     14,                  2677,                 -5855,,                   -641,                 -5214,                 -5214,,,,,                     41,                 -5173,,                 -5214,,                 -5173,,                             -0.10,                             -0.10,                     41
1213,2013年01月01日至2013年12月31日,,                720142,,                614513,                105629,                105629,,,                 68193,,                 19982,                 88175,                 17454,,,                  6127,,                 -2555,,                    120,                  3452,                 20906,,                  4472,                 16434,                 16434,,,,,                     96,                 16530,,                 16434,,                 16530,,                              0.32,                              0.32,                     96
1213,2013年01月01日至2013年09月30日,,                591595,,                496244,                 95351,                 95351,,,                 52115,,                 15675,                 67790,                 27561,,,                  4481,,                 -1854,,                     44,                  2583,                 30144,,                  5437,                 24707,                 24707,,,,,                     72,                 24779,,                 24707,,                 24779,,                              0.48,                              0.48,                     72
1213,2013年01月01日至2013年06月30日,,                334011,,                281188,                 52823,                 52823,,,                 40249,,                  9442,                 49691,                  3132,,,                  2812,,                   -555,,                     34,                  2223,                  5355,,                  1667,                  3688,                  3688,,,,,                     90,                  3778,,                  3688,,                  3778,,                              0.07,                              0.07,                     90
1213,2013年01月01日至2013年03月31日,,                174683,,                144937,                 29746,                 29746,,,                 12739,,                  5343,                 18082,                 11664,,,                  1256,,                 -1690,,                     20,                   -454,                 11210,,                  2308,                  8902,                  8902,,,,,                     49,                  8951,,                  8902,,                  8951,,                              0.17,                              0.17,                     49
1213,2012年07月01日至2012年09月30日,,                256465,,                219553,                 36912,                 36912,,,                 12100,,                  6621,                 18721,                 18191,,,                  1217,,                   -877,,                     11,                    329,                 18520,,                    953,                 17567,                 17567,,,,,                    -69,                 17498,,                 17567,,                 17498,,                              0.34,                              0.34,                    -69
1213,2012年04月01日至2012年06月30日,,                165494,,                144435,                 21059,                 21059,,,                 19399,,                  5476,                 24875,                 -3816,,,                  1255,,                 -3193,,                     51,                 -1989,                 -5805,,                   -606,                 -5199,                 -5199,,,,,                     19,                 -5180,,                 -5199,,                 -5180,,                             -0.10,                             -0.10,                     19
1213,2012年01月01日至2012年12月31日,,                725862,,                636567,                 89295,                 89295,,,                 52610,,                 22410,                 75020,                 14275,,,                  5329,,                 -7550,,                    178,                 -2399,                 11876,,                    456,                 11420,                 11420,,,,,                   -403,                 11017,,                 11420,,                 11017,,                              0.22,                              0.22,                   -403
1213,2012年01月01日至2012年09月30日,,                593019,,                513370,                 79649,                 79649,,,                 39144,,                 17471,                 56615,                 23034,,,                  3593,,                 -5605,,                    153,                 -2165,                 20869,,                    888,                 19981,                 19981,,,,,                   -109,                 19872,,                 19981,,                 19872,,                              0.39,                              0.39,                   -109
1213,2012年01月01日至2012年06月30日,,                336554,,                293817,                 42737,                 42737,,,                 27044,,                 10850,                 37894,                  4843,,,                  2376,,                 -4728,,                    142,                 -2494,                  2349,,                    -65,                  2414,                  2414,,,,,                    -40,                  2374,,                  2414,,                  2374,,                              0.05,                              0.05,                    -40
1213,2012年01月01日至2012年03月31日,,                171060,,                149382,                 21678,                 21678,,,                  7645,,                  5374,                 13019,                  8659,,,                  1121,,                 -1535,,                     91,                   -505,                  8154,,                    541,                  7613,                  7613,,,,,                    -59,                  7554,,                  7613,,                  7554,,                              0.15,                              0.15,                    -59
