證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益
4144,2014年01月01日至2014年03月31日,,,                506175,                506175,,                253414,                252761,                252761,,,                123781,,                 50966,,                  1086,                175833,                 76928,,,                  4602,,                100817,,                  5187,,                 -6490,                 93742,                170670,,                 23000,                147670,                147670,,,                 -7174,               -132387,               -139561,               -139561,                  8109,,                134238,                 13432,,                -10515,                 18624,,                              1.72,,                              1.71,,
4144,2013年第3季,,,                433339,                433339,,                211595,                221744,                221744,,,                138399,,                 53822,,                  1305,                193526,                 28218,,,                  7189,,                 99386,,                  4330,,                 -2670,                 99575,                127793,,                 14287,                113506,                113506,,,,,,                 84366,                197872,,                104043,                  9463,,                191218,                  6654,,                              1.49,,                              1.47,                -20566,                104932
4144,2013年第2季,,,                455534,                455534,,                197194,                258340,                258340,,,                135477,,                 47161,,                  2298,                184936,                 73404,,,                 48385,,                 38066,,                  3767,,                 -5247,                 77437,                150841,,                 31240,                119601,                119601,,,,,,                 28305,                147906,,                112186,                  7415,,                138505,                  9401,,                              1.60,,                              1.59,                 28013,                    292
4144,2013年度,,,              1856764,              1856764,,                859172,                997592,                997592,,,                531112,,                213488,,                 22106,                766706,                230886,,,                 72365,,                207340,,                 16762,,                -11603,                251340,                482226,,                 89722,                392504,                392504,,,,,,                439143,                831647,,                355190,                 37314,,                787999,                 43648,,                              5.06,,                              5.01,                105631,                333512
4144,2013年07月01日至2013年09月30日,,,                433339,                433339,,                211595,                221744,                221744,,,                138399,,                 53822,,                  1305,                193526,                 28218,,,                  7189,,                 99386,,                  4330,,                 -2670,                 99575,                127793,,                 14287,                113506,                113506,,,,,,                 84366,                197872,,                104043,                  9463,,                191218,                  6654,,                              1.49,,                              1.47,                -20566,                104932
4144,2013年04月01日至2013年06月30日,,,                455534,                455534,,                197194,                258340,                258340,,,                135477,,                 47161,,                  2298,                184936,                 73404,,,                 48385,,                 38066,,                  3767,,                 -5247,                 77437,                150841,,                 31240,                119601,                119601,,,,,,                 28305,                147906,,                112186,                  7415,,                138505,                  9401,,                              1.60,,                              1.59,                 28013,                    292
4144,2013年01月01日至2013年12月31日,,,              1856764,              1856764,,                859172,                997592,                997592,,,                531112,,                213488,,                 22106,                766706,                230886,,,                 72365,,                207340,,                 16762,,                -11603,                251340,                482226,,                 89722,                392504,                392504,,,,,,                439143,                831647,,                355190,                 37314,,                787999,                 43648,,                              5.06,,                              5.01,                105631,                333512
4144,2013年01月01日至2013年09月30日,,,              1345555,              1345555,,                622130,                723425,                723425,,,                386690,,                144879,,                  4623,                536192,                187233,,,                 67117,,                202323,,                 11837,,                 -7917,                249686,                436919,,                 69248,                367671,                367671,,,,,,                278790,                646461,,                343366,                 24305,,                620293,                 26168,,                              4.91,,                              4.87,                 61646,                217144
4144,2013年01月01日至2013年06月30日,,,                912216,                912216,,                410535,                501681,                501681,,,                248291,,                 91057,,                  3318,                342666,                159015,,,                 59928,,                102937,,                  7507,,                 -5247,                150111,                309126,,                 54961,                254165,                254165,,,,,,                194424,                448589,,                239323,                 14842,,                429075,                 19514,,                              3.42,,                              3.39,                 82212,                112212
4144,2013年01月01日至2013年03月31日,,,                456682,                456682,,                213341,                243341,                243341,,,                112814,,                 43896,,                  1020,                157730,                 85611,,,                 11543,,                 64871,,                  3740,,                              0,                 72674,                158285,,                 23721,                134564,                134564,,,,,,                166119,                300683,,                127137,                  7427,,                290570,                 10113,,                              1.82,,                              1.80,                 54199,                111920
4144,2012年07月01日至2012年09月30日,,,                438154,                438154,,                182760,                255394,                255394,,,                107461,,                 38088,,                 10444,                155993,                 99401,,,                  9601,,                  4201,,                  3520,,                   -414,                  9868,                109269,,                 31629,                 77640,                 77640,,,,,,                -15749,                 61891,,                 73086,                  4554,,                 58265,                  3626,,                              1.04,,                              1.04,                -15749,                              0
4144,2012年04月01日至2012年06月30日,,,                407544,                407544,,                160352,                247192,                247192,,,                114200,,                 35430,,                  3572,                153202,                 93990,,,                 43648,,                    788,,                              0,,                   -560,                 43876,                137866,,                 35209,                102657,                102657,,,,,,                  5855,                108512,,                102657,                              0,,                108512,                              0,,                              1.47,,                              1.46,                  5855,                              0
4144,2012年01月01日至2012年12月31日,,,              1721749,              1721749,,                705703,              1016046,              1016046,,,                458832,,                152276,,                 26600,                637708,                378338,,,                 65382,,                  3121,,                  7752,,                 -6935,                 53816,                432154,,                117384,                314770,                314770,,,,,,                142382,                457152,,                302944,                 11826,,                445326,                 11826,,                              4.33,,                              4.30,                -55069,                197451
4144,2012年01月01日至2012年09月30日,,,              1229488,              1229488,,                497008,                732480,                732480,,,                313354,,                103654,,                 18920,                435928,                296552,,,                 56380,,                  2994,,                  3520,,                   -974,                 54880,                351432,,                 94639,                256793,                256793,,,,,,                -55044,                201749,,                252239,                  4554,,                198123,                  3626,,                              3.60,,                              3.58,                -55044,                              0
4144,2012年01月01日至2012年06月30日,,,                791334,                791334,,                314248,                477086,                477086,,,                205893,,                 65566,,                  8476,                279935,                197151,,,                 46779,,                 -1207,,                              0,,                   -560,                 45012,                242163,,                 63010,                179153,                179153,,,,,,                -39295,                139858,,                179153,                              0,,                139858,                              0,,                              2.56,,                              2.55,                -39295,                              0
4144,2012年01月01日至2012年03月31日,,,                383790,                383790,,                153896,                229894,                229894,,,                 91693,,                 30136,,                  4904,                126733,                103161,,,                  3131,,                 -1995,,                              0,,,                  1136,                104297,,                 27801,                 76496,                 76496,,,,,,                -45150,                 31346,,                 76496,                              0,,                 31346,                              0,,                              1.09,,                              1.08,                -45150,                              0
