證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 股利收入,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　　 其他減損損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2327,2014年01月01日至2014年03月31日,,,              6545093,              6545093,,              4923534,              1621559,              1621559,,,                362977,,                280641,,                 89845,                733463,                888096,,,,                137304,                  5424,                130169,                272897,,                 63264,                 83278,,,                              0,                              0,                -20014,,                 37130,,                 29559,                245312,              1133408,,                173653,                959755,                959755,,,                469106,                251432,,                 11201,                 80993,                650746,                650746,              1610501,,                952698,                  7057,,              1605722,                  4779,,                              0.44,,                              0.44,,,,,,,                              0,,,,,,
2327,2013年第3季,,,              6520216,              6520216,,              4827926,              1692290,              1692290,,,                356807,,                254693,,                 93623,                705123,                987167,,,,                 97860,                  5695,                 91357,                194912,,                 37245,                 69907,,                              0,                496762,                496762,               -529424,,                 65501,,                 36767,               -363246,                623921,,                154578,                469343,                469343,,,,,,,,,                 48540,                517883,,                459515,                  9828,,                509131,                  8752,,                              0.25,,                              0.15,,,,,,,,               -161189,                206139,,,                -23811,                -27401
2327,2013年第2季,,,              6458878,              6458878,,              4908672,              1550206,              1550206,,,                370121,,                291199,,                 92862,                754182,                796024,,,,                 80560,                  3497,                 21650,                105707,,                 79715,                176196,,                 64549,                170000,                234549,               -331030,,                 61772,,                 47837,               -239258,                556766,,                188547,                368219,                368219,,,,,,,,,                261331,                629550,,                371400,                 -3181,,                631539,                 -1989,,                              0.17,,                              0.17,,,,,,,                              0,                509905,               -189775,,,                 23417,                 82216
2327,2013年度,,,             24735047,             24735047,,             18936054,              5798993,              5798993,,,              1437742,,              1077376,,                366037,              2881155,              2917838,,,,                354552,                 21780,                131320,                507652,,                295624,                228344,,                 64549,              1244949,              1309498,             -1242218,,                261241,,                225029,               -770778,              2147060,,                676116,              1470944,              1470944,,,,,,,,,              1443281,              2914225,,              1449623,                 21321,,              2889214,                 25011,,                              0.75,,                              0.68,,,,,,,,              1161979,                291308,                 -4521,,                 98060,                103545
2327,2013年07月01日至2013年09月30日,,,              6520216,              6520216,,              4827926,              1692290,              1692290,,,                356807,,                254693,,                 93623,                705123,                987167,,,,                 97860,                  5695,                 91357,                194912,,                 37245,                 69907,,                              0,                496762,                496762,               -529424,,                 65501,,                 36767,               -363246,                623921,,                154578,                469343,                469343,,,,,,,,,                 48540,                517883,,                459515,                  9828,,                509131,                  8752,,                              0.25,,                              0.15,,,,,,,,               -161189,                206139,,,                -23811,                -27401
2327,2013年04月01日至2013年06月30日,,,              6458878,              6458878,,              4908672,              1550206,              1550206,,,                370121,,                291199,,                 92862,                754182,                796024,,,,                 80560,                  3497,,                 84057,,                 79715,                176196,,                 64549,                170000,                212899,               -309380,,                 61772,,                 47837,               -239258,                556766,,                188547,                368219,                368219,,,,,,,,,                261331,                629550,,                371400,                 -3181,,                631539,                 -1989,,                              0.17,,                              0.17,,,,,,,                -21650,                483629,               -189890,,,                 49808,                 82216
2327,2013年01月01日至2013年12月31日,,,             24735047,             24735047,,             18936054,              5798993,              5798993,,,              1437742,,              1077376,,                366037,              2881155,              2917838,,,,                354552,                 21780,,                376332,,                295624,                228344,,                 64549,              1244949,              1178507,             -1111227,,                260912,,                225029,               -770778,              2147060,,                676116,              1470944,              1470944,,,,,,,,,              1443281,              2914225,,              1449623,                 21321,,              2889214,                 25011,,                              0.75,,                              0.68,,,,,,,               -130991,              1161979,                291308,                 -4521,,                 98060,                103545
2327,2013年01月01日至2013年09月30日,,,             18914448,             18914448,,             14490434,              4424014,              4424014,,,              1066925,,                758988,,                273280,              2099193,              2324821,,,,                250175,                 13187,                 87899,                351261,,                203240,                284322,,                 64549,                945762,              1010311,             -1091393,,                182133,,                100122,               -822143,              1502678,,                465363,              1037315,              1037315,,,,,,,,,              1126424,              2163739,,              1024722,                 12593,,              2149019,                 14720,,                              0.50,,                              0.49,,,,,,,,                968568,                261024,,,                 61489,                164657
2327,2013年01月01日至2013年06月30日,,,             12394232,             12394232,,              9662508,              2731724,              2731724,,,                710118,,                504295,,                179657,              1394070,              1337654,,,,                152315,                  7492,                 -3458,                156349,,                165995,                214415,,                 64549,                449000,                513549,               -561969,,                116632,,                 63355,               -458897,                878757,,                310785,                567972,                567972,,,,,,,,,              1077884,              1645856,,                565207,                  2765,,              1639888,                  5968,,                              0.26,,                              0.26,,,,,,,                              0,              1129757,                 54885,,,                 85300,                192058
2327,2013年01月01日至2013年03月31日,,,              5935354,              5935354,,              4753836,              1181518,              1181518,,,                339997,,                213096,,                 86795,                639888,                541630,,,,                 71755,                  3995,,                 75750,,                 86280,                 38219,,,                279000,                304108,               -256047,,                 54860,,                 15518,               -219639,                321991,,                122238,                199753,                199753,,,,,,,,,                816553,              1016306,,                193807,                  5946,,              1008349,                  7957,,                              0.09,,                              0.09,,,,,,,                 25108,                619852,                244660,,,                 61883,                109842
2327,2012年07月01日至2012年09月30日,,,              6433039,              6433039,,              4846172,              1586867,              1586867,,,                355534,,                291071,,                 85527,                732132,                854735,,,,                 57275,                  3536,                 89103,                149914,,                 11183,                 78826,,                              0,                295959,                295959,               -363602,,                 59030,,                 25081,               -247637,                607098,,                147267,                459831,                459831,,,,,,,,,               -296893,                162938,,                454623,                  5208,,                158771,                  4167,,                              0.21,,                              0.13,,,,,,,,               -194128,               -105274,,,                -30492,                -33001
2327,2012年04月01日至2012年06月30日,,,              6319972,              6319972,,              4867834,              1452138,              1452138,,,                344416,,                289550,,                 81279,                715245,                736893,,,,                 93085,                  3409,,                 96494,,                  7140,                  1515,,                              0,                155125,                 84806,                -79181,,                 67465,,                  7840,                -42312,                694581,,                312379,                382202,                382202,,,,,,,,,               -257223,                124979,,                375417,                  6785,,                117775,                  7204,,                              0.17,,                              0.16,,,,,,,                -70319,                -72951,               -191901,,,                 -4773,                -12402
2327,2012年01月01日至2012年12月31日,,,             23810968,             23810968,,             18780738,              5030230,              5030230,,,              1362282,,              1081962,,                328596,              2772840,              2257390,,,,                295057,                 13670,,                308727,,                 89172,                180462,,                              0,                766745,                428685,               -519975,,                250118,,                 28100,               -433266,              1824124,,                684393,              1139731,              1139731,,,,,,,,,               -679344,                460387,,              1113044,                 26687,,                435964,                 24423,,                              0.50,,                              0.36,,,,,,,               -338060,               -569307,                -27066,                -14634,,                -70825,                 -2488
2327,2012年01月01日至2012年09月30日,,,             18324089,             18324089,,             14332492,              3991597,              3991597,,,              1024209,,                819922,,                243649,              2087780,              1903817,,,,                236774,                 10136,                190314,                437224,,                 45966,                186875,,                              0,                451084,                451084,               -591993,,                194714,,                 12456,               -337027,              1566790,,                570779,                996011,                996011,,,,,,,,,               -642562,                353449,,                976913,                 19098,,                336654,                 16795,,                              0.44,,                              0.34,,,,,,,,               -792714,                 73998,,,                -58607,               -134761
2327,2012年01月01日至2012年06月30日,,,             11891050,             11891050,,              9486320,              2404730,              2404730,,,                668675,,                528851,,                158122,              1355648,              1049082,,,,                179499,                  6600,,                186099,,                 34783,                108049,,                              0,                155125,                 53914,               -127180,,                135684,,                -12625,                -89390,                959692,,                423512,                536180,                536180,,,,,,,,,               -345669,                190511,,                522290,                 13890,,                177883,                 12628,,                              0.24,,                              0.21,,,,,,,               -101211,               -598586,                179272,,,                -28115,               -101760
2327,2012年01月01日至2012年03月31日,,,              5571078,              5571078,,              4618486,                952592,                952592,,,                324259,,                239301,,                 76843,                640403,                312189,,,,                 86414,                  3191,,                 89605,,                 27643,                106534,,,                              0,                -30892,                -47999,,                 68219,,                -20465,                -47078,                265111,,                111133,                153978,                153978,,,,,,,,,                -88446,                 65532,,                146873,                  7105,,                 60108,                  5424,,                              0.07,,                              0.05,,,,,,,                -30892,               -525635,                371173,,,                -23342,                -89358
