證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益
9802,2014年01月01日至2014年03月31日,,              2019701,,              1707055,                312646,                312646,,,                 33493,,                148310,,                 22261,                204064,                108582,,,                 12126,,                -13621,,                  5515,                 -7010,                101572,,                 22687,                 78885,                 78885,,,                 12798,                    350,                 13148,                 13148,                 92033,,                 80212,                 -1327,,                 93428,                 -1395,,                              0.68,                              0.68,,                              0.62,                              0.62,,
9802,2013年第3季,,              1922166,,              1643975,                278191,                278191,,,                 35631,,                116328,,                 41175,                193134,                 85057,,,                 16355,,                -10360,,                  3911,                  2084,                 87141,,                  9943,                 77198,                 77198,,,,,,                -37385,                 39813,,                 77016,                    182,,                 39640,                    173,,                              0.65,                              0.65,,                              0.65,                              0.65,                -36498,                   -887
9802,2013年第2季,,              1626845,,              1361550,                265295,                265295,,,                 38789,,                119484,,                 41657,                199930,                 65365,,,                 18593,,                -10587,,                  4935,                  3071,                 68436,,                 -8261,                 76697,                 76697,,,,,,                 66082,                142779,,                 77016,                   -319,,                142740,                     39,,                              0.65,                              0.65,,                              0.65,                              0.65,                 67920,                 -1838
9802,2013年度,,              6938542,,              5888499,              1050043,              1050043,,,                133596,,                557793,,                102273,                793662,                256381,,,                 69938,,                -33025,,                 14875,                 22038,                278419,,                 11547,                266872,                266872,,,,,,                250887,                517759,,                266136,                    736,,                515953,                  1806,,                              2.24,                              2.24,,                              2.21,                              2.21,                256055,                 -5168
9802,2013年07月01日至2013年09月30日,,              1922166,,              1643975,                278191,                278191,,,                 35631,,                116328,,                 41175,                193134,                 85057,,,                 16355,,                -10360,,                  3911,                  2084,                 87141,,                  9943,                 77198,                 77198,,,,,,                -37385,                 39813,,                 77016,                    182,,                 39640,                    173,,                              0.65,                              0.65,,                              0.65,                              0.65,                -36498,                   -887
9802,2013年04月01日至2013年06月30日,,              1626845,,              1361550,                265295,                265295,,,                 38789,,                119484,,                 41657,                199930,                 65365,,,                 18593,,                -10587,,                  4935,                  3071,                 68436,,                 -8261,                 76697,                 76697,,,,,,                 66082,                142779,,                 77016,                   -319,,                142740,                     39,,                              0.65,                              0.65,,                              0.65,                              0.65,                 67920,                 -1838
9802,2013年01月01日至2013年12月31日,,              6938542,,              5884517,              1054025,              1054025,,,                133596,,                500639,,                163409,                797644,                256381,,,                 69938,,                -33025,,                 14875,                 22038,                278419,,                 11547,                266872,                266872,,,,,,                250887,                517759,,                266136,                    736,,                515953,                  1806,,                              2.24,                              2.24,,                              2.21,                              2.21,                256055,                 -5168
9802,2013年01月01日至2013年09月30日,,              5256530,,              4453287,                803243,                803243,,,                101887,,                359766,,                122762,                584415,                218828,,,                 53608,,                -21845,,                 11652,                 20111,                238939,,                 16538,                222401,                222401,,,,,,                166341,                388742,,                221927,                    474,,                387352,                  1390,,                              1.87,                              1.87,,                              1.87,                              1.87,                172349,                 -6008
9802,2013年01月01日至2013年06月30日,,              3334364,,              2809312,                525052,                525052,,,                 66256,,                243438,,                 81587,                391281,                133771,,,                 37253,,                -11485,,                  7741,                 18027,                151798,,                  6595,                145203,                145203,,,,,,                203726,                348929,,                144911,                    292,,                347712,                  1217,,                              1.22,                              1.22,,                              1.22,                              1.22,                208847,                 -5121
9802,2013年01月01日至2013年03月31日,,              1707519,,              1447762,                259757,                259757,,,                 27467,,                123954,,                 39930,                191351,                 68406,,,                 18660,,                   -898,,                  2806,                 14956,                 83362,,                 14856,                 68506,                 68506,,,,,,                137644,                206150,,                 67895,                    611,,                204972,                  1178,,                              0.57,                              0.57,,                              0.57,                              0.57,                140927,                 -3283
9802,2012年07月01日至2012年09月30日,,              1462746,,              1267697,                195049,                195049,,,                 32274,,                107899,,                 28801,                168974,                 26075,,,                 12034,,                 -4868,,                  7088,                     78,                 26153,,                -14200,                 40353,                 40353,,,,,,                -60190,                -19837,,                 40007,                    346,,                -19974,                    137,,                              0.38,                              0.38,,                              0.38,                              0.38,                -63496,                  3306
9802,2012年04月01日至2012年06月30日,,              1381694,,              1157569,                224125,                224125,,,                 30043,,                113134,,                 29902,                173079,                 51046,,,                 19511,,                 -6396,,                  4594,                  8521,                 59567,,                 -2387,                 61954,                 61954,,,,,,                 28390,                 90344,,                 62397,                   -443,,                 90660,                   -316,,                              0.60,                              0.60,,                              0.60,                              0.60,                 38565,                -10175
9802,2012年01月01日至2012年12月31日,,              5990830,,              5055520,                935310,                935310,,,                123511,,                471467,,                115066,                710044,                225266,,,                 64576,,                -15198,,                 25129,                 24249,                249515,,                -37902,                287417,                287417,,,,,,               -158032,                129385,,                286420,                    997,,                128412,                    973,,                              2.69,                              2.69,,                              2.69,                              2.69,               -149716,                 -8316
9802,2012年01月01日至2012年09月30日,,              4415838,,              3721415,                694423,                694423,,,                 93386,,                347210,,                 82248,                522844,                171579,,,                 50968,,                -15708,,                 18938,                 16322,                187901,,                 18927,                168974,                168974,,,,,,               -138751,                 30223,,                169024,                    -50,,                 30328,                   -105,,                              1.61,                              1.61,,                              1.61,                              1.61,               -132635,                 -6116
9802,2012年01月01日至2012年06月30日,,              2953092,,              2453718,                499374,                499374,,,                 61112,,                239311,,                 53447,                353870,                145504,,,                 38934,,                -10840,,                 11850,                 16244,                161748,,                 33127,                128621,                128621,,,,,,                -78561,                 50060,,                129017,                   -396,,                 50302,                   -242,,                              1.23,                              1.23,,                              1.23,                              1.23,                -69139,                 -9422
9802,2012年01月01日至2012年03月31日,,              1571398,,              1296149,                275249,                275249,,,                 31069,,                126177,,                 23545,                180791,                 94458,,,                 19423,,                 -4444,,                  7256,                  7723,                102181,,                 35514,                 66667,                 66667,,,,,,               -106951,                -40284,,                 66620,                     47,,                -40358,                     74,,                              0.70,                              0.70,,                              0.70,                              0.70,               -107704,                    753
