證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計
1307,2014年01月01日至2014年03月31日,,,,              2886552,                 28038,                 32574,              2825940,              2825940,,              2117296,                708644,                708644,,,                138078,,                189024,,                102982,                430084,                278560,,,                  9277,,                 28065,,                 10000,                 27342,                305902,,                 41152,                264750,                264750,,,                109438,                 -2647,,                106791,                106791,                371541,,                264750,,                371541,,                              0.71,                              0.71,,                              0.70,                              0.70,,,,,,,,,,,
1307,2013年第3季,,,,              2713832,                 30895,                 22921,              2660016,              2660016,,              2000505,                659511,                659511,,,                157207,,                160422,,                100702,                418331,                241180,,,                 11392,,                -24996,,                  8782,                -22386,                218794,,                 29922,                188872,                188508,,,,,,,                -72658,                115850,,                188508,,                115850,,                              0.50,                              0.50,,                              0.50,                              0.50,,                   -364,                -72753,                     95,,,                              0.00,                              0.00,,,
1307,2013年第2季,,,,              2593571,                 40700,                 18700,              2534171,              2534171,,              1955784,                578387,                578387,,,                133404,,                161265,,                 94761,                389430,                188957,,,                  9472,,                 16789,,                  8298,                 17963,                206920,,                 65847,                141073,                143996,,,,,,,                 31476,                175472,,                143996,,                175472,,                              0.38,                              0.38,,                              0.37,                              0.38,,                  2923,                 32206,                   -730,,,                              0.00,                              0.01,,,
1307,2013年度,,,,             10707174,                132716,                 86313,             10488145,             10488145,,              7971787,              2516358,              2516358,,,                556005,,                615392,,                387008,              1558405,                957953,,,                 51643,,                 54155,,                 36092,                 69706,              1027659,,                234975,                792684,                798829,,,,,,,                143685,                942514,,                798829,,                942514,,                              2.12,                              2.13,,                              2.11,                              2.12,,                  6145,                133968,                 -3994,                 16520,                  2809,                              0.01,                              0.01,,,
1307,2013年07月01日至2013年09月30日,,,,              2713832,                 30895,                 22921,              2660016,              2660016,,              2000505,                659511,                659511,,,                157207,,                160422,,                100702,                418331,                241180,,,                 11392,,                -24996,,                  8782,                -22386,                218794,,                 29922,                188872,                188508,,,,,,,                -72658,                115850,,                188508,,                115850,,                              0.52,                              0.52,,                              0.52,                              0.52,,                   -364,                -72753,                     95,,,                              0.00,                              0.00,,,
1307,2013年04月01日至2013年06月30日,,,,              2593571,                 40700,                 18700,              2534171,              2534171,,              1955784,                578387,                578387,,,                133404,,                161265,,                 94761,                389430,                188957,,,                  9472,,                 16789,,                  8298,                 17963,                206920,,                 65847,                141073,                143996,,,,,,,                 31476,                175472,,                143996,,                175472,,                              0.40,                              0.41,,                              0.40,                              0.41,,                  2923,                 32206,                   -730,,,                              0.01,                              0.01,,,
1307,2013年01月01日至2013年12月31日,,,,             10707174,                132716,                 86313,             10488145,             10488145,,              7971787,              2516358,              2516358,,,                556005,,                615392,,                387008,              1558405,                957953,,,                 51643,,                 54155,,                 36092,                 69706,              1027659,,                234975,                792684,                798829,,,,,,,                143685,                942514,,                798829,,                942514,,                              2.18,                              2.19,,                              2.17,                              2.18,,                  6145,                133968,                 -3994,                 16520,                  2809,                              0.01,                              0.01,,,
1307,2013年01月01日至2013年09月30日,,,,              7952611,                 96358,                 56426,              7799827,              7799827,,              5941511,              1858316,              1858316,,,                420857,,                471716,,                281473,              1174046,                684270,,,                 34719,,                 38234,,                 26002,                 46951,                731221,,                184552,                546669,                552814,,,,,,,                 97743,                650557,,                552814,,                650557,,                              1.46,                              1.47,,                              1.45,                              1.47,,                  6145,                 91860,                  5883,,,                              0.01,                              0.02,,,
1307,2013年01月01日至2013年06月30日,,,,              5238779,                 65463,                 33505,              5139811,              5139811,,              3941006,              1198805,              1198805,,,                263650,,                311294,,                180771,                755715,                443090,,,                 23327,,                 63230,,                 17220,                 69337,                512427,,                154630,                357797,                364306,,,,,,,                171674,                535980,,                364306,,                535980,,                              0.95,                              0.97,,                              0.95,                              0.97,,                  6509,                164613,                  7061,,,                              0.02,                              0.02,,,
1307,2013年01月01日至2013年03月31日,,,,              2645208,                 24763,                 14805,              2605640,              2605640,,              1985222,                620418,                620418,,,                130246,,                150029,,                 86010,                366285,                254133,,,                 13855,,                 46441,,                  8922,                 51374,                305507,,                 88783,                216724,                220310,,,,,,,                140198,                360508,,                220310,,                360508,,                              0.60,                              0.61,,                              0.59,                              0.60,,                  3586,                132407,                  7791,,,                              0.01,                              0.01,,              1985222,              1985222
1307,2012年07月01日至2012年09月30日,,,,              2796684,                 33499,                 10375,              2752810,              2752810,,              2135795,                617015,                617015,,,                123034,,                157570,,                 92074,                372678,                244337,,,                 18154,,                -31800,,                  9280,                -22926,                221411,,                 44073,                177338,                177234,,,,,,,                -81257,                 95977,,                177234,,                 95977,,                              0.49,                              0.49,,                              0.49,                              0.49,,                   -104,                -95272,                 14015,,,                              0.00,                              0.00,,,
1307,2012年04月01日至2012年06月30日,,,,              2586860,                 40983,                 27240,              2518637,              2518637,,              1922106,                596531,                596531,,,                127592,,                149988,,                 92020,                369600,                226931,,,                  4107,,                  6147,,                  8046,                  2208,                229139,,                 78780,                150359,                150197,,,,,,,                 48175,                198372,,                150197,,                198372,,                              0.43,                              0.43,,                              0.42,                              0.42,,                   -162,                 54755,                 -6580,,,                              0.00,                              0.00,,,
1307,2012年01月01日至2012年12月31日,,,,             10753886,                156281,                 88694,             10508911,             10508911,,              8061895,              2447016,              2447016,,,                484921,,                589222,,                363758,              1437901,              1009115,,,                 41473,,                -94301,,                 35878,                -88706,                920409,,                221398,                699011,                699978,,,,,,,               -162686,                537292,,                699978,,                537292,,                              1.92,                              1.92,,                              1.91,                              1.91,,                    967,               -182933,                  5475,                 17797,                  3025,                              0.00,                              0.00,,,
1307,2012年01月01日至2012年09月30日,,,,              8059471,                119358,                 60041,              7880072,              7880072,,              6051481,              1828591,              1828591,,,                371022,,                450640,,                269952,              1091614,                736977,,,                 29321,,                -71041,,                 27114,                -68834,                668143,,                170052,                498091,                498686,,,,,,,               -135308,                363378,,                498686,,                363378,,                              1.37,                              1.37,,                              1.36,                              1.36,,                    595,               -152737,                 17429,,,                              0.00,                              0.00,,,
1307,2012年01月01日至2012年06月30日,,,,              5262787,                 85859,                 49666,              5127262,              5127262,,              3915686,              1211576,              1211576,,,                247988,,                293070,,                177878,                718936,                492640,,,                 11167,,                -39241,,                 17834,                -45908,                446732,,                125979,                320753,                321452,,,,,,,                -54051,                267401,,                321452,,                267401,,                              0.91,                              0.91,,                              0.90,                              0.90,,                    699,                -57465,                  3414,,,                              0.00,                              0.00,,,
1307,2012年01月01日至2012年03月31日,,,,              2675927,                 44876,                 22426,              2608625,              2608625,,              1993580,                615045,                615045,,,                120395,,                143082,,                 85859,                349336,                265709,,,                  7097,,                -45425,,                  9788,                -48116,                217593,,                 47199,                170394,                171255,,,,,,,               -102226,                 69029,,                171255,,                 69029,,                              0.48,                              0.48,,                              0.48,                              0.48,,                    861,               -112220,                  9994,,,                              0.00,                              0.00,,,
