證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 其他收入－其他,　　　 銷貨退回,　　　 銷貨折讓,　　 其他綜合損益,　　 當期所得稅費用（利益）
1233,2014年01月01日至2014年03月31日,,,,                556674,                556674,                556674,                556674,,                214911,                341763,                341763,,,                210253,,                 42502,,                    438,                253193,                 88570,,,                  8198,,                  3586,,                     73,,,                 11711,                100281,,                 15704,                 84577,,                              0,                 84577,,,                    338,                -26350,,,                -26012,                -26012,                 58565,,                 83060,,                  1517,,                 56882,                  1683,,                              0.92,,                              0.92,,,,,,,,,,,,
1233,2013年第3季,,,,,,,                531802,,                209935,                321867,                321867,,,                207954,,                 45465,,                    389,                253808,                 68059,,,                  9644,,                   -999,,                    170,,,                  8475,                 76534,,                 12489,                 64045,,,                 64045,,,,,,,,                  6147,                 70192,,                 63599,,                    446,,                 69889,                    303,,                              0.70,,                              0.70,,,,                   -509,                  6656,,,,,,,
1233,2013年第2季,,,,,,,                466644,,                182737,                283907,                283907,,,                196357,,                 39424,,                    399,                236180,                 47727,,,                 12268,,                  1248,,                              0,,,                 13516,                 61243,,                 10293,                 50950,,,                 50950,,,,,,,,                -21345,                 29605,,                 50644,                              0,                    306,,                 29720,                   -115,,                              0.56,,                              0.56,,,,                   -171,                -21174,,,                 12268,,,,
1233,2013年度,,,,              2076258,              2076258,              2076258,              2076258,,                822203,              1254055,              1254055,,,                814124,,                199338,,                  1629,              1015091,                238964,,,                 41566,,                 -2347,,                    491,,,                 38728,                277692,,                 47115,                230577,,,                230577,,,,,,,,                -25541,                205036,,                230963,,                   -386,,                206291,                 -1255,,                              2.55,,,,                822203,                822203,                   -393,                -11766,                -16123,                 -2741,,,,,
1233,2013年07月01日至2013年09月30日,,,,                535161,                535161,                531802,                531802,,                209935,                321867,                321867,,,                207954,,                 45465,,                    389,                253808,                 68059,,,                  9066,,                   -421,,                    170,,,                  8475,                 76534,,                 12489,                 64045,,                              0,                 64045,,,,,,,,                  6147,                 70192,,                 63599,,                    446,,                 69889,                    303,,                              0.71,,,,                209935,                209935,                   -509,                  6656,,                              0,,                  2910,                    449,,                 12489
1233,2013年04月01日至2013年06月30日,,,,,                468961,                466644,                466644,,                182737,                283907,                283907,,,                196357,,                 39424,,                    399,                236180,                 47727,,,                 12844,,                    672,,                              0,,,                 13516,                 61243,,                 10293,                 50950,,                              0,                 50950,,,,,,,,                -21345,                 29605,,                 50644,,                    306,,                 29720,                   -115,,                              0.56,,,,                182737,                182737,                   -171,                -21174,,                              0,,                  2040,                    277,,                 10293
1233,2013年01月01日至2013年12月31日,,,,              2090845,              2090845,              2076258,              2076258,,                822203,              1254055,              1254055,,,                814124,,                199338,,                  1629,              1015091,                238964,,,                 41566,,                 -2347,,                    491,,,                 38728,                277692,,                 47115,                230577,,,                230577,,,,,,,,                -25541,                205036,,                230963,,                   -386,,                206291,                 -1255,,                              2.55,,,,                822203,                822203,                   -393,                -11766,                -16123,                 -2741,,                 11746,                  2841,                              0,
1233,2013年01月01日至2013年09月30日,,,,,,,              1531201,,                600263,                930938,                930938,,,                603653,,                131391,,                  1140,                736184,                194754,,,                 24012,,                  2298,,                    314,,,                 25996,                220750,,                 37083,                183667,,,                183667,,,,,,,,                -32373,                151294,,                182764,,                    903,,                151108,                    186,,                              2.02,,                              2.01,,,,                   -425,                -31948,,,,,,,
1233,2013年01月01日至2013年06月30日,,,,,,,                999399,,                390328,                609071,                609071,,,                395699,,                 85926,,                    751,                482376,                126695,,,                 14368,,                  3297,,                    144,,,                 17521,                144216,,                 24594,                119622,,,                119622,,,,,,,,                -38520,                 81102,,                119165,                              0,                    457,,                 81219,                   -117,,                              1.32,,                              1.31,,,,                     84,                -38604,,,                 14368,,,,
1233,2013年01月01日至2013年03月31日,,,,                532755,                532755,                532755,                532755,,                207591,                325164,                325164,,,                199342,,                 46502,,                    352,                246196,                 78968,,,                  2100,,                  2049,,                    144,,,                  4005,                 82973,,                 14301,                 68672,,                              0,                 68672,,,,,,,,                -17175,                 51497,,                 68521,,                    151,,                 51499,                     -2,,                              0.76,,                              0.76,,,,                    255,                -17430,,,,,,,
1233,2012年07月01日至2012年09月30日,,,,                519564,                519564,                518055,                518055,,                205609,                312446,                312446,,,                196777,,                 39536,,                    316,                236629,                 75817,,,                  9930,,                   -639,,                    250,,,                  9041,                 84858,,                 14140,                 70718,,                              0,                 70718,,,,,,,,                -17235,                 53483,,                 70261,,                    457,,                 53198,                    285,,                              0.78,,,,                205609,                205609,                    218,                -17453,,                              0,,                    701,                    808,,                 14140
1233,2012年04月01日至2012年06月30日,,,,,                508909,                507054,                507054,,                211066,                295988,                295988,,,                186629,,                 44285,,                    325,                231239,                 64749,,,                 15975,,                    802,,                      5,,,                 16772,                 81521,,                 14567,                 66954,,                              0,                 66954,,,,,,,,                -44364,                 22590,,                 66417,,                    537,,                 22933,                   -343,,                              0.73,,,,                211066,                211066,                   -331,                -44033,,                              0,,                  1559,                    296,,                 14567
1233,2012年01月01日至2012年12月31日,,,,              2067258,              2067258,              2051779,              2051779,,                826892,              1224887,              1224887,,,                771757,,                192362,,                  1203,                965322,                259565,,,                 30815,,                 -3129,,                    484,,,                 27202,                286767,,                 50788,                235979,,,                235979,,,,,,,,                 26133,                262112,,                234403,,                  1576,,                259889,                  2223,,                              2.59,,,,                826892,                826892,                    -61,                 34754,                -10313,                 -1753,,                 13421,                  2058,                              0,
1233,2012年01月01日至2012年09月30日,,,,              1550267,              1550267,              1541461,              1541461,,                618754,                922707,                922707,,,                573797,,                130629,,                    847,                705273,                217434,,,                 29795,,                 -1724,,                    259,,,                 27812,                245246,,                 43266,                201980,,                              0,                201980,,,,,,,,                 68729,                270709,,                200656,,                  1324,,                268145,                  2564,,                              2.22,,,,                618754,                618754,                     48,                 68681,,                              0,,                  7151,                  1655,,                 43266
1233,2012年01月01日至2012年06月30日,,,,,              1030703,              1023406,              1023406,,                413145,                610261,                610261,,,                377020,,                 91093,,                    531,                468644,                141617,,,                 19865,,                 -1085,,                      9,,,                 18771,                160388,,                 29126,                131262,,                              0,                131262,,,,,,,,                 85964,                217226,,                130395,,                    867,,                214947,                  2279,,                              1.44,,,,                413145,                413145,                   -170,                 86134,,                              0,,                  6450,                    847,,                 29126
1233,2012年01月01日至2012年03月31日,,,,,                521794,                516352,                516352,,                202079,                314273,                314273,,,                190391,,                 46808,,                    206,                237405,                 76868,,,                  2783,,                   -780,,                      4,,,                  1999,                 78867,,                 14559,                 64308,,                              0,                 64308,,,,,,,,                130328,                194636,,                 63978,,                    330,,                192014,                  2622,,                              0.71,,,,                202079,                202079,                    161,                130167,,,,                  4891,                    551,,                 14559
