證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 股利收入,　 停業單位損益,　　 停業單位損益合計,　 合併前非屬共同控制股權損益,　 其他綜合損益(淨額),　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　　 租金收入,　　　 處分投資利益,　　　 減損損失,　　　　 減損損失合計,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 其他綜合損益,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入退回及折讓,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計
1438,2014年01月01日至2014年03月31日,,                    619,,                    105,                    514,                              0,                              0,                    514,,,                              0,,                  2185,                  2185,,                              0,                 -1671,,,,                    574,                    574,                     15,                    589,,,                    244,                              0,,                    244,                    833,                   -838,,                    -32,                   -806,                   -806,                   -806,,                              0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2013年第3季,,                 11132,,                  3248,                  7884,                              0,                              0,                  7884,,,                    543,,                  1905,                  2448,,                              0,                  5436,,,,                    413,                    413,                    315,                    732,,,                    274,,                              0,                    274,                  1006,                  6442,,                    536,                  5906,                  5906,                  5906,,                              0.06,                      4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2013年第2季,,                 29244,,                  8653,                 20591,,,                 20591,,,                  1424,,                  2135,                  3559,,                              0,                 17032,,,,                    789,                    789,                     37,                    826,,,                              0,,                  3145,                 -3145,                 -2319,                 14713,,                  1337,                 13376,                 13376,                 13376,,                              0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2013年度,,                 60914,,                 17442,                 43472,                              0,                              0,                 43472,,,                  2959,,                  8530,                 11489,,                              0,                 31983,,,,                  2781,                  2781,                    384,                  3169,,,                              0,                              0,                  2736,                 -2736,                    433,                 32416,,                  2652,                 29764,                 29764,                 29764,,                              0.29,                      4,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2013年07月01日至2013年09月30日,,                 11132,,                  3248,                  7884,,,                  7884,,,                    543,,                  1905,                  2448,,,                  5436,,,,,                    413,                    315,                    732,,,                    274,,                              0,                    274,                  1006,                  6442,,                    536,                  5906,                  5906,                  5906,,                              0.06,                      4,,,,,,                              0,                              0,                              0,,,,                              0,                              0,                              0,,,                              0,                              0,                              0,,,                 11199,                     67,                 11132,                 11132,,                              0,,                  3248,                  3248
1438,2013年04月01日至2013年06月30日,,                 29244,,                  8653,                 20591,,,                 20591,,,                  1424,,                  2135,                  3559,,,                 17032,,,,,                    789,                     37,                    826,,,                              0,,                  3145,                 -3145,                 -2319,                 14713,,                  1337,                 13376,                 13376,                 13376,,                              0.13,,,,,,,                              0,                              0,,,,,                              0,                              0,                              0,,,                              0,                              0,                              0,,,                 29282,                     38,                 29244,                 29244,,                              0,,                  8653,                  8653
1438,2013年01月01日至2013年12月31日,,                 60914,,                 17442,                 43472,,,                 43472,,,                  2959,,                  8530,                 11489,,,                 31983,,,,,                  2781,                    384,                  3169,,,                              0,,                  2736,                 -2736,                    433,                 32416,,                  2652,                 29764,                 29764,                 29764,,                              0.29,                      4,,,,,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,
1438,2013年01月01日至2013年09月30日,,                 49228,,                 14685,                 34543,                              0,                              0,                 34543,,,                  2392,,                  6679,                  9071,,                              0,                 25472,,,,                  2068,                  2068,                    368,                  2440,,,                              0,,                  3020,                 -3020,                   -580,                 24892,,                  2236,                 22656,                 22656,                 22656,,                              0.22,                      4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2013年01月01日至2013年06月30日,,                 38096,,                 11437,                 26659,,,                 26659,,,                  1849,,                  4774,                  6623,,                              0,                 20036,,,,                  1655,                  1655,                     53,                  1708,,,                              0,,                  3294,                 -3294,                 -1586,                 18450,,                  1700,                 16750,                 16750,                 16750,,                              0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2013年01月01日至2013年03月31日,,                  8852,,                  2784,                  6068,,,                  6068,,,                    425,,                  2639,                  3064,,,                  3004,,,,,                    866,                    339,                  1205,,,                              0,,                    472,                   -472,                    733,                  3737,,                    363,                  3374,                  3374,                  3374,,                              0.03,,,,,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,
1438,2012年07月01日至2012年09月30日,,                              0,,                              0,                              0,,,                              0,,,                              0,,                  2527,                  2527,,,                 -2527,,,,,                    272,                     30,                    429,,,                    445,,                              0,                 11848,                 12276,                  9749,,                    701,                  9048,                  9048,                  9048,,                              0.09,                      4,,,,,,                              0,                    123,                 11403,,,,                      1,                      1,                              0,,,                              0,                              0,                              0,,,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0
1438,2012年04月01日至2012年06月30日,,                 18355,,                  6666,                 11689,,,                 11689,,,                    842,,                  2522,                  3364,,,                  8325,,,,,                    239,                     42,                    604,,,                    355,,                              0,                    355,                    958,                  9283,,                  1077,                  8206,                  8206,                  8206,,                              0.08,,,,,,,                              0,                    323,,,,,                      1,                      1,                              0,,,                  1138,                              0,                  1138,,,                 17217,                              0,                 17217,                 17217,,                  1104,,                  5562,                  5562
1438,2012年01月01日至2012年12月31日,,                 28200,,                 11798,                 16402,,,                 16402,,,                  1267,,                 13204,                 14471,,,                  1931,,,,,                  1304,                    126,                  2211,,,                  1658,,                              0,                 12861,                 15070,                 17001,,                  6941,                 10060,                 10060,                 10060,,                              0.10,                      4,,,,,,                              0,                    777,                 11403,,                    200,,                      2,                      2,                              0,,,,,,,,,,,,,,,,
1438,2012年01月01日至2012年09月30日,,                 18685,,                  6987,                 11698,,,                 11698,,,                    842,,                  7813,                  8655,,,                  3043,,,,,                    782,                    104,                  1660,,,                  1183,,                              0,                 12586,                 14244,                 17287,,                  1778,                 15509,                 15509,                 15509,,                              0.15,                      4,,,,,,                              0,                    770,                 11403,,,,                      2,                      2,                              0,,,                  1469,                      1,                  1468,,,                 17217,                              0,                 17217,                 17217,,                  1425,,                  5562,                  5562
1438,2012年01月01日至2012年06月30日,,                 18685,,                  6987,                 11698,,,                 11698,,,                    842,,                  5286,                  6128,,,                  5570,,,,,                    510,                     74,                  1231,,,                    738,,                              0,                    738,                  1968,                  7538,,                  1077,                  6461,                  6461,                  6461,,                              0.06,,,,,,,                              0,                    647,,,,,                      1,                      1,                              0,,,                  1469,                      1,                  1468,,,                 17217,                              0,                 17217,                 17217,,                  1425,,                  5562,                  5562
1438,2012年01月01日至2012年03月31日,,                    330,,                    321,                      9,,,                      9,,,                              0,,                  2764,                  2764,,,                 -2755,,,,                    271,                    271,                     32,                    627,,,                    383,,                              0,                    383,                  1010,                 -1745,,                              0,                 -1745,                 -1745,                 -1745,,                             -0.02,,,,,,                              0,                              0,                    324,                              0,,,,,,,,,                    331,                      1,                    330,,,,,                              0,                              0,,                    321,,                              0,                              0
