證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失
2474,2014年01月01日至2014年03月31日,,,,             10415869,,,,              6112490,              4303379,              4303379,,,                 88213,,                824914,,                181998,              1095125,              3208254,,,,                212289,                 79377,                291666,,                319739,                -91842,                411581,,                 55914,                 55914,,                  3226,                650559,              3858813,,                872009,              2986804,              2986804,,,              1088591,                  1025,,                  5341,              1094957,              1094957,              4081761,,              2983809,                  2995,,              4076376,                  5385,,,                              3.97,,,                              3.89,,,,,,,,,,
2474,2013年第3季,,,,             10438226,,,,              6089893,              4348333,              4348333,,,                 82202,,                825854,,                194844,              1102900,              3245433,,,,                 98005,                234690,                332695,,               -120563,                -25806,                -94757,,                 59768,                 59768,,                 -8328,                169842,              3415275,,                639040,              2776235,              2776235,,,,,,,,               -755816,              2020419,,              2770944,                  5291,,              2016776,                  3643,,                              3.69,                              3.69,,                              3.60,                              3.60,               -741809,                -10343,,,                 -3664,,,,,
2474,2013年第2季,,,,             10459627,,,,              5807392,              4652235,              4652235,,,                 86819,,                687535,,                250961,              1025315,              3626920,,,,                164490,                 33451,                197941,,              1085860,                -28231,              1114091,,                 77502,                 77502,,                  4835,              1239365,              4866285,,              1225141,              3641144,              3641144,,,,,,,,                971430,              4612574,,              3635954,                  5190,,              4572041,                 40533,,                              4.84,                              4.84,,                              4.71,                              4.71,                991699,                -21792,,,                  1523,,,,,
2474,2013年度,,,,             43245550,,,,             24924824,             18320726,             18320726,,,                326495,,              3235360,,                843210,              4405065,             13915661,,,,                658600,                641222,              1299822,,              2435378,               -113021,              2548399,,                291413,                291413,,                 55806,              3612614,             17528275,,              3711155,             13817120,             13817120,,,,,,,,              2760864,             16577984,,             13801184,                 15936,,             16553748,                 24236,,                             18.38,                             18.38,,                             17.91,                             17.91,              2788824,                -36667,                  2533,,                  6634,                    460,,,,
2474,2013年07月01日至2013年09月30日,,,,             10438226,,,,              6089893,              4348333,              4348333,,,                 82202,,                825854,,                194844,              1102900,              3245433,,,,                 98005,                234690,                332695,,               -120563,                -25806,                -94757,,                 59768,                 59768,,                 -8328,                169842,              3415275,,                639040,              2776235,              2776235,,,,,,,,               -755816,              2020419,,              2770944,                  5291,,              2016776,                  3643,,                              3.69,                              3.69,,                              3.60,                              3.60,               -741809,                -10343,,,                 -3664,,,,,
2474,2013年04月01日至2013年06月30日,,,,             10459627,,,,              5807392,              4652235,              4652235,,,                 86819,,                687535,,                250961,              1025315,              3626920,,,,                164490,                 33451,                197941,,              1085860,                  3081,              1114091,,                 77502,                 77502,,                  4835,              1239365,              4866285,,              1225141,              3641144,              3641144,,,,,,,,                971430,              4612574,,              3635954,                  5190,,              4572041,                 40533,,                              4.84,                              4.84,,                              4.71,                              4.71,                991699,                -21792,,,                  1523,,                 12348,                 18964,                              0,                              0
2474,2013年01月01日至2013年12月31日,,,,             43245550,,,,             24924824,             18320726,             18320726,,,                326495,,              3235360,,                843210,              4405065,             13915661,,,,                658600,                641222,              1299822,,              2435378,               -113021,              2548399,,                291413,                291413,,                 55806,              3612614,             17528275,,              3711155,             13817120,             13817120,,,,,,,,              2760864,             16577984,,             13801184,                 15936,,             16553748,                 24236,,                             18.38,                             18.38,,                             17.91,                             17.91,              2788824,                -36667,                  2533,,                  6634,                    460,,,,
2474,2013年01月01日至2013年09月30日,,,,             30130280,,,,             17277735,             12852545,             12852545,,,                237112,,              2170581,,                642322,              3050015,              9802530,,,,                450484,                473742,                924226,,              2365895,                -44992,              2410887,,                223814,                223814,,                 17668,              3128967,             12931497,,              2588387,             10343110,             10343110,,,,,,,,              1840671,             12183781,,             10329228,                 13882,,             12164214,                 19567,,                             13.76,                             13.76,,                             13.43,                             13.43,              1867239,                -31107,,,                  4539,,,,,
2474,2013年01月01日至2013年06月30日,,,,             19692054,,,,             11187842,              8504212,              8504212,,,                154910,,              1344727,,                447478,              1947115,              6557097,,,,                352479,                239052,                591531,,              2486458,                -19186,              2505644,,                164046,                164046,,                 25996,              2959125,              9516222,,              1949347,              7566875,              7566875,,,,,,,,              2596487,             10163362,,              7558284,                  8591,,             10147438,                 15924,,                             10.07,                             10.07,,                              9.83,                              9.83,              2609048,                -20764,,,                  8203,,,,,
2474,2013年01月01日至2013年03月31日,,,,              9232427,,,,              5380450,              3851977,              3851977,,,                 68091,,                657192,,                196517,                921800,              2930177,,,,                187989,                205601,                393590,,              1400598,                  9045,              1391553,,                 86544,                 86544,,                 21161,              1719760,              4649937,,                724206,              3925731,              3925731,,,,,,,,              1625057,              5550788,,              3922330,                  3401,,              5575397,                -24609,,                              5.22,                              5.22,,                              5.11,                              5.11,              1617349,                  1028,,,                  6680,,,,,
2474,2012年07月01日至2012年09月30日,,,,              8815275,,,,              5115143,              3700132,              3700132,,,                101027,,                578853,,                211211,                891091,              2809041,,,,                166155,                136615,                302770,,               -538341,                 28550,               -566891,,                 77990,                 77990,,                 26716,               -315395,              2493646,,                511992,              1981654,              1981654,,,,,,,,             -1087187,                894467,,              1974636,                  7018,,                892499,                  1968,,                              2.63,                              2.63,,                              2.62,                              2.62,             -1118979,                 29537,,,                  2255,,,,,
2474,2012年04月01日至2012年06月30日,,,,              9645904,,,,              5286632,              4359272,              4359272,,,                 66857,,                743283,,                209853,              1019993,              3339279,,,,                153405,                              0,                153405,,                              0,                 20668,               -437875,,                 71345,                 71345,,                 41658,               -314157,              3025122,,              1505469,              1519653,              1519653,,,,,,,,                467335,              1986988,,              1515295,                  4358,,              1981257,                  5731,,                              2.02,                              2.02,,                              1.98,                              1.98,                458087,                  6717,,,                  2531,,                  4004,                  1833,                414314,                  8730
2474,2012年01月01日至2012年12月31日,,,,             37028798,,,,             20984891,             16043907,             16043907,,,                329990,,              2613576,,                939920,              3883486,             12160421,,,,                640363,                266960,                907323,,              1074956,                 10452,              1064504,,                302546,                302546,,                114281,              1783562,             13943983,,              3114025,             10829958,             10829958,,,,,,,,             -1960710,              8869248,,             10811975,                 17983,,              8858404,                 10844,,                             14.40,                             14.40,,                             14.08,                             14.08,             -1988542,                 50495,                -14643,,                 -8599,                   -579,,,,
2474,2012年01月01日至2012年09月30日,,,,             27117049,,,,             15496764,             11620285,             11620285,,,                237229,,              1990681,,                612192,              2840102,              8780183,,,,                458871,                144647,                603518,,               -412527,                 14152,               -426679,,                215077,                215077,,                 83858,                 45620,              8825803,,              2584815,              6240988,              6240988,,,,,,,,             -1791686,              4449302,,              6228569,                 12419,,              4444545,                  4757,,                              8.30,                              8.30,,                              8.13,                              8.13,             -1848207,                 63142,,,                 -6621,,,,,
2474,2012年01月01日至2012年06月30日,,,,             18301774,,,,             10381621,              7920153,              7920153,,,                136202,,              1411828,,                400981,              1949011,              5971142,,,,                292716,                  8032,                300748,,                125814,                  5727,                140946,,                137087,                137087,,                 57142,                361749,              6332891,,              2072823,              4260068,              4260068,,,,,,,,               -704499,              3555569,,              4254665,                  5403,,              3552778,                  2791,,                              5.67,                              5.67,,                              5.51,                              5.51,               -735849,                 33605,,,                 -2255,,                  4191,                 40976,                              0,                 24308
2474,2012年01月01日至2012年03月31日,,,,              8655870,,,,              5094989,              3560881,              3560881,,,                 69345,,                668545,,                191128,                929018,              2631863,,,,                139311,                 23420,                162731,,                540128,                    447,                563433,,                 65742,                 65742,,                 15484,                675906,              3307769,,                567354,              2740415,              2740415,,,,,,,,             -1171834,              1568581,,              2739370,                  1045,,              1571521,                 -2940,,                              3.65,                              3.65,,                              3.53,                              3.53,             -1193936,                 26888,,,                 -4786,,                    187,                 39143,,                 15578
