證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
3057,2013年01月01日至2013年12月31日,,,              3586293,,                 30241,              3616534,,,              2090824,              2090824,              1525710,              1525710,,,                366427,,                231581,,                557823,              1155831,                369879,,,                  5822,,                 12592,,                 10259,                  8155,                378034,,                 46747,                331287,                331287,,,,,,                 22419,                353706,,                330516,                    771,,                351748,                  1958,,                              2.22,                              2.22,,                              2.11,                              2.11,                 24136,                     39,                 -1756
3057,2013年01月01日至2013年09月30日,,,              2626325,,                 29907,              2656232,,,              1538459,              1538459,              1117773,              1117773,,,                262086,,                178742,,                411612,                852440,                265333,,,                  3995,,                  4299,,                  7514,                    780,                266113,,                 33251,                232862,                232862,,,,,,                 12462,                245324,,                232328,                    534,,                243625,                  1699,,                              1.57,                              1.57,,                              1.51,                              1.51,                 12462,                              0,
3057,2013年01月01日至2013年06月30日,,,              1741796,,                 17978,              1759774,,,              1034030,              1034030,                725744,                725744,,,                172558,,                115143,,                268583,                556284,                169460,,,                  2629,,                 13507,,                  5538,                 10598,                180058,,                 20058,                160000,                160000,,,,,,                 20256,                180256,,                158108,                  1892,,                178056,                  2200,,                              1.07,                              1.07,,                              1.05,                              1.05,                 20256,                              0,
3057,2013年01月01日至2013年03月31日,,,                844946,,                  7302,                852248,,,                513803,                513803,                338445,                338445,,,                 81166,,                 56622,,                129015,                266803,                 71642,,,                    862,,                  3360,,                  2748,                  1474,                 73116,,                  7137,                 65979,                 65979,,,,,,                 14282,                 80261,,                 65075,                    904,,                 79111,                  1150,,                              0.44,                              0.44,,                              0.44,                              0.44,                 14282,                              0,
3057,2012年07月01日至2012年09月30日,,,                709003,,                  7797,                716800,,,                426895,                426895,                289905,                289905,,,                 76316,,                 49414,,                128932,                254662,                 35243,,,                  1321,,                 -9809,,                  3322,                -11810,                 23433,,                    840,                 22593,                 22593,,,,,,                 -7768,                 14825,,                 22063,                    530,,                 14465,                    360,,                              0.15,                              0.15,,                              0.15,                              0.15,                 -7758,                    -10,
3057,2012年04月01日至2012年06月30日,,,                816487,,                 20223,                836710,,,                526919,                526919,                309791,                309791,,,                 93872,,                 44640,,                146067,                284579,                 25212,,,                  1507,,                   -687,,                  3606,                 -2786,                 22426,,                    740,                 21686,                 21686,,,,,,                  1410,                 23096,,                 21214,                    472,,                 22525,                    571,,                              0.14,                              0.14,,                              0.14,                              0.14,                  1400,                     10,
3057,2012年01月01日至2012年12月31日,,,              3065670,,                 42525,              3108195,,,              1905047,              1905047,              1203148,              1203148,,,                323635,,                192291,,                535661,              1051587,                151561,,,                  6063,,                -26619,,                 13553,                -34109,                117452,,                 14699,                102753,                102753,,,,,,                -19255,                 83498,,                100714,                  2039,,                 82327,                  1171,,                              0.68,                              0.68,,                              0.64,                              0.64,                -17813,                              0,                 -1442
3057,2012年01月01日至2012年09月30日,,,              2309645,,                 35735,              2345380,,,              1456557,              1456557,                888823,                888823,,,                244482,,                141291,,                410453,                796226,                 92597,,,                  4559,,                -26445,,                 10758,                -32644,                 59953,,                  4623,                 55330,                 55330,,,,,,                -15057,                 40273,,                 53655,                  1675,,                 39393,                    880,,                              0.36,                              0.36,,                              0.36,                              0.36,                -15057,                              0,
3057,2012年01月01日至2012年06月30日,,,              1600642,,                 27938,              1628580,,,              1029662,              1029662,                598918,                598918,,,                168166,,                 91877,,                281521,                541564,                 57354,,,                  3238,,                -16636,,                  7436,                -20834,                 36520,,                  3783,                 32737,                 32737,,,,,,                 -7289,                 25448,,                 31592,                  1145,,                 24928,                    520,,                              0.21,                              0.21,,                              0.21,                              0.21,                 -7299,                     10,
3057,2012年01月01日至2012年03月31日,,,                784155,,                  7715,                791870,,,                502743,                502743,                289127,                289127,,,                 74294,,                 47237,,                135454,                256985,                 32142,,,                  1731,,                -15949,,                  3830,                -18048,                 14094,,                  3043,                 11051,                 11051,,,,,,                 -8699,                  2352,,                 10378,                    673,,                  2403,                    -51,,                              0.07,                              0.07,,                              0.06,                              0.06,                 -8699,,
