證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　　 其他費用,　　　 其他費用[duplicate]16,　　　 其他收入－其他,　　 當期所得稅費用（利益）,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
6184,2013年01月01日至2013年12月31日,,                821729,,                362501,                459228,                459228,,,                 70816,,                131291,                202107,                257121,,,                 32937,,                  6095,,                 21983,,                 59643,                 76692,                333813,,                 54349,                279464,                279464,,,,,,,                 -1553,                277911,,                257043,                 22421,,                255490,                 22421,,                              3.03,,                              2.72,                    736,,                 -2289,,,,,,,,,,
6184,2013年01月01日至2013年09月30日,,                617467,,                266841,                350626,                350626,,,                 54854,,                102652,                157506,                193120,,,                 24821,,                -10357,,                 14522,,                 47139,                 47081,                240201,,                 39043,                201158,                201158,,,,,,,                  5609,                206767,,                193070,                  8088,,                198679,                  8088,,                              2.28,,                              2.06,,,                  5609,,                617467,,                266841,                 54854,                102652,                 24821,                 39043,                              2.28,                              2.06
6184,2013年01月01日至2013年06月30日,,                412532,,                174153,                238379,                238379,,,                 35316,,                 67033,                102349,                136030,,,                 17918,,                -10548,,                  7650,,                 36449,                 36169,                172199,,                 29537,                142662,                142662,,,,,,,                   -364,                142298,,                136995,                  5667,,                136631,                  5667,,                              1.62,,                              1.54,,,                   -364,,,,,,,,,,
6184,2013年01月01日至2013年03月31日,,                205274,,                 86891,                118383,                118383,,,                 18277,,                 29805,                 48082,                 70301,,,                  2865,,                     -8,,                  1793,,                 12889,                 13953,                 84254,,                 12257,                 71997,                 71997,,,,,,,                  2690,                 74687,,                 68410,                  3587,,                 71100,                  3587,,                              0.81,,                              0.81,,,                  2690,,,,,,,,,,
6184,2012年07月01日至2012年09月30日,,                203598,,                 85899,                117699,                117699,,,                  6525,,                 31184,                 37709,                 79990,,,                  1910,,                     -7,,                     17,,                 14551,                 16437,                 96427,,                 13889,                 82538,                 82538,,,,,,,                  9181,                 91719,,                 78054,                  4484,,                 87235,                  4484,,                              0.92,,                              0.92,,,                  9181,,                203598,,                 85899,                  6525,                 31184,                  1910,                 13889,                              0.92,                              0.92
6184,2012年04月01日至2012年06月30日,,                160038,,                 70201,                 89837,                 89837,,,                  7719,,                 17317,                 25036,                 64801,,,                  2331,,                 13594,,                     16,,                 21490,                 37399,                102200,,                 11436,                 90764,                 90764,,,,,,,                  3996,                 94760,,                 90764,                              0,,                 94760,                              0,,                              1.18,,                              1.18,,,                  3996,,                160038,,                 70201,                  7719,                 17317,                  2331,                 11436,                              1.18,                              1.18
6184,2012年01月01日至2012年12月31日,,                729812,,                312734,                417078,                417078,,,                 48923,,                 90468,                139391,                277687,,,                  7707,,                 22397,,                    213,,                 73403,                103294,                380981,,                 49454,                331527,                331527,,,,,,,                 22539,                354066,,                325026,                  6501,,                347565,                  6501,,                              3.83,,                              3.83,                    709,,                 21830,,,,,,,,,,
6184,2012年01月01日至2012年09月30日,,                524042,,                223058,                300984,                300984,,,                 21024,,                 66086,                 87110,                213874,,,                  5486,,                 22407,,                     47,,                 52382,                 80228,                294102,,                 37283,                256819,                256819,,,,,,,                 22019,                278838,,                252335,                  4484,,                274354,                  4484,,                              2.98,,                              2.97,,,                 22019,,                524042,,                223058,                 21024,                 66086,                  5486,                 37283,                              2.98,                              2.97
6184,2012年01月01日至2012年06月30日,,                320444,,                137159,                183285,                183285,,,                 14499,,                 34902,                 49401,                133884,,,                  3576,,                 22414,,                     30,,                 37831,                 63791,                197675,,                 23394,                174281,                174281,,,,,,,                 12838,                187119,,                174281,                              0,,                187119,                              0,,                              2.26,,                              2.26,,,                 12838,,                320444,,                137159,                 14499,                 34902,                  3576,                 23394,                              2.26,                              2.26
6184,2012年01月01日至2012年03月31日,,                160406,,                 66958,                 93448,                 93448,,,                  6780,,                 17585,                 24365,                 69083,,,                  1245,,                  8820,,                     14,,                 16341,                 26392,                 95475,,                 11958,                 83517,                 83517,,,,,,,                  8842,                 92359,,                 83517,                              0,,                 92359,                              0,,                              1.08,,                              1.08,,,                  8842,,                160406,,                 66958,                  6780,                 17585,                  1245,                 11958,                              1.08,                              1.08
