證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓
3029,2014年01月01日至2014年03月31日,,,              1059540,              1059540,,,                970981,                970981,                 88559,,                 88559,,,                 50181,,                 17648,,                  7132,                 74961,                 13598,,,                  3961,,                  5227,,                  1746,,                   -491,                  6951,                 20549,,                  2802,                 17747,                 17747,,,                 -4715,                   -839,                   -143,                 -5411,                 -5411,                 12336,,                 18022,                   -275,,                 12611,                   -275,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,,,
3029,2013年第3季,,,              1040150,              1040150,,,                955388,                955388,                 84762,                              0,                 84762,,,                 47098,,                 13474,,                 10534,                 71106,                 13656,,,                  3143,,                  3645,,                  1562,,                              0,                  5226,                 18882,,                  2633,                 16249,                 16249,,,,,,,                 -1510,                 14739,,                 16346,                    -97,,                 14836,                    -97,,                              0.17,                              0.17,,                              0.17,                              0.17,                    -94,                 -1416,,                              0,,,,
3029,2013年第2季,,,              1090342,              1090342,,,              1000581,              1000581,                 89761,                              0,                 89761,,,                 44912,,                 13825,,                  7430,                 66167,                 23594,,,                  3058,,                   -362,,                    682,,                              0,                  2014,                 25608,,                  4580,                 21028,                 21028,,,,,,,                 -3815,                 17213,,                 21041,                    -13,,                 17226,                    -13,,                              0.22,                              0.22,,                              0.22,                              0.22,                 -4407,                    592,,                              0,,,,
3029,2013年度,,,              4306763,              4306763,,,              3927141,              3927141,                379622,,                379622,,,                195996,,                 62727,,                 35498,                294221,                 85401,,,                 14749,,                  2649,,                  4447,,                              0,                 12951,                 98352,,                 16228,                 82124,                 82124,,,,,,,                  2255,                 84379,,                 82376,                   -252,,                 84631,                   -252,,                              0.87,                              0.87,,                              0.87,                              0.87,                  3581,                    839,                 -2436,                    271,,,,
3029,2013年07月01日至2013年09月30日,,,              1040150,              1040150,,,                955388,                955388,                 84762,,                 84762,,,                 47098,,                 13474,,                 10534,                 71106,                 13656,,,                  3143,,                  3645,,                  1562,,,                  5226,                 18882,,                  2633,                 16249,                 16249,,,,,,,                 -1510,                 14739,,                 16346,                    -97,,                 14836,                    -97,,                              0.17,                              0.17,,                              0.17,                              0.17,                    -94,                 -1416,,,,,,
3029,2013年04月01日至2013年06月30日,,,              1090342,              1090342,,,              1000581,              1000581,                 89761,,                 89761,,,                 44912,,                 13825,,                  7430,                 66167,                 23594,,,                  3058,,                   -362,,                    682,,,                  2014,                 25608,,                  4580,                 21028,                 21028,,,,,,,                 -3815,                 17213,,                 21041,                    -13,,                 17226,                    -13,,                              0.22,                              0.22,,                              0.22,                              0.22,                 -4407,                    592,,,,,,
3029,2013年01月01日至2013年12月31日,,,              4306763,              4306763,,,              3927141,              3927141,                379622,,                379622,,,                195996,,                 62727,,                 35498,                294221,                 85401,,,                 14749,,                  2649,,                  4447,,,                 12951,                 98352,,                 16228,                 82124,                 82124,,,,,,,                  2255,                 84379,,                 82376,                   -252,,                 84631,                   -252,,                              0.87,                              0.87,,                              0.87,                              0.87,                  3581,                    839,                 -2436,                    271,,,,
3029,2013年01月01日至2013年09月30日,,,              3014702,              3014702,,,              2750313,              2750313,                264389,                              0,                264389,,,                142784,,                 47362,,                 25742,                215888,                 48501,,,                  8013,,                 -3173,,                  2551,,                              0,                  2289,                 50790,,                  8551,                 42239,                 42239,,,,,,,                  1398,                 43637,,                 42349,                   -110,,                 43747,                   -110,,                              0.45,                              0.45,,                              0.45,                              0.45,                  1398,                              0,,                              0,,,,
3029,2013年01月01日至2013年06月30日,,,              1974552,              1974552,,,              1794925,              1794925,                179627,                              0,                179627,,,                 95686,,                 33888,,                 15208,                144782,                 34845,,,                  4870,,                 -6818,,                    989,,                              0,                 -2937,                 31908,,                  5918,                 25990,                 25990,,,,,,,                  2908,                 28898,,                 26003,                    -13,,                 28911,                    -13,,                              0.27,                              0.27,,                              0.27,                              0.27,                  1492,                  1416,,                              0,,,,
3029,2013年01月01日至2013年03月31日,,,                884210,                884210,,,                794344,                794344,                 89866,,                 89866,,,                 50774,,                 20063,,                  7778,                 78615,                 11251,,,                  1812,,                 -6456,,                    307,,                              0,                 -4951,                  6300,,                  1338,                  4962,                  4962,,,,,,,                  6723,                 11685,,                  4962,                              0,,                 11685,                              0,,                              0.05,                              0.05,,                              0.05,                              0.05,                  5899,                    824,,                              0,,                896240,                 11839,                    191
3029,2012年07月01日至2012年09月30日,,,                843157,                843157,,,                758233,                758233,                 84924,,                 84924,,,                 45685,,                 15283,,                  8237,                 69205,                 15719,,,                  6930,,                  4471,,                    150,,,                 11251,                 26970,,                  4439,                 22531,                 22531,,,,,,,                  6258,                 28789,,                 22531,                              0,,                 28789,                              0,,                              0.24,                              0.24,,                              0.24,                              0.24,                  6258,                              0,,,,,,
3029,2012年04月01日至2012年06月30日,,,                895441,                895441,,,                810817,                810817,                 84624,,                 84624,,,                 42836,,                 13277,,                  9457,                 65570,                 19054,,,                  3085,,                 -2470,,                     25,,,                    590,                 19644,,                  3267,                 16377,                 16377,,,,,,,                 -5663,                 10714,,                 16377,                              0,,                 10714,                              0,,                              0.17,                              0.17,,                              0.17,                              0.17,                 -5663,                              0,,,,,,
3029,2012年01月01日至2012年12月31日,,,              3956750,              3956750,,,              3609892,              3609892,                346858,,                346858,,,                177801,,                 60198,,                 36886,                274885,                 71973,,,                 14466,,                  8902,,                    379,,,                 22989,                 94962,,                 16631,                 78331,                 78331,,,,,,,                 -4852,                 73479,,                 78331,                              0,,                 73479,                              0,,                              0.83,                              0.83,,                              0.82,                              0.82,                 -2693,                              0,                 -2601,                    442,,,,
3029,2012年01月01日至2012年09月30日,,,              2823526,              2823526,,,              2570353,              2570353,                253173,,                253173,,,                125702,,                 43174,,                 28925,                197801,                 55372,,,                 11758,,                 15025,,                    204,,,                 26579,                 81951,,                 13683,                 68268,                 68268,,,,,,,                 12558,                 80826,,                 68268,                              0,,                 80826,                              0,,                              0.72,                              0.72,,                              0.72,                              0.72,                 12558,                              0,,,,,,
3029,2012年01月01日至2012年06月30日,,,              1980369,              1980369,,,              1812120,              1812120,                168249,,                168249,,,                 80017,,                 27891,,                 20688,                128596,                 39653,,,                  4828,,                 10554,,                     54,,,                 15328,                 54981,,                  9244,                 45737,                 45737,,,,,,,                  6300,                 52037,,                 45737,                              0,,                 52037,                              0,,                              0.48,                              0.48,,                              0.48,                              0.48,                  6300,                              0,,,,,,
3029,2012年01月01日至2012年03月31日,,,              1084928,              1084928,,,              1001303,              1001303,                 83625,,                 83625,,,                 37181,,                 14614,,                 11231,                 63026,                 20599,,,                  1743,,                 13024,,                     29,,,                 14738,                 35337,,                  5977,                 29360,                 29360,,,,,,,                 11963,                 41323,,                 29360,,,                 41323,,,                              0.31,                              0.31,,                              0.31,                              0.31,                 11963,                              0,,,,              1100635,                 15337,                    370
