證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
5538,2014年01月01日至2014年03月31日,,,              1397435,              1397435,,,              1184063,              1184063,                213372,                213372,,,                 65392,,                 48645,,                  5676,                119713,                 93659,,,                  8496,,                 -2387,,                  9637,,                    318,                 -3210,                 90449,,                 21378,                 69071,                 69071,,,                -13789,                -13789,,                    693,                    693,                -13096,                 55975,,                 68567,                    504,,                 55612,                    363,,                              0.41,                              0.41,,                              0.41,                              0.41,
5538,2013年第3季,,,              1647055,              1647055,,,              1500555,              1500555,                146500,                146500,,,                 71540,,                 41409,,                  8742,                121691,                 24809,,,                  5679,,                 -6161,,                  9332,,                    363,                 -9451,                 15358,,                -10407,                 25765,                 25765,,,,,,,,                -30245,                 -4480,,                 24129,                  1636,,                 -7027,                  2547,,                              0.16,                              0.16,,,,                -30245
5538,2013年第2季,,,              1645778,              1645778,,,              1438902,              1438902,                206876,                206876,,,                 70234,,                 45779,,                  9159,                125172,                 81704,,,                  5741,,                 -1244,,                 18519,,                    178,                -13844,                 67860,,                 10123,                 57737,                 57737,,,,,,,,                 49873,                107610,,                 56330,                  1407,,                105632,                  1978,,                              0.38,                              0.38,,,,                 49873
5538,2013年度,,,              6223931,              6223931,,,              5430972,              5430972,                792959,                792959,,,                267466,,                151854,,                 46921,                466241,                326718,,,                 19175,,                 -1928,,                 52663,,                    829,                -34587,                292131,,                 51336,                240795,                240795,,,,,,,,                166264,                407059,,                236775,                  4020,,                401806,                  5253,,                              1.56,                              1.56,,                              1.56,                              1.56,                166264
5538,2013年07月01日至2013年09月30日,,,              1647055,              1647055,,,              1500555,              1500555,                146500,                146500,,,                 71540,,                 41409,,                  8742,                121691,                 24809,,,                  5679,,                 -6161,,                  9332,,                    363,                 -9451,                 15358,,                -10407,                 25765,                 25765,,,,,,,,                -30245,                 -4480,,                 24129,                  1636,,                 -7027,                  2547,,                              0.16,                              0.16,,,,                -30245
5538,2013年04月01日至2013年06月30日,,,              1645778,              1645778,,,              1438902,              1438902,                206876,                206876,,,                 70234,,                 45779,,                  9159,                125172,                 81704,,,                  5360,,                   -863,,                 18519,,                    178,                -13844,                 67860,,                 10123,                 57737,                 57737,,,,,,,,                 49873,                107610,,                 56330,                  1407,,                105632,                  1978,,                              0.38,                              0.38,,,,                 49873
5538,2013年01月01日至2013年12月31日,,,              6223931,              6223931,,,              5430972,              5430972,                792959,                792959,,,                267466,,                151854,,                 46921,                466241,                326718,,,                 19175,,                 -1928,,                 52663,,                    829,                -34587,                292131,,                 51336,                240795,                240795,,,,,,,,                166264,                407059,,                236775,                  4020,,                401806,                  5253,,                              1.56,                              1.56,,,,                166264
5538,2013年01月01日至2013年09月30日,,,              4668375,              4668375,,,              4110619,              4110619,                557756,                557756,,,                205856,,                106870,,                 26134,                338860,                218896,,,                 14279,,                 -6644,,                 44210,,                    477,                -36098,                182798,,                 22954,                159844,                159844,,,,,,,,                113025,                272869,,                156579,                  3265,,                267160,                  5709,,                              1.04,                              1.04,,,,                113025
5538,2013年01月01日至2013年06月30日,,,              3021320,              3021320,,,              2610064,              2610064,                411256,                411256,,,                134316,,                 65461,,                 17392,                217169,                194087,,,                  8981,,                   -864,,                 34878,,                    114,                -26647,                167440,,                 33361,                134079,                134079,,,,,,,,                143270,                277349,,                132450,                  1629,,                274187,                  3162,,                              0.88,                              0.88,,,,                143270
5538,2013年01月01日至2013年03月31日,,,              1375542,              1375542,,,              1171162,              1171162,                204380,                204380,,,                 64082,,                 19682,,                  8233,                 91997,                112383,,,                  3240,,                    380,,                 16359,,                    -64,                -12803,                 99580,,                 23238,                 76342,                 76342,,,,,,,,                 93397,                169739,,                 76120,                    222,,                168555,                  1184,,                              0.51,                              0.51,,                              0.51,                              0.51,                 93397
5538,2012年07月01日至2012年09月30日,,,              1506140,              1506140,,,              1359513,              1359513,                146627,                146627,,,                 55565,,                 38891,,                  3612,                 98068,                 48559,,,                 12545,,                 -8070,,                 11176,,                   -549,                 -7250,                 41309,,                  7378,                 33931,                 33931,,,,,,,,                -25597,                  8334,,                 34014,                    -83,,                  8678,                   -344,,                              0.23,                              0.23,,,,                -25597
5538,2012年04月01日至2012年06月30日,,,              1482364,              1482364,,,              1333231,              1333231,                149133,                149133,,,                 60721,,                 31384,,                  4793,                 96898,                 52235,,,                 12813,,                 -1984,,                 10345,,                    892,                  1376,                 53611,,                    322,                 53289,                 53289,,,,,,,,                 10542,                 63831,,                 53545,                   -256,,                 63781,                     50,,                              0.36,                              0.36,,,,                 10542
5538,2012年01月01日至2012年12月31日,,,              5690939,              5690939,,,              5102852,              5102852,                588087,                588087,,,                236396,,                139363,,                 23670,                399429,                188658,,,                 41303,,                 -7179,,                 45154,,                    569,                -10461,                178197,,                 14972,                163225,                163225,,,,,,,,                -88847,                 74378,,                162258,                    967,,                 74159,                    219,,                              1.08,                              1.08,,,,                -88847
5538,2012年01月01日至2012年09月30日,,,              4284248,              4284248,,,              3814203,              3814203,                470045,                470045,,,                177115,,                 90440,,                 16798,                284353,                185692,,,                 26732,,                -18652,,                 40615,,                    295,                -32240,                153452,,                 23996,                129456,                129456,,,,,,,,                -88466,                 40990,,                129699,                   -243,,                 41973,                   -983,,                              0.86,                              0.86,,,,                -88466
5538,2012年01月01日至2012年06月30日,,,              2778108,              2778108,,,              2454690,              2454690,                323418,                323418,,,                121550,,                 51549,,                 13186,                186285,                137133,,,                 14187,,                -10582,,                 29439,,                    844,                -24990,                112143,,                 16618,                 95525,                 95525,,,,,,,,                -62869,                 32656,,                 95685,                   -160,,                 33295,                   -639,,                              0.64,                              0.64,,,,                -62869
