證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）
3006,2014年01月01日至2014年03月31日,,              2020015,,              1580044,                439971,                439971,,,                 54792,,                 55908,,                141407,                252107,                187864,,,                 11992,,                 91135,,                    165,,                 -1135,                101827,                289691,,                 35339,                254352,                254352,,,                -13520,,                    127,                -13393,                -13393,                240959,,                256436,                 -2084,,                243043,                 -2084,,                              1.00,                              1.00,,                              0.95,                              0.95,,,,,
3006,2013年第3季,,              1767181,,              1370878,                396303,                396303,,,                 55394,,                 53515,,                135662,                244571,                151732,,,                 27989,,                -18466,,                    190,,                    801,                 10134,                161866,,                 16399,                145467,                145467,,,,,,,                -82817,                 62650,,                140846,                  4621,,                 58029,                  4621,,                              0.55,                              0.55,,                              0.53,                              0.53,                -82760,,                    -57,                              0,                              0
3006,2013年第2季,,              1644158,,              1283564,                360594,                360594,,,                 54982,,                 51512,,                138306,                244800,                115794,,,                 12531,,                128778,,                    324,,                 13415,                154400,                270194,,                 11299,                258895,                258895,,,,,,,                 64154,                323049,,                259992,                 -1097,,                324146,                 -1097,,                              1.02,                              1.02,,                              0.99,                              0.99,                 64132,,                     22,                              0,
3006,2013年度,,              6802908,,              5392909,              1409999,              1409999,,,                216673,,                209064,,                564667,                990404,                419595,,,                 63804,,                245548,,                    794,,                 -5057,                303501,                723096,,                 51248,                671848,                671848,,,,,,,                 86228,                758076,,                670151,                  1697,,                756379,                  1697,,                              2.62,                              2.62,,                              2.51,                              2.51,                 86316,,                    -88,,
3006,2013年07月01日至2013年09月30日,,              1767181,,              1370878,                396303,                396303,,,                 55394,,                 53515,,                135662,                244571,                151732,,,                 27989,,                -18466,,                    190,,                    801,                 10134,                161866,,                 16399,                145467,                145467,,,,,,,                -82817,                 62650,,                140846,                  4621,,                 58029,                  4621,,                              0.55,                              0.55,,                              0.53,                              0.53,                -82760,,,                    -57,
3006,2013年04月01日至2013年06月30日,,              1644158,,              1283564,                360594,                360594,,,                 54982,,                 51512,,                138306,                244800,                115794,,,                 12531,,                128778,,                    324,,                 13415,                154400,                270194,,                 11299,                258895,                258895,,,,,,,                 64154,                323049,,                259992,                 -1097,,                324146,                 -1097,,                              1.02,                              1.02,,                              0.99,                              0.99,                 64132,,,                     22,
3006,2013年01月01日至2013年12月31日,,              6802908,,              5392909,              1409999,              1409999,,,                216673,,                209064,,                564667,                990404,                419595,,,                 63804,,                245548,,                    794,,                 -5057,                303501,                723096,,                 51248,                671848,                671848,,,,,,,                 86228,                758076,,                670151,                  1697,,                756379,                  1697,,                              2.62,                              2.62,,                              2.51,                              2.51,                 86316,,                    -88,,                              0
3006,2013年01月01日至2013年09月30日,,              4929326,,              3902901,              1026425,              1026425,,,                158285,,                157960,,                389736,                705981,                320444,,,                 59882,,                196200,,                    585,,                 15515,                271012,                591456,,                 32065,                559391,                559391,,,,,,,                101061,                660452,,                556746,                  2645,,                657807,                  2645,,                              2.18,                              2.18,,                              2.10,                              2.10,                101147,,                    -86,                              0,                              0
3006,2013年01月01日至2013年06月30日,,              3162145,,              2532023,                630122,                630122,,,                102891,,                104445,,                254074,                461410,                168712,,,                 31893,,                214666,,                    395,,                 14714,                260878,                429590,,                 15666,                413924,                413924,,,,,,,                183878,                597802,,                415900,                 -1976,,                599778,                 -1976,,                              1.63,                              1.63,,                              1.58,                              1.58,                183907,,                    -29,                              0,
3006,2013年01月01日至2013年03月31日,,              1517987,,              1248459,                269528,                269528,,,                 47909,,                 52933,,                115768,                216610,                 52918,,,                 19362,,                 85888,,                     71,,                  1299,                106478,                159396,,                  4367,                155029,                155029,,,,,,,                119724,                274753,,                155908,                   -879,,                275632,                   -879,,                              0.61,                              0.61,,                              0.60,                              0.60,                119775,,                    -51,,
3006,2012年07月01日至2012年09月30日,,              1431689,,              1182711,                248978,                248978,,,                 35511,,                 35876,,                117027,                188414,                 60564,,,                 19336,,                -54224,,                    167,,                  4360,                -30695,                 29869,,                    505,                 29364,                 29364,,,,,,,                -12394,                 16970,,                 27904,                  1460,,                 15510,                  1460,,                              0.11,                              0.11,,                              0.11,                              0.11,                -12387,,,                     -7,
3006,2012年04月01日至2012年06月30日,,              1248839,,              1095972,                152867,                152867,,,                 39318,,                 35736,,                126380,                201434,                -48567,,,                 11009,,                 28540,,                    176,,                  2752,                 42125,                 -6442,,                   -700,                 -5742,                 -5742,,,,,,,                 -5228,                -10970,,                 -5328,                   -414,,                -10556,                   -414,,                             -0.02,                             -0.02,,                             -0.02,                             -0.02,                 -5126,,,                   -102,
3006,2012年01月01日至2012年12月31日,,              5307204,,              4506748,                800456,                800456,,,                153457,,                143596,,                494251,                791304,                  9152,,,                 53227,,               -290144,,                    743,,                -15481,               -253141,               -243989,,                  2869,               -246858,               -246858,,,,,,,                 49146,               -197712,,               -246333,                   -525,,               -197187,                   -525,,                             -0.96,                             -0.96,,                             -0.96,                             -0.96,                 52558,,                   -305,,                 -3107
3006,2012年01月01日至2012年09月30日,,              4025088,,              3472355,                552733,                552733,,,                110727,,                103759,,                361595,                576081,                -23348,,,                 39629,,                -80432,,                    563,,                 -5183,                -46549,                -69897,,                  2380,                -72277,                -72277,,,,,,,                -10775,                -83052,,                -72882,                    605,,                -83657,                    605,,                             -0.28,                             -0.28,,                             -0.28,                             -0.28,                -10666,,,                   -109,
3006,2012年01月01日至2012年06月30日,,              2593399,,              2289644,                303755,                303755,,,                 75216,,                 67883,,                244568,                387667,                -83912,,,                 20293,,                -26208,,                    396,,                 -9543,                -15854,                -99766,,                  1875,               -101641,               -101641,,,,,,,                  1619,               -100022,,               -100786,                   -855,,                -99167,                   -855,,                             -0.39,                             -0.39,,                             -0.39,                             -0.39,                  1721,,,                   -102,
3006,2012年01月01日至2012年03月31日,,              1344560,,              1193672,                150888,                150888,,,                 35898,,                 32147,,                118188,                186233,                -35345,,,                  9284,,                -54748,,                    220,,                -12295,                -57979,                -93324,,                  2575,                -95899,                -95899,,,,,,,                  6847,                -89052,,                -95458,                   -441,,                -88611,                   -441,,                             -0.37,                             -0.37,,                             -0.37,                             -0.37,                  6847,,,                              0,
