證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓
6115,2014年01月01日至2014年03月31日,,              1777259,,              1497747,                279512,                279512,,,                 33539,,                 93964,,                 27588,                155091,                124421,,,                 23916,,                 52247,,                  5893,,                  7808,                 78078,                202499,,                 31430,                171069,                171069,,,                  4289,                -14715,,                  2962,                    503,                 -7967,                 -7967,                163102,,                171069,                              0,,                163102,                              0,,                              1.00,,                              0.93,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,
6115,2013年第3季,,              1936568,,              1589282,                347286,                347286,,,                 34795,,                 94473,,                 18909,                148177,                199109,,,                 27165,,                -36084,,                  5883,,                  3568,                -11234,                187875,,                 59670,                128205,                128205,,,,,,,,,                -48230,                 79975,,                128205,                              0,,                 79975,                              0,,                              0.76,,                              0.69,,,,,,,,,,,,,,                -49748,                              0,,,                  2088,                    570,,,,,
6115,2013年第2季,,              1998288,,              1699025,                299263,                299263,,,                 36846,,                 98762,,                 20750,                156358,                142905,,,                 33904,,                 20966,,                  7326,,                 -1438,                 46106,                189011,,                 31108,                157903,                157903,,,,,,,,,                 69357,                227260,,                157903,                              0,,                227260,                              0,,                              0.94,,                              0.86,,,,,,,,,,,,,              1998288,                 68092,                              0,,,                  1265,                              0,,,,,
6115,2013年度,,              7876598,,              6646782,              1229816,              1229816,,,                245374,,                233197,,                101413,                579984,                649832,,,                130530,,                 64284,,                 26206,,                  7590,                176198,                826030,,                180504,                645526,                645526,,,,,,,,,                124586,                770112,,                645526,                              0,,                770112,                              0,,                              3.84,,                              3.46,,,,,,,,,,,,,              7876598,                194538,                -64531,                 -1667,,                 -4522,                   -768,,,,,
6115,2013年07月01日至2013年09月30日,,              1936568,,              1589282,                347286,                347286,,,                 34795,,                 94473,,                 18909,                148177,                199109,,,                 27165,,                -36084,,                  5883,,                  3568,                -11234,                187875,,                 59670,                128205,                128205,,,,,,,,,                -48230,                 79975,,                128205,,,                 79975,,,                              0.76,,                              0.70,,,,,,,,,,,,,,                -49748,                              0,,,                  2088,                    570,,,,,
6115,2013年04月01日至2013年06月30日,,              1998288,,              1699025,                299263,                299263,,,                 36846,,                 98762,,                 20750,                156358,                142905,,,                 33904,,                 20966,,                  7326,,                 -1438,                 46106,                189011,,                 31108,                157903,                157903,,,,,,,,,                 69357,                227260,,                157903,                              0,,                227260,                              0,,                              0.94,,                              0.86,,,,,,,,,,,,,              1998288,                 68092,                              0,,,                  1265,                              0,                              0,                              0,,,
6115,2013年01月01日至2013年12月31日,,              7876598,,              6646782,              1229816,              1229816,,,                245374,,                233197,,                101413,                579984,                649832,,,                130530,,                 64284,,                 26206,,                  7590,                176198,                826030,,                180504,                645526,                645526,,,,,,,,,                124586,                770112,,                645526,                              0,,                770112,                              0,,                              3.84,,                              3.48,,,,,,,,,,,,,              7876598,                194538,                -64531,                 -1667,,                 -4522,                   -768,,,,,
6115,2013年01月01日至2013年09月30日,,              5931502,,              4971754,                959748,                959748,,,                108017,,                291818,,                 55317,                455152,                504596,,,                 97661,,                 26277,,                 19479,,                  2130,                106589,                611185,,                129061,                482124,                482124,,,,,,,,,                117768,                599892,,                482124,                              0,,                599892,                              0,,                              2.89,,                              2.59,,,,,,,,,,,,,,                146223,                -31238,,,                  3353,                    570,,,,,
6115,2013年01月01日至2013年06月30日,,              3994934,,              3382472,                612462,                612462,,,                 73222,,                197345,,                 36408,                306975,                305487,,,                 70496,,                 62361,,                 13596,,                 -1438,                117823,                423310,,                 69391,                353919,                353919,,,,,,,,,                165998,                519917,,                353919,                              0,,                519917,                              0,,                              2.13,,                              1.91,,,,,,,,,,,,,              3994934,                195971,                -31238,,,                  1265,                              0,,,,,
6115,2013年01月01日至2013年03月31日,,              1996646,,              1683447,                313199,                313199,,,                 36376,,                 98583,,                 15658,                150617,                162582,,,                 36592,,                 41395,,                  6270,,                              0,                 71717,                234299,,                 38283,                196016,                196016,,,,,,,,,                 96641,                292657,,                196016,                              0,,                292657,                              0,,                              1.19,,                              1.06,,,,,,,,,,,,,,                127879,                -31238,,,                              0,                              0,,,,,
6115,2012年07月01日至2012年09月30日,,              2330203,,              1969277,                360926,                360926,,,                 70216,,                 29899,,                 25937,                126052,                234874,,,                 16839,,                -34753,,                  5670,,                              0,                -23584,                211290,,                 38724,                172566,                172566,,,,,,,,,                -72813,                 99753,,                172566,,,                 99753,,,                              1.05,,                              0.94,,,,,,,,,,,,,,                -72813,                              0,,,                              0,                              0,,,,,
6115,2012年04月01日至2012年06月30日,,              2171760,,              1847702,                324058,                324058,,,                 38831,,                 48862,,                 19687,                107380,                216678,,,                 25401,,                 27320,,                  7554,,                              0,                 45167,                261845,,                 64079,                197766,                197766,,,,,,,,,                 38434,                236200,,                197766,                              0,,                236200,                              0,,                              1.21,,                              1.08,,,,,,,,,,,,,              2171760,                 38434,                              0,,,                              0,                              0,                              0,                              0,,,
6115,2012年01月01日至2012年12月31日,,              8693441,,              7400536,              1292905,              1292905,,,                186698,,                251271,,                 80619,                518588,                774317,,,                100506,,                -51773,,                 27156,,                              0,                 21577,                795894,,                153763,                642131,                642131,,,,,,,,,               -111693,                530438,,                642131,                              0,,                530438,                              0,,                              3.91,,                              3.46,,,,,,,,,,,,,              8693441,               -139210,                 32635,                 -5118,,                              0,                              0,,,,,
6115,2012年01月01日至2012年09月30日,,              6715051,,              5709550,              1005501,              1005501,,,                179150,,                140987,,                 65124,                385261,                620240,,,                 73671,,                -43339,,                 19990,,                              0,                 10342,                630582,,                130310,                500272,                500272,,,,,,,,,               -123383,                376889,,                500272,,,                376889,,,                              3.05,,                              2.72,,,,,,,,,,,,,,               -123383,                              0,,,                              0,                              0,,,,,
6115,2012年01月01日至2012年06月30日,,              4384848,,              3740273,                644575,                644575,,,                108934,,                111088,,                 39187,                259209,                385366,,,                 56832,,                 -8586,,                 14320,,                              0,                 33926,                419292,,                 91586,                327706,                327706,,,,,,,,,                -50570,                277136,,                327706,                              0,,                277136,                              0,,                              2.00,,                              1.80,,,,,,,,,,,,,              4384848,                -50570,                              0,,,                              0,                              0,                              0,                              0,,,
6115,2012年01月01日至2012年03月31日,,              2213088,,              1892571,                320517,                320517,,,                 70103,,                 62226,,                 19500,                151829,                168688,,,                 31431,,                -35906,,                  6766,,,                -11241,                157447,,                 27507,                129940,                129940,,,,,,,,,                -89004,                 40936,,                129940,                              0,,                 40936,                              0,,                              0.79,,                              0.79,,,,,,,,,,,,,              2213088,                -89004,                              0,,,,,,,,              2216510,                  3422
