證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 投資損失,　　　　 投資損失合計,　　　 投資支出（投資公司適用）合計,　　 租賃成本,　　　 租賃成本合計,　　 旅遊服務成本（觀光飯店業適用）,　　　 餐旅服務成本,　　　　 餐旅服務成本合計,　　　 育樂成本,　　　　 育樂成本合計,　　　 旅遊服務成本（觀光飯店業適用）合計,　　 營建工程成本,　　　 營建工程成本合計,　　 勞務成本,　　　 勞務成本,　　　　 勞務成本合計,　　　 運輸成本（海陸運輸業、航空業適用）,　　　　 運輸成本（海陸運輸業、航空業適用）合計,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 手續費收入,　　　　 手續費收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 手續費支出,　　　　 手續費支出合計,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　　　 採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　 處分不動產、廠房及設備利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2908,2014年01月01日至2014年03月31日,,              9052489,,,,,,,,,,,,,,,,,,,,,,,,              6369070,              2683419,              2683419,,,,,,,,              2348107,,,                335312,,,,                  3622,,,                 36946,                 40568,,                  2460,                  5160,                  2407,,,,,                 21790,                  2141,,                              0,                              0,,,                -13904,,,,,,                 38580,                 38580,,,,                -11916,                323396,,                 46001,                277395,,,                277395,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  8404,,,                  8404,                  8404,                285799,,                271408,                  5987,,                279152,                  6647,,,                              0.56,,,                              0.56,                              0,                              0,                              0,                              0,                              0,,,,,,
2908,2013年第3季,,              8980296,,,              6278852,,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,              6278852,              2701444,              2701444,,,                              0,,              2524818,,                              0,              2524818,,                              0,                176626,,,,                  6433,,                              0,                 94300,                100733,,                    882,                              0,                 11527,,                              0,,                              0,                 88608,                  1258,                              0,                 10700,                              0,,                              0,                -88157,,                              0,,                              0,,                 35745,                 35745,,                              0,                              0,                -23169,                153457,,                 23582,                129875,,                              0,                129875,,,,,,,,,,,,,,,,,,                 -4352,                125523,,                130193,                   -318,,                125702,                   -179,,                              0.27,                              0.27,,                              0.27,                              0.27,,,,,,,                 -4352,                              0,,,                              0
2908,2013年第2季,,              8602125,,,,,,,,,,,,,,,,,,,,,,,,              6140071,              2462054,              2462054,,,,,,,,              2390259,,,                 71795,,,,                  3250,,,                 73249,                 76499,,                  1359,                 27888,                              0,,,,,                 29250,                  4571,,,                 24825,,,                -29399,,,,,,                 39808,                 39808,,,,                  7292,                 79087,,                 -7202,                 86289,,                              0,                 86289,,,,,,,,,,,,,,,,,,                -14738,                 71551,,                 84568,                  1721,,                 69452,                  2099,,,                              0.17,,,                              0.17,,,,,,,                -14738,,,,
2908,2013年度,,             35203864,,,,,,,,,,,,,,,,,,,,,,,,             24593530,             10610334,             10610334,,,,,,,,              9833596,,,                776738,,,,                 19754,,,                211972,                231726,,                  9950,                  1553,                 34036,,,,,                160778,                  7838,,                              0,                              0,,,               -123077,,,,,,                152665,                152665,,,                              0,                -44016,                732722,,                 92108,                640614,,                              0,                640614,,,,,,,,,,,,,,,,,,                 29732,                670346,,                635139,                  5475,,                658927,                 11419,,                              1.30,                              1.30,,                              1.30,                              1.30,,,,,,                              0,                 27038,                              0,                  2694,,
2908,2013年07月01日至2013年09月30日,,              8980296,,,              6278852,,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,              6278852,              2701444,              2701444,,,                              0,,              2524818,,                              0,              2524818,,                              0,                176626,,,,                  6433,,                              0,                 94300,                100733,,                    882,                              0,                 11527,,                              0,,                              0,                 88608,                  1258,                              0,                 10700,                              0,,                              0,                -88157,,                              0,,                              0,,                 35745,                 35745,,                              0,                              0,                -23169,                153457,,                 23582,                129875,,                              0,                129875,,,,,,,,,,,,,,,,,,                 -4352,                125523,,                130193,                   -318,,                125702,                   -179,,                              0.27,                              0.27,,                              0.27,                              0.27,,,,,,,                 -4352,                              0,,,                              0
2908,2013年04月01日至2013年06月30日,,              8602125,,,              6037036,,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,              6037036,              2565089,              2565089,,,                              0,,              2493294,,                              0,              2493294,,                              0,                 71795,,,,                  3250,,                              0,                 73249,                 76499,,                  1359,                 27888,                              0,,                              0,,                              0,                 29250,                  4571,,,                 24825,,                              0,                -29399,,                              0,,                              0,,                 39808,                 39808,,                              0,                              0,                  7292,                 79087,,                 -7202,                 86289,,                              0,                 86289,,,,,,,,,,,,,,,,,,                -14738,                 71551,,                 84568,                  1721,,                 69452,                  2099,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,,                -14738,                              0,,,                              0
2908,2013年01月01日至2013年12月31日,,             35203864,,,,,,,,,,,,,,,,,,,,,,,,             24593530,             10610334,             10610334,,,,,,,,              9833596,,,                776738,,,,                 19754,,,                211972,                231726,,                  9950,                  1553,                 34036,,,,,                160778,                  7838,,,                              0,,,               -123077,,,,,,                152665,                152665,,,                              0,                -44016,                732722,,                 92108,                640614,,                              0,                640614,,,,,,,,,,,,,,,,,,                 29732,                670346,,                635139,                  5475,,                658927,                 11419,,                              1.30,                              1.30,,                              1.30,                              1.30,,,,,,                              0,                 27038,                              0,                  2694,,
2908,2013年01月01日至2013年09月30日,,             26451323,,,             18607823,,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,             18607823,              7843500,              7843500,,,                              0,,              7320080,,                              0,              7320080,,                              0,                523420,,,,                 11852,,                              0,                226280,                238132,,                  5018,                              0,                 28118,,                              0,,                              0,                170254,                  5923,                              0,                    163,                              0,,                              0,               -143204,,                              0,,                              0,,                109452,                109452,,                              0,                              0,                -14524,                508896,,                 44250,                464646,,                              0,                464646,,,,,,,,,,,,,,,,,,                  6624,                471270,,                460137,                  4509,,                461280,                  9990,,                              0.95,                              0.95,,                              0.94,                              0.94,,,,,,,                  6624,                              0,,,                              0
2908,2013年01月01日至2013年06月30日,,             17471027,,,,,,,,,,,,,,,,,,,,,,,,             12328971,              5142056,              5142056,,,,,,,,              4795262,,,                346794,,,,                  5419,,,                131980,                137399,,                  4136,                 10537,                 16591,,,,,                 81646,                  4665,,,                              0,,,                -55047,,,,,,                 73707,                 73707,,,,                  8645,                355439,,                 20668,                334771,,                              0,                334771,,,,,,,,,,,,,,,,,,                 10976,                345747,,                329944,                  4827,,                335578,                 10169,,,                              0.68,,,                              0.67,,,,,,,                 10976,,,,
2908,2013年01月01日至2013年03月31日,,              8868902,,,,,,,,,,,,,,,,,,,,,,,,              6188900,              2680002,              2680002,,,,,,,,              2405003,,,                274999,,,,                  2169,,,                 58731,                 60900,,                  2777,                              0,                 41416,,,,,                 52396,                     94,,                 17351,                              0,,,                -25648,,,,,,                 33899,                 33899,,,,                  1353,                276352,,                 27870,                248482,,,                248482,,,,,,,,,,,,,,,,,,                 25714,                274196,,                245376,                  3106,,                266126,                  8070,,,                              0.50,,,                              0.50,,,,,,,                 25714,                              0,,,
2908,2012年07月01日至2012年09月30日,,              8783236,,,              6137405,,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,              6137405,              2645831,              2645831,,,                              0,,              2456536,,                              0,              2456536,,                              0,                189295,,,,                  2174,,                              0,                 53366,                 55540,,                              0,                 16332,                  1450,,                              0,,                              0,                 32773,                  1262,                  6134,                              0,                  7291,,                              0,                -29678,,                              0,,                              0,,                 40537,                 40537,,                              0,                              0,                -14675,                174620,,                 37708,                136912,,                              0,                136912,,,,,,,,,,,,,,,,,,                 -8255,                128657,,                111671,                 25241,,                107900,                 20757,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,,                -10269,                  2014,,,                              0
2908,2012年04月01日至2012年06月30日,,              9322904,,,              6662302,,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,              6662302,              2660602,              2660602,,,                              0,,              2455220,,                              0,              2455220,,                              0,                205382,,,,                  2985,,                              0,                 64602,                 67587,,                  7388,                 15679,                 11938,,                              0,,                              0,                 75070,                    638,,,                 13559,,                              0,                -54262,,                              0,,                              0,,                 53228,                 53228,,                  1356,                 -1356,                -41259,                164123,,                 31221,                132902,,                              0,                132902,,,,,,,,,,,,,,,,,,                 15062,                147964,,                 70645,                 62257,,                 56091,                 91873,,                              0.14,                              0.14,,                              0.14,                              0.14,,,,,,,                 18582,                 -3520,,,                              0
2908,2012年01月01日至2012年12月31日,,             35252142,,,,,,,,,,,,,,,,,,,,,,,,             24848981,             10403161,             10403161,,,,,,,,              9682844,,,                720317,,,,                 16960,,,                134986,                151946,,                 48482,                194698,                 11588,,,,,                 82079,                  5621,,,                164356,,,                  3032,,,,,,                195366,                195366,,,                  6798,                -33590,                686727,,                122033,                564694,,                              0,                564694,,,,,,,,,,,,,,,,,,                -50177,                514517,,                509214,                 55480,,                477225,                 37292,,                              1.03,                              1.03,,                              1.02,                              1.02,,,,,,                    320,                -41749,                 -1605,                 -6823,,
2908,2012年01月01日至2012年09月30日,,             27437398,,,             19474675,,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,             19474675,              7962723,              7962723,,,                              0,,              7317811,,                              0,              7317811,,                              0,                644912,,,,                 11066,,                              0,                197137,                208203,,                 45033,                168136,                 13388,,                              0,,                              0,                137606,                  4890,                              0,                              0,                145217,,                              0,                -61156,,                              0,,                              0,,                151792,                151792,,                  1356,                 -1356,                 -6101,                638811,,                141919,                496892,,                              0,                496892,,,,,,,,,,,,,,,,,,                -17104,                479788,,                398063,                 98829,,                376399,                103389,,                              0.80,                              0.80,,                              0.80,                              0.80,,,,,,,                -15499,                 -1605,,,                              0
2908,2012年01月01日至2012年06月30日,,             18654162,,,             13337270,,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,             13337270,              5316892,              5316892,,,                              0,,              4861275,,                              0,              4861275,,                              0,                455617,,,,                  8892,,                              0,                143771,                152663,,                 51167,                151804,                 11938,,                              0,,                              0,                104833,                  3628,,,                137926,,                              0,                -31478,,                              0,,                              0,,                111255,                111255,,                  1356,                 -1356,                  8574,                464191,,                104211,                359980,,                              0,                359980,,,,,,,,,,,,,,,,,,                 -8849,                351131,,                286392,                 73588,,                268499,                 82632,,                              0.57,                              0.57,,                              0.57,                              0.57,,,,,,,                 -5230,                 -3619,,,                              0
2908,2012年01月01日至2012年03月31日,,              9331258,,,,,,,,,,,,,,,,,,,,,,,,              6674968,              2656290,              2656290,,,,,,,,              2406055,,,                250235,,,,                  9290,,,                 79169,                 88459,,                 43779,                136125,               -123413,,,,,                 29763,                  2990,,,                    954,,,                 22784,,,,,,,                 61410,,,,                 49833,                300068,,                 72990,                227078,,,                227078,,,,,,,,,,,,,,,,,,                -23911,                203167,,                215747,                 11331,,                212408,                 -9241,,,                              0.43,,,                              0.43,,,,,,,                -23812,                    -99,,,
