證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2059,2014年01月01日至2014年03月31日,,,,              1021682,                    825,                 10373,              1010484,              1010484,,                458451,                552033,                552033,,,                 60009,,                 41624,,                 34723,                136356,                415677,,,,                  6556,                  6556,,                119280,,                  1659,                124177,                539854,,                 71537,                468317,                468317,,,                  2364,                    402,                  1962,                  1962,                470279,,                468317,,                470279,,                              4.92,                              4.92,,                              4.91,                              4.91,,,
2059,2013年第3季,,,,                950630,                    828,                 11152,                938650,                938650,,                419335,                519315,                519315,,,                 49029,,                 37268,,                 30157,                116454,                402861,,,,                  3686,                  3686,,                -56130,,                  2822,                -55266,                347595,,                 45957,                301638,                301638,,,,,,                 -1206,                300432,,                301638,,                300432,,                              3.20,                              3.20,,                              3.19,                              3.19,                 -1453,,                   -247
2059,2013年第2季,,,,                989745,                  1574,                 13619,                974552,                974552,,                486116,                488436,                488436,,,                 64284,,                 37803,,                 27188,                129275,                359161,,,,                  4966,                  4966,,                 44630,,                  4846,                 44750,                403911,,                110159,                293752,                293752,,,,,,                  2373,                296125,,                293752,,                296125,,                              3.15,                              3.15,,                              2.91,                              2.91,                  2859,,                    486
2059,2013年度,,,,              3821547,                  4832,                 46612,              3770103,              3770103,,              1790738,              1979365,              1979365,,,                214102,,                152166,,                117090,                483358,              1496007,,,,                 16346,                 16346,,                176426,,                 15162,                177610,              1673617,,                277622,              1395995,              1395995,,,,,,                 -1185,              1394810,,              1395995,,              1394810,,                             14.89,                             14.89,,                             14.49,                             14.49,                  8405,                 -9740,                   -150
2059,2013年07月01日至2013年09月30日,,,,                950630,                    828,                 11152,                938650,                938650,,                419335,                519315,                519315,,,                 49029,,                 37268,,                 30157,                116454,                402861,,,,                  3686,                  3686,,                -56130,,                  2822,                -55266,                347595,,                 45957,                301638,                301638,,,,,,                 -1206,                300432,,                301638,,                300432,,                              3.20,                              3.20,,                              3.19,                              3.19,                 -1453,,                   -247
2059,2013年04月01日至2013年06月30日,,,,                989745,                  1574,                 13619,                974552,                974552,,                486116,                488436,                488436,,,                 64284,,                 37803,,                 27188,                129275,                359161,,,,                  4966,                  4966,,                 44630,,                  4846,                 44750,                403911,,                110159,                293752,                293752,,,,,,                  2373,                296125,,                293752,,                296125,,                              3.15,                              3.15,,                              2.91,                              2.91,                  2859,,                    486
2059,2013年01月01日至2013年12月31日,,,,              3821547,                  4832,                 46612,              3770103,              3770103,,              1790738,              1979365,              1979365,,,                214102,,                152166,,                117090,                483358,              1496007,,,,                 16346,                 16346,,                176426,,                 15162,                177610,              1673617,,                277622,              1395995,              1395995,,,,,,                 -1185,              1394810,,              1395995,,              1394810,,                             14.89,                             14.89,,                             14.49,                             14.49,                  8405,                 -9740,                   -150
2059,2013年01月01日至2013年09月30日,,,,              2816723,                  4002,                 33850,              2778871,              2778871,,              1331306,              1447565,              1447565,,,                158732,,                112664,,                 84090,                355486,              1092079,,,,                 12833,                 12833,,                124507,,                 13018,                124322,              1216401,,                214412,              1001989,              1001989,,,,,,                  5061,              1007050,,              1001989,,              1007050,,                             10.74,                             10.74,,                             10.34,                             10.34,                  6048,,                    987
2059,2013年01月01日至2013年06月30日,,,,              1866093,                  3174,                 22698,              1840221,              1840221,,                911971,                928250,                928250,,,                109703,,                 75396,,                 53933,                239032,                689218,,,,                  9147,                  9147,,                180637,,                 10196,                179588,                868806,,                168455,                700351,                700351,,,,,,                  6267,                706618,,                700351,,                706618,,                              7.55,                              7.55,,                              6.84,                              6.84,                  7501,,                  1234
2059,2013年01月01日至2013年03月31日,,,,                876348,                  1600,                  9079,                865669,                865669,,                425855,                439814,                439814,,,                 45419,,                 37593,,                 26745,                109757,                330057,,,,                  4181,                  4181,,                136007,,                  5350,                134838,                464895,,                 58296,                406599,                406599,,,,,,                  3894,                410493,,                406599,,                410493,,                              4.40,                              4.40,,                              4.11,                              4.11,                  4642,,                    748
2059,2012年07月01日至2012年09月30日,,,,                958578,                  1077,                 11716,                945785,                945785,,                457136,                488649,                488649,,,                 67759,,                 29384,,                 24306,                121449,                367200,,,,                  2183,                  2183,,                -74441,,                  5424,                -77682,                289518,,                 39078,                250440,                250440,,,,,,                 -2963,                247477,,                250440,,                247477,,                              2.71,                              2.71,,                              2.70,                              2.70,                 -3515,,                   -552
2059,2012年04月01日至2012年06月30日,,,,                905431,                  1665,                 13703,                890063,                890063,,                463563,                426500,                426500,,,                 73043,,                 27733,,                 23795,                124571,                301929,,,,                  3420,                  3420,,                 59652,,                  4715,                 58357,                360286,,                 89196,                271090,                271090,,,,,,                  1132,                272222,,                271090,,                272222,,                              2.94,                              2.94,,                              2.92,                              2.92,                  1344,,                    212
2059,2012年01月01日至2012年12月31日,,,,              3644697,                  7899,                 45975,              3590823,              3590823,,              1768005,              1822818,              1822818,,,                257798,,                123003,,                104464,                485265,              1337553,,,,                 13048,                 13048,,                -79447,,                 21073,                -87472,              1250081,,                191965,              1058116,              1058116,,,,,,                -10496,              1047620,,              1058116,,              1047620,,                             11.47,                             11.47,,                             11.22,                             11.22,                 -6404,                 -5814,                 -1722
2059,2012年01月01日至2012年09月30日,,,,              2602130,                  4630,                 34204,              2563296,              2563296,,              1280845,              1282451,              1282451,,,                194050,,                 84028,,                 70130,                348208,                934243,,,,                  9843,                  9843,,                -55180,,                 15606,                -60943,                873300,,                151542,                721758,                721758,,,,,,                 -5338,                716420,,                721758,,                716420,,                              7.82,                              7.82,,                              7.65,                              7.65,                 -6239,,                   -901
2059,2012年01月01日至2012年06月30日,,,,              1643552,                  3553,                 22488,              1617511,              1617511,,                823709,                793802,                793802,,,                126291,,                 54644,,                 45824,                226759,                567043,,,,                  7660,                  7660,,                 19261,,                 10182,                 16739,                583782,,                112464,                471318,                471318,,,,,,                 -2375,                468943,,                471318,,                468943,,                              5.11,                              5.11,,                              4.89,                              4.89,                 -2724,,                   -349
2059,2012年01月01日至2012年03月31日,,,,                738121,                  1888,                  8785,                727448,                727448,,                360146,                367302,                367302,,,                 53248,,                 26911,,                 22029,                102188,                265114,,,,                  4240,                  4240,,                -40391,,                  5467,                -41618,                223496,,                 23268,                200228,                200228,,,,,,                 -3507,                196721,,                200228,,                196721,,                              2.17,                              2.17,,                              1.96,                              1.96,                 -4068,,                   -561
