證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　 停業單位損益,　　 停業單位損益合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益
3682,2013年01月01日至2013年12月31日,,             20125362,,             13152463,              6972899,              6972899,,,              3656342,,              1447931,              5104273,              1868626,,,                405014,,               -412298,,                  5880,,                              0,                -13164,              1855462,,                 12686,              1842776,              1842776,              1844709,,              1842776,,,              1844709,,,,                              0.56,,,                              0.56,,                  2329,                    396,                  1933,,                              0,,,,,,
3682,2013年01月01日至2013年09月30日,,             15630953,,             10183583,              5447370,              5447370,,,              2812122,,              1088511,              3900633,              1546737,,,                357510,,               -255405,,                  5780,,                              0,                 96325,              1643062,,                  5181,              1637881,              1637881,              1637881,,              1637881,,,              1637881,,,,                              0.50,,,                              0.50,,,,,,,,             15630953,,             10183583,                              0,                              0
3682,2013年01月01日至2013年06月30日,,             10736797,,              6958394,              3778403,              3778403,,,              1870677,,                725128,              2595805,              1182598,,,                332292,,               -238990,,                  5777,,                              0,                 87525,              1270123,,                     84,              1270039,              1270039,              1270039,,              1270039,,,              1270039,,,,                              0.39,,,                              0.39,,,,,,,,,,,,
3682,2013年01月01日至2013年03月31日,,              5461381,,              3440967,              2020414,              2020414,,,              1007759,,                391821,              1399580,                620834,,,                 32552,,                 10907,,                  5670,,                              0,                 37789,                658623,,                 -2940,                661563,                661563,                661563,,                661563,,,                661563,,,,                              0.20,,,                              0.20,,,,,,,,,,,,
3682,2012年07月01日至2012年09月30日,,              6474144,,              4008757,              2465387,              2465387,,,              1095604,,                377116,              1472720,                992667,,,                 29170,,                -12436,,                  6169,,                              0,                 10565,              1003232,,                167026,                836206,                836206,                836206,,                836206,,,                836206,,,,                              0.25,,,                              0.25,,,,,,,,              6474144,,              4008757,                              0,                              0
3682,2012年04月01日至2012年06月30日,,              6452193,,              3790375,              2661818,              2661818,,,              1073452,,                371355,              1444807,              1217011,,,                 23428,,                -16983,,                  5873,,                              0,                    572,              1217583,,                166519,              1051064,              1051064,              1051064,,              1051064,,,              1051064,,,,                              0.32,,,                              0.32,,,,,,,,              6452193,,              3790375,                              0,                              0
3682,2012年01月01日至2012年12月31日,,             25712189,,             15765970,              9946219,              9946219,,,              4695940,,              1356494,              6052434,              3893785,,,                133977,,                -42375,,                 26547,,                   -484,                 64571,              3958356,,                656695,              3301661,              3301661,              3314393,,              3301661,,,              3314393,,,,                              1.01,,,                              1.00,,                 15340,                  2608,                 12732,,                              0,,,,,,
3682,2012年01月01日至2012年09月30日,,             19609292,,             11658146,              7951146,              7951146,,,              3345240,,              1087114,              4432354,              3518792,,,                 92282,,                -37350,,                 20472,,                   -484,                 33976,              3552768,,                600457,              2952311,              2952311,              2952311,,              2952311,,,              2952311,,,,                              0.90,,,                              0.90,,,,,,,,             19609292,,             11658146,                              0,                              0
3682,2012年01月01日至2012年06月30日,,             13135148,,              7649389,              5485759,              5485759,,,              2249636,,                709998,              2959634,              2526125,,,                 63112,,                -24914,,                 14303,,                   -484,                 23411,              2549536,,                433431,              2116105,              2116105,              2116105,,              2116105,,,              2116105,,,,                              0.64,,,                              0.64,,,,,,,,             13135148,,              7649389,                              0,                              0
3682,2012年01月01日至2012年03月31日,,              6682955,,              3859014,              2823941,              2823941,,,              1176184,,                338643,              1514827,              1309114,,,                 39684,,                 -7931,,                  8430,,                   -484,                 22839,              1331953,,                266912,              1065041,              1065041,              1065041,,              1065041,,,              1065041,,,,                              0.32,,,                              0.32,,,,,,,,              6682955,,              3859014,                              0,                              0
